id,nct,pubmed_id,trial_name,author,year,trial_phase,number_of_arms,total_sample_size,publication_type,cancer_type,treatment_regimen,ici_name,ici_class,therapy_modality,combination_type,control_regimen,control_type,lines_of_treatment,clinical_setting_in_relation_to_surgery,primary_endpoint,primary_endpoint_is_multiple_or_composite,secondary_endpoint,pdl1_inclusion,other_biomarker_inclusion,follow_up_type,follow_up_duration_overall_months,follow_up_duration_rx_months,follow_up_duration_control_months,included_in_ma,therapy_type,clinical_setting
32,NCT01450761,27458307,CA184-156,Reck M et al,2016,Phase 3,2,1132.0,Original publication,Small Cell Lung,Ipilimumab+Etoposide+Platinum agent,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Etoposide+Platinum agent ,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DOR",False,False,Median,,10.5,10.2,Yes,Combination,Metastatic+recurrent (unresectable)
33,NCT02041533,28636851,Checkmate 026,Carbone DP et al,2017,Phase 3,2,423.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Platinum-based chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"OS,PFS(PD-L1),RR, ",True,True,Median,13.5,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
34,NCT01285609,28854067,,Govindan R et al,2017,Phase 3,2,749.0,Original publication,Non-Small Cell Lung,Ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DOR, safety",False,False,Median,,12.5,11.8,Yes,Combination,Metastatic+recurrent (unresectable)
35,NCT02125461,28885881,PACIFIC,Antonia SJ et al,2017,Phase 3,2,713.0,Original publication,Non-Small Cell Lung,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Placebo  ,Placebo  ,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"12-18 month PSA, DOR, ORR, Time to death, secondary progression, safety",False,False,Median,14.5,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
36,NCT02125461,30280658,PACIFIC,Antonia SJ et al,2018,Phase 3,2,713.0,Follow-up,Non-Small Cell Lung,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Placebo  ,Placebo  ,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"Time to death, secondary progression, safety",False,False,Median,25.2,,,No,Monotherapy,Metastatic+recurrent (unresectable)
37,NCT02395172,30262187,JAVELIN Lung 200,Barlesi F et al,2018,Phase 3,2,758.0,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, , BOR, PRO, Safety",False,False,Median,18.3,18.9,17.8,Yes,Monotherapy,Metastatic+recurrent (unresectable)
38,NCT02039674,27745820,Keynote-021,Langer JC et al,2016,Phase 2,2,123.0,Original publication,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Pembrolizumab,PD1,Combination,ICI+Chemo,Pemetrexed+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),ORR,,"PFS, DOR, OS",True,True,Median,10.6,,,Yes,Combination,Metastatic+recurrent (unresectable)
39,NCT02039674,30138764,Keynote-021,Borghaei  H et al,2018,Phase 2,2,123.0,Follow-up,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Pembrolizumab,PD1,Combination,ICI+Chemo,Pemetrexed+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),ORR,,"PFS, DOR, OS",True,True,Median,23.9,,,Yes,Combination,Metastatic+recurrent (unresectable)
40,NCT02008227,27979383,OAK,Rittmeyer A et al,2017,Phase 3,2,1225.0,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DoR",False,True,Median,21.0,,,No,Monotherapy,Metastatic+recurrent (unresectable)
41,NCT02008227,29777823,OAK,Fehrenbacher L et al,2018,Phase 3,2,1225.0,Follow-up,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DoR",False,True,Median,26.0,,,No,Monotherapy,Metastatic+recurrent (unresectable)
42,NCT02578680,29658856,Keynote-189,Gandhi L et al,2018,Phase 3,2,616.0,Original publication,Non-Small Cell Lung,Pembrolizumab+Platinum agent,Pembrolizumab,PD1,Combination,ICI+Chemo,Placebo+Pemetrexed+Platinum agent,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DOR, safety",False,False,Median,10.5,,,Yes,Combination,Metastatic+recurrent (unresectable)
43,NCT02763579,30280641,IMPower 133,Horn L et al,2018,Phase 3,2,403.0,Original publication,Small Cell Lung,Atezolizumab+Etoposide+Carboplatin,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo  ,Placebo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DOR",False,False,Median,13.9,,,Yes,Combination,Metastatic+recurrent (unresectable)
44,NCT02775435,30280635,Keynote-407,Paz-Ares L et al,2018,Phase 3,2,559.0,Original publication,Non-Small Cell Lung,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,Pembrolizumab,PD1,Combination,ICI+Chemo,Placebo+Carboplatin+paclitaxel/nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DOR, safety",False,False,Median,7.8,,,No,Combination,Metastatic+recurrent (unresectable)
45,NCT02366143,29863955,IMPower150,Socinski MA et al,2018,Phase 3,3,1202.0,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Bevacizumab+Carboplatin+Paclitaxel,Chemo+Anti-VEGF,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"PFS, OS in ITT population",False,False,Minimum,,,,Yes,Combination,Metastatic+recurrent (unresectable)
46,NCT02366143,29863955,IMPower150,Socinski MA et al (1),2018,Phase 3,3,1202.0,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Chemo+Anti-VEGF,Bevacizumab+Carboplatin+Paclitaxel,Chemo+Anti-VEGF,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"PFS, OS in ITT population",False,False,Minimum,,15.4,15.5,Yes,Combination,Metastatic+recurrent (unresectable)
47,NCT02477826,29658845,Checkmate 227,Hellmann MD et al,2018,Phase 3,3,1739.0,Original publication,Non-Small Cell Lung,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,False,False,Minimum,11.2,,,Yes,Combination,Metastatic+recurrent (unresectable)
48,NCT02477826,29658845,Checkmate 227,Hellmann MD et al (1),2018,Phase 3,3,1739.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,False,False,Minimum,11.2,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
49,NCT02477826,31562796,Checkmate 227,Hellmann MD et al,2019,Phase 3,4,1739.0,Follow-up,Non-Small Cell Lung,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,False,True,Minimum,29.3,,,Yes,Combination,Metastatic+recurrent (unresectable)
50,NCT02477826,31562796,Checkmate 227,Hellmann MD et al (1),2019,Phase 3,4,1739.0,Follow-up,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,False,True,Minimum,29.3,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
51,NCT02477826,31562796,Checkmate 227,Hellmann MD et al (2),2019,Phase 3,4,1739.0,Follow-up,Non-Small Cell Lung,Nivolumab+Chemotherapy,Nivolumab,PD1,Combination,ICI+Chemo,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,False,True,Minimum,29.3,,,Yes,Combination,Metastatic+recurrent (unresectable)
52,NCT02220894,30955977,Keynote-042,Mok TSK et al,2019,Phase 3,2,1274.0,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Carboplatin+Pemetrexed+Paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR in pts with PD-L1 TPS of >=50%; >=20%; >=1%",True,False,Median,12.8,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
53,NCT03059667,30664989,IFCT-1603,Pujol JL et al,2019,Phase 2,2,73.0,Original publication,Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Etoposide+Carboplatin/Topotecan,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),ORR,,"OS, PFS, RR, Disease progression/Death, QoL",False,False,Median,13.7,,,No,Monotherapy,Metastatic+recurrent (unresectable)
54,NCT02142738,30620668,Keynote-024,Reck M et al,2019,Phase 3,2,305.0,Follow-up,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Platinum-based chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"OS, ORR, safety",True,False,Median,25.2,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
55,NCT02367781,31122901,IMpower130,West H et al,2019,Phase 3,2,724.0,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin+Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,,False,False,Median,,18.5,19.2,Yes,Combination,Metastatic+recurrent (unresectable)
56,NCT02613507,30659987,Checkmate 078,Wu YL et al,2019,Phase 3,2,504.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,,False,False,Minimum,8.8,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
57,NCT02454933,30763730,CAURAL,Yang JCH et al,2019,Phase 3,2,29.0,Original publication,Non-Small Cell Lung,Durvalumab+Osimertinib,Durvalumab,PD-L1,Combination,ICI+TKI,Osimertinib,TKI,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),,,,False,False,,,,,No,Combination,Metastatic+recurrent (unresectable)
