NCT,PMID,primary_endpoint_description,primary_endpoint_category,Authors,Year
NCT00527735,22858559,,Other,Reck M et al,2012
NCT00527735,22858559,,Other,Reck M et al (1),2012
NCT00527735,22858559,,Other,Lynch TJ et al,2012
NCT00527735,22858559,,Other,Lynch TJ et al (1),2012
NCT00527735,22858559,,Other,Reck M et al,2012
NCT00527735,22858559,,Other,Reck M et al (1),2012
NCT01673867,26412456,OS,OS,Borghaei  H et al,2015
NCT01642004,26028407,OS,OS,Brahmer J et al,2015
NCT01905657,26712084,OS+PFS,Other,Herbst RS et al,2016
NCT01905657,26712084,OS+PFS,Other,Herbst RS et al (1),2016
NCT01905657,26712084,OS+PFS,Other,Herbst RS et al,2016
NCT01905657,26712084,OS+PFS,Other,Herbst RS et al (1),2016
NCT01903993,26970723,PFS,PFS,Fehrenbacher L et al,2016
NCT01903993,26970723,PFS,PFS,Mazieres J et al,2020
NCT01450761,27458307,OS,OS,Reck M et al,2016
NCT02041533,28636851,PFS,PFS,Carbone DP et al,2017
NCT01285609,28854067,OS,OS,Govindan R et al,2017
NCT02125461,28885881,OS+PFS,Other,Antonia SJ et al,2017
NCT02125461,28885881,OS+PFS,Other,Antonia SJ et al,2018
NCT02125461,30280658,OS+PFS,Other,Antonia SJ et al,2017
NCT02125461,30280658,OS+PFS,Other,Antonia SJ et al,2018
NCT02395172,30262187,OS,OS,Barlesi F et al,2018
NCT02039674,27745820,ORR,ORR,Langer JC et al,2016
NCT02039674,27745820,ORR,ORR,Borghaei  H et al,2018
NCT02039674,30138764,ORR,ORR,Langer JC et al,2016
NCT02039674,30138764,ORR,ORR,Borghaei  H et al,2018
NCT02008227,27979383,OS,OS,Rittmeyer A et al,2017
NCT02008227,27979383,OS,OS,Fehrenbacher L et al,2018
NCT02008227,27979383,OS,OS,Mazieres J et al,2020
NCT02008227,29777823,OS,OS,Rittmeyer A et al,2017
NCT02008227,29777823,OS,OS,Fehrenbacher L et al,2018
NCT02008227,29777823,OS,OS,Mazieres J et al,2020
NCT02578680,29658856,OS+PFS,Other,Gandhi L et al,2018
NCT02763579,30280641,OS+PFS,Other,Horn L et al,2018
NCT02763579,30280641,OS+PFS,Other,Mansfield AS et al,2020
NCT02775435,30280635,OS+PFS,Other,Paz-Ares L et al,2018
NCT02366143,29863955,OS+PFS,Other,Socinski MA et al,2018
NCT02366143,29863955,OS+PFS,Other,Socinski MA et al (1),2018
NCT02366143,29863955,OS+PFS,Other,Socinski MA et al,2018
NCT02366143,29863955,OS+PFS,Other,Socinski MA et al (1),2018
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al,2018
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al (1),2018
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al,2019
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al (1),2019
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al (2),2019
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al,2018
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al (1),2018
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al,2019
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al (1),2019
NCT02477826,29658845,OS+PFS,Other,Hellmann MD et al (2),2019
NCT02477826,31562796,OS,OS,Hellmann MD et al,2018
NCT02477826,31562796,OS,OS,Hellmann MD et al (1),2018
NCT02477826,31562796,OS,OS,Hellmann MD et al,2019
NCT02477826,31562796,OS,OS,Hellmann MD et al (1),2019
NCT02477826,31562796,OS,OS,Hellmann MD et al (2),2019
NCT02477826,31562796,OS,OS,Hellmann MD et al,2018
NCT02477826,31562796,OS,OS,Hellmann MD et al (1),2018
NCT02477826,31562796,OS,OS,Hellmann MD et al,2019
NCT02477826,31562796,OS,OS,Hellmann MD et al (1),2019
NCT02477826,31562796,OS,OS,Hellmann MD et al (2),2019
NCT02477826,31562796,OS,OS,Hellmann MD et al,2018
NCT02477826,31562796,OS,OS,Hellmann MD et al (1),2018
NCT02477826,31562796,OS,OS,Hellmann MD et al,2019
NCT02477826,31562796,OS,OS,Hellmann MD et al (1),2019
NCT02477826,31562796,OS,OS,Hellmann MD et al (2),2019
NCT02220894,30955977,OS,OS,Mok TSK et al,2019
NCT03059667,30664989,ORR,ORR,Pujol JL et al,2019
NCT02142738,30620668,PFS,PFS,Reck M et al,2019
NCT02142738,30620668,PFS,PFS,Reck M et al,2016
NCT02367781,31122901,OS+PFS,Other,West H et al,2019
NCT02613507,30659987,OS,OS,Wu YL et al,2019
NCT02454933,30763730,,Other,Yang JCH et al,2019
NCT00324155,21639810,OS,OS,Robert C et al,2011
NCT00094653,20525992,OS,OS,Hodi FS et al,2010
NCT00094653,20525992,OS,OS,Hodi FS et al (1),2010
NCT00094653,20525992,OS,OS,McDermott D et al,2013
NCT00094653,20525992,OS,OS,McDermott D et al (1),2013
NCT00094653,20525992,OS,OS,Hodi FS et al,2010
NCT00094653,20525992,OS,OS,Hodi FS et al (1),2010
NCT00094653,20525992,OS,OS,McDermott D et al,2013
NCT00094653,20525992,OS,OS,McDermott D et al (1),2013
NCT00257205,23295794,OS,OS,Ribas A et al,2013
NCT02362594,29658430,PFS,PFS,Eggermont AMM et al,2018
NCT02362594,29658430,PFS,PFS,Eggermont AMM et al,2020
NCT01704287,26115796,OS+PFS,Other,Ribas A et al,2015
NCT01704287,26115796,OS+PFS,Other,Ribas A et al (1),2015
NCT01704287,26115796,OS+PFS,Other,Hamid O et al,2017
NCT01704287,26115796,OS+PFS,Other,Hamid O et al (1),2017
NCT01704287,26115796,OS+PFS,Other,Ribas A et al,2015
NCT01704287,26115796,OS+PFS,Other,Ribas A et al (1),2015
NCT01704287,26115796,OS+PFS,Other,Hamid O et al,2017
NCT01704287,26115796,OS+PFS,Other,Hamid O et al (1),2017
NCT01704287,28961465,OS+PFS,Other,Ribas A et al,2015
NCT01704287,28961465,OS+PFS,Other,Ribas A et al (1),2015
NCT01704287,28961465,OS+PFS,Other,Hamid O et al,2017
NCT01704287,28961465,OS+PFS,Other,Hamid O et al (1),2017
NCT01704287,28961465,OS+PFS,Other,Ribas A et al,2015
NCT01704287,28961465,OS+PFS,Other,Ribas A et al (1),2015
NCT01704287,28961465,OS+PFS,Other,Hamid O et al,2017
NCT01704287,28961465,OS+PFS,Other,Hamid O et al (1),2017
NCT00636168,27717298,PFS,PFS,Eggermont AMM et al,2016
NCT00636168,27717298,PFS,PFS,Eggermont AMM et al,2015
NCT01721746,25795410,OS+ORR,Other,Weber JS et al,2015
NCT01721746,25795410,OS+ORR,Other,Larkin J et al,2018
NCT01721746,28671856,OS+ORR,Other,Weber JS et al,2015
NCT01721746,28671856,OS+ORR,Other,Larkin J et al,2018
NCT02130466,31171878,PFS,PFS,Ascierto PA et al,2019
NCT02130466,31171878,PFS,PFS,Ferrucci PF et al,2020
NCT01721772,25399552,OS,OS,Robert C et al,2015
NCT01721772,25399552,OS,OS,Ascierto PA et al,2019
NCT01721772,25399552,OS,OS,Robert C et al,2020
NCT01721772,30422243,OS,OS,Robert C et al,2015
NCT01721772,30422243,OS,OS,Ascierto PA et al,2019
NCT01721772,30422243,OS,OS,Robert C et al,2020
NCT01843374,28729154,OS,OS,Maio M et al,2017
NCT02576977,31327687,OS+PFS,Other,Mateos MV et al,2019
NCT02579863,31327689,PFS,PFS,Usmani SZ et al,2019
NCT00861614,24831977,OS,OS,Kwon ED et al,2014
NCT00861614,24831977,OS,OS,Fizazi K et al.,2020
NCT01057810,28034081,OS,OS,Beer TM et al,2017
NCT02267343,31863227,OS,OS,Kang YK et al,2017
NCT02267343,31863227,OS,OS,Chen LT et al,2019
NCT02702401,31790344,OS+PFS,Other,Finn RS et al,2019
NCT02569242,31582355,OS,OS,Kato K et al,2019
NCT01042379,32053137,Path CR,Other,Nanda R et al,2019
NCT03043872,31590988,OS,OS,Paz-Ares L et al,2019
NCT03043872,31590988,OS,OS,Paz-Ares L et al (1),2019
NCT03043872,31590988,OS,OS,Goldman JW et al,2020
NCT03043872,31590988,OS,OS,Goldman JW et al (1),2020
NCT03043872,31590988,OS,OS,Paz-Ares L et al,2019
NCT03043872,31590988,OS,OS,Paz-Ares L et al (1),2019
NCT03043872,31590988,OS,OS,Goldman JW et al,2020
NCT03043872,31590988,OS,OS,Goldman JW et al (1),2020
NCT02425891,31786121,OS+PFS,Other,Schmid P et al,2018
NCT02425891,31786121,OS+PFS,Other,Schmid P et al,2019
NCT02358031,31679945,OS+PFS,Other,Burtness B et al,2019
NCT02358031,31679945,OS+PFS,Other,Burtness B et al (1),2019
NCT02358031,31679945,OS+PFS,Other,Burtness B et al,2019
NCT02358031,31679945,OS+PFS,Other,Burtness B et al (1),2019
NCT02763579,31959349,OS+PFS,Other,Horn L et al,2018
NCT02763579,31959349,OS+PFS,Other,Mansfield AS et al,2020
NCT02362048,32114502,Safety,Other,Overman M et al,2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al,2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al (1),2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al (2),2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al,2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al (1),2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al (2),2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al,2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al (1),2020
NCT02352948,32201234,OS+PFS,Other,Planchard D et al (2),2020
NCT03036488,32101663,Path CR+EFS,Other,Schmid P et al,2020
NCT01274338,31880964,OS,OS,Tarhini AA et al,2020
NCT01274338,31880964,OS,OS,Tarhini AA et al (1),2020
NCT01274338,31880964,OS+RFS,OS,Tarhini AA et al,2020
NCT01274338,31880964,OS+RFS,OS,Tarhini AA et al (1),2020
NCT02523313,32416781,RFS,Other,Zimmer L et al,2020
NCT02523313,32416781,RFS,Other,Zimmer L et al (1),2020
NCT02523313,32416781,RFS,Other,Zimmer L et al,2020
NCT02523313,32416781,RFS,Other,Zimmer L et al (1),2020
NCT01896869,32591464,OS,OS,Wu AA et al,2020
NCT03066778,32468956,OS+PFS,Other,Rudin CM et al,2020
NCT02453282,32271377,OS+PFS,Other,Rizvi NA et al,2020
NCT02453282,32271377,OS+PFS,Other,Rizvi NA et al (1),2020
NCT02453282,32271377,OS+PFS,Other,Rizvi NA et al,2020
NCT02453282,32271377,OS+PFS,Other,Rizvi NA et al (1),2020
NCT02231749,32661118,OS+PFS+ORR,Other,Motzer RJ et al,2018
NCT02231749,32661118,OS+PFS+ORR,Other,Motzer RJ et al,2019
NCT02231749,32661118,OS+PFS+ORR,Other,Motzer RJ et al,2020
NCT02367794,32302702,OS+PFS,Other,Jotte R et al,2020
NCT02367794,32302702,OS+PFS,Other,Jotte R et al (1),2020
NCT02367794,32302702,OS+PFS,Other,Jotte R et al,2020
NCT02367794,32302702,OS+PFS,Other,Jotte R et al (1),2020
NCT02908672,32534646,PFS,PFS,Gutzmer R et al,2020
NCT02017717,32437507,OS,OS,Reardon DA et al,2020
NCT02500121,32271672,PFS,PFS,Galsky MD et al,2020
NCT02807636,32416780,OS+PFS,Other,Galsky MD et al,2020
NCT02807636,32416780,OS+PFS,Other,Galsky MD et al (1),2020
NCT02807636,32416780,OS+PFS,Other,Galsky MD et al,2020
NCT02807636,32416780,OS+PFS,Other,Galsky MD et al (1),2020
NCT03434379,32402160,OS+PFS,Other,Finn RS et al,2020
NCT02369874,32294530,OS,OS,Ferris RL et al,2020
NCT02369874,32294530,OS,OS,Ferris RL et al (1),2020
NCT02369874,32294530,OS,OS,Ferris RL et al,2020
NCT02369874,32294530,OS,OS,Ferris RL et al (1),2020
NCT02870920,32379280,OS,OS,Chen EX et al,2020
NCT02574598,32271354,ORR,ORR,Arrieta O et al,2020
NCT01668784,32673417,OS,OS,Motzer RJ et al,2015
NCT01668784,32673417,OS,OS,Motzer RJ et al,2020
NCT02684006,32339648,OS+PFS,Other,Motzer RJ et al,2019
NCT02684006,32339648,OS+PFS,Other,Choueiri TK et al,2020
NCT02142738,27718847,PFS,PFS,Reck M et al,2019
NCT02142738,27718847,PFS,PFS,Reck M et al,2016
NCT00094653,23942774,OS,OS,Hodi FS et al,2010
NCT00094653,23942774,OS,OS,Hodi FS et al (1),2010
NCT00094653,23942774,OS,OS,McDermott D et al,2013
NCT00094653,23942774,OS,OS,McDermott D et al (1),2013
NCT00094653,23942774,OS,OS,Hodi FS et al,2010
NCT00094653,23942774,OS,OS,Hodi FS et al (1),2010
NCT00094653,23942774,OS,OS,McDermott D et al,2013
NCT00094653,23942774,OS,OS,McDermott D et al (1),2013
NCT03051659,32880602,PFS,PFS,Tolaney SM et al,2020
NCT02494583,32880601,OS+PFS,Other,Shitara K et al,2020
NCT02494583,32880601,OS+PFS,Other,Shitara K et al (1),2020
NCT02494583,32880601,OS+PFS,Other,Shitara K et al,2020
NCT02494583,32880601,OS+PFS,Other,Shitara K et al (1),2020
NCT02819518,33278935,OS+PFS,Other,Cortes J et al,2020
NCT02516241,32971005,OS,OS,Powles T et al,2020
NCT02516241,32971005,OS,OS,Powles T et al (1),2020
NCT02516241,32971005,OS,OS,Powles T et al,2020
NCT02516241,32971005,OS,OS,Powles T et al (1),2020
NCT03197935,32966830,Path CR,Other,Mittendorf EA et al,2020
NCT02603432,32945632,OS,OS,Powles T et al,2020
NCT02625610,33197226,OS,OS,Moehler M et al,2020
NCT02899299,33485464,OS,OS,Baas P et al.,2021
NCT02409342,32997907,OS,OS,Herbst RS et al.,2020
NCT02924883,33002436,PFS,PFS,Emens LA et al,2020
NCT02853331,33284113,OS+PFS,Other,Rini BI et al,2019
NCT02853331,33284113,OS+PFS,Other,Powles T et al. ,2020
NCT02657434,33333328,PFS+OS,Other,Nishio M et al,2020
NCT02564263,33026938,OS,OS,Kojima T et al.,2020
NCT00861614,32811715,OS,OS,Kwon ED et al,2014
NCT00861614,32811715,OS,OS,Fizazi K et al.,2020
NCT01721772,32997575,OS,OS,Robert C et al,2015
NCT01721772,32997575,OS,OS,Ascierto PA et al,2019
NCT01721772,32997575,OS,OS,Robert C et al,2020
NCT02130466,33361337,PFS,PFS,Ascierto PA et al,2019
NCT02130466,33361337,PFS,PFS,Ferrucci PF et al,2020
NCT03043872,33285097,OS,OS,Paz-Ares L et al,2019
NCT03043872,33285097,OS,OS,Paz-Ares L et al (1),2019
NCT03043872,33285097,OS,OS,Goldman JW et al,2020
NCT03043872,33285097,OS,OS,Goldman JW et al (1),2020
NCT03043872,33285097,OS,OS,Paz-Ares L et al,2019
NCT03043872,33285097,OS,OS,Paz-Ares L et al (1),2019
NCT03043872,33285097,OS,OS,Goldman JW et al,2020
NCT03043872,33285097,OS,OS,Goldman JW et al (1),2020
NCT02991482,32976938,PFS,PFS,Popat S et al. ,2020
NCT02563002,33264544,PFS+OS,Other,Andre T et al.,2020
NCT02362594,32946353,RFS,Other,Eggermont AMM et al,2018
NCT02362594,32946353,RFS,Other,Eggermont AMM et al,2020
NCT00636168,25840693,PFS,PFS,Eggermont AMM et al,2016
NCT00636168,25840693,PFS,PFS,Eggermont AMM et al,2015
NCT01903993,33166718,OS,OS,Fehrenbacher L et al,2016
NCT01903993,33166718,OS,OS,Mazieres J et al,2020
NCT02008227,33166718,OS,OS,Rittmeyer A et al,2017
NCT02008227,33166718,OS,OS,Fehrenbacher L et al,2018
NCT02008227,33166718,OS,OS,Mazieres J et al,2020
NCT02811861,33616314,PFS,PFS,Motzer R et al,2021
NCT03215706,33476593,OS,OS,Paz-Ares L et al,2021
NCT02481830,33539946,OS,OS,Spigel DR et al,2021
NCT03141177,33657295,PFS,PFS,Choueiri TK et al,2021
NCT02538666,33683919,OS,OS,Owonikoko TK et al,2021
NCT02538666,33683919,OS,OS,Owonikoko TK et al,2021
NCT02538666,33683919,,Other,Owonikoko TK et al,2021
NCT02538666,33683919,,Other,Owonikoko TK et al,2021
NCT02299999,33462450,PFS,PFS,Bachelot T et al,2021
NCT02684292,33721562,PFS+OS,Other,Kuruvilla J et al,2021
NCT02450331,33721560,DFS,Other,Bellmunt J et al,2021
NCT02555657,33676601,OS,OS,Winer PE et al,2021
NCT03088540,33581821,OS+PFS,Other,Sezer A et al,2021
NCT02852083,33796020,PFS,PFS,Heudobler D et al,2021
NCT02952586,33794205,PFS,PFS,Lee NY et al,2021
NCT02743494,33789008,DFS,Other,Kelly RJ,2021
NCT02999087,33125944,PFS,PFS,Tao Y et al.,2021
