NCT,PMID,trial_phase_number,Authors,Year
NCT00527735,22858559,2,Lynch TJ et al (1),2012
NCT00527735,22858559,2,Reck M et al,2012
NCT00527735,22858559,2,Reck M et al (1),2012
NCT00527735,22858559,2,Lynch TJ et al,2012
NCT00527735,22858559,2,Lynch TJ et al (1),2012
NCT00527735,22858559,2,Reck M et al,2012
NCT00527735,22858559,2,Reck M et al (1),2012
NCT01673867,26412456,3,Borghaei  H et al,2015
NCT01642004,26028407,3,Brahmer J et al,2015
NCT01905657,26712084,2,Herbst RS et al,2016
NCT01905657,26712084,2,Herbst RS et al (1),2016
NCT01905657,26712084,2,Herbst RS et al,2016
NCT01905657,26712084,2,Herbst RS et al (1),2016
NCT01903993,26970723,2,Fehrenbacher L et al,2016
NCT01903993,26970723,2,Mazieres J et al,2020
NCT01450761,27458307,3,Reck M et al,2016
NCT02041533,28636851,3,Carbone DP et al,2017
NCT01285609,28854067,3,Govindan R et al,2017
NCT02125461,28885881,3,Antonia SJ et al,2017
NCT02125461,28885881,3,Antonia SJ et al,2018
NCT02125461,30280658,3,Antonia SJ et al,2017
NCT02125461,30280658,3,Antonia SJ et al,2018
NCT02395172,30262187,3,Barlesi F et al,2018
NCT02039674,27745820,2,Langer JC et al,2016
NCT02039674,27745820,2,Borghaei  H et al,2018
NCT02039674,30138764,2,Langer JC et al,2016
NCT02039674,30138764,2,Borghaei  H et al,2018
NCT02008227,27979383,3,Rittmeyer A et al,2017
NCT02008227,27979383,3,Fehrenbacher L et al,2018
NCT02008227,27979383,3,Mazieres J et al,2020
NCT02008227,29777823,3,Rittmeyer A et al,2017
NCT02008227,29777823,3,Fehrenbacher L et al,2018
NCT02008227,29777823,3,Mazieres J et al,2020
NCT02578680,29658856,3,Gandhi L et al,2018
NCT02763579,30280641,3,Horn L et al,2018
NCT02763579,30280641,3,Mansfield AS et al,2020
NCT02775435,30280635,3,Paz-Ares L et al,2018
NCT02366143,29863955,3,Socinski MA et al,2018
NCT02366143,29863955,3,Socinski MA et al (1),2018
NCT02366143,29863955,3,Socinski MA et al,2018
NCT02366143,29863955,3,Socinski MA et al (1),2018
NCT02477826,29658845,3,Hellmann MD et al,2018
NCT02477826,29658845,3,Hellmann MD et al (1),2018
NCT02477826,29658845,3,Hellmann MD et al,2019
NCT02477826,29658845,3,Hellmann MD et al (1),2019
NCT02477826,29658845,3,Hellmann MD et al (2),2019
NCT02477826,29658845,3,Hellmann MD et al,2018
NCT02477826,29658845,3,Hellmann MD et al (1),2018
NCT02477826,29658845,3,Hellmann MD et al,2019
NCT02477826,29658845,3,Hellmann MD et al (1),2019
NCT02477826,29658845,3,Hellmann MD et al (2),2019
NCT02477826,31562796,3,Hellmann MD et al,2018
NCT02477826,31562796,3,Hellmann MD et al (1),2018
NCT02477826,31562796,3,Hellmann MD et al,2019
NCT02477826,31562796,3,Hellmann MD et al (1),2019
NCT02477826,31562796,3,Hellmann MD et al (2),2019
NCT02477826,31562796,3,Hellmann MD et al,2018
NCT02477826,31562796,3,Hellmann MD et al (1),2018
NCT02477826,31562796,3,Hellmann MD et al,2019
NCT02477826,31562796,3,Hellmann MD et al (1),2019
NCT02477826,31562796,3,Hellmann MD et al (2),2019
NCT02477826,31562796,3,Hellmann MD et al,2018
NCT02477826,31562796,3,Hellmann MD et al (1),2018
NCT02477826,31562796,3,Hellmann MD et al,2019
NCT02477826,31562796,3,Hellmann MD et al (1),2019
NCT02477826,31562796,3,Hellmann MD et al (2),2019
NCT02220894,30955977,3,Mok TSK et al,2019
NCT03059667,30664989,2,Pujol JL et al,2019
NCT02142738,30620668,3,Reck M et al,2019
NCT02142738,30620668,3,Reck M et al,2016
NCT02367781,31122901,3,West H et al,2019
NCT02613507,30659987,3,Wu YL et al,2019
NCT02454933,30763730,3,Yang JCH et al,2019
NCT00324155,21639810,3,Robert C et al,2011
NCT00094653,20525992,3,Hodi FS et al,2010
NCT00094653,20525992,3,Hodi FS et al (1),2010
NCT00094653,20525992,3,McDermott D et al,2013
NCT00094653,20525992,3,McDermott D et al (1),2013
NCT00094653,20525992,3,Hodi FS et al,2010
NCT00094653,20525992,3,Hodi FS et al (1),2010
NCT00094653,20525992,3,McDermott D et al,2013
NCT00094653,20525992,3,McDermott D et al (1),2013
NCT00257205,23295794,3,Ribas A et al,2013
NCT02362594,29658430,3,Eggermont AMM et al,2018
NCT02362594,29658430,3,Eggermont AMM et al,2020
NCT01704287,26115796,2,Ribas A et al,2015
NCT01704287,26115796,2,Ribas A et al (1),2015
NCT01704287,26115796,2,Hamid O et al,2017
NCT01704287,26115796,2,Hamid O et al (1),2017
NCT01704287,26115796,2,Ribas A et al,2015
NCT01704287,26115796,2,Ribas A et al (1),2015
NCT01704287,26115796,2,Hamid O et al,2017
NCT01704287,26115796,2,Hamid O et al (1),2017
NCT01704287,28961465,2,Ribas A et al,2015
NCT01704287,28961465,2,Ribas A et al (1),2015
NCT01704287,28961465,2,Hamid O et al,2017
NCT01704287,28961465,2,Hamid O et al (1),2017
NCT01704287,28961465,2,Ribas A et al,2015
NCT01704287,28961465,2,Ribas A et al (1),2015
NCT01704287,28961465,2,Hamid O et al,2017
NCT01704287,28961465,2,Hamid O et al (1),2017
NCT00636168,27717298,3,Eggermont AMM et al,2016
NCT00636168,27717298,3,Eggermont AMM et al,2015
NCT01721746,25795410,3,Weber JS et al,2015
NCT01721746,25795410,3,Larkin J et al,2018
NCT01721746,28671856,3,Weber JS et al,2015
NCT01721746,28671856,3,Larkin J et al,2018
NCT02130466,31171878,2,Ascierto PA et al,2019
NCT02130466,31171878,2,Ferrucci PF et al,2020
NCT01721772,25399552,3,Robert C et al,2015
NCT01721772,25399552,3,Ascierto PA et al,2019
NCT01721772,25399552,3,Robert C et al,2020
NCT01721772,30422243,3,Robert C et al,2015
NCT01721772,30422243,3,Ascierto PA et al,2019
NCT01721772,30422243,3,Robert C et al,2020
NCT01843374,28729154,2,Maio M et al,2017
NCT02576977,31327687,3,Mateos MV et al,2019
NCT02579863,31327689,3,Usmani SZ et al,2019
NCT00861614,24831977,3,Kwon ED et al,2014
NCT00861614,24831977,3,Fizazi K et al.,2020
NCT01057810,28034081,3,Beer TM et al,2017
NCT02267343,31863227,3,Kang YK et al,2017
NCT02267343,31863227,3,Chen LT et al,2019
NCT02702401,31790344,3,Finn RS et al,2019
NCT02569242,31582355,3,Kato K et al,2019
NCT01042379,32053137,2,Nanda R et al,2019
NCT03043872,31590988,3,Paz-Ares L et al,2019
NCT03043872,31590988,3,Paz-Ares L et al (1),2019
NCT03043872,31590988,3,Goldman JW et al,2020
NCT03043872,31590988,3,Goldman JW et al (1),2020
NCT03043872,31590988,3,Paz-Ares L et al,2019
NCT03043872,31590988,3,Paz-Ares L et al (1),2019
NCT03043872,31590988,3,Goldman JW et al,2020
NCT03043872,31590988,3,Goldman JW et al (1),2020
NCT02425891,31786121,3,Schmid P et al,2018
NCT02425891,31786121,3,Schmid P et al,2019
NCT02358031,31679945,3,Burtness B et al,2019
NCT02358031,31679945,3,Burtness B et al (1),2019
NCT02358031,31679945,3,Burtness B et al,2019
NCT02358031,31679945,3,Burtness B et al (1),2019
NCT02763579,31959349,3,Horn L et al,2018
NCT02763579,31959349,3,Mansfield AS et al,2020
NCT02362048,32114502,2,Overman M et al,2020
NCT02352948,32201234,3,Planchard D et al,2020
NCT02352948,32201234,3,Planchard D et al (1),2020
NCT02352948,32201234,3,Planchard D et al (2),2020
NCT02352948,32201234,3,Planchard D et al,2020
NCT02352948,32201234,3,Planchard D et al (1),2020
NCT02352948,32201234,3,Planchard D et al (2),2020
NCT02352948,32201234,3,Planchard D et al,2020
NCT02352948,32201234,3,Planchard D et al (1),2020
NCT02352948,32201234,3,Planchard D et al (2),2020
NCT03036488,32101663,3,Schmid P et al,2020
NCT01274338,31880964,3,Tarhini AA et al,2020
NCT01274338,31880964,3,Tarhini AA et al (1),2020
NCT01274338,31880964,3,Tarhini AA et al,2020
NCT01274338,31880964,3,Tarhini AA et al (1),2020
NCT02523313,32416781,2,Zimmer L et al,2020
NCT02523313,32416781,2,Zimmer L et al (1),2020
NCT02523313,32416781,2,Zimmer L et al,2020
NCT02523313,32416781,2,Zimmer L et al (1),2020
NCT01896869,32591464,2,Wu AA et al,2020
NCT03066778,32468956,3,Rudin CM et al,2020
NCT02453282,32271377,3,Rizvi NA et al,2020
NCT02453282,32271377,3,Rizvi NA et al (1),2020
NCT02453282,32271377,3,Rizvi NA et al,2020
NCT02453282,32271377,3,Rizvi NA et al (1),2020
NCT02231749,32661118,3,Motzer RJ et al,2018
NCT02231749,32661118,3,Motzer RJ et al,2019
NCT02231749,32661118,3,Motzer RJ et al,2020
NCT02367794,32302702,3,Jotte R et al,2020
NCT02367794,32302702,3,Jotte R et al (1),2020
NCT02367794,32302702,3,Jotte R et al,2020
NCT02367794,32302702,3,Jotte R et al (1),2020
NCT02908672,32534646,3,Gutzmer R et al,2020
NCT02017717,32437507,3,Reardon DA et al,2020
NCT02500121,32271672,2,Galsky MD et al,2020
NCT02807636,32416780,3,Galsky MD et al,2020
NCT02807636,32416780,3,Galsky MD et al (1),2020
NCT02807636,32416780,3,Galsky MD et al,2020
NCT02807636,32416780,3,Galsky MD et al (1),2020
NCT03434379,32402160,3,Finn RS et al,2020
NCT02369874,32294530,3,Ferris RL et al,2020
NCT02369874,32294530,3,Ferris RL et al (1),2020
NCT02369874,32294530,3,Ferris RL et al,2020
NCT02369874,32294530,3,Ferris RL et al (1),2020
NCT02870920,32379280,2,Chen EX et al,2020
NCT02574598,32271354,2,Arrieta O et al,2020
NCT01668784,32673417,3,Motzer RJ et al,2015
NCT01668784,32673417,3,Motzer RJ et al,2020
NCT02684006,32339648,3,Motzer RJ et al,2019
NCT02684006,32339648,3,Choueiri TK et al,2020
NCT02142738,27718847,3,Reck M et al,2019
NCT02142738,27718847,3,Reck M et al,2016
NCT00094653,23942774,3,Hodi FS et al,2010
NCT00094653,23942774,3,Hodi FS et al (1),2010
NCT00094653,23942774,3,McDermott D et al,2013
NCT00094653,23942774,3,McDermott D et al (1),2013
NCT00094653,23942774,3,Hodi FS et al,2010
NCT00094653,23942774,3,Hodi FS et al (1),2010
NCT00094653,23942774,3,McDermott D et al,2013
NCT00094653,23942774,3,McDermott D et al (1),2013
NCT03051659,32880602,2,Tolaney SM et al,2020
NCT02494583,32880601,3,Shitara K et al,2020
NCT02494583,32880601,3,Shitara K et al (1),2020
NCT02494583,32880601,3,Shitara K et al,2020
NCT02494583,32880601,3,Shitara K et al (1),2020
NCT02819518,33278935,3,Cortes J et al,2020
NCT02516241,32971005,3,Powles T et al,2020
NCT02516241,32971005,3,Powles T et al (1),2020
NCT02516241,32971005,3,Powles T et al,2020
NCT02516241,32971005,3,Powles T et al (1),2020
NCT03197935,32966830,3,Mittendorf EA et al,2020
NCT02603432,32945632,3,Powles T et al,2020
NCT02625610,33197226,3,Moehler M et al,2020
NCT02899299,33485464,3,Baas P et al.,2021
NCT02409342,32997907,3,Herbst RS et al.,2020
NCT02924883,33002436,2,Emens LA et al,2020
NCT02853331,33284113,3,Rini BI et al,2019
NCT02853331,33284113,3,Powles T et al. ,2020
NCT02657434,33333328,3,Nishio M et al,2020
NCT02564263,33026938,3,Kojima T et al.,2020
NCT00861614,32811715,3,Kwon ED et al,2014
NCT00861614,32811715,3,Fizazi K et al.,2020
NCT01721772,32997575,3,Robert C et al,2015
NCT01721772,32997575,3,Ascierto PA et al,2019
NCT01721772,32997575,3,Robert C et al,2020
NCT02130466,33361337,2,Ascierto PA et al,2019
NCT02130466,33361337,2,Ferrucci PF et al,2020
NCT03043872,33285097,3,Paz-Ares L et al,2019
NCT03043872,33285097,3,Paz-Ares L et al (1),2019
NCT03043872,33285097,3,Goldman JW et al,2020
NCT03043872,33285097,3,Goldman JW et al (1),2020
NCT03043872,33285097,3,Paz-Ares L et al,2019
NCT03043872,33285097,3,Paz-Ares L et al (1),2019
NCT03043872,33285097,3,Goldman JW et al,2020
NCT03043872,33285097,3,Goldman JW et al (1),2020
NCT02991482,32976938,3,Popat S et al. ,2020
NCT02563002,33264544,3,Andre T et al.,2020
NCT02362594,32946353,3,Eggermont AMM et al,2018
NCT02362594,32946353,3,Eggermont AMM et al,2020
NCT00636168,25840693,3,Eggermont AMM et al,2016
NCT00636168,25840693,3,Eggermont AMM et al,2015
NCT01903993,33166718,2,Fehrenbacher L et al,2016
NCT01903993,33166718,2,Mazieres J et al,2020
NCT02008227,33166718,3,Rittmeyer A et al,2017
NCT02008227,33166718,3,Fehrenbacher L et al,2018
NCT02008227,33166718,3,Mazieres J et al,2020
NCT02811861,33616314,3,Motzer R et al,2021
NCT03215706,33476593,3,Paz-Ares L et al,2021
NCT02481830,33539946,3,Spigel DR et al,2021
NCT03141177,33657295,3,Choueiri TK et al,2021
NCT02538666,33683919,3,Owonikoko TK et al,2021
NCT02538666,33683919,3,Owonikoko TK et al,2021
NCT02538666,33683919,3,Owonikoko TK et al,2021
NCT02538666,33683919,3,Owonikoko TK et al,2021
NCT02299999,33462450,2,Bachelot T et al,2021
NCT02684292,33721562,3,Kuruvilla J et al,2021
NCT02450331,33721560,3,Bellmunt J et al,2021
NCT02555657,33676601,3,Winer PE et al,2021
NCT03088540,33581821,3,Sezer A et al,2021
NCT02852083,33796020,2,Heudobler D et al,2021
NCT02952586,33794205,3,Lee NY et al,2021
NCT02743494,33789008,3,Kelly RJ,2021
NCT02999087,33125944,3,Tao Y et al.,2021
