NCT,PMID,clinical_setting,Authors,Year
NCT03043872,33285097,metastatic,Goldman JW et al (1),2020
NCT03043872,33285097,metastatic,Paz-Ares L et al,2019
NCT03043872,33285097,metastatic,Paz-Ares L et al (1),2019
NCT03043872,33285097,metastatic,Goldman JW et al,2020
NCT03043872,33285097,metastatic,Goldman JW et al (1),2020
NCT01903993,33166718,metastatic,Fehrenbacher L et al,2016
NCT01903993,33166718,metastatic,Mazieres J et al,2020
NCT02008227,33166718,metastatic,Rittmeyer A et al,2017
NCT02008227,33166718,metastatic,Fehrenbacher L et al,2018
NCT02008227,33166718,metastatic,Mazieres J et al,2020
NCT03215706,33476593,metastatic,Paz-Ares L et al,2021
NCT02481830,33539946,metastatic,Spigel DR et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT03088540,33581821,metastatic,Sezer A et al,2021
NCT02852083,33796020,metastatic,Heudobler D et al,2021
