NCT,Authors,Year,PMID,Trial name,Cancer type,Treatment regimen,treatment_summary
NCT02477826,Hellmann MD et al,2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Nivolumab plus Chemotherapy for Non-Small Cell Lung Cancer
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab,Nivolumab plus Ipilimumab combination immunotherapy for Non-Small Cell Lung Cancer.
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab,Nivolumab monotherapy for Non-Small Cell Lung Cancer (NSCLC).
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab,Nivolumab plus Chemotherapy for Non-Small Cell Lung Cancer
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,Nivolumab plus Ipilimumab combination immunotherapy for Non-Small Cell Lung Cancer.
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,Nivolumab monotherapy for Non-Small Cell Lung Cancer (NSCLC).
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,Nivolumab plus Chemotherapy for Non-Small Cell Lung Cancer
NCT02220894,Mok TSK et al,2019,30955977,Keynote-042,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab monotherapy for non-small cell lung cancer (NSCLC).
NCT03059667,Pujol JL et al,2019,30664989,IFCT-1603,Small Cell Lung,Atezolizumab,Atezolizumab monotherapy for small cell lung cancer (SCLC)
NCT02142738,Reck M et al,2019,30620668,Keynote-024,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab monotherapy for untreated metastatic non-small cell lung cancer.
NCT02367781,West H et al,2019,31122901,IMpower130,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,"Atezolizumab, Carboplatin, and Nab-paclitaxel combination therapy for Non-Small Cell Lung Cancer"
NCT02613507,Wu YL et al,2019,30659987,Checkmate 078,Non-Small Cell Lung,Nivolumab,Nivolumab monotherapy for non-small cell lung cancer.
NCT02454933,Yang JCH et al,2019,30763730,CAURAL,Non-Small Cell Lung,Durvalumab+Osimertinib,Durvalumab plus Osimertinib combination therapy for Non-Small Cell Lung Cancer
NCT00324155,Robert C et al,2011,21639810,,Melanoma,Ipilimumab+Dacarbazine,Ipilimumab plus Dacarbazine for melanoma treatment.
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,Melanoma,Ipilimumab,Ipilimumab monotherapy for melanoma treatment in the MDX010-20 trial.
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,Melanoma,Ipilimumab,Ipilimumab combined with Gp100 vaccine for melanoma treatment.
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,Ipilimumab monotherapy for melanoma treatment in the MDX010-20 trial.
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,Ipilimumab combined with Gp100 vaccine for melanoma treatment.
NCT00257205,Ribas A et al,2013,23295794,,Melanoma,Tremelimumab,Tremelimumab monotherapy for melanoma
NCT02362594,Eggermont AMM et al,2018,29658430,EORTC 1325-MG/KEYNOTE-054,Melanoma,Pembrolizumab,Pembrolizumab for melanoma adjuvant therapy following complete resection of disease.
NCT01704287,Ribas A et al,2015,26115796,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,Pembrolizumab 2 mg/kg for melanoma; KEYNOTE-002 trial.
NCT01704287,Ribas A et al,2015,26115796,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,Pembrolizumab at 10 mg/kg for melanoma treatment.
NCT01704287,Ribas A et al (1),2015,26115796,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,Pembrolizumab 2 mg/kg for melanoma; KEYNOTE-002 trial.
NCT01704287,Ribas A et al (1),2015,26115796,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,Pembrolizumab at 10 mg/kg for melanoma treatment.
NCT01704287,Hamid O et al,2017,28961465,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,"Pembrolizumab 2 mg/kg for melanoma, a checkpoint inhibitor immunotherapy."
NCT01704287,Hamid O et al,2017,28961465,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,Pembrolizumab 10 mg/kg for melanoma treatment in KEYNOTE-002 trial.
NCT01704287,Hamid O et al (1),2017,28961465,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,"Pembrolizumab 2 mg/kg for melanoma, a checkpoint inhibitor immunotherapy."
NCT01704287,Hamid O et al (1),2017,28961465,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,Pembrolizumab 10 mg/kg for melanoma treatment in KEYNOTE-002 trial.
NCT00636168,Eggermont AMM et al,2016,27717298,,Melanoma,Ipilimumab,Ipilimumab monotherapy for melanoma.
NCT01721746,Weber JS et al,2015,25795410,CheckMate 037,Melanoma,Nivolumab,Nivolumab monotherapy for melanoma in the CheckMate 037 trial.
NCT01721746,Larkin J et al,2018,28671856,CheckMate 037,Melanoma,Nivolumab,Nivolumab monotherapy for melanoma; CheckMate 037 trial.
NCT02130466,Ascierto PA et al,2019,31171878,KEYNOTE-022,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Pembrolizumab with dabrafenib and trametinib combination therapy for melanoma.
NCT01721772,Robert C et al,2015,25399552,CheckMate 066,Melanoma,Nivolumab,Nivolumab monotherapy for melanoma. 
NCT01721772,Ascierto PA et al,2019,30422243,CheckMate 066,Melanoma,Nivolumab,Nivolumab monotherapy for melanoma
NCT01843374,Maio M et al,2017,28729154,DETERMINE,Mesothelioma,Tremelimumab,Tremelimumab monotherapy for mesothelioma.
NCT02576977,Mateos MV et al,2019,31327687,KEYNOTE-183,Multiple Myeloma,Pembrolizumab+Pomalidomide+Dexamethasone,"Pembrolizumab, Pomalidomide, and Dexamethasone combination therapy for Multiple Myeloma."
NCT02579863,Usmani SZ et al,2019,31327689,KEYNOTE-185,Multiple Myeloma,Pembrolizumab+Lenalidomide+Dexamethasone,"Pembrolizumab, lenalidomide, and dexamethasone combination for multiple myeloma."
NCT00861614,Kwon ED et al,2014,24831977,CA184-043,Prostate,Ipilimumab,Ipilimumab monotherapy for prostate cancer
NCT01057810,Beer TM et al,2017,28034081,CA184-095,Prostate,Ipilimumab,"Ipilimumab monotherapy for prostate cancer, CA184-095 trial, Beer TM et al."
NCT02267343,Chen LT et al,2019,31863227,ATTRACTION-2,Gastric/GEJ,Nivolumab,Nivolumab monotherapy for gastric/GEJ cancer after chemotherapy failure.
NCT02702401,Finn RS et al,2019,31790344,KEYNOTE-240,Hepatocellular,Pembrolizumab,Pembrolizumab monotherapy for Hepatocellular carcinoma (HCC)
NCT02569242,Kato K et al,2019,31582355,ATTRACTION-3,Esophageal/GEJ,Nivolumab,Nivolumab monotherapy for esophageal/GEJ cancer.
NCT01042379,Nanda R et al,2019,32053137,I-SPY2,Breast,Pembrolizumab+Paclitaxel,Pembrolizumab plus paclitaxel combination therapy for breast cancer.
NCT03043872,Paz-Ares L et al,2019,31590988,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Durvalumab plus Etoposide and Platinum chemotherapy for Small Cell Lung
NCT03043872,Paz-Ares L et al,2019,31590988,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,"Durvalumab, Tremelimumab, Etoposide, and Platinum for Small Cell Lung"
NCT03043872,Paz-Ares L et al (1),2019,31590988,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Durvalumab plus Etoposide and Platinum chemotherapy for Small Cell Lung
NCT03043872,Paz-Ares L et al (1),2019,31590988,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,"Durvalumab, Tremelimumab, Etoposide, and Platinum for Small Cell Lung"
NCT02425891,Schmid P et al,2019,31786121,IMpassion130,Breast,Atezolizumab+Nab-paclitaxel,Atezolizumab plus Nab-paclitaxel combination therapy for Breast cancer.
NCT02358031,Burtness B et al,2019,31679945,KEYNOTE-048,Head and Neck,Pembrolizumab,Pembrolizumab monotherapy for Head and Neck cancer
NCT02358031,Burtness B et al,2019,31679945,KEYNOTE-048,Head and Neck,Pembrolizumab,Pembrolizumab plus platinum and 5-Fluorouracil for head and neck cancer.
NCT02358031,Burtness B et al (1),2019,31679945,KEYNOTE-048,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,Pembrolizumab monotherapy for Head and Neck cancer
NCT02358031,Burtness B et al (1),2019,31679945,KEYNOTE-048,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,Pembrolizumab plus platinum and 5-Fluorouracil for head and neck cancer.
NCT02763579,Mansfield AS et al,2020,31959349,IMpower133,Small Cell Lung,Atezolizumab+Carboplatin+Etoposide,"Atezolizumab, Carboplatin, and Etoposide combination therapy for Small Cell Lung Cancer."
NCT02362048,Overman M et al,2020,32114502,KEYNOTE144,Pancreatic,Pembrolizumab+Acalabrutinib,Pembrolizumab plus Acalabrutinib combination therapy for Pancreatic cancer.
NCT02352948,Planchard D et al,2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab,Durvalumab monotherapy in Non-Small Cell Lung Cancer (NSCLC).
NCT02352948,Planchard D et al,2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab,Tremelimumab monotherapy for Non-Small Cell Lung Cancer.
NCT02352948,Planchard D et al,2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab,Durvalumab plus Tremelimumab combination immunotherapy for Non-Small Cell Lung Cancer.
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,Durvalumab monotherapy in Non-Small Cell Lung Cancer (NSCLC).
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,Tremelimumab monotherapy for Non-Small Cell Lung Cancer.
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,Durvalumab plus Tremelimumab combination immunotherapy for Non-Small Cell Lung Cancer.
NCT02352948,Planchard D et al (2),2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Durvalumab monotherapy in Non-Small Cell Lung Cancer (NSCLC).
NCT02352948,Planchard D et al (2),2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Tremelimumab monotherapy for Non-Small Cell Lung Cancer.
NCT02352948,Planchard D et al (2),2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Durvalumab plus Tremelimumab combination immunotherapy for Non-Small Cell Lung Cancer.
NCT03036488,Schmid P et al,2020,32101663,KEYNOTE-522,Breast,Pembrolizumab+Paclitaxel+Carboplatin,Pembrolizumab with Paclitaxel and Carboplatin combination therapy for breast cancer
NCT01274338,Tarhini AA et al,2020,31880964,E1609,Melanoma,Ipilimumab,Ipilimumab monotherapy for melanoma. 
NCT01274338,Tarhini AA et al,2020,31880964,E1609,Melanoma,Ipilimumab,Ipilimumab monotherapy for melanoma treatment.
NCT01274338,Tarhini AA et al (1),2020,31880964,E1609,Melanoma,Ipilimumab,Ipilimumab monotherapy for melanoma. 
NCT01274338,Tarhini AA et al (1),2020,31880964,E1609,Melanoma,Ipilimumab,Ipilimumab monotherapy for melanoma treatment.
NCT02523313,Zimmer L et al,2020,32416781,IMMUNED,Melanoma,Nivolumab,Nivolumab monotherapy for melanoma. 
NCT02523313,Zimmer L et al,2020,32416781,IMMUNED,Melanoma,Nivolumab,Nivolumab plus Ipilimumab combination immunotherapy for melanoma treatment.
NCT02523313,Zimmer L et al (1),2020,32416781,IMMUNED,Melanoma,Nivolumab+Ipilimumab,Nivolumab monotherapy for melanoma. 
NCT02523313,Zimmer L et al (1),2020,32416781,IMMUNED,Melanoma,Nivolumab+Ipilimumab,Nivolumab plus Ipilimumab combination immunotherapy for melanoma treatment.
NCT01896869,Wu AA et al,2020,32591464,,Pancreatic,Ipilimumab+GVAX,Ipilimumab plus GVAX immunotherapy for pancreatic cancer treatment.
NCT03066778,Rudin CM et al,2020,32468956,KEYNOTE-604,Small Cell Lung,Pembrolizumab+Etoposide+Platinum agent,"Pembrolizumab, Etoposide, and Platinum agent combination for Small Cell Lung Cancer"
NCT02453282,Rizvi NA et al,2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab,Durvalumab monotherapy for non-small cell lung cancer (NSCLC)
NCT02453282,Rizvi NA et al,2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab,Durvalumab plus Tremelimumab combination therapy for Non-Small Cell Lung Cancer
NCT02453282,Rizvi NA et al (1),2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Durvalumab monotherapy for non-small cell lung cancer (NSCLC)
NCT02453282,Rizvi NA et al (1),2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Durvalumab plus Tremelimumab combination therapy for Non-Small Cell Lung Cancer
NCT02231749,Motzer RJ et al,2020,32661118,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,Nivolumab plus Ipilimumab combination therapy for renal cell carcinoma.
NCT02367794,Jotte R et al,2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,"Atezolizumab, Carboplatin, and Paclitaxel combination therapy for Non-Small Cell Lung Cancer."
NCT02367794,Jotte R et al,2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,"Atezolizumab, Carboplatin, and Nab-paclitaxel combination therapy for Non-Small Cell Lung Cancer."
NCT02367794,Jotte R et al (1),2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,"Atezolizumab, Carboplatin, and Paclitaxel combination therapy for Non-Small Cell Lung Cancer."
NCT02367794,Jotte R et al (1),2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,"Atezolizumab, Carboplatin, and Nab-paclitaxel combination therapy for Non-Small Cell Lung Cancer."
NCT02908672,Gutzmer R et al,2020,32534646,IMspire150,Melanoma,Atezolizumab+Vemurafenib+Cobimetinib,Atezolizumab with vemurafenib and cobimetinib combination therapy for melanoma
NCT02017717,Reardon DA et al,2020,32437507,CheckMate 143,Head and Neck,Nivolumab,Nivolumab monotherapy for recurrent or metastatic Head and Neck cancer
NCT02500121,Galsky MD et al,2020,32271672,,Urothelial,Pembrolizumab,Urothelial cancer treatment with Pembrolizumab.
NCT02807636,Galsky MD et al,2020,32416780,IMvigor130,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Atezolizumab plus Gemcitabine and Carboplatin/Cisplatin for Urothelial cancer
NCT02807636,Galsky MD et al,2020,32416780,IMvigor130,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Atezolizumab monotherapy for urothelial cancer
NCT02807636,Galsky MD et al (1),2020,32416780,IMvigor130,Urothelial,Atezolizumab,Atezolizumab plus Gemcitabine and Carboplatin/Cisplatin for Urothelial cancer
NCT02807636,Galsky MD et al (1),2020,32416780,IMvigor130,Urothelial,Atezolizumab,Atezolizumab monotherapy for urothelial cancer
NCT03434379,Finn RS et al,2020,32402160,IMbrave150,Hepatocellular,Atezolizumab+Bevacizumab,Atezolizumab and Bevacizumab combination therapy for Hepatocellular carcinoma
NCT02369874,Ferris RL et al,2020,32294530,EAGLE,Head and Neck,Durvalumab,Durvalumab monotherapy for head and neck cancer
NCT02369874,Ferris RL et al,2020,32294530,EAGLE,Head and Neck,Durvalumab,Durvalumab plus Tremelimumab combination immunotherapy for head and neck cancer.
NCT02369874,Ferris RL et al (1),2020,32294530,EAGLE,Head and Neck,Durvalumab+Tremelimumab,Durvalumab monotherapy for head and neck cancer
NCT02369874,Ferris RL et al (1),2020,32294530,EAGLE,Head and Neck,Durvalumab+Tremelimumab,Durvalumab plus Tremelimumab combination immunotherapy for head and neck cancer.
NCT02870920,Chen EX et al,2020,32379280,,Colorectal,Durvalumab+Tremelimumab+Best supportive care,Durvalumab and Tremelimumab with best supportive care for Colorectal cancer
NCT02574598,Arrieta O et al,2020,32271354,PROLUNG,Non-Small Cell Lung,Pembrolizumab+ Docetaxel,Pembrolizumab plus Docetaxel for Non-Small Cell Lung Cancer (NSCLC)
