NCT,PMID,follow_up_months,Authors,Year
NCT03043872,31590988,-1,Goldman JW et al,2020
NCT03043872,31590988,-1,Goldman JW et al (1),2020
NCT02763579,31959349,-1,Horn L et al,2018
NCT02763579,31959349,-1,Mansfield AS et al,2020
NCT02352948,32201234,-1,Planchard D et al,2020
NCT02352948,32201234,-1,Planchard D et al (1),2020
NCT02352948,32201234,-1,Planchard D et al (2),2020
NCT02352948,32201234,-1,Planchard D et al,2020
NCT02352948,32201234,-1,Planchard D et al (1),2020
NCT02352948,32201234,-1,Planchard D et al (2),2020
NCT02352948,32201234,-1,Planchard D et al,2020
NCT02352948,32201234,-1,Planchard D et al (1),2020
NCT02352948,32201234,-1,Planchard D et al (2),2020
NCT03066778,32468956,-1,Rudin CM et al,2020
NCT02453282,32271377,-1,Rizvi NA et al,2020
NCT02453282,32271377,-1,Rizvi NA et al (1),2020
NCT02453282,32271377,-1,Rizvi NA et al,2020
NCT02453282,32271377,-1,Rizvi NA et al (1),2020
NCT02367794,32302702,-1,Jotte R et al,2020
NCT02367794,32302702,-1,Jotte R et al (1),2020
NCT02367794,32302702,-1,Jotte R et al,2020
NCT02367794,32302702,-1,Jotte R et al (1),2020
NCT02574598,32271354,-1,Arrieta O et al,2020
NCT02142738,27718847,6.0,Reck M et al,2019
NCT02142738,27718847,6.0,Reck M et al,2016
NCT02409342,32997907,-1,Herbst RS et al.,2020
NCT03043872,33285097,-1,Paz-Ares L et al,2019
NCT03043872,33285097,-1,Paz-Ares L et al (1),2019
NCT03043872,33285097,-1,Goldman JW et al,2020
NCT03043872,33285097,-1,Goldman JW et al (1),2020
NCT03043872,33285097,-1,Paz-Ares L et al,2019
NCT03043872,33285097,-1,Paz-Ares L et al (1),2019
NCT03043872,33285097,-1,Goldman JW et al,2020
NCT03043872,33285097,-1,Goldman JW et al (1),2020
NCT01903993,33166718,-1,Fehrenbacher L et al,2016
NCT01903993,33166718,-1,Mazieres J et al,2020
NCT02008227,33166718,-1,Rittmeyer A et al,2017
NCT02008227,33166718,-1,Fehrenbacher L et al,2018
NCT02008227,33166718,-1,Mazieres J et al,2020
NCT03215706,33476593,-1,Paz-Ares L et al,2021
NCT02481830,33539946,-1,Spigel DR et al,2021
NCT02538666,33683919,9.1,Owonikoko TK et al,2021
NCT02538666,33683919,9.1,Owonikoko TK et al,2021
NCT02538666,33683919,9.1,Owonikoko TK et al,2021
NCT02538666,33683919,9.1,Owonikoko TK et al,2021
NCT03088540,33581821,10.9,Sezer A et al,2021
NCT02852083,33796020,-1,Heudobler D et al,2021
