NCT,PMID,therapy_list,Authors,Year
NCT02454933,30763730,"['Durvalumab', 'Osimertinib']",Yang JCH et al,2019
NCT00324155,21639810,"['Ipilimumab', 'Dacarbazine']",Robert C et al,2011
NCT00094653,20525992,['Ipilimumab'],Hodi FS et al,2010
NCT00094653,20525992,['Ipilimumab'],Hodi FS et al (1),2010
NCT00094653,20525992,['Ipilimumab'],McDermott D et al,2013
NCT00094653,20525992,['Ipilimumab'],McDermott D et al (1),2013
NCT00094653,20525992,"['Ipilimumab', 'Gp100 Vaccine']",Hodi FS et al,2010
NCT00094653,20525992,"['Ipilimumab', 'Gp100 Vaccine']",Hodi FS et al (1),2010
NCT00094653,20525992,"['Ipilimumab', 'Gp100 Vaccine']",McDermott D et al,2013
NCT00094653,20525992,"['Ipilimumab', 'Gp100 Vaccine']",McDermott D et al (1),2013
NCT00257205,23295794,['Tremelimumab'],Ribas A et al,2013
NCT02362594,29658430,['Pembrolizumab'],Eggermont AMM et al,2018
NCT02362594,29658430,['Pembrolizumab'],Eggermont AMM et al,2020
NCT01704287,26115796,['Pembrolizumab'],Ribas A et al,2015
NCT01704287,26115796,['Pembrolizumab'],Ribas A et al (1),2015
NCT01704287,26115796,['Pembrolizumab'],Hamid O et al,2017
NCT01704287,26115796,['Pembrolizumab'],Hamid O et al (1),2017
NCT01704287,26115796,['Pembrolizumab'],Ribas A et al,2015
NCT01704287,26115796,['Pembrolizumab'],Ribas A et al (1),2015
NCT01704287,26115796,['Pembrolizumab'],Hamid O et al,2017
NCT01704287,26115796,['Pembrolizumab'],Hamid O et al (1),2017
NCT01704287,28961465,['Pembrolizumab'],Ribas A et al,2015
NCT01704287,28961465,['Pembrolizumab'],Ribas A et al (1),2015
NCT01704287,28961465,['Pembrolizumab'],Hamid O et al,2017
NCT01704287,28961465,['Pembrolizumab'],Hamid O et al (1),2017
NCT01704287,28961465,['Pembrolizumab'],Ribas A et al,2015
NCT01704287,28961465,['Pembrolizumab'],Ribas A et al (1),2015
NCT01704287,28961465,['Pembrolizumab'],Hamid O et al,2017
NCT01704287,28961465,['Pembrolizumab'],Hamid O et al (1),2017
NCT00636168,27717298,['Ipilimumab'],Eggermont AMM et al,2016
NCT00636168,27717298,['Ipilimumab'],Eggermont AMM et al,2015
NCT01721746,25795410,['Nivolumab'],Weber JS et al,2015
NCT01721746,25795410,['Nivolumab'],Larkin J et al,2018
NCT01721746,28671856,['Nivolumab'],Weber JS et al,2015
NCT01721746,28671856,['Nivolumab'],Larkin J et al,2018
NCT02130466,31171878,"['Pembrolizumab', 'Dabrafenib', 'Trametinib']",Ascierto PA et al,2019
NCT02130466,31171878,"['Pembrolizumab', 'Dabrafenib', 'Trametinib']",Ferrucci PF et al,2020
NCT01721772,25399552,['Nivolumab'],Robert C et al,2015
NCT01721772,25399552,['Nivolumab'],Ascierto PA et al,2019
NCT01721772,25399552,['Nivolumab'],Robert C et al,2020
NCT01721772,30422243,['Nivolumab'],Robert C et al,2015
NCT01721772,30422243,['Nivolumab'],Ascierto PA et al,2019
NCT01721772,30422243,['Nivolumab'],Robert C et al,2020
NCT01843374,28729154,['Tremelimumab'],Maio M et al,2017
NCT02576977,31327687,"['Pembrolizumab', 'Pomalidomide', 'Dexamethasone']",Mateos MV et al,2019
NCT02579863,31327689,"['Pembrolizumab', 'Lenalidomide', 'Dexamethasone']",Usmani SZ et al,2019
NCT00861614,24831977,['Ipilimumab'],Kwon ED et al,2014
NCT00861614,24831977,['Ipilimumab'],Fizazi K et al.,2020
NCT01057810,28034081,['Ipilimumab'],Beer TM et al,2017
NCT02267343,31863227,['Nivolumab'],Kang YK et al,2017
NCT02267343,31863227,['Nivolumab'],Chen LT et al,2019
NCT02702401,31790344,['Pembrolizumab'],Finn RS et al,2019
NCT02569242,31582355,['Nivolumab'],Kato K et al,2019
NCT01042379,32053137,"['Pembrolizumab', 'Paclitaxel']",Nanda R et al,2019
NCT03043872,31590988,"['Durvalumab', 'Etoposide', 'Platinum agent']",Paz-Ares L et al,2019
NCT03043872,31590988,"['Durvalumab', 'Etoposide', 'Platinum agent']",Paz-Ares L et al (1),2019
NCT03043872,31590988,"['Durvalumab', 'Etoposide', 'Platinum agent']",Goldman JW et al,2020
NCT03043872,31590988,"['Durvalumab', 'Etoposide', 'Platinum agent']",Goldman JW et al (1),2020
NCT03043872,31590988,"['Durvalumab', 'Tremelimumab', 'Etoposide', 'Platinum agent']",Paz-Ares L et al,2019
NCT03043872,31590988,"['Durvalumab', 'Tremelimumab', 'Etoposide', 'Platinum agent']",Paz-Ares L et al (1),2019
NCT03043872,31590988,"['Durvalumab', 'Tremelimumab', 'Etoposide', 'Platinum agent']",Goldman JW et al,2020
NCT03043872,31590988,"['Durvalumab', 'Tremelimumab', 'Etoposide', 'Platinum agent']",Goldman JW et al (1),2020
NCT02425891,31786121,"['Atezolizumab', 'Nab-paclitaxel']",Schmid P et al,2018
NCT02425891,31786121,"['Atezolizumab', 'Nab-paclitaxel']",Schmid P et al,2019
NCT02358031,31679945,['Pembrolizumab'],Burtness B et al,2019
NCT02358031,31679945,['Pembrolizumab'],Burtness B et al (1),2019
NCT02358031,31679945,"['Pembrolizumab', 'Platinum agent', '5-Fluorouracil']",Burtness B et al,2019
NCT02358031,31679945,"['Pembrolizumab', 'Platinum agent', '5-Fluorouracil']",Burtness B et al (1),2019
NCT02763579,31959349,"['Atezolizumab', 'Carboplatin', 'Etoposide']",Horn L et al,2018
NCT02763579,31959349,"['Atezolizumab', 'Carboplatin', 'Etoposide']",Mansfield AS et al,2020
NCT02362048,32114502,"['Pembrolizumab', 'Acalabrutinib']",Overman M et al,2020
NCT02352948,32201234,['Durvalumab'],Planchard D et al,2020
NCT02352948,32201234,['Durvalumab'],Planchard D et al (1),2020
NCT02352948,32201234,['Durvalumab'],Planchard D et al (2),2020
NCT02352948,32201234,['Tremelimumab'],Planchard D et al,2020
NCT02352948,32201234,['Tremelimumab'],Planchard D et al (1),2020
NCT02352948,32201234,['Tremelimumab'],Planchard D et al (2),2020
NCT02352948,32201234,"['Durvalumab', 'Tremelimumab']",Planchard D et al,2020
NCT02352948,32201234,"['Durvalumab', 'Tremelimumab']",Planchard D et al (1),2020
NCT02352948,32201234,"['Durvalumab', 'Tremelimumab']",Planchard D et al (2),2020
NCT03036488,32101663,"['Pembrolizumab', 'Paclitaxel', 'Carboplatin']",Schmid P et al,2020
NCT01274338,31880964,['Ipilimumab'],Tarhini AA et al,2020
NCT01274338,31880964,['Ipilimumab'],Tarhini AA et al (1),2020
NCT01274338,31880964,['Ipilimumab'],Tarhini AA et al,2020
NCT01274338,31880964,['Ipilimumab'],Tarhini AA et al (1),2020
NCT02523313,32416781,['Nivolumab'],Zimmer L et al,2020
NCT02523313,32416781,['Nivolumab'],Zimmer L et al (1),2020
NCT02523313,32416781,"['Nivolumab', 'Ipilimumab']",Zimmer L et al,2020
NCT02523313,32416781,"['Nivolumab', 'Ipilimumab']",Zimmer L et al (1),2020
NCT01896869,32591464,"['Ipilimumab', 'GVAX']",Wu AA et al,2020
NCT03066778,32468956,"['Pembrolizumab', 'Etoposide', 'Platinum agent']",Rudin CM et al,2020
NCT02453282,32271377,['Durvalumab'],Rizvi NA et al,2020
NCT02453282,32271377,['Durvalumab'],Rizvi NA et al (1),2020
NCT02453282,32271377,"['Durvalumab', 'Tremelimumab']",Rizvi NA et al,2020
NCT02453282,32271377,"['Durvalumab', 'Tremelimumab']",Rizvi NA et al (1),2020
NCT02231749,32661118,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2018
NCT02231749,32661118,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2019
NCT02231749,32661118,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2020
NCT02367794,32302702,"['Atezolizumab', 'Carboplatin', 'Paclitaxel']",Jotte R et al,2020
NCT02367794,32302702,"['Atezolizumab', 'Carboplatin', 'Paclitaxel']",Jotte R et al (1),2020
NCT02367794,32302702,"['Atezolizumab', 'Carboplatin', 'Nab-paclitaxel']",Jotte R et al,2020
NCT02367794,32302702,"['Atezolizumab', 'Carboplatin', 'Nab-paclitaxel']",Jotte R et al (1),2020
NCT02908672,32534646,"['Atezolizumab', 'Vemurafenib', 'Cobimetinib']",Gutzmer R et al,2020
NCT02017717,32437507,['Nivolumab'],Reardon DA et al,2020
NCT02500121,32271672,['Pembrolizumab'],Galsky MD et al,2020
NCT02807636,32416780,"['Atezolizumab', 'Gemcitabine', 'Carboplatin', 'Cisplatin']",Galsky MD et al,2020
NCT02807636,32416780,"['Atezolizumab', 'Gemcitabine', 'Carboplatin', 'Cisplatin']",Galsky MD et al (1),2020
NCT02807636,32416780,['Atezolizumab'],Galsky MD et al,2020
NCT02807636,32416780,['Atezolizumab'],Galsky MD et al (1),2020
NCT03434379,32402160,"['Atezolizumab', 'Bevacizumab']",Finn RS et al,2020
NCT02369874,32294530,['Durvalumab'],Ferris RL et al,2020
NCT02369874,32294530,['Durvalumab'],Ferris RL et al (1),2020
NCT02369874,32294530,"['Durvalumab', 'Tremelimumab']",Ferris RL et al,2020
NCT02369874,32294530,"['Durvalumab', 'Tremelimumab']",Ferris RL et al (1),2020
NCT02870920,32379280,"['Durvalumab', 'Tremelimumab', 'Best supportive care']",Chen EX et al,2020
NCT02574598,32271354,"['Pembrolizumab', 'Docetaxel']",Arrieta O et al,2020
NCT01668784,32673417,['Nivolumab'],Motzer RJ et al,2015
NCT01668784,32673417,['Nivolumab'],Motzer RJ et al,2020
NCT02684006,32339648,"['Avelumab', 'Axitinib']",Motzer RJ et al,2019
NCT02684006,32339648,"['Avelumab', 'Axitinib']",Choueiri TK et al,2020
NCT02142738,27718847,['Pembrolizumab'],Reck M et al,2019
NCT02142738,27718847,['Pembrolizumab'],Reck M et al,2016
NCT00094653,23942774,['Ipilimumab'],Hodi FS et al,2010
NCT00094653,23942774,['Ipilimumab'],Hodi FS et al (1),2010
NCT00094653,23942774,['Ipilimumab'],McDermott D et al,2013
NCT00094653,23942774,['Ipilimumab'],McDermott D et al (1),2013
NCT00094653,23942774,"['Ipilimumab', 'Gp100 Vaccine']",Hodi FS et al,2010
NCT00094653,23942774,"['Ipilimumab', 'Gp100 Vaccine']",Hodi FS et al (1),2010
NCT00094653,23942774,"['Ipilimumab', 'Gp100 Vaccine']",McDermott D et al,2013
NCT00094653,23942774,"['Ipilimumab', 'Gp100 Vaccine']",McDermott D et al (1),2013
NCT03051659,32880602,"['Pembrolizumab', 'Eribulin']",Tolaney SM et al,2020
NCT02494583,32880601,['Pembrolizumab'],Shitara K et al,2020
NCT02494583,32880601,['Pembrolizumab'],Shitara K et al (1),2020
NCT02494583,32880601,"['Pembrolizumab', 'Cisplatin', '5-FU', 'Capecitabine']",Shitara K et al,2020
NCT02494583,32880601,"['Pembrolizumab', 'Cisplatin', '5-FU', 'Capecitabine']",Shitara K et al (1),2020
NCT02819518,33278935,"['Pembrolizumab', 'nab-paclitaxel', 'paclitaxel', 'gemcitabine', 'carboplatin']",Cortes J et al,2020
NCT02516241,32971005,['Durvalumab'],Powles T et al,2020
NCT02516241,32971005,['Durvalumab'],Powles T et al (1),2020
NCT02516241,32971005,"['Durvalumab', 'Tremelimumab']",Powles T et al,2020
NCT02516241,32971005,"['Durvalumab', 'Tremelimumab']",Powles T et al (1),2020
NCT03197935,32966830,"['Atezolizumab', 'Nab-paclitaxel', 'Doxorubicin', 'Cyclophosphamide', 'Filgrastim/Pegfilgrastim']",Mittendorf EA et al,2020
NCT02603432,32945632,"['Avelumab', 'Best Supportive Care']",Powles T et al,2020
NCT02625610,33197226,['Avelumab'],Moehler M et al,2020
NCT02899299,33485464,"['Nivolumab', 'Ipilimumab']",Baas P et al.,2021
NCT02409342,32997907,['Atezolizumab'],Herbst RS et al.,2020
NCT02924883,33002436,['Atezolizumab'],Emens LA et al,2020
NCT02853331,33284113,"['Pembrolizumab', 'Axitinib']",Rini BI et al,2019
NCT02853331,33284113,"['Pembrolizumab', 'Axitinib']",Powles T et al. ,2020
NCT02657434,33333328,"['Atezolizumab', 'Carboplatin', 'Cisplatin', 'Pemetrexed']",Nishio M et al,2020
NCT02564263,33026938,['Pembrolizumab'],Kojima T et al.,2020
NCT00861614,32811715,['Ipilimumab'],Kwon ED et al,2014
NCT00861614,32811715,['Ipilimumab'],Fizazi K et al.,2020
NCT01721772,32997575,['Nivolumab'],Robert C et al,2015
NCT01721772,32997575,['Nivolumab'],Ascierto PA et al,2019
NCT01721772,32997575,['Nivolumab'],Robert C et al,2020
NCT02130466,33361337,"['Pembrolizumab', 'Dabrafenib', 'Trametinib']",Ascierto PA et al,2019
NCT02130466,33361337,"['Pembrolizumab', 'Dabrafenib', 'Trametinib']",Ferrucci PF et al,2020
NCT03043872,33285097,"['Durvalumab', 'Tremelimumab', 'Etoposide', 'Platinum agent']",Paz-Ares L et al,2019
NCT03043872,33285097,"['Durvalumab', 'Tremelimumab', 'Etoposide', 'Platinum agent']",Paz-Ares L et al (1),2019
NCT03043872,33285097,"['Durvalumab', 'Tremelimumab', 'Etoposide', 'Platinum agent']",Goldman JW et al,2020
NCT03043872,33285097,"['Durvalumab', 'Tremelimumab', 'Etoposide', 'Platinum agent']",Goldman JW et al (1),2020
NCT03043872,33285097,"['Durvalumab', 'Etoposide', 'Platinum agent']",Paz-Ares L et al,2019
NCT03043872,33285097,"['Durvalumab', 'Etoposide', 'Platinum agent']",Paz-Ares L et al (1),2019
NCT03043872,33285097,"['Durvalumab', 'Etoposide', 'Platinum agent']",Goldman JW et al,2020
NCT03043872,33285097,"['Durvalumab', 'Etoposide', 'Platinum agent']",Goldman JW et al (1),2020
NCT02991482,32976938,['Pembrolizumab'],Popat S et al. ,2020
NCT02563002,33264544,['Pembrolizumab'],Andre T et al.,2020
NCT02362594,32946353,['Pembrolizumab'],Eggermont AMM et al,2018
NCT02362594,32946353,['Pembrolizumab'],Eggermont AMM et al,2020
NCT00636168,25840693,['Ipilimumab'],Eggermont AMM et al,2016
NCT00636168,25840693,['Ipilimumab'],Eggermont AMM et al,2015
NCT01903993,33166718,['Atezolizumab'],Fehrenbacher L et al,2016
NCT01903993,33166718,['Atezolizumab'],Mazieres J et al,2020
NCT02008227,33166718,['Atezolizumab'],Rittmeyer A et al,2017
NCT02008227,33166718,['Atezolizumab'],Fehrenbacher L et al,2018
NCT02008227,33166718,['Atezolizumab'],Mazieres J et al,2020
NCT02811861,33616314,"['Pembrolizumab', 'Lenvatinib']",Motzer R et al,2021
NCT03215706,33476593,"['Nivolumab', 'Ipilimumab', 'Chemotherapy']",Paz-Ares L et al,2021
NCT02481830,33539946,['Nivolumab'],Spigel DR et al,2021
NCT03141177,33657295,"['Nivolumab', 'Cabozantinib']",Choueiri TK et al,2021
NCT02538666,33683919,"['Nivolumab', 'Ipilimumab']",Owonikoko TK et al,2021
NCT02538666,33683919,"['Nivolumab', 'Ipilimumab']",Owonikoko TK et al,2021
NCT02538666,33683919,['Nivolumab'],Owonikoko TK et al,2021
NCT02538666,33683919,['Nivolumab'],Owonikoko TK et al,2021
NCT02299999,33462450,['Durvalumab'],Bachelot T et al,2021
NCT02684292,33721562,['Pembrolizumab'],Kuruvilla J et al,2021
NCT02450331,33721560,['Atezolizumab'],Bellmunt J et al,2021
NCT02555657,33676601,['Pembrolizumab'],Winer PE et al,2021
NCT03088540,33581821,['Cemiplimab'],Sezer A et al,2021
NCT02852083,33796020,['Nivolumab'],Heudobler D et al,2021
NCT02952586,33794205,"['Avelumab', 'Chemoradiotherapy']",Lee NY et al,2021
NCT02743494,33789008,['Nivolumab'],Kelly RJ,2021
NCT02999087,33125944,"['Avelumab', 'cetuximab', 'radiotherapy']",Tao Y et al.,2021
