NCT,PMID,is_pediatric,Authors,Year
NCT01905657,26712084,False,Herbst RS et al,2016
NCT01905657,26712084,False,Herbst RS et al (1),2016
NCT01903993,26970723,False,Fehrenbacher L et al,2016
NCT01903993,26970723,False,Mazieres J et al,2020
NCT01450761,27458307,False,Reck M et al,2016
NCT02041533,28636851,False,Carbone DP et al,2017
NCT01285609,28854067,False,Govindan R et al,2017
NCT02125461,28885881,False,Antonia SJ et al,2017
NCT02125461,28885881,False,Antonia SJ et al,2018
NCT02125461,30280658,False,Antonia SJ et al,2017
NCT02125461,30280658,False,Antonia SJ et al,2018
NCT02395172,30262187,False,Barlesi F et al,2018
NCT02039674,27745820,False,Langer JC et al,2016
NCT02039674,27745820,False,Borghaei  H et al,2018
NCT02039674,30138764,False,Langer JC et al,2016
NCT02039674,30138764,False,Borghaei  H et al,2018
NCT02008227,27979383,False,Rittmeyer A et al,2017
NCT02008227,27979383,False,Fehrenbacher L et al,2018
NCT02008227,27979383,False,Mazieres J et al,2020
NCT02008227,29777823,False,Rittmeyer A et al,2017
NCT02008227,29777823,False,Fehrenbacher L et al,2018
NCT02008227,29777823,False,Mazieres J et al,2020
NCT02578680,29658856,False,Gandhi L et al,2018
NCT02763579,30280641,False,Horn L et al,2018
NCT02763579,30280641,False,Mansfield AS et al,2020
NCT02775435,30280635,False,Paz-Ares L et al,2018
NCT02366143,29863955,False,Socinski MA et al,2018
NCT02366143,29863955,False,Socinski MA et al (1),2018
NCT02366143,29863955,False,Socinski MA et al,2018
NCT02366143,29863955,False,Socinski MA et al (1),2018
NCT02477826,29658845,False,Hellmann MD et al,2018
NCT02477826,29658845,False,Hellmann MD et al (1),2018
NCT02477826,29658845,False,Hellmann MD et al,2019
NCT02477826,29658845,False,Hellmann MD et al (1),2019
NCT02477826,29658845,False,Hellmann MD et al (2),2019
NCT02477826,29658845,False,Hellmann MD et al,2018
NCT02477826,29658845,False,Hellmann MD et al (1),2018
NCT02477826,29658845,False,Hellmann MD et al,2019
NCT02477826,29658845,False,Hellmann MD et al (1),2019
NCT02477826,29658845,False,Hellmann MD et al (2),2019
NCT02477826,31562796,False,Hellmann MD et al,2018
NCT02477826,31562796,False,Hellmann MD et al (1),2018
NCT02477826,31562796,False,Hellmann MD et al,2019
NCT02477826,31562796,False,Hellmann MD et al (1),2019
NCT02477826,31562796,False,Hellmann MD et al (2),2019
NCT02477826,31562796,False,Hellmann MD et al,2018
NCT02477826,31562796,False,Hellmann MD et al (1),2018
NCT02477826,31562796,False,Hellmann MD et al,2019
NCT02477826,31562796,False,Hellmann MD et al (1),2019
NCT02477826,31562796,False,Hellmann MD et al (2),2019
NCT02477826,31562796,False,Hellmann MD et al,2018
NCT02477826,31562796,False,Hellmann MD et al (1),2018
NCT02477826,31562796,False,Hellmann MD et al,2019
NCT02477826,31562796,False,Hellmann MD et al (1),2019
NCT02477826,31562796,False,Hellmann MD et al (2),2019
NCT02220894,30955977,False,Mok TSK et al,2019
NCT03059667,30664989,False,Pujol JL et al,2019
NCT02142738,30620668,False,Reck M et al,2019
NCT02142738,30620668,False,Reck M et al,2016
NCT02367781,31122901,False,West H et al,2019
NCT02613507,30659987,False,Wu YL et al,2019
NCT02454933,30763730,True,Yang JCH et al,2019
NCT00324155,21639810,False,Robert C et al,2011
NCT00094653,20525992,False,Hodi FS et al,2010
NCT00094653,20525992,False,Hodi FS et al (1),2010
NCT00094653,20525992,False,McDermott D et al,2013
NCT00094653,20525992,False,McDermott D et al (1),2013
NCT00094653,20525992,False,Hodi FS et al,2010
NCT00094653,20525992,False,Hodi FS et al (1),2010
NCT00094653,20525992,False,McDermott D et al,2013
NCT00094653,20525992,False,McDermott D et al (1),2013
NCT00257205,23295794,False,Ribas A et al,2013
NCT02362594,29658430,False,Eggermont AMM et al,2018
NCT02362594,29658430,False,Eggermont AMM et al,2020
NCT01704287,26115796,False,Ribas A et al,2015
NCT01704287,26115796,False,Ribas A et al (1),2015
NCT01704287,26115796,False,Hamid O et al,2017
NCT01704287,26115796,False,Hamid O et al (1),2017
NCT01704287,26115796,False,Ribas A et al,2015
NCT01704287,26115796,False,Ribas A et al (1),2015
NCT01704287,26115796,False,Hamid O et al,2017
NCT01704287,26115796,False,Hamid O et al (1),2017
NCT01704287,28961465,False,Ribas A et al,2015
NCT01704287,28961465,False,Ribas A et al (1),2015
NCT01704287,28961465,False,Hamid O et al,2017
NCT01704287,28961465,False,Hamid O et al (1),2017
NCT01704287,28961465,False,Ribas A et al,2015
NCT01704287,28961465,False,Ribas A et al (1),2015
NCT01704287,28961465,False,Hamid O et al,2017
NCT01704287,28961465,False,Hamid O et al (1),2017
NCT00636168,27717298,False,Eggermont AMM et al,2016
NCT00636168,27717298,False,Eggermont AMM et al,2015
NCT01721746,25795410,False,Weber JS et al,2015
NCT01721746,25795410,False,Larkin J et al,2018
NCT01721746,28671856,False,Weber JS et al,2015
NCT01721746,28671856,False,Larkin J et al,2018
NCT02130466,31171878,False,Ascierto PA et al,2019
NCT02130466,31171878,False,Ferrucci PF et al,2020
NCT01721772,25399552,False,Robert C et al,2015
NCT01721772,25399552,False,Ascierto PA et al,2019
NCT01721772,25399552,False,Robert C et al,2020
NCT01721772,30422243,False,Robert C et al,2015
NCT01721772,30422243,False,Ascierto PA et al,2019
NCT01721772,30422243,False,Robert C et al,2020
NCT01843374,28729154,False,Maio M et al,2017
NCT02576977,31327687,False,Mateos MV et al,2019
NCT02579863,31327689,False,Usmani SZ et al,2019
NCT00861614,24831977,False,Kwon ED et al,2014
NCT00861614,24831977,False,Fizazi K et al.,2020
NCT01057810,28034081,False,Beer TM et al,2017
NCT02267343,31863227,False,Kang YK et al,2017
NCT02267343,31863227,False,Chen LT et al,2019
NCT02702401,31790344,False,Finn RS et al,2019
NCT02569242,31582355,False,Kato K et al,2019
NCT01042379,32053137,False,Nanda R et al,2019
NCT03043872,31590988,False,Paz-Ares L et al,2019
NCT03043872,31590988,False,Paz-Ares L et al (1),2019
NCT03043872,31590988,False,Goldman JW et al,2020
NCT03043872,31590988,False,Goldman JW et al (1),2020
NCT03043872,31590988,False,Paz-Ares L et al,2019
NCT03043872,31590988,False,Paz-Ares L et al (1),2019
NCT03043872,31590988,False,Goldman JW et al,2020
NCT03043872,31590988,False,Goldman JW et al (1),2020
NCT02425891,31786121,False,Schmid P et al,2018
NCT02425891,31786121,False,Schmid P et al,2019
NCT02358031,31679945,False,Burtness B et al,2019
NCT02358031,31679945,False,Burtness B et al (1),2019
NCT02358031,31679945,False,Burtness B et al,2019
NCT02358031,31679945,False,Burtness B et al (1),2019
NCT02763579,31959349,False,Horn L et al,2018
NCT02763579,31959349,False,Mansfield AS et al,2020
NCT02362048,32114502,False,Overman M et al,2020
NCT02352948,32201234,False,Planchard D et al,2020
NCT02352948,32201234,False,Planchard D et al (1),2020
NCT02352948,32201234,False,Planchard D et al (2),2020
NCT02352948,32201234,False,Planchard D et al,2020
NCT02352948,32201234,False,Planchard D et al (1),2020
NCT02352948,32201234,False,Planchard D et al (2),2020
NCT02352948,32201234,False,Planchard D et al,2020
NCT02352948,32201234,False,Planchard D et al (1),2020
NCT02352948,32201234,False,Planchard D et al (2),2020
NCT03036488,32101663,False,Schmid P et al,2020
NCT01274338,31880964,False,Tarhini AA et al,2020
NCT01274338,31880964,False,Tarhini AA et al (1),2020
NCT01274338,31880964,False,Tarhini AA et al,2020
NCT01274338,31880964,False,Tarhini AA et al (1),2020
NCT02523313,32416781,False,Zimmer L et al,2020
NCT02523313,32416781,False,Zimmer L et al (1),2020
NCT02523313,32416781,False,Zimmer L et al,2020
NCT02523313,32416781,False,Zimmer L et al (1),2020
NCT01896869,32591464,False,Wu AA et al,2020
NCT03066778,32468956,False,Rudin CM et al,2020
NCT02453282,32271377,False,Rizvi NA et al,2020
NCT02453282,32271377,False,Rizvi NA et al (1),2020
NCT02453282,32271377,False,Rizvi NA et al,2020
NCT02453282,32271377,False,Rizvi NA et al (1),2020
NCT02231749,32661118,False,Motzer RJ et al,2018
NCT02231749,32661118,False,Motzer RJ et al,2019
NCT02231749,32661118,False,Motzer RJ et al,2020
NCT02367794,32302702,False,Jotte R et al,2020
NCT02367794,32302702,False,Jotte R et al (1),2020
NCT02367794,32302702,False,Jotte R et al,2020
NCT02367794,32302702,False,Jotte R et al (1),2020
NCT02908672,32534646,False,Gutzmer R et al,2020
NCT02017717,32437507,False,Reardon DA et al,2020
NCT02500121,32271672,False,Galsky MD et al,2020
NCT02807636,32416780,False,Galsky MD et al,2020
NCT02807636,32416780,False,Galsky MD et al (1),2020
NCT02807636,32416780,False,Galsky MD et al,2020
NCT02807636,32416780,False,Galsky MD et al (1),2020
NCT03434379,32402160,False,Finn RS et al,2020
NCT02369874,32294530,False,Ferris RL et al,2020
NCT02369874,32294530,False,Ferris RL et al (1),2020
NCT02369874,32294530,False,Ferris RL et al,2020
NCT02369874,32294530,False,Ferris RL et al (1),2020
NCT02870920,32379280,False,Chen EX et al,2020
NCT02574598,32271354,False,Arrieta O et al,2020
NCT01668784,32673417,False,Motzer RJ et al,2015
NCT01668784,32673417,False,Motzer RJ et al,2020
NCT02684006,32339648,False,Motzer RJ et al,2019
NCT02684006,32339648,False,Choueiri TK et al,2020
NCT02142738,27718847,False,Reck M et al,2019
NCT02142738,27718847,False,Reck M et al,2016
NCT00094653,23942774,False,Hodi FS et al,2010
NCT00094653,23942774,False,Hodi FS et al (1),2010
NCT00094653,23942774,False,McDermott D et al,2013
NCT00094653,23942774,False,McDermott D et al (1),2013
NCT00094653,23942774,False,Hodi FS et al,2010
NCT00094653,23942774,False,Hodi FS et al (1),2010
NCT00094653,23942774,False,McDermott D et al,2013
NCT00094653,23942774,False,McDermott D et al (1),2013
NCT03051659,32880602,False,Tolaney SM et al,2020
NCT02494583,32880601,False,Shitara K et al,2020
NCT02494583,32880601,False,Shitara K et al (1),2020
NCT02494583,32880601,False,Shitara K et al,2020
NCT02494583,32880601,False,Shitara K et al (1),2020
NCT02819518,33278935,False,Cortes J et al,2020
NCT02516241,32971005,False,Powles T et al,2020
NCT02516241,32971005,False,Powles T et al (1),2020
NCT02516241,32971005,False,Powles T et al,2020
NCT02516241,32971005,False,Powles T et al (1),2020
NCT03197935,32966830,False,Mittendorf EA et al,2020
NCT02603432,32945632,False,Powles T et al,2020
NCT02625610,33197226,False,Moehler M et al,2020
NCT02899299,33485464,False,Baas P et al.,2021
NCT02409342,32997907,False,Herbst RS et al.,2020
NCT02924883,33002436,False,Emens LA et al,2020
NCT02853331,33284113,False,Rini BI et al,2019
NCT02853331,33284113,False,Powles T et al. ,2020
NCT02657434,33333328,False,Nishio M et al,2020
NCT02564263,33026938,False,Kojima T et al.,2020
NCT00861614,32811715,False,Kwon ED et al,2014
NCT00861614,32811715,False,Fizazi K et al.,2020
NCT01721772,32997575,False,Robert C et al,2015
NCT01721772,32997575,False,Ascierto PA et al,2019
NCT01721772,32997575,False,Robert C et al,2020
NCT02130466,33361337,False,Ascierto PA et al,2019
NCT02130466,33361337,False,Ferrucci PF et al,2020
NCT03043872,33285097,False,Paz-Ares L et al,2019
NCT03043872,33285097,False,Paz-Ares L et al (1),2019
NCT03043872,33285097,False,Goldman JW et al,2020
NCT03043872,33285097,False,Goldman JW et al (1),2020
NCT03043872,33285097,False,Paz-Ares L et al,2019
NCT03043872,33285097,False,Paz-Ares L et al (1),2019
NCT03043872,33285097,False,Goldman JW et al,2020
NCT03043872,33285097,False,Goldman JW et al (1),2020
NCT02991482,32976938,False,Popat S et al. ,2020
NCT02563002,33264544,False,Andre T et al.,2020
NCT02362594,32946353,False,Eggermont AMM et al,2018
NCT02362594,32946353,False,Eggermont AMM et al,2020
NCT00636168,25840693,False,Eggermont AMM et al,2016
NCT00636168,25840693,False,Eggermont AMM et al,2015
NCT01903993,33166718,False,Fehrenbacher L et al,2016
NCT01903993,33166718,False,Mazieres J et al,2020
NCT02008227,33166718,False,Rittmeyer A et al,2017
NCT02008227,33166718,False,Fehrenbacher L et al,2018
NCT02008227,33166718,False,Mazieres J et al,2020
NCT02811861,33616314,False,Motzer R et al,2021
NCT03215706,33476593,False,Paz-Ares L et al,2021
NCT02481830,33539946,False,Spigel DR et al,2021
NCT03141177,33657295,False,Choueiri TK et al,2021
NCT02538666,33683919,False,Owonikoko TK et al,2021
NCT02538666,33683919,False,Owonikoko TK et al,2021
NCT02538666,33683919,False,Owonikoko TK et al,2021
NCT02538666,33683919,False,Owonikoko TK et al,2021
NCT02299999,33462450,False,Bachelot T et al,2021
NCT02684292,33721562,False,Kuruvilla J et al,2021
NCT02450331,33721560,False,Bellmunt J et al,2021
NCT02555657,33676601,False,Winer PE et al,2021
NCT03088540,33581821,False,Sezer A et al,2021
NCT02852083,33796020,False,Heudobler D et al,2021
NCT02952586,33794205,False,Lee NY et al,2021
NCT02743494,33789008,False,Kelly RJ,2021
NCT02999087,33125944,False,Tao Y et al.,2021
