NCT,PMID,num_arms,sample_size,Authors,Year
NCT02352948,32201234,4,595,Planchard D et al,2020
NCT02352948,32201234,4,595,Planchard D et al (1),2020
NCT02352948,32201234,4,595,Planchard D et al (2),2020
NCT02352948,32201234,4,595,Planchard D et al,2020
NCT02352948,32201234,4,595,Planchard D et al (1),2020
NCT02352948,32201234,4,595,Planchard D et al (2),2020
NCT03066778,32468956,2,453,Rudin CM et al,2020
NCT02453282,32271377,3,1118,Rizvi NA et al,2020
NCT02453282,32271377,3,1118,Rizvi NA et al (1),2020
NCT02453282,32271377,3,1118,Rizvi NA et al,2020
NCT02453282,32271377,3,1118,Rizvi NA et al (1),2020
NCT02367794,32302702,3,1021,Jotte R et al,2020
NCT02367794,32302702,3,1021,Jotte R et al (1),2020
NCT02367794,32302702,3,1021,Jotte R et al,2020
NCT02367794,32302702,3,1021,Jotte R et al (1),2020
NCT02574598,32271354,2,78,Arrieta O et al,2020
NCT02142738,27718847,2,305,Reck M et al,2019
NCT02142738,27718847,2,305,Reck M et al,2016
NCT02409342,32997907,2,572,Herbst RS et al.,2020
NCT03043872,33285097,3,805,Paz-Ares L et al,2019
NCT03043872,33285097,3,805,Paz-Ares L et al (1),2019
NCT03043872,33285097,3,805,Goldman JW et al,2020
NCT03043872,33285097,3,805,Goldman JW et al (1),2020
NCT03043872,33285097,3,805,Paz-Ares L et al,2019
NCT03043872,33285097,3,805,Paz-Ares L et al (1),2019
NCT03043872,33285097,3,805,Goldman JW et al,2020
NCT03043872,33285097,3,805,Goldman JW et al (1),2020
NCT01903993,33166718,2,287,Fehrenbacher L et al,2016
NCT01903993,33166718,2,287,Mazieres J et al,2020
NCT02008227,33166718,2,1225,Rittmeyer A et al,2017
NCT02008227,33166718,2,1225,Fehrenbacher L et al,2018
NCT02008227,33166718,2,1225,Mazieres J et al,2020
NCT03215706,33476593,2,719,Paz-Ares L et al,2021
NCT02481830,33539946,2,569,Spigel DR et al,2021
NCT02538666,33683919,3,834,Owonikoko TK et al,2021
NCT02538666,33683919,3,834,Owonikoko TK et al,2021
NCT02538666,33683919,3,834,Owonikoko TK et al,2021
NCT02538666,33683919,3,834,Owonikoko TK et al,2021
NCT03088540,33581821,2,710,Sezer A et al,2021
NCT02852083,33796020,2,40,Heudobler D et al,2021
