NCT,PMID,normalized_cancer_type,Authors,Year
NCT02125461,28885881,Lung,Antonia SJ et al,2017
NCT02125461,28885881,Lung,Antonia SJ et al,2018
NCT02125461,30280658,Lung,Antonia SJ et al,2017
NCT02125461,30280658,Lung,Antonia SJ et al,2018
NCT02395172,30262187,Lung,Barlesi F et al,2018
NCT02039674,27745820,Lung,Langer JC et al,2016
NCT02039674,27745820,Lung,Borghaei  H et al,2018
NCT02039674,30138764,Lung,Langer JC et al,2016
NCT02039674,30138764,Lung,Borghaei  H et al,2018
NCT02008227,27979383,Lung,Rittmeyer A et al,2017
NCT02008227,27979383,Lung,Fehrenbacher L et al,2018
NCT02008227,27979383,Lung,Mazieres J et al,2020
NCT02008227,29777823,Lung,Rittmeyer A et al,2017
NCT02008227,29777823,Lung,Fehrenbacher L et al,2018
NCT02008227,29777823,Lung,Mazieres J et al,2020
NCT02578680,29658856,Lung,Gandhi L et al,2018
NCT02763579,30280641,Lung,Horn L et al,2018
NCT02763579,30280641,Lung,Mansfield AS et al,2020
NCT02775435,30280635,Lung,Paz-Ares L et al,2018
NCT02366143,29863955,Lung,Socinski MA et al,2018
NCT02366143,29863955,Lung,Socinski MA et al (1),2018
NCT02366143,29863955,Lung,Socinski MA et al,2018
NCT02366143,29863955,Lung,Socinski MA et al (1),2018
NCT02477826,29658845,Lung,Hellmann MD et al,2018
NCT02477826,29658845,Lung,Hellmann MD et al (1),2018
NCT02477826,29658845,Lung,Hellmann MD et al,2019
NCT02477826,29658845,Lung,Hellmann MD et al (1),2019
NCT02477826,29658845,Lung,Hellmann MD et al (2),2019
NCT02477826,29658845,Lung,Hellmann MD et al,2018
NCT02477826,29658845,Lung,Hellmann MD et al (1),2018
NCT02477826,29658845,Lung,Hellmann MD et al,2019
NCT02477826,29658845,Lung,Hellmann MD et al (1),2019
NCT02477826,29658845,Lung,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Hellmann MD et al (2),2019
NCT02220894,30955977,Lung,Mok TSK et al,2019
NCT03059667,30664989,Lung,Pujol JL et al,2019
NCT02142738,30620668,Lung,Reck M et al,2019
NCT02142738,30620668,Lung,Reck M et al,2016
NCT02367781,31122901,Lung,West H et al,2019
NCT02613507,30659987,Lung,Wu YL et al,2019
NCT02454933,30763730,Lung,Yang JCH et al,2019
NCT00324155,21639810,Melanoma,Robert C et al,2011
NCT00094653,20525992,Melanoma,Hodi FS et al,2010
NCT00094653,20525992,Melanoma,Hodi FS et al (1),2010
NCT00094653,20525992,Melanoma,McDermott D et al,2013
NCT00094653,20525992,Melanoma,McDermott D et al (1),2013
NCT00094653,20525992,Melanoma,Hodi FS et al,2010
NCT00094653,20525992,Melanoma,Hodi FS et al (1),2010
NCT00094653,20525992,Melanoma,McDermott D et al,2013
NCT00094653,20525992,Melanoma,McDermott D et al (1),2013
NCT00257205,23295794,Melanoma,Ribas A et al,2013
NCT02362594,29658430,Melanoma,Eggermont AMM et al,2018
NCT02362594,29658430,Melanoma,Eggermont AMM et al,2020
NCT01704287,26115796,Melanoma,Ribas A et al,2015
NCT01704287,26115796,Melanoma,Ribas A et al (1),2015
NCT01704287,26115796,Melanoma,Hamid O et al,2017
NCT01704287,26115796,Melanoma,Hamid O et al (1),2017
NCT01704287,26115796,Melanoma,Ribas A et al,2015
NCT01704287,26115796,Melanoma,Ribas A et al (1),2015
NCT01704287,26115796,Melanoma,Hamid O et al,2017
NCT01704287,26115796,Melanoma,Hamid O et al (1),2017
NCT01704287,28961465,Melanoma,Ribas A et al,2015
NCT01704287,28961465,Melanoma,Ribas A et al (1),2015
NCT01704287,28961465,Melanoma,Hamid O et al,2017
NCT01704287,28961465,Melanoma,Hamid O et al (1),2017
NCT01704287,28961465,Melanoma,Ribas A et al,2015
NCT01704287,28961465,Melanoma,Ribas A et al (1),2015
NCT01704287,28961465,Melanoma,Hamid O et al,2017
NCT01704287,28961465,Melanoma,Hamid O et al (1),2017
NCT00636168,27717298,Melanoma,Eggermont AMM et al,2016
NCT00636168,27717298,Melanoma,Eggermont AMM et al,2015
NCT01721746,25795410,Melanoma,Weber JS et al,2015
NCT01721746,25795410,Melanoma,Larkin J et al,2018
NCT01721746,28671856,Melanoma,Weber JS et al,2015
NCT01721746,28671856,Melanoma,Larkin J et al,2018
NCT02130466,31171878,Melanoma,Ascierto PA et al,2019
NCT02130466,31171878,Melanoma,Ferrucci PF et al,2020
NCT01721772,25399552,Melanoma,Robert C et al,2015
NCT01721772,25399552,Melanoma,Ascierto PA et al,2019
NCT01721772,25399552,Melanoma,Robert C et al,2020
NCT01721772,30422243,Melanoma,Robert C et al,2015
NCT01721772,30422243,Melanoma,Ascierto PA et al,2019
NCT01721772,30422243,Melanoma,Robert C et al,2020
NCT01843374,28729154,Other,Maio M et al,2017
NCT02576977,31327687,Other,Mateos MV et al,2019
NCT02579863,31327689,Other,Usmani SZ et al,2019
NCT00861614,24831977,Prostate,Kwon ED et al,2014
NCT00861614,24831977,Prostate,Fizazi K et al.,2020
NCT01057810,28034081,Prostate,Beer TM et al,2017
NCT02267343,31863227,Gastric,Kang YK et al,2017
NCT02267343,31863227,Gastric,Chen LT et al,2019
NCT02702401,31790344,Other,Finn RS et al,2019
NCT02569242,31582355,Esophageal,Kato K et al,2019
NCT01042379,32053137,Breast,Nanda R et al,2019
NCT03043872,31590988,Lung,Paz-Ares L et al,2019
NCT03043872,31590988,Lung,Paz-Ares L et al (1),2019
NCT03043872,31590988,Lung,Goldman JW et al,2020
NCT03043872,31590988,Lung,Goldman JW et al (1),2020
NCT03043872,31590988,Lung,Paz-Ares L et al,2019
NCT03043872,31590988,Lung,Paz-Ares L et al (1),2019
NCT03043872,31590988,Lung,Goldman JW et al,2020
NCT03043872,31590988,Lung,Goldman JW et al (1),2020
NCT02425891,31786121,Breast,Schmid P et al,2018
NCT02425891,31786121,Breast,Schmid P et al,2019
NCT02358031,31679945,Head and Neck,Burtness B et al,2019
NCT02358031,31679945,Head and Neck,Burtness B et al (1),2019
NCT02358031,31679945,Head and Neck,Burtness B et al,2019
NCT02358031,31679945,Head and Neck,Burtness B et al (1),2019
NCT02763579,31959349,Lung,Horn L et al,2018
NCT02763579,31959349,Lung,Mansfield AS et al,2020
NCT02362048,32114502,Other,Overman M et al,2020
NCT02352948,32201234,Lung,Planchard D et al,2020
NCT02352948,32201234,Lung,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Planchard D et al (2),2020
NCT02352948,32201234,Lung,Planchard D et al,2020
NCT02352948,32201234,Lung,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Planchard D et al (2),2020
NCT02352948,32201234,Lung,Planchard D et al,2020
NCT02352948,32201234,Lung,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Planchard D et al (2),2020
NCT03036488,32101663,Breast,Schmid P et al,2020
NCT01274338,31880964,Melanoma,Tarhini AA et al,2020
NCT01274338,31880964,Melanoma,Tarhini AA et al (1),2020
NCT01274338,31880964,Melanoma,Tarhini AA et al,2020
NCT01274338,31880964,Melanoma,Tarhini AA et al (1),2020
NCT02523313,32416781,Melanoma,Zimmer L et al,2020
NCT02523313,32416781,Melanoma,Zimmer L et al (1),2020
NCT02523313,32416781,Melanoma,Zimmer L et al,2020
NCT02523313,32416781,Melanoma,Zimmer L et al (1),2020
NCT01896869,32591464,Other,Wu AA et al,2020
NCT03066778,32468956,Lung,Rudin CM et al,2020
NCT02453282,32271377,Lung,Rizvi NA et al,2020
NCT02453282,32271377,Lung,Rizvi NA et al (1),2020
NCT02453282,32271377,Lung,Rizvi NA et al,2020
NCT02453282,32271377,Lung,Rizvi NA et al (1),2020
NCT02231749,32661118,Renal,Motzer RJ et al,2018
NCT02231749,32661118,Renal,Motzer RJ et al,2019
NCT02231749,32661118,Renal,Motzer RJ et al,2020
NCT02367794,32302702,Lung,Jotte R et al,2020
NCT02367794,32302702,Lung,Jotte R et al (1),2020
NCT02367794,32302702,Lung,Jotte R et al,2020
NCT02367794,32302702,Lung,Jotte R et al (1),2020
NCT02908672,32534646,Melanoma,Gutzmer R et al,2020
NCT02017717,32437507,Head and Neck,Reardon DA et al,2020
NCT02500121,32271672,Bladder,Galsky MD et al,2020
NCT02807636,32416780,Bladder,Galsky MD et al,2020
NCT02807636,32416780,Bladder,Galsky MD et al (1),2020
NCT02807636,32416780,Bladder,Galsky MD et al,2020
NCT02807636,32416780,Bladder,Galsky MD et al (1),2020
NCT03434379,32402160,Other,Finn RS et al,2020
NCT02369874,32294530,Head and Neck,Ferris RL et al,2020
NCT02369874,32294530,Head and Neck,Ferris RL et al (1),2020
NCT02369874,32294530,Head and Neck,Ferris RL et al,2020
NCT02369874,32294530,Head and Neck,Ferris RL et al (1),2020
NCT02870920,32379280,Colorectal,Chen EX et al,2020
NCT02574598,32271354,Lung,Arrieta O et al,2020
NCT01668784,32673417,Renal,Motzer RJ et al,2015
NCT01668784,32673417,Renal,Motzer RJ et al,2020
NCT02684006,32339648,Renal,Motzer RJ et al,2019
NCT02684006,32339648,Renal,Choueiri TK et al,2020
NCT02142738,27718847,Lung,Reck M et al,2019
NCT02142738,27718847,Lung,Reck M et al,2016
NCT00094653,23942774,Melanoma,Hodi FS et al,2010
NCT00094653,23942774,Melanoma,Hodi FS et al (1),2010
NCT00094653,23942774,Melanoma,McDermott D et al,2013
NCT00094653,23942774,Melanoma,McDermott D et al (1),2013
NCT00094653,23942774,Melanoma,Hodi FS et al,2010
NCT00094653,23942774,Melanoma,Hodi FS et al (1),2010
NCT00094653,23942774,Melanoma,McDermott D et al,2013
NCT00094653,23942774,Melanoma,McDermott D et al (1),2013
NCT03051659,32880602,Breast,Tolaney SM et al,2020
NCT02494583,32880601,Gastric,Shitara K et al,2020
NCT02494583,32880601,Gastric,Shitara K et al (1),2020
NCT02494583,32880601,Gastric,Shitara K et al,2020
NCT02494583,32880601,Gastric,Shitara K et al (1),2020
NCT02819518,33278935,Breast,Cortes J et al,2020
NCT02516241,32971005,Bladder,Powles T et al,2020
NCT02516241,32971005,Bladder,Powles T et al (1),2020
NCT02516241,32971005,Bladder,Powles T et al,2020
NCT02516241,32971005,Bladder,Powles T et al (1),2020
NCT03197935,32966830,Breast,Mittendorf EA et al,2020
NCT02603432,32945632,Bladder,Powles T et al,2020
NCT02625610,33197226,Gastric,Moehler M et al,2020
NCT02899299,33485464,Other,Baas P et al.,2021
NCT02409342,32997907,Lung,Herbst RS et al.,2020
NCT02924883,33002436,Breast,Emens LA et al,2020
NCT02853331,33284113,Renal,Rini BI et al,2019
NCT02853331,33284113,Renal,Powles T et al. ,2020
NCT02657434,33333328,Lung,Nishio M et al,2020
NCT02564263,33026938,Esophageal,Kojima T et al.,2020
NCT00861614,32811715,Prostate,Kwon ED et al,2014
NCT00861614,32811715,Prostate,Fizazi K et al.,2020
NCT01721772,32997575,Melanoma,Robert C et al,2015
NCT01721772,32997575,Melanoma,Ascierto PA et al,2019
NCT01721772,32997575,Melanoma,Robert C et al,2020
NCT02130466,33361337,Melanoma,Ascierto PA et al,2019
NCT02130466,33361337,Melanoma,Ferrucci PF et al,2020
NCT03043872,33285097,Lung,Paz-Ares L et al,2019
NCT03043872,33285097,Lung,Paz-Ares L et al (1),2019
NCT03043872,33285097,Lung,Goldman JW et al,2020
NCT03043872,33285097,Lung,Goldman JW et al (1),2020
NCT03043872,33285097,Lung,Paz-Ares L et al,2019
NCT03043872,33285097,Lung,Paz-Ares L et al (1),2019
NCT03043872,33285097,Lung,Goldman JW et al,2020
NCT03043872,33285097,Lung,Goldman JW et al (1),2020
NCT02991482,32976938,Other,Popat S et al. ,2020
NCT02563002,33264544,Colorectal,Andre T et al.,2020
NCT02362594,32946353,Melanoma,Eggermont AMM et al,2018
NCT02362594,32946353,Melanoma,Eggermont AMM et al,2020
NCT00636168,25840693,Melanoma,Eggermont AMM et al,2016
NCT00636168,25840693,Melanoma,Eggermont AMM et al,2015
NCT01903993,33166718,Lung,Fehrenbacher L et al,2016
NCT01903993,33166718,Lung,Mazieres J et al,2020
NCT02008227,33166718,Lung,Rittmeyer A et al,2017
NCT02008227,33166718,Lung,Fehrenbacher L et al,2018
NCT02008227,33166718,Lung,Mazieres J et al,2020
NCT02811861,33616314,Renal,Motzer R et al,2021
NCT03215706,33476593,Lung,Paz-Ares L et al,2021
NCT02481830,33539946,Lung,Spigel DR et al,2021
NCT03141177,33657295,Renal,Choueiri TK et al,2021
NCT02538666,33683919,Lung,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Owonikoko TK et al,2021
NCT02299999,33462450,Breast,Bachelot T et al,2021
NCT02684292,33721562,Lymphoma,Kuruvilla J et al,2021
NCT02450331,33721560,Bladder,Bellmunt J et al,2021
NCT02555657,33676601,Breast,Winer PE et al,2021
NCT03088540,33581821,Lung,Sezer A et al,2021
NCT02852083,33796020,Lung,Heudobler D et al,2021
NCT02952586,33794205,Head and Neck,Lee NY et al,2021
NCT02743494,33789008,Other,Kelly RJ,2021
NCT02999087,33125944,Head and Neck,Tao Y et al.,2021
