NCT,PMID,sample_size_range,Authors,Year
NCT01905657,26712084,greater than 1000,Herbst RS et al,2016
NCT01905657,26712084,greater than 1000,Herbst RS et al (1),2016
NCT01903993,26970723,100-500,Fehrenbacher L et al,2016
NCT01903993,26970723,100-500,Mazieres J et al,2020
NCT01450761,27458307,greater than 1000,Reck M et al,2016
NCT02041533,28636851,100-500,Carbone DP et al,2017
NCT01285609,28854067,501-1000,Govindan R et al,2017
NCT02125461,28885881,501-1000,Antonia SJ et al,2017
NCT02125461,28885881,501-1000,Antonia SJ et al,2018
NCT02125461,30280658,501-1000,Antonia SJ et al,2017
NCT02125461,30280658,501-1000,Antonia SJ et al,2018
NCT02395172,30262187,501-1000,Barlesi F et al,2018
NCT02039674,27745820,100-500,Langer JC et al,2016
NCT02039674,27745820,100-500,Borghaei  H et al,2018
NCT02039674,30138764,100-500,Langer JC et al,2016
NCT02039674,30138764,100-500,Borghaei  H et al,2018
NCT02008227,27979383,greater than 1000,Rittmeyer A et al,2017
NCT02008227,27979383,greater than 1000,Fehrenbacher L et al,2018
NCT02008227,27979383,greater than 1000,Mazieres J et al,2020
NCT02008227,29777823,greater than 1000,Rittmeyer A et al,2017
NCT02008227,29777823,greater than 1000,Fehrenbacher L et al,2018
NCT02008227,29777823,greater than 1000,Mazieres J et al,2020
NCT02578680,29658856,501-1000,Gandhi L et al,2018
NCT02763579,30280641,100-500,Horn L et al,2018
NCT02763579,30280641,100-500,Mansfield AS et al,2020
NCT02775435,30280635,501-1000,Paz-Ares L et al,2018
NCT02366143,29863955,greater than 1000,Socinski MA et al,2018
NCT02366143,29863955,greater than 1000,Socinski MA et al (1),2018
NCT02366143,29863955,greater than 1000,Socinski MA et al,2018
NCT02366143,29863955,greater than 1000,Socinski MA et al (1),2018
NCT02477826,29658845,greater than 1000,Hellmann MD et al,2018
NCT02477826,29658845,greater than 1000,Hellmann MD et al (1),2018
NCT02477826,29658845,greater than 1000,Hellmann MD et al,2019
NCT02477826,29658845,greater than 1000,Hellmann MD et al (1),2019
NCT02477826,29658845,greater than 1000,Hellmann MD et al (2),2019
NCT02477826,29658845,greater than 1000,Hellmann MD et al,2018
NCT02477826,29658845,greater than 1000,Hellmann MD et al (1),2018
NCT02477826,29658845,greater than 1000,Hellmann MD et al,2019
NCT02477826,29658845,greater than 1000,Hellmann MD et al (1),2019
NCT02477826,29658845,greater than 1000,Hellmann MD et al (2),2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al,2018
NCT02477826,31562796,greater than 1000,Hellmann MD et al (1),2018
NCT02477826,31562796,greater than 1000,Hellmann MD et al,2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al (1),2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al (2),2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al,2018
NCT02477826,31562796,greater than 1000,Hellmann MD et al (1),2018
NCT02477826,31562796,greater than 1000,Hellmann MD et al,2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al (1),2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al (2),2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al,2018
NCT02477826,31562796,greater than 1000,Hellmann MD et al (1),2018
NCT02477826,31562796,greater than 1000,Hellmann MD et al,2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al (1),2019
NCT02477826,31562796,greater than 1000,Hellmann MD et al (2),2019
NCT02220894,30955977,greater than 1000,Mok TSK et al,2019
NCT03059667,30664989,less than 100,Pujol JL et al,2019
NCT02142738,30620668,100-500,Reck M et al,2019
NCT02142738,30620668,100-500,Reck M et al,2016
NCT02367781,31122901,501-1000,West H et al,2019
NCT02613507,30659987,501-1000,Wu YL et al,2019
NCT02454933,30763730,less than 100,Yang JCH et al,2019
NCT00324155,21639810,501-1000,Robert C et al,2011
NCT00094653,20525992,501-1000,Hodi FS et al,2010
NCT00094653,20525992,501-1000,Hodi FS et al (1),2010
NCT00094653,20525992,501-1000,McDermott D et al,2013
NCT00094653,20525992,501-1000,McDermott D et al (1),2013
NCT00094653,20525992,501-1000,Hodi FS et al,2010
NCT00094653,20525992,501-1000,Hodi FS et al (1),2010
NCT00094653,20525992,501-1000,McDermott D et al,2013
NCT00094653,20525992,501-1000,McDermott D et al (1),2013
NCT00257205,23295794,501-1000,Ribas A et al,2013
NCT02362594,29658430,greater than 1000,Eggermont AMM et al,2018
NCT02362594,29658430,greater than 1000,Eggermont AMM et al,2020
NCT01704287,26115796,501-1000,Ribas A et al,2015
NCT01704287,26115796,501-1000,Ribas A et al (1),2015
NCT01704287,26115796,501-1000,Hamid O et al,2017
NCT01704287,26115796,501-1000,Hamid O et al (1),2017
NCT01704287,26115796,501-1000,Ribas A et al,2015
NCT01704287,26115796,501-1000,Ribas A et al (1),2015
NCT01704287,26115796,501-1000,Hamid O et al,2017
NCT01704287,26115796,501-1000,Hamid O et al (1),2017
NCT01704287,28961465,501-1000,Ribas A et al,2015
NCT01704287,28961465,501-1000,Ribas A et al (1),2015
NCT01704287,28961465,501-1000,Hamid O et al,2017
NCT01704287,28961465,501-1000,Hamid O et al (1),2017
NCT01704287,28961465,501-1000,Ribas A et al,2015
NCT01704287,28961465,501-1000,Ribas A et al (1),2015
NCT01704287,28961465,501-1000,Hamid O et al,2017
NCT01704287,28961465,501-1000,Hamid O et al (1),2017
NCT00636168,27717298,501-1000,Eggermont AMM et al,2016
NCT00636168,27717298,501-1000,Eggermont AMM et al,2015
NCT01721746,25795410,100-500,Weber JS et al,2015
NCT01721746,25795410,100-500,Larkin J et al,2018
NCT01721746,28671856,100-500,Weber JS et al,2015
NCT01721746,28671856,100-500,Larkin J et al,2018
NCT02130466,31171878,100-500,Ascierto PA et al,2019
NCT02130466,31171878,100-500,Ferrucci PF et al,2020
NCT01721772,25399552,100-500,Robert C et al,2015
NCT01721772,25399552,100-500,Ascierto PA et al,2019
NCT01721772,25399552,100-500,Robert C et al,2020
NCT01721772,30422243,100-500,Robert C et al,2015
NCT01721772,30422243,100-500,Ascierto PA et al,2019
NCT01721772,30422243,100-500,Robert C et al,2020
NCT01843374,28729154,501-1000,Maio M et al,2017
NCT02576977,31327687,100-500,Mateos MV et al,2019
NCT02579863,31327689,100-500,Usmani SZ et al,2019
NCT00861614,24831977,501-1000,Kwon ED et al,2014
NCT00861614,24831977,501-1000,Fizazi K et al.,2020
NCT01057810,28034081,501-1000,Beer TM et al,2017
NCT02267343,31863227,100-500,Kang YK et al,2017
NCT02267343,31863227,100-500,Chen LT et al,2019
NCT02702401,31790344,100-500,Finn RS et al,2019
NCT02569242,31582355,100-500,Kato K et al,2019
NCT01042379,32053137,100-500,Nanda R et al,2019
NCT03043872,31590988,501-1000,Paz-Ares L et al,2019
NCT03043872,31590988,501-1000,Paz-Ares L et al (1),2019
NCT03043872,31590988,501-1000,Goldman JW et al,2020
NCT03043872,31590988,501-1000,Goldman JW et al (1),2020
NCT03043872,31590988,501-1000,Paz-Ares L et al,2019
NCT03043872,31590988,501-1000,Paz-Ares L et al (1),2019
NCT03043872,31590988,501-1000,Goldman JW et al,2020
NCT03043872,31590988,501-1000,Goldman JW et al (1),2020
NCT02425891,31786121,501-1000,Schmid P et al,2018
NCT02425891,31786121,501-1000,Schmid P et al,2019
NCT02358031,31679945,501-1000,Burtness B et al,2019
NCT02358031,31679945,501-1000,Burtness B et al (1),2019
NCT02358031,31679945,501-1000,Burtness B et al,2019
NCT02358031,31679945,501-1000,Burtness B et al (1),2019
NCT02763579,31959349,100-500,Horn L et al,2018
NCT02763579,31959349,100-500,Mansfield AS et al,2020
NCT02362048,32114502,less than 100,Overman M et al,2020
NCT02352948,32201234,501-1000,Planchard D et al,2020
NCT02352948,32201234,501-1000,Planchard D et al (1),2020
NCT02352948,32201234,501-1000,Planchard D et al (2),2020
NCT02352948,32201234,501-1000,Planchard D et al,2020
NCT02352948,32201234,501-1000,Planchard D et al (1),2020
NCT02352948,32201234,501-1000,Planchard D et al (2),2020
NCT02352948,32201234,501-1000,Planchard D et al,2020
NCT02352948,32201234,501-1000,Planchard D et al (1),2020
NCT02352948,32201234,501-1000,Planchard D et al (2),2020
NCT03036488,32101663,greater than 1000,Schmid P et al,2020
NCT01274338,31880964,greater than 1000,Tarhini AA et al,2020
NCT01274338,31880964,greater than 1000,Tarhini AA et al (1),2020
NCT01274338,31880964,greater than 1000,Tarhini AA et al,2020
NCT01274338,31880964,greater than 1000,Tarhini AA et al (1),2020
NCT02523313,32416781,100-500,Zimmer L et al,2020
NCT02523313,32416781,100-500,Zimmer L et al (1),2020
NCT02523313,32416781,100-500,Zimmer L et al,2020
NCT02523313,32416781,100-500,Zimmer L et al (1),2020
NCT01896869,32591464,less than 100,Wu AA et al,2020
NCT03066778,32468956,100-500,Rudin CM et al,2020
NCT02453282,32271377,greater than 1000,Rizvi NA et al,2020
NCT02453282,32271377,greater than 1000,Rizvi NA et al (1),2020
NCT02453282,32271377,greater than 1000,Rizvi NA et al,2020
NCT02453282,32271377,greater than 1000,Rizvi NA et al (1),2020
NCT02231749,32661118,greater than 1000,Motzer RJ et al,2018
NCT02231749,32661118,greater than 1000,Motzer RJ et al,2019
NCT02231749,32661118,greater than 1000,Motzer RJ et al,2020
NCT02367794,32302702,greater than 1000,Jotte R et al,2020
NCT02367794,32302702,greater than 1000,Jotte R et al (1),2020
NCT02367794,32302702,greater than 1000,Jotte R et al,2020
NCT02367794,32302702,greater than 1000,Jotte R et al (1),2020
NCT02908672,32534646,501-1000,Gutzmer R et al,2020
NCT02017717,32437507,100-500,Reardon DA et al,2020
NCT02500121,32271672,100-500,Galsky MD et al,2020
NCT02807636,32416780,greater than 1000,Galsky MD et al,2020
NCT02807636,32416780,greater than 1000,Galsky MD et al (1),2020
NCT02807636,32416780,greater than 1000,Galsky MD et al,2020
NCT02807636,32416780,greater than 1000,Galsky MD et al (1),2020
NCT03434379,32402160,100-500,Finn RS et al,2020
NCT02369874,32294530,501-1000,Ferris RL et al,2020
NCT02369874,32294530,501-1000,Ferris RL et al (1),2020
NCT02369874,32294530,501-1000,Ferris RL et al,2020
NCT02369874,32294530,501-1000,Ferris RL et al (1),2020
NCT02870920,32379280,100-500,Chen EX et al,2020
NCT02574598,32271354,less than 100,Arrieta O et al,2020
NCT01668784,32673417,501-1000,Motzer RJ et al,2015
NCT01668784,32673417,501-1000,Motzer RJ et al,2020
NCT02684006,32339648,501-1000,Motzer RJ et al,2019
NCT02684006,32339648,501-1000,Choueiri TK et al,2020
NCT02142738,27718847,100-500,Reck M et al,2019
NCT02142738,27718847,100-500,Reck M et al,2016
NCT00094653,23942774,501-1000,Hodi FS et al,2010
NCT00094653,23942774,501-1000,Hodi FS et al (1),2010
NCT00094653,23942774,501-1000,McDermott D et al,2013
NCT00094653,23942774,501-1000,McDermott D et al (1),2013
NCT00094653,23942774,501-1000,Hodi FS et al,2010
NCT00094653,23942774,501-1000,Hodi FS et al (1),2010
NCT00094653,23942774,501-1000,McDermott D et al,2013
NCT00094653,23942774,501-1000,McDermott D et al (1),2013
NCT03051659,32880602,less than 100,Tolaney SM et al,2020
NCT02494583,32880601,501-1000,Shitara K et al,2020
NCT02494583,32880601,501-1000,Shitara K et al (1),2020
NCT02494583,32880601,501-1000,Shitara K et al,2020
NCT02494583,32880601,501-1000,Shitara K et al (1),2020
NCT02819518,33278935,501-1000,Cortes J et al,2020
NCT02516241,32971005,greater than 1000,Powles T et al,2020
NCT02516241,32971005,greater than 1000,Powles T et al (1),2020
NCT02516241,32971005,greater than 1000,Powles T et al,2020
NCT02516241,32971005,greater than 1000,Powles T et al (1),2020
NCT03197935,32966830,100-500,Mittendorf EA et al,2020
NCT02603432,32945632,501-1000,Powles T et al,2020
NCT02625610,33197226,100-500,Moehler M et al,2020
NCT02899299,33485464,501-1000,Baas P et al.,2021
NCT02409342,32997907,501-1000,Herbst RS et al.,2020
NCT02924883,33002436,100-500,Emens LA et al,2020
NCT02853331,33284113,501-1000,Rini BI et al,2019
NCT02853331,33284113,501-1000,Powles T et al. ,2020
NCT02657434,33333328,501-1000,Nishio M et al,2020
NCT02564263,33026938,501-1000,Kojima T et al.,2020
NCT00861614,32811715,501-1000,Kwon ED et al,2014
NCT00861614,32811715,501-1000,Fizazi K et al.,2020
NCT01721772,32997575,100-500,Robert C et al,2015
NCT01721772,32997575,100-500,Ascierto PA et al,2019
NCT01721772,32997575,100-500,Robert C et al,2020
NCT02130466,33361337,100-500,Ascierto PA et al,2019
NCT02130466,33361337,100-500,Ferrucci PF et al,2020
NCT03043872,33285097,501-1000,Paz-Ares L et al,2019
NCT03043872,33285097,501-1000,Paz-Ares L et al (1),2019
NCT03043872,33285097,501-1000,Goldman JW et al,2020
NCT03043872,33285097,501-1000,Goldman JW et al (1),2020
NCT03043872,33285097,501-1000,Paz-Ares L et al,2019
NCT03043872,33285097,501-1000,Paz-Ares L et al (1),2019
NCT03043872,33285097,501-1000,Goldman JW et al,2020
NCT03043872,33285097,501-1000,Goldman JW et al (1),2020
NCT02991482,32976938,100-500,Popat S et al. ,2020
NCT02563002,33264544,100-500,Andre T et al.,2020
NCT02362594,32946353,greater than 1000,Eggermont AMM et al,2018
NCT02362594,32946353,greater than 1000,Eggermont AMM et al,2020
NCT00636168,25840693,501-1000,Eggermont AMM et al,2016
NCT00636168,25840693,501-1000,Eggermont AMM et al,2015
NCT01903993,33166718,100-500,Fehrenbacher L et al,2016
NCT01903993,33166718,100-500,Mazieres J et al,2020
NCT02008227,33166718,greater than 1000,Rittmeyer A et al,2017
NCT02008227,33166718,greater than 1000,Fehrenbacher L et al,2018
NCT02008227,33166718,greater than 1000,Mazieres J et al,2020
NCT02811861,33616314,greater than 1000,Motzer R et al,2021
NCT03215706,33476593,501-1000,Paz-Ares L et al,2021
NCT02481830,33539946,501-1000,Spigel DR et al,2021
NCT03141177,33657295,501-1000,Choueiri TK et al,2021
NCT02538666,33683919,501-1000,Owonikoko TK et al,2021
NCT02538666,33683919,501-1000,Owonikoko TK et al,2021
NCT02538666,33683919,501-1000,Owonikoko TK et al,2021
NCT02538666,33683919,501-1000,Owonikoko TK et al,2021
NCT02299999,33462450,100-500,Bachelot T et al,2021
NCT02684292,33721562,100-500,Kuruvilla J et al,2021
NCT02450331,33721560,501-1000,Bellmunt J et al,2021
NCT02555657,33676601,501-1000,Winer PE et al,2021
NCT03088540,33581821,501-1000,Sezer A et al,2021
NCT02852083,33796020,less than 100,Heudobler D et al,2021
NCT02952586,33794205,501-1000,Lee NY et al,2021
NCT02999087,33125944,less than 100,Tao Y et al.,2021
