NCT,biomarker_inclusion,Authors,Year,PMID
NCT02477826,Other,Hellmann MD et al (1),2019,31562796
NCT02477826,Other,Hellmann MD et al (2),2019,31562796
NCT02220894,PD-L1,Mok TSK et al,2019,30955977
NCT03059667,None,Pujol JL et al,2019,30664989
NCT02142738,PD-L1,Reck M et al,2019,30620668
NCT02142738,PD-L1,Reck M et al,2016,27718847
NCT02367781,None,West H et al,2019,31122901
NCT02613507,None,Wu YL et al,2019,30659987
NCT02454933,None,Yang JCH et al,2019,30763730
NCT00324155,None,Robert C et al,2011,21639810
NCT00094653,Other,Hodi FS et al,2010,20525992
NCT00094653,Other,Hodi FS et al (1),2010,20525992
NCT00094653,Other,McDermott D et al,2013,23942774
NCT00094653,Other,McDermott D et al (1),2013,23942774
NCT00094653,Other,Hodi FS et al,2010,20525992
NCT00094653,Other,Hodi FS et al (1),2010,20525992
NCT00094653,Other,McDermott D et al,2013,23942774
NCT00094653,Other,McDermott D et al (1),2013,23942774
NCT00257205,None,Ribas A et al,2013,23295794
NCT02362594,None,Eggermont AMM et al,2018,29658430
NCT02362594,None,Eggermont AMM et al,2020,32946353
NCT01704287,None,Ribas A et al,2015,26115796
NCT01704287,None,Ribas A et al (1),2015,26115796
NCT01704287,None,Hamid O et al,2017,28961465
NCT01704287,None,Hamid O et al (1),2017,28961465
NCT01704287,None,Ribas A et al,2015,26115796
NCT01704287,None,Ribas A et al (1),2015,26115796
NCT01704287,None,Hamid O et al,2017,28961465
NCT01704287,None,Hamid O et al (1),2017,28961465
NCT01704287,None,Ribas A et al,2015,26115796
NCT01704287,None,Ribas A et al (1),2015,26115796
NCT01704287,None,Hamid O et al,2017,28961465
NCT01704287,None,Hamid O et al (1),2017,28961465
NCT01704287,None,Ribas A et al,2015,26115796
NCT01704287,None,Ribas A et al (1),2015,26115796
NCT01704287,None,Hamid O et al,2017,28961465
NCT01704287,None,Hamid O et al (1),2017,28961465
NCT00636168,None,Eggermont AMM et al,2016,27717298
NCT00636168,None,Eggermont AMM et al,2015,25840693
NCT01721746,None,Weber JS et al,2015,25795410
NCT01721746,None,Larkin J et al,2018,28671856
NCT01721746,None,Weber JS et al,2015,25795410
NCT01721746,None,Larkin J et al,2018,28671856
NCT02130466,Other,Ascierto PA et al,2019,31171878
NCT02130466,Other,Ferrucci PF et al,2020,33361337
NCT01721772,Other,Robert C et al,2015,25399552
NCT01721772,Other,Ascierto PA et al,2019,30422243
NCT01721772,Other,Robert C et al,2020,32997575
NCT01721772,Other,Robert C et al,2015,25399552
NCT01721772,Other,Ascierto PA et al,2019,30422243
NCT01721772,Other,Robert C et al,2020,32997575
NCT01843374,None,Maio M et al,2017,28729154
NCT02576977,None,Mateos MV et al,2019,31327687
NCT02579863,None,Usmani SZ et al,2019,31327689
NCT00861614,None,Kwon ED et al,2014,24831977
NCT00861614,None,Fizazi K et al.,2020,32811715
NCT01057810,None,Beer TM et al,2017,28034081
NCT02267343,None,Kang YK et al,2017,28993052
NCT02267343,None,Chen LT et al,2019,31863227
NCT02702401,None,Finn RS et al,2019,31790344
NCT02569242,None,Kato K et al,2019,31582355
NCT01042379,Other,Nanda R et al,2019,32053137
NCT03043872,None,Paz-Ares L et al,2019,31590988
NCT03043872,None,Paz-Ares L et al (1),2019,31590988
NCT03043872,None,Goldman JW et al,2020,33285097
NCT03043872,None,Goldman JW et al (1),2020,33285097
NCT03043872,None,Paz-Ares L et al,2019,31590988
NCT03043872,None,Paz-Ares L et al (1),2019,31590988
NCT03043872,None,Goldman JW et al,2020,33285097
NCT03043872,None,Goldman JW et al (1),2020,33285097
NCT02425891,None,Schmid P et al,2018,30345906
NCT02425891,None,Schmid P et al,2019,31786121
NCT02358031,None,Burtness B et al,2019,31679945
NCT02358031,None,Burtness B et al (1),2019,31679945
NCT02358031,None,Burtness B et al,2019,31679945
NCT02358031,None,Burtness B et al (1),2019,31679945
NCT02763579,None,Horn L et al,2018,30280641
NCT02763579,None,Mansfield AS et al,2020,31959349
NCT02362048,None,Overman M et al,2020,32114502
NCT02352948,None,Planchard D et al,2020,32201234
NCT02352948,None,Planchard D et al (1),2020,32201234
NCT02352948,None,Planchard D et al (2),2020,32201234
NCT02352948,None,Planchard D et al,2020,32201234
NCT02352948,None,Planchard D et al (1),2020,32201234
NCT02352948,None,Planchard D et al (2),2020,32201234
NCT02352948,None,Planchard D et al,2020,32201234
NCT02352948,None,Planchard D et al (1),2020,32201234
NCT02352948,None,Planchard D et al (2),2020,32201234
NCT03036488,Other,Schmid P et al,2020,32101663
NCT01274338,None,Tarhini AA et al,2020,31880964
NCT01274338,None,Tarhini AA et al (1),2020,31880964
NCT01274338,None,Tarhini AA et al,2020,31880964
NCT01274338,None,Tarhini AA et al (1),2020,31880964
NCT02523313,None,Zimmer L et al,2020,32416781
NCT02523313,None,Zimmer L et al (1),2020,32416781
NCT02523313,None,Zimmer L et al,2020,32416781
NCT02523313,None,Zimmer L et al (1),2020,32416781
NCT01896869,None,Wu AA et al,2020,32591464
NCT03066778,None,Rudin CM et al,2020,32468956
NCT02453282,Other,Rizvi NA et al,2020,32271377
NCT02453282,Other,Rizvi NA et al (1),2020,32271377
NCT02453282,Other,Rizvi NA et al,2020,32271377
NCT02453282,Other,Rizvi NA et al (1),2020,32271377
NCT02231749,None,Motzer RJ et al,2018,29562145
NCT02231749,None,Motzer RJ et al,2019,31427204
NCT02231749,None,Motzer RJ et al,2020,32661118
NCT02367794,None,Jotte R et al,2020,32302702
NCT02367794,None,Jotte R et al (1),2020,32302702
NCT02367794,None,Jotte R et al,2020,32302702
NCT02367794,None,Jotte R et al (1),2020,32302702
NCT02908672,Other,Gutzmer R et al,2020,32534646
NCT02017717,None,Reardon DA et al,2020,32437507
NCT02500121,None,Galsky MD et al,2020,32271672
NCT02807636,None,Galsky MD et al,2020,32416780
NCT02807636,None,Galsky MD et al (1),2020,32416780
NCT02807636,None,Galsky MD et al,2020,32416780
NCT02807636,None,Galsky MD et al (1),2020,32416780
NCT03434379,None,Finn RS et al,2020,32402160
NCT02369874,PD-L1,Ferris RL et al,2020,32294530
NCT02369874,PD-L1,Ferris RL et al (1),2020,32294530
NCT02369874,PD-L1,Ferris RL et al,2020,32294530
NCT02369874,PD-L1,Ferris RL et al (1),2020,32294530
NCT02870920,None,Chen EX et al,2020,32379280
NCT02574598,None,Arrieta O et al,2020,32271354
NCT01668784,None,Motzer RJ et al,2015,26406148
NCT01668784,None,Motzer RJ et al,2020,32673417
NCT02684006,None,Motzer RJ et al,2019,30779531
NCT02684006,None,Choueiri TK et al,2020,32339648
NCT02142738,PD-L1,Reck M et al,2019,30620668
NCT02142738,PD-L1,Reck M et al,2016,27718847
NCT00094653,Other,Hodi FS et al,2010,20525992
NCT00094653,Other,Hodi FS et al (1),2010,20525992
NCT00094653,Other,McDermott D et al,2013,23942774
NCT00094653,Other,McDermott D et al (1),2013,23942774
NCT00094653,Other,Hodi FS et al,2010,20525992
NCT00094653,Other,Hodi FS et al (1),2010,20525992
NCT00094653,Other,McDermott D et al,2013,23942774
NCT00094653,Other,McDermott D et al (1),2013,23942774
NCT03051659,Other,Tolaney SM et al,2020,32880602
NCT02494583,Both,Shitara K et al,2020,32880601
NCT02494583,Both,Shitara K et al (1),2020,32880601
NCT02494583,Both,Shitara K et al,2020,32880601
NCT02494583,Both,Shitara K et al (1),2020,32880601
NCT02819518,Both,Cortes J et al,2020,33278935
NCT02516241,None,Powles T et al,2020,32971005
NCT02516241,None,Powles T et al (1),2020,32971005
NCT02516241,None,Powles T et al,2020,32971005
NCT02516241,None,Powles T et al (1),2020,32971005
NCT03197935,Other,Mittendorf EA et al,2020,32966830
NCT02603432,None,Powles T et al,2020,32945632
NCT02625610,Other,Moehler M et al,2020,33197226
NCT02899299,None,Baas P et al.,2021,33485464
NCT02409342,Both,Herbst RS et al.,2020,32997907
NCT02924883,Other,Emens LA et al,2020,33002436
NCT02853331,None,Rini BI et al,2019,30779529
NCT02853331,None,Powles T et al. ,2020,33284113
NCT02657434,Other,Nishio M et al,2020,33333328
NCT02564263,Other,Kojima T et al.,2020,33026938
NCT00861614,None,Kwon ED et al,2014,24831977
NCT00861614,None,Fizazi K et al.,2020,32811715
NCT01721772,Other,Robert C et al,2015,25399552
NCT01721772,Other,Ascierto PA et al,2019,30422243
NCT01721772,Other,Robert C et al,2020,32997575
NCT02130466,Other,Ascierto PA et al,2019,31171878
NCT02130466,Other,Ferrucci PF et al,2020,33361337
NCT03043872,None,Paz-Ares L et al,2019,31590988
NCT03043872,None,Paz-Ares L et al (1),2019,31590988
NCT03043872,None,Goldman JW et al,2020,33285097
NCT03043872,None,Goldman JW et al (1),2020,33285097
NCT03043872,None,Paz-Ares L et al,2019,31590988
NCT03043872,None,Paz-Ares L et al (1),2019,31590988
NCT03043872,None,Goldman JW et al,2020,33285097
NCT03043872,None,Goldman JW et al (1),2020,33285097
NCT02991482,None,Popat S et al. ,2020,32976938
NCT02563002,Other,Andre T et al.,2020,33264544
NCT02362594,None,Eggermont AMM et al,2018,29658430
NCT02362594,None,Eggermont AMM et al,2020,32946353
NCT00636168,None,Eggermont AMM et al,2016,27717298
NCT00636168,None,Eggermont AMM et al,2015,25840693
NCT01903993,None,Fehrenbacher L et al,2016,26970723
NCT01903993,None,Mazieres J et al,2020,33166718
NCT02008227,None,Rittmeyer A et al,2017,27979383
NCT02008227,None,Fehrenbacher L et al,2018,29777823
NCT02008227,None,Mazieres J et al,2020,33166718
NCT02811861,None,Motzer R et al,2021,33616314
NCT03215706,Other,Paz-Ares L et al,2021,33476593
NCT02481830,None,Spigel DR et al,2021,33539946
NCT03141177,None,Choueiri TK et al,2021,33657295
NCT02538666,None,Owonikoko TK et al,2021,33683919
NCT02538666,None,Owonikoko TK et al,2021,33683919
NCT02538666,None,Owonikoko TK et al,2021,33683919
NCT02538666,None,Owonikoko TK et al,2021,33683919
NCT02299999,Other,Bachelot T et al,2021,33462450
NCT02684292,None,Kuruvilla J et al,2021,33721562
NCT02450331,None,Bellmunt J et al,2021,33721560
NCT02555657,Other,Winer PE et al,2021,33676601
NCT03088540,Both,Sezer A et al,2021,33581821
NCT02852083,None,Heudobler D et al,2021,33796020
NCT02952586,None,Lee NY et al,2021,33794205
NCT02743494,None,Kelly RJ,2021,33789008
NCT02999087,Other,Tao Y et al.,2021,33125944
