NCT,Authors,Year,PMID,Trial name,Cancer type,Treatment regimen,inferred_cancer_type
NCT02366143,Socinski MA et al,2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Non-Small Cell Lung
NCT02366143,Socinski MA et al,2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Non-Small Cell Lung
NCT02366143,Socinski MA et al (1),2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Non-Small Cell Lung
NCT02366143,Socinski MA et al (1),2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al,2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al,2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (1),2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (1),2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al,2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al,2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al,2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Chemotherapy,Non-Small Cell Lung
NCT02220894,Mok TSK et al,2019,30955977,Keynote-042,Non-Small Cell Lung,Pembrolizumab,Non-Small Cell Lung
NCT03059667,Pujol JL et al,2019,30664989,IFCT-1603,Small Cell Lung,Atezolizumab,Small Cell Lung
NCT02142738,Reck M et al,2019,30620668,Keynote-024,Non-Small Cell Lung,Pembrolizumab,Non-Small Cell Lung
NCT02367781,West H et al,2019,31122901,IMpower130,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Non-Small Cell Lung
NCT02613507,Wu YL et al,2019,30659987,Checkmate 078,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02454933,Yang JCH et al,2019,30763730,CAURAL,Non-Small Cell Lung,Durvalumab+Osimertinib,Non-Small Cell Lung
NCT00324155,Robert C et al,2011,21639810,,Melanoma,Ipilimumab+Dacarbazine,Melanoma
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,Melanoma,Ipilimumab,Melanoma
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,Melanoma,Ipilimumab,Melanoma
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,Melanoma
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,Melanoma
NCT00257205,Ribas A et al,2013,23295794,,Melanoma,Tremelimumab,Melanoma
NCT02362594,Eggermont AMM et al,2018,29658430,EORTC 1325-MG/KEYNOTE-054,Melanoma,Pembrolizumab,Melanoma
NCT01704287,Ribas A et al,2015,26115796,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,Melanoma
NCT01704287,Ribas A et al,2015,26115796,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,Melanoma
NCT01704287,Ribas A et al (1),2015,26115796,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,Melanoma
NCT01704287,Ribas A et al (1),2015,26115796,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,Melanoma
NCT01704287,Hamid O et al,2017,28961465,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,Melanoma
NCT01704287,Hamid O et al,2017,28961465,KEYNOTE-002,Melanoma,Pembrolizumab 2 mg/kg,Melanoma
NCT01704287,Hamid O et al (1),2017,28961465,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,Melanoma
NCT01704287,Hamid O et al (1),2017,28961465,KEYNOTE-002,Melanoma,Pembrolizumab 10 mg/kg,Melanoma
NCT00636168,Eggermont AMM et al,2016,27717298,,Melanoma,Ipilimumab,Melanoma
NCT01721746,Weber JS et al,2015,25795410,CheckMate 037,Melanoma,Nivolumab,Melanoma
NCT01721746,Larkin J et al,2018,28671856,CheckMate 037,Melanoma,Nivolumab,Melanoma
NCT02130466,Ascierto PA et al,2019,31171878,KEYNOTE-022,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Melanoma
NCT01721772,Robert C et al,2015,25399552,CheckMate 066,Melanoma,Nivolumab,Melanoma
NCT01721772,Ascierto PA et al,2019,30422243,CheckMate 066,Melanoma,Nivolumab,Melanoma
NCT01843374,Maio M et al,2017,28729154,DETERMINE,Mesothelioma,Tremelimumab,Mesothelioma
NCT02576977,Mateos MV et al,2019,31327687,KEYNOTE-183,Multiple Myeloma,Pembrolizumab+Pomalidomide+Dexamethasone,Multiple Myeloma
NCT02579863,Usmani SZ et al,2019,31327689,KEYNOTE-185,Multiple Myeloma,Pembrolizumab+Lenalidomide+Dexamethasone,Multiple Myeloma
NCT00861614,Kwon ED et al,2014,24831977,CA184-043,Prostate,Ipilimumab,Prostate
NCT01057810,Beer TM et al,2017,28034081,CA184-095,Prostate,Ipilimumab,Prostate
NCT02267343,Chen LT et al,2019,31863227,ATTRACTION-2,Gastric/GEJ,Nivolumab,Gastric/GEJ
NCT02702401,Finn RS et al,2019,31790344,KEYNOTE-240,Hepatocellular,Pembrolizumab,Hepatocellular
NCT02569242,Kato K et al,2019,31582355,ATTRACTION-3,Esophageal/GEJ,Nivolumab,Esophageal/GEJ
NCT01042379,Nanda R et al,2019,32053137,I-SPY2,Breast,Pembrolizumab+Paclitaxel,Breast
NCT03043872,Paz-Ares L et al,2019,31590988,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Paz-Ares L et al,2019,31590988,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Paz-Ares L et al (1),2019,31590988,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Paz-Ares L et al (1),2019,31590988,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Small Cell Lung
NCT02425891,Schmid P et al,2019,31786121,IMpassion130,Breast,Atezolizumab+Nab-paclitaxel,Breast
NCT02358031,Burtness B et al,2019,31679945,KEYNOTE-048,Head and Neck,Pembrolizumab,Head and Neck
NCT02358031,Burtness B et al,2019,31679945,KEYNOTE-048,Head and Neck,Pembrolizumab,Head and Neck
NCT02358031,Burtness B et al (1),2019,31679945,KEYNOTE-048,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,Head and Neck
NCT02358031,Burtness B et al (1),2019,31679945,KEYNOTE-048,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,Head and Neck
NCT02763579,Mansfield AS et al,2020,31959349,IMpower133,Small Cell Lung,Atezolizumab+Carboplatin+Etoposide,Small Cell Lung
NCT02362048,Overman M et al,2020,32114502,KEYNOTE144,Pancreatic,Pembrolizumab+Acalabrutinib,Pancreatic
NCT02352948,Planchard D et al,2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab,Non-Small Cell Lung
NCT02352948,Planchard D et al,2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab,Non-Small Cell Lung
NCT02352948,Planchard D et al,2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab,Non-Small Cell Lung
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,Non-Small Cell Lung
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,Non-Small Cell Lung
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,Non-Small Cell Lung
NCT02352948,Planchard D et al (2),2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Non-Small Cell Lung
NCT02352948,Planchard D et al (2),2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Non-Small Cell Lung
NCT02352948,Planchard D et al (2),2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Non-Small Cell Lung
NCT03036488,Schmid P et al,2020,32101663,KEYNOTE-522,Breast,Pembrolizumab+Paclitaxel+Carboplatin,Breast
NCT01274338,Tarhini AA et al,2020,31880964,E1609,Melanoma,Ipilimumab,Melanoma
NCT01274338,Tarhini AA et al,2020,31880964,E1609,Melanoma,Ipilimumab,Melanoma
NCT01274338,Tarhini AA et al (1),2020,31880964,E1609,Melanoma,Ipilimumab,Melanoma
NCT01274338,Tarhini AA et al (1),2020,31880964,E1609,Melanoma,Ipilimumab,Melanoma
NCT02523313,Zimmer L et al,2020,32416781,IMMUNED,Melanoma,Nivolumab,Melanoma
NCT02523313,Zimmer L et al,2020,32416781,IMMUNED,Melanoma,Nivolumab,Melanoma
NCT02523313,Zimmer L et al (1),2020,32416781,IMMUNED,Melanoma,Nivolumab+Ipilimumab,Melanoma
NCT02523313,Zimmer L et al (1),2020,32416781,IMMUNED,Melanoma,Nivolumab+Ipilimumab,Melanoma
NCT01896869,Wu AA et al,2020,32591464,,Pancreatic,Ipilimumab+GVAX,Pancreatic
NCT03066778,Rudin CM et al,2020,32468956,KEYNOTE-604,Small Cell Lung,Pembrolizumab+Etoposide+Platinum agent,Small Cell Lung
NCT02453282,Rizvi NA et al,2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab,Non-Small Cell Lung
NCT02453282,Rizvi NA et al,2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab,Non-Small Cell Lung
NCT02453282,Rizvi NA et al (1),2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Non-Small Cell Lung
NCT02453282,Rizvi NA et al (1),2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,Non-Small Cell Lung
NCT02231749,Motzer RJ et al,2020,32661118,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,Renal cell
NCT02367794,Jotte R et al,2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Non-Small Cell Lung
NCT02367794,Jotte R et al,2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Non-Small Cell Lung
NCT02367794,Jotte R et al (1),2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Non-Small Cell Lung
NCT02367794,Jotte R et al (1),2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Non-Small Cell Lung
NCT02908672,Gutzmer R et al,2020,32534646,IMspire150,Melanoma,Atezolizumab+Vemurafenib+Cobimetinib,Melanoma
NCT02017717,Reardon DA et al,2020,32437507,CheckMate 143,Head and Neck,Nivolumab,Head and Neck
NCT02500121,Galsky MD et al,2020,32271672,,Urothelial,Pembrolizumab,Urothelial
NCT02807636,Galsky MD et al,2020,32416780,IMvigor130,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Urothelial
NCT02807636,Galsky MD et al,2020,32416780,IMvigor130,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Urothelial
NCT02807636,Galsky MD et al (1),2020,32416780,IMvigor130,Urothelial,Atezolizumab,Urothelial
NCT02807636,Galsky MD et al (1),2020,32416780,IMvigor130,Urothelial,Atezolizumab,Urothelial
NCT03434379,Finn RS et al,2020,32402160,IMbrave150,Hepatocellular,Atezolizumab+Bevacizumab,Hepatocellular
NCT02369874,Ferris RL et al,2020,32294530,EAGLE,Head and Neck,Durvalumab,Head and Neck
NCT02369874,Ferris RL et al,2020,32294530,EAGLE,Head and Neck,Durvalumab,Head and Neck
NCT02369874,Ferris RL et al (1),2020,32294530,EAGLE,Head and Neck,Durvalumab+Tremelimumab,Head and Neck
NCT02369874,Ferris RL et al (1),2020,32294530,EAGLE,Head and Neck,Durvalumab+Tremelimumab,Head and Neck
NCT02870920,Chen EX et al,2020,32379280,,Colorectal,Durvalumab+Tremelimumab+Best supportive care,Colorectal
NCT02574598,Arrieta O et al,2020,32271354,PROLUNG,Non-Small Cell Lung,Pembrolizumab+ Docetaxel,Non-Small Cell Lung
NCT01668784,Motzer RJ et al,2020,32673417,CheckMate 025,Renal cell,Nivolumab,Renal cell
NCT02684006,Choueiri TK et al,2020,32339648,JAVELIN Renal 101,Renal cell,Avelumab+Axitinib,Renal cell
NCT02142738,Reck M et al,2016,27718847,Keynote-024,Non-Small Cell Lung,Pembrolizumab,Non-Small Cell Lung
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,Melanoma,Ipilimumab,Melanoma
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,Melanoma,Ipilimumab,Melanoma
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,Melanoma
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,Melanoma
NCT03051659,Tolaney SM et al,2020,32880602,,Breast,Pembrolizumab+Eribulin,Breast
NCT02494583,Shitara K et al,2020,32880601,Keynote-062,Gastric/GEJ,Pembrolizumab,Gastric/GEJ
NCT02494583,Shitara K et al,2020,32880601,Keynote-062,Gastric/GEJ,Pembrolizumab,Gastric/GEJ
NCT02494583,Shitara K et al (1),2020,32880601,Keynote-062,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Gastric/GEJ
NCT02494583,Shitara K et al (1),2020,32880601,Keynote-062,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Gastric/GEJ
NCT02819518,Cortes J et al,2020,33278935,MK-3475/Keynote-355,Breast,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,Breast
NCT02516241,Powles T et al,2020,32971005,DANUBE,Urothelial,Durvalumab,Urothelial
NCT02516241,Powles T et al,2020,32971005,DANUBE,Urothelial,Durvalumab,Urothelial
NCT02516241,Powles T et al (1),2020,32971005,DANUBE,Urothelial,Durvalumab+Tremelimumab,Urothelial
NCT02516241,Powles T et al (1),2020,32971005,DANUBE,Urothelial,Durvalumab+Tremelimumab,Urothelial
NCT03197935,Mittendorf EA et al,2020,32966830,IMpassion031,Breast,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Breast
NCT02603432,Powles T et al,2020,32945632,,Urothelial,Avelumab+Best Supportive Care,Urothelial
NCT02625610,Moehler M et al,2020,33197226,Javelin Gastric 100,Gastric/GEJ,Avelumab,Gastric/GEJ
NCT02899299,Baas P et al.,2021,33485464,CheckMate 743,Mesothelioma,Nivolumab+Ipilimumab,Mesothelioma
NCT02409342,Herbst RS et al.,2020,32997907,IMpower110,Non-Small Cell Lung,Atezolizumab,Non-Small Cell Lung
NCT02924883,Emens LA et al,2020,33002436,KATE2,Breast,Atezolizumab,Breast
NCT02853331,Powles T et al. ,2020,33284113,Keynote-426,Renal cell,Pembrolizumab+Axitinib,Renal cell
NCT02657434,Nishio M et al,2020,33333328,Impower 132,NSCLC,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,NSCLC
NCT02564263,Kojima T et al.,2020,33026938,KEYNOTE-181,Esophageal/GEJ,Pembrolizumab,Esophageal/GEJ
NCT00861614,Fizazi K et al.,2020,32811715,CA184-043,Prostate,Ipilimumab,Prostate
NCT01721772,Robert C et al,2020,32997575,CheckMate 066,Melanoma,Nivolumab,Melanoma
NCT02130466,Ferrucci PF et al,2020,33361337,KEYNOTE-022,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Melanoma
NCT03043872,Goldman JW et al,2020,33285097,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Goldman JW et al,2020,33285097,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Goldman JW et al (1),2020,33285097,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Goldman JW et al (1),2020,33285097,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Small Cell Lung
NCT02991482,Popat S et al. ,2020,32976938,PROMISE-meso,Mesothelioma,Pembrolizumab,Mesothelioma
NCT02563002,Andre T et al.,2020,33264544,MK-3475/Keynote-177,Colorectal,Pembrolizumab,Colorectal
NCT02362594,Eggermont AMM et al,2020,32946353,EORTC 1325-MG/KEYNOTE-054,Melanoma,Pembrolizumab,Melanoma
NCT00636168,Eggermont AMM et al,2015,25840693,,Melanoma,Ipilimumab,Melanoma
NCT01903993,Mazieres J et al,2020,33166718,POPLAR,Non-Small Cell Lung,Atezolizumab,Non-Small Cell Lung
NCT02008227,Mazieres J et al,2020,33166718,OAK,Non-Small Cell Lung,Atezolizumab,Non-Small Cell Lung
NCT02811861,Motzer R et al,2021,33616314,CLEAR,Renal cell,Pembrolizumab+Lenvatinib,Renal cell
NCT03215706,Paz-Ares L et al,2021,33476593,CheckMate 9LA,Non-Small Cell Lung,Nivolumab+Ipilimumab+Chemotherapy,Non-Small Cell Lung
NCT02481830,Spigel DR et al,2021,33539946,CheckMate 331,Small Cell Lung,Nivolumab,Small Cell Lung
NCT03141177,Choueiri TK et al,2021,33657295,CheckMate 9ER,Renal cell,Nivolumab+Cabozantinib,Renal cell
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Small Cell Lung,Nivolumab+Ipilimumab,Small Cell Lung
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Small Cell Lung,Nivolumab+Ipilimumab,Small Cell Lung
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Small Cell Lung,Nivolumab,Small Cell Lung
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Small Cell Lung,Nivolumab,Small Cell Lung
NCT02299999,Bachelot T et al,2021,33462450,SAFIR02-BREAST IMMUNO,Breast,Durvalumab,Breast
NCT02684292,Kuruvilla J et al,2021,33721562,Keynote-204,Hodgkin Lymphoma,Pembrolizumab,Hodgkin Lymphoma
NCT02450331,Bellmunt J et al,2021,33721560,Imvigor010,Urothelial,Atezolizumab,Urothelial
NCT02555657,Winer PE et al,2021,33676601,Keynote-119,Breast,Pembrolizumab,Breast
NCT03088540,Sezer A et al,2021,33581821,EMPOWER-Lung 1,Non-Small Cell Lung,Cemiplimab,Non-Small Cell Lung
NCT02852083,Heudobler D et al,2021,33796020,ModuLung,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02952586,Lee NY et al,2021,33794205,JAVELIN Head and Neck 101,Head and Neck,Avelumab+Chemoradiotherapy,Head and Neck
NCT02743494,Kelly RJ,2021,33789008,CheckMate 577,,Nivolumab,unknown
NCT02999087,Tao Y et al.,2021,33125944,REACH,Head and Neck,Avelumab+cetuximab+radiotherapy,Head and Neck
