NCT,PMID,cancer_type,treatment_type,Authors,Year
NCT01843374,28729154,Other,Immunotherapy,Maio M et al,2017
NCT02576977,31327687,Other,Combination,Mateos MV et al,2019
NCT02579863,31327689,Other,Combination,Usmani SZ et al,2019
NCT00861614,24831977,Prostate,Immunotherapy,Kwon ED et al,2014
NCT00861614,24831977,Prostate,Immunotherapy,Fizazi K et al.,2020
NCT01057810,28034081,Prostate,Immunotherapy,Beer TM et al,2017
NCT02267343,31863227,Gastric,Immunotherapy,Kang YK et al,2017
NCT02267343,31863227,Gastric,Immunotherapy,Chen LT et al,2019
NCT02702401,31790344,Other,Immunotherapy,Finn RS et al,2019
NCT02569242,31582355,Esophageal,Immunotherapy,Kato K et al,2019
NCT01042379,32053137,Breast,Combination,Nanda R et al,2019
NCT03043872,31590988,Lung,Combination,Paz-Ares L et al,2019
NCT03043872,31590988,Lung,Combination,Paz-Ares L et al (1),2019
NCT03043872,31590988,Lung,Combination,Goldman JW et al,2020
NCT03043872,31590988,Lung,Combination,Goldman JW et al (1),2020
NCT03043872,31590988,Lung,Combination,Paz-Ares L et al,2019
NCT03043872,31590988,Lung,Combination,Paz-Ares L et al (1),2019
NCT03043872,31590988,Lung,Combination,Goldman JW et al,2020
NCT03043872,31590988,Lung,Combination,Goldman JW et al (1),2020
NCT02425891,31786121,Breast,Combination,Schmid P et al,2018
NCT02425891,31786121,Breast,Combination,Schmid P et al,2019
NCT02358031,31679945,Head and Neck,Immunotherapy,Burtness B et al,2019
NCT02358031,31679945,Head and Neck,Immunotherapy,Burtness B et al (1),2019
NCT02358031,31679945,Head and Neck,Combination,Burtness B et al,2019
NCT02358031,31679945,Head and Neck,Combination,Burtness B et al (1),2019
NCT02763579,31959349,Lung,Combination,Horn L et al,2018
NCT02763579,31959349,Lung,Combination,Mansfield AS et al,2020
NCT02362048,32114502,Other,Combination,Overman M et al,2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al,2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (2),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al,2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (2),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al,2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (2),2020
NCT03036488,32101663,Breast,Combination,Schmid P et al,2020
NCT01274338,31880964,Melanoma,Immunotherapy,Tarhini AA et al,2020
NCT01274338,31880964,Melanoma,Immunotherapy,Tarhini AA et al (1),2020
NCT01274338,31880964,Melanoma,Immunotherapy,Tarhini AA et al,2020
NCT01274338,31880964,Melanoma,Immunotherapy,Tarhini AA et al (1),2020
NCT02523313,32416781,Melanoma,Immunotherapy,Zimmer L et al,2020
NCT02523313,32416781,Melanoma,Immunotherapy,Zimmer L et al (1),2020
NCT02523313,32416781,Melanoma,Combination,Zimmer L et al,2020
NCT02523313,32416781,Melanoma,Combination,Zimmer L et al (1),2020
NCT01896869,32591464,Other,Combination,Wu AA et al,2020
NCT03066778,32468956,Lung,Combination,Rudin CM et al,2020
NCT02453282,32271377,Lung,Immunotherapy,Rizvi NA et al,2020
NCT02453282,32271377,Lung,Immunotherapy,Rizvi NA et al (1),2020
NCT02453282,32271377,Lung,Immunotherapy,Rizvi NA et al,2020
NCT02453282,32271377,Lung,Immunotherapy,Rizvi NA et al (1),2020
NCT02231749,32661118,Renal,Combination,Motzer RJ et al,2018
NCT02231749,32661118,Renal,Combination,Motzer RJ et al,2019
NCT02231749,32661118,Renal,Combination,Motzer RJ et al,2020
NCT02367794,32302702,Lung,Combination,Jotte R et al,2020
NCT02367794,32302702,Lung,Combination,Jotte R et al (1),2020
NCT02367794,32302702,Lung,Combination,Jotte R et al,2020
NCT02367794,32302702,Lung,Combination,Jotte R et al (1),2020
NCT02908672,32534646,Melanoma,Combination,Gutzmer R et al,2020
NCT02017717,32437507,Head and Neck,Immunotherapy,Reardon DA et al,2020
NCT02500121,32271672,Bladder,Immunotherapy,Galsky MD et al,2020
NCT02807636,32416780,Bladder,Combination,Galsky MD et al,2020
NCT02807636,32416780,Bladder,Combination,Galsky MD et al (1),2020
NCT02807636,32416780,Bladder,Immunotherapy,Galsky MD et al,2020
NCT02807636,32416780,Bladder,Immunotherapy,Galsky MD et al (1),2020
NCT03434379,32402160,Other,Combination,Finn RS et al,2020
NCT02369874,32294530,Head and Neck,Immunotherapy,Ferris RL et al,2020
NCT02369874,32294530,Head and Neck,Immunotherapy,Ferris RL et al (1),2020
NCT02369874,32294530,Head and Neck,Immunotherapy,Ferris RL et al,2020
NCT02369874,32294530,Head and Neck,Immunotherapy,Ferris RL et al (1),2020
NCT02870920,32379280,Colorectal,Combination,Chen EX et al,2020
NCT02574598,32271354,Lung,Combination,Arrieta O et al,2020
NCT01668784,32673417,Renal,Immunotherapy,Motzer RJ et al,2015
NCT01668784,32673417,Renal,Immunotherapy,Motzer RJ et al,2020
NCT02684006,32339648,Renal,Combination,Motzer RJ et al,2019
NCT02684006,32339648,Renal,Combination,Choueiri TK et al,2020
NCT02142738,27718847,Lung,Immunotherapy,Reck M et al,2019
NCT02142738,27718847,Lung,Immunotherapy,Reck M et al,2016
NCT00094653,23942774,Melanoma,Immunotherapy,Hodi FS et al,2010
NCT00094653,23942774,Melanoma,Immunotherapy,Hodi FS et al (1),2010
NCT00094653,23942774,Melanoma,Immunotherapy,McDermott D et al,2013
NCT00094653,23942774,Melanoma,Immunotherapy,McDermott D et al (1),2013
NCT00094653,23942774,Melanoma,Immunotherapy,Hodi FS et al,2010
NCT00094653,23942774,Melanoma,Immunotherapy,Hodi FS et al (1),2010
NCT00094653,23942774,Melanoma,Immunotherapy,McDermott D et al,2013
NCT00094653,23942774,Melanoma,Immunotherapy,McDermott D et al (1),2013
NCT03051659,32880602,Breast,Combination,Tolaney SM et al,2020
NCT02494583,32880601,Gastric,Immunotherapy,Shitara K et al,2020
NCT02494583,32880601,Gastric,Immunotherapy,Shitara K et al (1),2020
NCT02494583,32880601,Gastric,Combination,Shitara K et al,2020
NCT02494583,32880601,Gastric,Combination,Shitara K et al (1),2020
NCT02819518,33278935,Breast,Combination,Cortes J et al,2020
NCT02516241,32971005,Bladder,Immunotherapy,Powles T et al,2020
NCT02516241,32971005,Bladder,Immunotherapy,Powles T et al (1),2020
NCT02516241,32971005,Bladder,Immunotherapy,Powles T et al,2020
NCT02516241,32971005,Bladder,Immunotherapy,Powles T et al (1),2020
NCT03197935,32966830,Breast,Combination,Mittendorf EA et al,2020
NCT02603432,32945632,Bladder,Immunotherapy,Powles T et al,2020
NCT02625610,33197226,Gastric,Immunotherapy,Moehler M et al,2020
NCT02899299,33485464,Other,Combination,Baas P et al.,2021
NCT02409342,32997907,Lung,Immunotherapy,Herbst RS et al.,2020
NCT02924883,33002436,Breast,Immunotherapy,Emens LA et al,2020
NCT02853331,33284113,Renal,Combination,Rini BI et al,2019
NCT02853331,33284113,Renal,Combination,Powles T et al. ,2020
NCT02657434,33333328,Lung,Combination,Nishio M et al,2020
NCT02564263,33026938,Esophageal,Immunotherapy,Kojima T et al.,2020
NCT00861614,32811715,Prostate,Immunotherapy,Kwon ED et al,2014
NCT00861614,32811715,Prostate,Immunotherapy,Fizazi K et al.,2020
NCT01721772,32997575,Melanoma,Immunotherapy,Robert C et al,2015
NCT01721772,32997575,Melanoma,Immunotherapy,Ascierto PA et al,2019
NCT01721772,32997575,Melanoma,Immunotherapy,Robert C et al,2020
NCT02130466,33361337,Melanoma,Combination,Ascierto PA et al,2019
NCT02130466,33361337,Melanoma,Combination,Ferrucci PF et al,2020
NCT03043872,33285097,Lung,Combination,Paz-Ares L et al,2019
NCT03043872,33285097,Lung,Combination,Paz-Ares L et al (1),2019
NCT03043872,33285097,Lung,Combination,Goldman JW et al,2020
NCT03043872,33285097,Lung,Combination,Goldman JW et al (1),2020
NCT03043872,33285097,Lung,Combination,Paz-Ares L et al,2019
NCT03043872,33285097,Lung,Combination,Paz-Ares L et al (1),2019
NCT03043872,33285097,Lung,Combination,Goldman JW et al,2020
NCT03043872,33285097,Lung,Combination,Goldman JW et al (1),2020
NCT02991482,32976938,Other,Immunotherapy,Popat S et al. ,2020
NCT02563002,33264544,Colorectal,Immunotherapy,Andre T et al.,2020
NCT02362594,32946353,Melanoma,Immunotherapy,Eggermont AMM et al,2018
NCT02362594,32946353,Melanoma,Immunotherapy,Eggermont AMM et al,2020
NCT00636168,25840693,Melanoma,Immunotherapy,Eggermont AMM et al,2016
NCT00636168,25840693,Melanoma,Immunotherapy,Eggermont AMM et al,2015
NCT01903993,33166718,Lung,Immunotherapy,Fehrenbacher L et al,2016
NCT01903993,33166718,Lung,Immunotherapy,Mazieres J et al,2020
NCT02008227,33166718,Lung,Immunotherapy,Rittmeyer A et al,2017
NCT02008227,33166718,Lung,Immunotherapy,Fehrenbacher L et al,2018
NCT02008227,33166718,Lung,Immunotherapy,Mazieres J et al,2020
NCT02811861,33616314,Renal,Combination,Motzer R et al,2021
NCT03215706,33476593,Lung,Combination,Paz-Ares L et al,2021
NCT02481830,33539946,Lung,Immunotherapy,Spigel DR et al,2021
NCT03141177,33657295,Renal,Combination,Choueiri TK et al,2021
NCT02538666,33683919,Lung,Immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Immunotherapy,Owonikoko TK et al,2021
NCT02299999,33462450,Breast,Immunotherapy,Bachelot T et al,2021
NCT02684292,33721562,Lymphoma,Immunotherapy,Kuruvilla J et al,2021
NCT02450331,33721560,Bladder,Immunotherapy,Bellmunt J et al,2021
NCT02555657,33676601,Breast,Immunotherapy,Winer PE et al,2021
NCT03088540,33581821,Lung,Immunotherapy,Sezer A et al,2021
NCT02852083,33796020,Lung,Immunotherapy,Heudobler D et al,2021
NCT02952586,33794205,Head and Neck,Combination,Lee NY et al,2021
NCT02743494,33789008,Other,Immunotherapy,Kelly RJ,2021
NCT02999087,33125944,Head and Neck,Combination,Tao Y et al.,2021
