NCT,PMID,clinical_setting_normalized,Authors,Year
NCT02477826,31562796,metastatic,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic,Hellmann MD et al,2018
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic,Hellmann MD et al,2019
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2019
NCT02477826,31562796,metastatic,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic,Hellmann MD et al,2018
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic,Hellmann MD et al,2019
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2019
NCT02477826,31562796,metastatic,Hellmann MD et al (2),2019
NCT02220894,30955977,metastatic,Mok TSK et al,2019
NCT02142738,30620668,metastatic,Reck M et al,2019
NCT02142738,30620668,metastatic,Reck M et al,2016
NCT02367781,31122901,metastatic,West H et al,2019
NCT02613507,30659987,metastatic,Wu YL et al,2019
NCT00324155,21639810,metastatic,Robert C et al,2011
NCT00094653,20525992,metastatic,Hodi FS et al,2010
NCT00094653,20525992,metastatic,Hodi FS et al (1),2010
NCT00094653,20525992,metastatic,McDermott D et al,2013
NCT00094653,20525992,metastatic,McDermott D et al (1),2013
NCT00094653,20525992,metastatic,Hodi FS et al,2010
NCT00094653,20525992,metastatic,Hodi FS et al (1),2010
NCT00094653,20525992,metastatic,McDermott D et al,2013
NCT00094653,20525992,metastatic,McDermott D et al (1),2013
NCT00257205,23295794,metastatic,Ribas A et al,2013
NCT02362594,29658430,adjuvant,Eggermont AMM et al,2018
NCT02362594,29658430,adjuvant,Eggermont AMM et al,2020
NCT01704287,26115796,metastatic,Ribas A et al,2015
NCT01704287,26115796,metastatic,Ribas A et al (1),2015
NCT01704287,26115796,metastatic,Hamid O et al,2017
NCT01704287,26115796,metastatic,Hamid O et al (1),2017
NCT01704287,26115796,metastatic,Ribas A et al,2015
NCT01704287,26115796,metastatic,Ribas A et al (1),2015
NCT01704287,26115796,metastatic,Hamid O et al,2017
NCT01704287,26115796,metastatic,Hamid O et al (1),2017
NCT01704287,28961465,metastatic,Ribas A et al,2015
NCT01704287,28961465,metastatic,Ribas A et al (1),2015
NCT01704287,28961465,metastatic,Hamid O et al,2017
NCT01704287,28961465,metastatic,Hamid O et al (1),2017
NCT01704287,28961465,metastatic,Ribas A et al,2015
NCT01704287,28961465,metastatic,Ribas A et al (1),2015
NCT01704287,28961465,metastatic,Hamid O et al,2017
NCT01704287,28961465,metastatic,Hamid O et al (1),2017
NCT00636168,27717298,metastatic,Eggermont AMM et al,2016
NCT00636168,27717298,metastatic,Eggermont AMM et al,2015
NCT01721746,25795410,metastatic,Weber JS et al,2015
NCT01721746,25795410,metastatic,Larkin J et al,2018
NCT01721746,28671856,metastatic,Weber JS et al,2015
NCT01721746,28671856,metastatic,Larkin J et al,2018
NCT02130466,31171878,metastatic,Ascierto PA et al,2019
NCT02130466,31171878,metastatic,Ferrucci PF et al,2020
NCT01721772,25399552,metastatic,Robert C et al,2015
NCT01721772,25399552,metastatic,Ascierto PA et al,2019
NCT01721772,25399552,metastatic,Robert C et al,2020
NCT01721772,30422243,metastatic,Robert C et al,2015
NCT01721772,30422243,metastatic,Ascierto PA et al,2019
NCT01721772,30422243,metastatic,Robert C et al,2020
NCT01843374,28729154,metastatic,Maio M et al,2017
NCT02576977,31327687,unknown,Mateos MV et al,2019
NCT02579863,31327689,unknown,Usmani SZ et al,2019
NCT00861614,24831977,metastatic,Kwon ED et al,2014
NCT00861614,24831977,metastatic,Fizazi K et al.,2020
NCT01057810,28034081,metastatic,Beer TM et al,2017
NCT02267343,31863227,metastatic,Kang YK et al,2017
NCT02267343,31863227,metastatic,Chen LT et al,2019
NCT02702401,31790344,metastatic,Finn RS et al,2019
NCT02569242,31582355,metastatic,Kato K et al,2019
NCT01042379,32053137,neoadjuvant,Nanda R et al,2019
NCT03043872,31590988,metastatic,Paz-Ares L et al,2019
NCT03043872,31590988,metastatic,Paz-Ares L et al (1),2019
NCT03043872,31590988,metastatic,Goldman JW et al,2020
NCT03043872,31590988,metastatic,Goldman JW et al (1),2020
NCT03043872,31590988,metastatic,Paz-Ares L et al,2019
NCT03043872,31590988,metastatic,Paz-Ares L et al (1),2019
NCT03043872,31590988,metastatic,Goldman JW et al,2020
NCT03043872,31590988,metastatic,Goldman JW et al (1),2020
NCT02425891,31786121,metastatic,Schmid P et al,2018
NCT02425891,31786121,metastatic,Schmid P et al,2019
NCT02358031,31679945,metastatic,Burtness B et al,2019
NCT02358031,31679945,metastatic,Burtness B et al (1),2019
NCT02358031,31679945,metastatic,Burtness B et al,2019
NCT02358031,31679945,metastatic,Burtness B et al (1),2019
NCT02763579,31959349,metastatic,Horn L et al,2018
NCT02763579,31959349,metastatic,Mansfield AS et al,2020
NCT02352948,32201234,metastatic,Planchard D et al,2020
NCT02352948,32201234,metastatic,Planchard D et al (1),2020
NCT02352948,32201234,metastatic,Planchard D et al (2),2020
NCT02352948,32201234,metastatic,Planchard D et al,2020
NCT02352948,32201234,metastatic,Planchard D et al (1),2020
NCT02352948,32201234,metastatic,Planchard D et al (2),2020
NCT02352948,32201234,metastatic,Planchard D et al,2020
NCT02352948,32201234,metastatic,Planchard D et al (1),2020
NCT02352948,32201234,metastatic,Planchard D et al (2),2020
NCT03036488,32101663,neoadjuvant,Schmid P et al,2020
NCT01274338,31880964,adjuvant,Tarhini AA et al,2020
NCT01274338,31880964,adjuvant,Tarhini AA et al (1),2020
NCT01274338,31880964,adjuvant,Tarhini AA et al,2020
NCT01274338,31880964,adjuvant,Tarhini AA et al (1),2020
NCT02523313,32416781,metastatic,Zimmer L et al,2020
NCT02523313,32416781,metastatic,Zimmer L et al (1),2020
NCT02523313,32416781,metastatic,Zimmer L et al,2020
NCT02523313,32416781,metastatic,Zimmer L et al (1),2020
NCT03066778,32468956,metastatic,Rudin CM et al,2020
NCT02453282,32271377,metastatic,Rizvi NA et al,2020
NCT02453282,32271377,metastatic,Rizvi NA et al (1),2020
NCT02453282,32271377,metastatic,Rizvi NA et al,2020
NCT02453282,32271377,metastatic,Rizvi NA et al (1),2020
NCT02231749,32661118,metastatic,Motzer RJ et al,2018
NCT02231749,32661118,metastatic,Motzer RJ et al,2019
NCT02231749,32661118,metastatic,Motzer RJ et al,2020
NCT02367794,32302702,metastatic,Jotte R et al,2020
NCT02367794,32302702,metastatic,Jotte R et al (1),2020
NCT02367794,32302702,metastatic,Jotte R et al,2020
NCT02367794,32302702,metastatic,Jotte R et al (1),2020
NCT02908672,32534646,metastatic,Gutzmer R et al,2020
NCT02017717,32437507,metastatic,Reardon DA et al,2020
NCT02500121,32271672,metastatic,Galsky MD et al,2020
NCT02807636,32416780,metastatic,Galsky MD et al,2020
NCT02807636,32416780,metastatic,Galsky MD et al (1),2020
NCT02807636,32416780,metastatic,Galsky MD et al,2020
NCT02807636,32416780,metastatic,Galsky MD et al (1),2020
NCT03434379,32402160,metastatic,Finn RS et al,2020
NCT02369874,32294530,metastatic,Ferris RL et al,2020
NCT02369874,32294530,metastatic,Ferris RL et al (1),2020
NCT02369874,32294530,metastatic,Ferris RL et al,2020
NCT02369874,32294530,metastatic,Ferris RL et al (1),2020
NCT02870920,32379280,metastatic,Chen EX et al,2020
NCT01668784,32673417,metastatic,Motzer RJ et al,2015
NCT01668784,32673417,metastatic,Motzer RJ et al,2020
NCT02684006,32339648,metastatic,Motzer RJ et al,2019
NCT02684006,32339648,metastatic,Choueiri TK et al,2020
NCT02142738,27718847,metastatic,Reck M et al,2019
NCT02142738,27718847,metastatic,Reck M et al,2016
NCT00094653,23942774,metastatic,Hodi FS et al,2010
NCT00094653,23942774,metastatic,Hodi FS et al (1),2010
NCT00094653,23942774,metastatic,McDermott D et al,2013
NCT00094653,23942774,metastatic,McDermott D et al (1),2013
NCT00094653,23942774,metastatic,Hodi FS et al,2010
NCT00094653,23942774,metastatic,Hodi FS et al (1),2010
NCT00094653,23942774,metastatic,McDermott D et al,2013
NCT00094653,23942774,metastatic,McDermott D et al (1),2013
NCT02494583,32880601,metastatic,Shitara K et al,2020
NCT02494583,32880601,metastatic,Shitara K et al (1),2020
NCT02494583,32880601,metastatic,Shitara K et al,2020
NCT02494583,32880601,metastatic,Shitara K et al (1),2020
NCT02819518,33278935,metastatic,Cortes J et al,2020
NCT02516241,32971005,metastatic,Powles T et al,2020
NCT02516241,32971005,metastatic,Powles T et al (1),2020
NCT02516241,32971005,metastatic,Powles T et al,2020
NCT02516241,32971005,metastatic,Powles T et al (1),2020
NCT03197935,32966830,neoadjuvant,Mittendorf EA et al,2020
NCT02603432,32945632,metastatic,Powles T et al,2020
NCT02625610,33197226,metastatic,Moehler M et al,2020
NCT02899299,33485464,metastatic,Baas P et al.,2021
NCT02409342,32997907,metastatic,Herbst RS et al.,2020
NCT02924883,33002436,metastatic,Emens LA et al,2020
NCT02853331,33284113,metastatic,Rini BI et al,2019
NCT02853331,33284113,metastatic,Powles T et al. ,2020
NCT02657434,33333328,metastatic,Nishio M et al,2020
NCT02564263,33026938,metastatic,Kojima T et al.,2020
NCT00861614,32811715,metastatic,Kwon ED et al,2014
NCT00861614,32811715,metastatic,Fizazi K et al.,2020
NCT01721772,32997575,metastatic,Robert C et al,2015
NCT01721772,32997575,metastatic,Ascierto PA et al,2019
NCT01721772,32997575,metastatic,Robert C et al,2020
NCT02130466,33361337,metastatic,Ascierto PA et al,2019
NCT02130466,33361337,metastatic,Ferrucci PF et al,2020
NCT03043872,33285097,metastatic,Paz-Ares L et al,2019
NCT03043872,33285097,metastatic,Paz-Ares L et al (1),2019
NCT03043872,33285097,metastatic,Goldman JW et al,2020
NCT03043872,33285097,metastatic,Goldman JW et al (1),2020
NCT03043872,33285097,metastatic,Paz-Ares L et al,2019
NCT03043872,33285097,metastatic,Paz-Ares L et al (1),2019
NCT03043872,33285097,metastatic,Goldman JW et al,2020
NCT03043872,33285097,metastatic,Goldman JW et al (1),2020
NCT02991482,32976938,metastatic,Popat S et al. ,2020
NCT02563002,33264544,metastatic,Andre T et al.,2020
NCT02362594,32946353,adjuvant,Eggermont AMM et al,2018
NCT02362594,32946353,adjuvant,Eggermont AMM et al,2020
NCT00636168,25840693,metastatic,Eggermont AMM et al,2016
NCT00636168,25840693,metastatic,Eggermont AMM et al,2015
NCT01903993,33166718,metastatic,Fehrenbacher L et al,2016
NCT01903993,33166718,metastatic,Mazieres J et al,2020
NCT02008227,33166718,metastatic,Rittmeyer A et al,2017
NCT02008227,33166718,metastatic,Fehrenbacher L et al,2018
NCT02008227,33166718,metastatic,Mazieres J et al,2020
NCT02811861,33616314,metastatic,Motzer R et al,2021
NCT03215706,33476593,metastatic,Paz-Ares L et al,2021
NCT02481830,33539946,metastatic,Spigel DR et al,2021
NCT03141177,33657295,metastatic,Choueiri TK et al,2021
NCT02538666,33683919,other,Owonikoko TK et al,2021
NCT02538666,33683919,other,Owonikoko TK et al,2021
NCT02538666,33683919,other,Owonikoko TK et al,2021
NCT02538666,33683919,other,Owonikoko TK et al,2021
NCT02299999,33462450,other,Bachelot T et al,2021
NCT02684292,33721562,other,Kuruvilla J et al,2021
NCT02450331,33721560,adjuvant,Bellmunt J et al,2021
NCT02555657,33676601,metastatic,Winer PE et al,2021
NCT03088540,33581821,metastatic,Sezer A et al,2021
NCT02952586,33794205,metastatic,Lee NY et al,2021
