NCT,Authors,Year,PMID,Trial name,Trial phase,Number of arms,Total sample size,Original publication or Follow-up,Cancer type,Treatment regimen,Name of ICI,Class of ICI,Monotherapy/combination,Type of combination,Control regimen,Control arm,Lines of treatment,Clinical setting in relation to surgery,Primary endpoint,"Primary Multiple, composite, or co-primary endpoints?",Secondary endpoint,Is PD-L1 positivity inclusion criteria,Is any other biomarker used for inclusion,Type of follow-up given,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Rx,Follow-up duration for primary endpoint(s) in months | Control,Type of therapy,Clinical setting
NCT02370498,Shitara K et al,2018,29880231,Keynote-061,Phase 3,2,395.0,Original publication,Gastric/GEJ,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Paclitaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DoR, in patients with PD-L1 CPS of 1 or higher and in the total population; PFS, OS in the total population; PFS in the population with CPS of 1 or higher and in the total population; and time to progression in the population with CPS of 1 or higher and in the total population; safety",False,False,Median,7.9,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02252042,Cohen EEW et al,2018,30509740,KEYNOTE-040,Phase 3,2,495.0,Original publication,Head and Neck ,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Methotrexate/Docetaxel/Cetuximab,Chemo/Anti-EGFR,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"OS in the population with 
a PD-L1 combined positive 
score of 1 or higher; safety, 
PFS,ORR, duration of 
confirmed response in all 
participants and those with a PD-L1 combined positive score of 1 or higher.",False,False,Median,,7.5,7.1,Monotherapy,Metastatic+recurrent (unresectable)
NCT02105636,Ferris RL et al,2016,27718784,CheckMate 141,Phase 3,2,361.0,Original publication,Head and Neck,Nivolumab,Nivolumab,PD1,Monotherapy,,Methotrexate/Docetaxel/Cetuximab,Chemo/Anti-EGFR,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR",False,False,Median,5.1,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02105636,Ferris RL et al,2018,29884413,CheckMate 141,Phase 3,2,361.0,Follow-up,Head and Neck,Nivolumab,Nivolumab,PD1,Monotherapy,,Methotrexate/Docetaxel/Cetuximab,Chemo/Anti-EGFR,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR",False,False,Minimum,24.2,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT01668784,Motzer RJ et al,2015,26406148,CheckMate 025,Phase 3,2,821.0,Original publication,Renal cell,Nivolumab,Nivolumab,PD1,Monotherapy,,Everolimus,mTOR inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",False,False,Minimum,14.0,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT01984242,McDermott DF et al,2018,29867230,IMmotion150,Phase 2,3,305.0,Original publication,Renal cell,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",False,False,Median,20.7,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT01984242,McDermott DF et al (1),2018,29867230,IMmotion150,Phase 2,3,305.0,Original publication,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Chemo,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",False,False,Median,20.7,,,Combination,Metastatic+recurrent (unresectable)
NCT02231749,Motzer RJ et al,2018,29562145,CheckMate 214,Phase 3,2,1096.0,Original publication,Renal cell,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS+ORR,Co-primary,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",False,False,Median,25.2,,,Combination,Metastatic+recurrent (unresectable)
NCT02231749,Motzer RJ et al,2019,31427204,CheckMate 214,Phase 3,2,1096.0,Follow-up,Renal cell,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS+ORR,Co-primary,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",False,False,Median,32.4,,,Combination,Metastatic+recurrent (unresectable)
NCT02684006,Motzer RJ et al,2019,30779531,JAVELIN Renal 101,Phase 3,2,886.0,Original publication,Renal cell,Avelumab+Axitinib,Avelumab,PD-L1,Combination,ICI+TKI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,False,False,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT02853331,Rini BI et al,2019,30779529,KEYNOTE-426,Phase 3,2,861.0,Original publication,Renal cell,Pembrolizumab+Axitinib,Pembrolizumab,PD1,Combination,ICI+TKI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,ORR; duration of response; safety,False,False,Median,12.8,,,Combination,Metastatic+recurrent (unresectable)
NCT02420821,Rini BI et al,2019,31079938,IMmotion151,Phase 3,2,915.0,Original publication,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Anti-VEGF,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety,False,False,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT00527735,Lynch TJ et al,2012,22547592,,Phase 2,3,204.0,Original publication,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate",False,False,,,,,Combination,Metastatic+recurrent (unresectable)
NCT00527735,Lynch TJ et al (1),2012,22547592,,Phase 2,3,204.0,Original publication,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate",False,False,,,,,Combination,Metastatic+recurrent (unresectable)
NCT00527735,Reck M et al,2012,22858559,,Phase 2,3,130.0,Original publication,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",False,False,Minimum,11.1,,,Combination,Metastatic+recurrent (unresectable)
NCT00527735,Reck M et al (1),2012,22858559,,Phase 2,3,130.0,Original publication,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",False,False,Minimum,11.1,,,Combination,Metastatic+recurrent (unresectable)
NCT01673867,Borghaei  H et al,2015,26412456,Checkmate 057,Phase 3,2,582.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"OR, PFS, PRO",False,False,Median,,12.2,9.4,Monotherapy,Metastatic+recurrent (unresectable)
NCT01642004,Brahmer J et al,2015,26028407,Checkmate 017,Phase 3,2,272.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"OR, PFS, PRO",False,False,Median,,9.2,6.0,Monotherapy,Metastatic+recurrent (unresectable)
NCT01905657,Herbst RS et al,2016,26712084,Keynote-010,Phase 2,3,1034.0,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"RR, DOR",True,False,Median,,,8.5,Monotherapy,Metastatic+recurrent (unresectable)
NCT01905657,Herbst RS et al (1),2016,26712084,Keynote-010,Phase 2,3,1034.0,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"RR, DOR",True,False,Median,,,8.5,Monotherapy,Metastatic+recurrent (unresectable)
NCT01903993,Fehrenbacher L et al,2016,26970723,POPLAR,Phase 2,2,287.0,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"ORR, PFS, DOR,OR",True,False,Median,,14.8,15.7,Monotherapy,Metastatic+recurrent (unresectable)
NCT01450761,Reck M et al,2016,27458307,CA184-156,Phase 3,2,1132.0,Original publication,Small Cell Lung,Ipilimumab+Etoposide+Platinum agent,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Etoposide+Platinum agent ,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DOR",False,False,Median,,10.5,10.2,Combination,Metastatic+recurrent (unresectable)
NCT02041533,Carbone DP et al,2017,28636851,Checkmate 026,Phase 3,2,423.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Platinum-based chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"OS,PFS(PD-L1),RR, ",True,True,Median,13.5,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT01285609,Govindan R et al,2017,28854067,,Phase 3,2,749.0,Original publication,Non-Small Cell Lung,Ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DOR, safety",False,False,Median,,12.5,11.8,Combination,Metastatic+recurrent (unresectable)
NCT02125461,Antonia SJ et al,2017,28885881,PACIFIC,Phase 3,2,713.0,Original publication,Non-Small Cell Lung,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Placebo  ,Placebo  ,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"12-18 month PSA, DOR, ORR, Time to death, secondary progression, safety",False,False,Median,14.5,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02125461,Antonia SJ et al,2018,30280658,PACIFIC,Phase 3,2,713.0,Follow-up,Non-Small Cell Lung,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Placebo  ,Placebo  ,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"Time to death, secondary progression, safety",False,False,Median,25.2,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02395172,Barlesi F et al,2018,30262187,JAVELIN Lung 200,Phase 3,2,758.0,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, , BOR, PRO, Safety",False,False,Median,18.3,18.9,17.8,Monotherapy,Metastatic+recurrent (unresectable)
NCT02039674,Langer JC et al,2016,27745820,Keynote-021,Phase 2,2,123.0,Original publication,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Pembrolizumab,PD1,Combination,ICI+Chemo,Pemetrexed+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),ORR,,"PFS, DOR, OS",True,True,Median,10.6,,,Combination,Metastatic+recurrent (unresectable)
NCT02039674,Borghaei  H et al,2018,30138764,Keynote-021,Phase 2,2,123.0,Follow-up,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Pembrolizumab,PD1,Combination,ICI+Chemo,Pemetrexed+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),ORR,,"PFS, DOR, OS",True,True,Median,23.9,,,Combination,Metastatic+recurrent (unresectable)
NCT02008227,Rittmeyer A et al,2017,27979383,OAK,Phase 3,2,1225.0,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DoR",False,True,Median,21.0,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02008227,Fehrenbacher L et al,2018,29777823,OAK,Phase 3,2,1225.0,Follow-up,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DoR",False,True,Median,26.0,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02578680,Gandhi L et al,2018,29658856,Keynote-189,Phase 3,2,616.0,Original publication,Non-Small Cell Lung,Pembrolizumab+Platinum agent,Pembrolizumab,PD1,Combination,ICI+Chemo,Placebo+Pemetrexed+Platinum agent,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DOR, safety",False,False,Median,10.5,,,Combination,Metastatic+recurrent (unresectable)
NCT02763579,Horn L et al,2018,30280641,IMPower 133,Phase 3,2,403.0,Original publication,Small Cell Lung,Atezolizumab+Etoposide+Carboplatin,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo  ,Placebo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DOR",False,False,Median,13.9,,,Combination,Metastatic+recurrent (unresectable)
NCT02775435,Paz-Ares L et al,2018,30280635,Keynote-407,Phase 3,2,559.0,Original publication,Non-Small Cell Lung,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,Pembrolizumab,PD1,Combination,ICI+Chemo,Placebo+Carboplatin+paclitaxel/nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DOR, safety",False,False,Median,7.8,,,Combination,Metastatic+recurrent (unresectable)
NCT02366143,Socinski MA et al,2018,29863955,IMPower150,Phase 3,3,1202.0,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Bevacizumab+Carboplatin+Paclitaxel,Chemo+Anti-VEGF,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"PFS, OS in ITT population",False,False,Minimum,,,,Combination,Metastatic+recurrent (unresectable)
NCT02366143,Socinski MA et al (1),2018,29863955,IMPower150,Phase 3,3,1202.0,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Chemo+Anti-VEGF,Bevacizumab+Carboplatin+Paclitaxel,Chemo+Anti-VEGF,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"PFS, OS in ITT population",False,False,Minimum,,15.4,15.5,Combination,Metastatic+recurrent (unresectable)
NCT02477826,Hellmann MD et al,2018,29658845,Checkmate 227,Phase 3,3,1739.0,Original publication,Non-Small Cell Lung,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,False,False,Minimum,11.2,,,Combination,Metastatic+recurrent (unresectable)
NCT02477826,Hellmann MD et al (1),2018,29658845,Checkmate 227,Phase 3,3,1739.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,PFS with nivolumab VS chemotherapy among patients with a TMB of at least 13 mutations per megabase and a PD-L1 expression level of >= 1%; OS with nivolumab + ipilimumab VS platinum doublet chemotherapy among patients with a TMB of >=10 mutations per megabase ,False,False,Minimum,11.2,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02477826,Hellmann MD et al,2019,31562796,Checkmate 227,Phase 3,4,1739.0,Follow-up,Non-Small Cell Lung,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,False,True,Minimum,29.3,,,Combination,Metastatic+recurrent (unresectable)
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Phase 3,4,1739.0,Follow-up,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,False,True,Minimum,29.3,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Phase 3,4,1739.0,Follow-up,Non-Small Cell Lung,Nivolumab+Chemotherapy,Nivolumab,PD1,Combination,ICI+Chemo,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; OS with nivolumab+chemotherapy VS chemotherapy alone in patients with PD-L1 <1%; and OS with nivolumab monotherapy VS chemotherapy in patients with a PD-L1 >=50%,False,True,Minimum,29.3,,,Combination,Metastatic+recurrent (unresectable)
NCT02220894,Mok TSK et al,2019,30955977,Keynote-042,Phase 3,2,1274.0,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Carboplatin+Pemetrexed+Paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR in pts with PD-L1 TPS of >=50%; >=20%; >=1%",True,False,Median,12.8,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT03059667,Pujol JL et al,2019,30664989,IFCT-1603,Phase 2,2,73.0,Original publication,Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Etoposide+Carboplatin/Topotecan,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),ORR,,"OS, PFS, RR, Disease progression/Death, QoL",False,False,Median,13.7,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02142738,Reck M et al,2019,30620668,Keynote-024,Phase 3,2,305.0,Follow-up,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Platinum-based chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"OS, ORR, safety",True,False,Median,25.2,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02367781,West H et al,2019,31122901,IMpower130,Phase 3,2,724.0,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin+Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,,False,False,Median,,18.5,19.2,Combination,Metastatic+recurrent (unresectable)
NCT02613507,Wu YL et al,2019,30659987,Checkmate 078,Phase 3,2,504.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,,False,False,Minimum,8.8,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02454933,Yang JCH et al,2019,30763730,CAURAL,Phase 3,2,29.0,Original publication,Non-Small Cell Lung,Durvalumab+Osimertinib,Durvalumab,PD-L1,Combination,ICI+TKI,Osimertinib,TKI,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),,,,False,False,,,,,Combination,Metastatic+recurrent (unresectable)
NCT00324155,Robert C et al,2011,21639810,,Phase 3,2,502.0,Original publication,Melanoma,Ipilimumab+Dacarbazine,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Dacarbazine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, best ORR, DCR, time to response, DOR, safety",False,False,,,,,Combination,Metastatic+recurrent (unresectable)
