NCT,target,response,efficacy,Authors,Year,PMID
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2020,32661118
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2019,31427204
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2020,32661118
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2019,31427204
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2020,32661118
NCT02684006,VEGF,PFS,effective,Motzer RJ et al,2019,30779531
NCT02684006,VEGF,PFS,effective,Choueiri TK et al,2020,32339648
NCT02684006,VEGF,PFS,effective,Motzer RJ et al,2019,30779531
NCT02684006,VEGF,PFS,effective,Choueiri TK et al,2020,32339648
NCT02853331,PD-1/VEGF,ORR,effective,Rini BI et al,2019,30779529
NCT02853331,PD-1/VEGF,ORR,effective,Powles T et al. ,2020,33284113
NCT02853331,PD-1/VEGF,ORR,"OS+PFS, ORR, DoR",Rini BI et al,2019,30779529
NCT02853331,PD-1/VEGF,ORR,"OS+PFS, ORR, DoR",Powles T et al. ,2020,33284113
NCT02420821,VEGF,proportion of patients who achieved an objective response,OS+PFS,Rini BI et al,2019,31079938
NCT00527735,CTLA-4,immune-related best overall response rate,"treatment showed efficacy based on PFS, OS, and response rates",Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,"treatment showed efficacy based on PFS, OS, and response rates",Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,"treatment showed efficacy based on PFS, OS, and response rates",Reck M et al,2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,"treatment showed efficacy based on PFS, OS, and response rates",Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,PFS,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,PFS,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,PFS,Reck M et al,2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,PFS,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,unknown,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,unknown,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,unknown,Reck M et al,2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,unknown,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,Unknown,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,Unknown,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,Unknown,Reck M et al,2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,Unknown,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,"treatment showed efficacy based on PFS, OS, and response rates",Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,"treatment showed efficacy based on PFS, OS, and response rates",Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,"treatment showed efficacy based on PFS, OS, and response rates",Reck M et al,2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,"treatment showed efficacy based on PFS, OS, and response rates",Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,PFS,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,PFS,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,PFS,Reck M et al,2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,PFS,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,unknown,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,unknown,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,unknown,Reck M et al,2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,unknown,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,Unknown,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,Unknown,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,immune-related best overall response rate,Unknown,Reck M et al,2012,22858559
NCT00527735,CTLA-4,immune-related best overall response rate,Unknown,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,irBORR,"treatment showed efficacy based on PFS, OS, and response rates",Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,irBORR,"treatment showed efficacy based on PFS, OS, and response rates",Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,irBORR,"treatment showed efficacy based on PFS, OS, and response rates",Reck M et al,2012,22858559
NCT00527735,CTLA-4,irBORR,"treatment showed efficacy based on PFS, OS, and response rates",Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,irBORR,PFS,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,irBORR,PFS,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,irBORR,PFS,Reck M et al,2012,22858559
NCT00527735,CTLA-4,irBORR,PFS,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,irBORR,unknown,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,irBORR,unknown,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,irBORR,unknown,Reck M et al,2012,22858559
NCT00527735,CTLA-4,irBORR,unknown,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,irBORR,Unknown,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,irBORR,Unknown,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,irBORR,Unknown,Reck M et al,2012,22858559
NCT00527735,CTLA-4,irBORR,Unknown,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,Immune-related PFS,"treatment showed efficacy based on PFS, OS, and response rates",Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,Immune-related PFS,"treatment showed efficacy based on PFS, OS, and response rates",Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,Immune-related PFS,"treatment showed efficacy based on PFS, OS, and response rates",Reck M et al,2012,22858559
NCT00527735,CTLA-4,Immune-related PFS,"treatment showed efficacy based on PFS, OS, and response rates",Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,Immune-related PFS,PFS,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,Immune-related PFS,PFS,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,Immune-related PFS,PFS,Reck M et al,2012,22858559
NCT00527735,CTLA-4,Immune-related PFS,PFS,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,Immune-related PFS,unknown,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,Immune-related PFS,unknown,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,Immune-related PFS,unknown,Reck M et al,2012,22858559
NCT00527735,CTLA-4,Immune-related PFS,unknown,Reck M et al (1),2012,22858559
NCT00527735,CTLA-4,Immune-related PFS,Unknown,Lynch TJ et al,2012,22547592
NCT00527735,CTLA-4,Immune-related PFS,Unknown,Lynch TJ et al (1),2012,22547592
NCT00527735,CTLA-4,Immune-related PFS,Unknown,Reck M et al,2012,22858559
NCT00527735,CTLA-4,Immune-related PFS,Unknown,Reck M et al (1),2012,22858559
NCT01673867,PD-1,OR,effective,Borghaei  H et al,2015,26412456
NCT01642004,PD-1,OR,positive,Brahmer J et al,2015,26028407
NCT01905657,PD-1,RR,positive,Herbst RS et al,2016,26712084
NCT01905657,PD-1,RR,positive,Herbst RS et al (1),2016,26712084
NCT01905657,PD-1,RR,positive,Herbst RS et al,2016,26712084
NCT01905657,PD-1,RR,positive,Herbst RS et al (1),2016,26712084
NCT01905657,PD-1,RR,positive,Herbst RS et al,2016,26712084
NCT01905657,PD-1,RR,positive,Herbst RS et al (1),2016,26712084
NCT01905657,PD-1,RR,positive,Herbst RS et al,2016,26712084
NCT01905657,PD-1,RR,positive,Herbst RS et al (1),2016,26712084
NCT01903993,PD-L1,"PFS, ORR, DOR","Treatment showed effectiveness based on PFS, ORR, and DOR.",Fehrenbacher L et al,2016,26970723
NCT01903993,PD-L1,"PFS, ORR, DOR","Treatment showed effectiveness based on PFS, ORR, and DOR.",Mazieres J et al,2020,33166718
NCT01903993,PD-L1,"PFS, ORR, DOR",Treatment showed effect on Overall Survival. Further details needed from the study to assess precise degree of efficacy.,Fehrenbacher L et al,2016,26970723
NCT01903993,PD-L1,"PFS, ORR, DOR",Treatment showed effect on Overall Survival. Further details needed from the study to assess precise degree of efficacy.,Mazieres J et al,2020,33166718
NCT01450761,CTLA-4,ORR,effective,Reck M et al,2016,27458307
NCT02041533,PD-1,PFS,Treatment showed improvement in PFS and OS,Carbone DP et al,2017,28636851
NCT01285609,CTLA-4,ORR,effective,Govindan R et al,2017,28854067
NCT02125461,PD-L1,OS+PFS,OS+PFS,Antonia SJ et al,2017,28885881
NCT02125461,PD-L1,OS+PFS,OS+PFS,Antonia SJ et al,2018,30280658
NCT02125461,PD-L1,OS+PFS,OS+PFS,Antonia SJ et al,2017,28885881
NCT02125461,PD-L1,OS+PFS,OS+PFS,Antonia SJ et al,2018,30280658
NCT02125461,PD-L1,OS+PFS,OS+PFS,Antonia SJ et al,2017,28885881
NCT02125461,PD-L1,OS+PFS,OS+PFS,Antonia SJ et al,2018,30280658
NCT02125461,PD-L1,OS+PFS,OS+PFS,Antonia SJ et al,2017,28885881
NCT02125461,PD-L1,OS+PFS,OS+PFS,Antonia SJ et al,2018,30280658
NCT02395172,PD-L1,ORR,"OS and PFS, ORR, BOR improved",Barlesi F et al,2018,30262187
NCT02039674,PD-1,ORR,"Treatment showed promising results based on ORR, PFS, DOR, and OS.",Langer JC et al,2016,27745820
NCT02039674,PD-1,ORR,"Treatment showed promising results based on ORR, PFS, DOR, and OS.",Borghaei  H et al,2018,30138764
NCT02039674,PD-1,ORR,"ORR, PFS, DOR, OS",Langer JC et al,2016,27745820
NCT02039674,PD-1,ORR,"ORR, PFS, DOR, OS",Borghaei  H et al,2018,30138764
NCT02039674,PD-1,ORR,"Treatment showed promising results based on ORR, PFS, DOR, and OS.",Langer JC et al,2016,27745820
NCT02039674,PD-1,ORR,"Treatment showed promising results based on ORR, PFS, DOR, and OS.",Borghaei  H et al,2018,30138764
NCT02039674,PD-1,ORR,"ORR, PFS, DOR, OS",Langer JC et al,2016,27745820
NCT02039674,PD-1,ORR,"ORR, PFS, DOR, OS",Borghaei  H et al,2018,30138764
NCT02008227,PD-L1,ORR,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,ORR,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,ORR,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Mazieres J et al,2020,33166718
NCT02008227,PD-L1,ORR,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,ORR,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,ORR,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Mazieres J et al,2020,33166718
NCT02008227,PD-L1,ORR,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,ORR,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,ORR,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Mazieres J et al,2020,33166718
NCT02008227,PD-L1,ORR,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,ORR,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,ORR,"Treatment showed improvements in OS, PFS, ORR, and DoR.",Mazieres J et al,2020,33166718
NCT02008227,PD-L1,ORR,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,ORR,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,ORR,"Treatment demonstrated efficacy with improved OS, PFS, ORR, and DoR.",Mazieres J et al,2020,33166718
NCT02008227,PD-L1,ORR,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Rittmeyer A et al,2017,27979383
NCT02008227,PD-L1,ORR,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Fehrenbacher L et al,2018,29777823
NCT02008227,PD-L1,ORR,"Treatment showed a positive impact on the primary endpoint (OS), suggesting it worked well.",Mazieres J et al,2020,33166718
NCT02578680,PD-1,ORR,effective,Gandhi L et al,2018,29658856
NCT02763579,PD-L1,ORR,likely effective,Horn L et al,2018,30280641
NCT02763579,PD-L1,ORR,likely effective,Mansfield AS et al,2020,31959349
NCT02763579,PD-L1,ORR,Positive,Horn L et al,2018,30280641
NCT02763579,PD-L1,ORR,Positive,Mansfield AS et al,2020,31959349
NCT02775435,PD-1,OS,"Treatment demonstrated effectiveness based on improvements in Overall Survival (OS) and Progression-Free Survival (PFS), as well as Objective Response Rate (ORR) and Duration of Response (DOR).",Paz-Ares L et al,2018,30280635
NCT02366143,PD-L1,OS+PFS,effective,Socinski MA et al,2018,29863955
NCT02366143,PD-L1,OS+PFS,effective,Socinski MA et al (1),2018,29863955
NCT02366143,PD-L1,OS+PFS,effective,Socinski MA et al,2018,29863955
NCT02366143,PD-L1,OS+PFS,effective,Socinski MA et al (1),2018,29863955
NCT02366143,VEGF,OS+PFS,effective,Socinski MA et al,2018,29863955
NCT02366143,VEGF,OS+PFS,effective,Socinski MA et al (1),2018,29863955
NCT02366143,VEGF,OS+PFS,effective,Socinski MA et al,2018,29863955
NCT02366143,VEGF,OS+PFS,effective,Socinski MA et al (1),2018,29863955
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,Positive,Hellmann MD et al,2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,Positive,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,Positive,Hellmann MD et al,2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,Positive,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,Positive,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,high,Hellmann MD et al,2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,high,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,high,Hellmann MD et al,2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,high,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,high,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1/CTLA-4,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1/CTLA-4,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS+PFS,Positive,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS+PFS,Positive,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS+PFS,Positive,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS+PFS,Positive,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS+PFS,Positive,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS+PFS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS+PFS,high,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS+PFS,high,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS+PFS,high,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS+PFS,high,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS+PFS,high,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS+PFS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,Positive,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2019,31562796
