NCT,Authors,Year,PMID,normalized_cancer_type,normalized_treatment_regimen
NCT03059667,Pujol JL et al,2019,30664989,Small Cell Lung Cancer,Atezolizumab
NCT02142738,Reck M et al,2019,30620668,Lung Cancer,Immunotherapy
NCT02367781,West H et al,2019,31122901,Lung Cancer,Chemotherapy
NCT02613507,Wu YL et al,2019,30659987,Non-Small Cell Lung Cancer,Nivolumab
NCT02454933,Yang JCH et al,2019,30763730,Lung Cancer,Immunotherapy
NCT00324155,Robert C et al,2011,21639810,Melanoma,Immunotherapy and Chemotherapy
NCT00094653,Hodi FS et al,2010,20525992,Melanoma,Ipilimumab
NCT00094653,Hodi FS et al (1),2010,20525992,Melanoma,Immunotherapy
NCT00257205,Ribas A et al,2013,23295794,Melanoma,Immunotherapy
NCT02362594,Eggermont AMM et al,2018,29658430,Melanoma,Pembrolizumab
NCT01704287,Ribas A et al,2015,26115796,Melanoma,Immunotherapy
NCT01704287,Ribas A et al (1),2015,26115796,Melanoma,Immunotherapy
NCT01704287,Hamid O et al,2017,28961465,Melanoma,Immunotherapy
NCT01704287,Hamid O et al (1),2017,28961465,Melanoma,Immunotherapy
NCT00636168,Eggermont AMM et al,2016,27717298,Melanoma,Ipilimumab
NCT01721746,Weber JS et al,2015,25795410,Melanoma,Nivolumab
NCT01721746,Larkin J et al,2018,28671856,Melanoma,Nivolumab
NCT02130466,Ascierto PA et al,2019,31171878,Melanoma,Targeted therapy
NCT01721772,Robert C et al,2015,25399552,Melanoma,Nivolumab
NCT01721772,Ascierto PA et al,2019,30422243,Melanoma,Nivolumab
NCT01843374,Maio M et al,2017,28729154,Mesothelioma,Immunotherapy
NCT02576977,Mateos MV et al,2019,31327687,Multiple Myeloma,Immunotherapy
NCT02579863,Usmani SZ et al,2019,31327689,Multiple Myeloma,Immunotherapy
NCT00861614,Kwon ED et al,2014,24831977,Prostate Cancer,Immunotherapy
NCT01057810,Beer TM et al,2017,28034081,Prostate Cancer,Ipilimumab
NCT02267343,Chen LT et al,2019,31863227,Gastric Cancer,Immunotherapy
NCT02702401,Finn RS et al,2019,31790344,Hepatocellular Carcinoma,Immunotherapy
NCT02569242,Kato K et al,2019,31582355,Esophageal Cancer,Nivolumab
NCT01042379,Nanda R et al,2019,32053137,Breast Cancer,Chemotherapy
NCT03043872,Paz-Ares L et al,2019,31590988,Lung Cancer,Chemotherapy
NCT03043872,Paz-Ares L et al (1),2019,31590988,Small Cell Lung Cancer,Chemotherapy and Immunotherapy
NCT02425891,Schmid P et al,2019,31786121,Breast Cancer,Chemotherapy
NCT02358031,Burtness B et al,2019,31679945,Head and Neck Cancer,Immunotherapy
NCT02358031,Burtness B et al (1),2019,31679945,Head and Neck Cancer,Chemotherapy
NCT02763579,Mansfield AS et al,2020,31959349,Lung Cancer,Chemotherapy and Immunotherapy
NCT02362048,Overman M et al,2020,32114502,Pancreatic Cancer,Immunotherapy
NCT02352948,Planchard D et al,2020,32201234,Lung Cancer,Immunotherapy
NCT02352948,Planchard D et al (1),2020,32201234,Lung Cancer,Immunotherapy
NCT02352948,Planchard D et al (2),2020,32201234,Lung Cancer,Immunotherapy
NCT03036488,Schmid P et al,2020,32101663,Breast Cancer,Chemotherapy
NCT01274338,Tarhini AA et al,2020,31880964,Melanoma,Ipilimumab
NCT01274338,Tarhini AA et al (1),2020,31880964,Melanoma,Ipilimumab
NCT02523313,Zimmer L et al,2020,32416781,Melanoma,Nivolumab
NCT02523313,Zimmer L et al (1),2020,32416781,Melanoma,Nivolumab+Ipilimumab
NCT01896869,Wu AA et al,2020,32591464,Pancreatic Cancer,Immunotherapy
NCT03066778,Rudin CM et al,2020,32468956,Small Cell Lung Cancer,Chemotherapy and Immunotherapy
NCT02453282,Rizvi NA et al,2020,32271377,Lung Cancer,Immunotherapy
NCT02453282,Rizvi NA et al (1),2020,32271377,Non-Small Cell Lung Cancer,Immunotherapy
NCT02231749,Motzer RJ et al,2020,32661118,Renal Cell Carcinoma,Immunotherapy
NCT02367794,Jotte R et al,2020,32302702,Lung Cancer,Chemotherapy
NCT02367794,Jotte R et al (1),2020,32302702,Lung Cancer,Chemotherapy
NCT02908672,Gutzmer R et al,2020,32534646,Melanoma,Targeted therapy
NCT02017717,Reardon DA et al,2020,32437507,Head and Neck Cancer,Nivolumab
NCT02500121,Galsky MD et al,2020,32271672,Urothelial Cancer,Immunotherapy
NCT02807636,Galsky MD et al,2020,32416780,Urothelial Cancer,Chemotherapy+Immunotherapy
NCT02807636,Galsky MD et al (1),2020,32416780,Urothelial Cancer,Atezolizumab
NCT03434379,Finn RS et al,2020,32402160,Hepatocellular Cancer,Atezolizumab+Bevacizumab
NCT02369874,Ferris RL et al,2020,32294530,Head and Neck Cancer,Immunotherapy
NCT02369874,Ferris RL et al (1),2020,32294530,Head and Neck Cancer,Immunotherapy
NCT02870920,Chen EX et al,2020,32379280,Colorectal Cancer,Immunotherapy
NCT02574598,Arrieta O et al,2020,32271354,Lung Cancer,Immunotherapy and Chemotherapy
NCT01668784,Motzer RJ et al,2020,32673417,Renal Cell Carcinoma,Nivolumab
NCT02684006,Choueiri TK et al,2020,32339648,Renal Cell Carcinoma,Avelumab+Axitinib
NCT02142738,Reck M et al,2016,27718847,Non-Small Cell Lung Cancer,Pembrolizumab
NCT00094653,McDermott D et al,2013,23942774,Melanoma,Ipilimumab
NCT00094653,McDermott D et al (1),2013,23942774,Melanoma,Immunotherapy
NCT03051659,Tolaney SM et al,2020,32880602,Breast Cancer,Immunotherapy
NCT02494583,Shitara K et al,2020,32880601,Gastric Cancer,Immunotherapy
NCT02494583,Shitara K et al (1),2020,32880601,Gastric Cancer,Chemotherapy
NCT02819518,Cortes J et al,2020,33278935,Breast Cancer,Chemotherapy & Immunotherapy
NCT02516241,Powles T et al,2020,32971005,Urothelial Cancer,Immunotherapy
NCT02516241,Powles T et al (1),2020,32971005,Urothelial Cancer,Immunotherapy
NCT03197935,Mittendorf EA et al,2020,32966830,Breast Cancer,Chemotherapy
NCT02603432,Powles T et al,2020,32945632,Urothelial Cancer,Immunotherapy
NCT02625610,Moehler M et al,2020,33197226,Gastric Cancer,Immunotherapy
NCT02899299,Baas P et al.,2021,33485464,Mesothelioma,Immunotherapy
NCT02409342,Herbst RS et al.,2020,32997907,Lung Cancer,Immunotherapy
NCT02924883,Emens LA et al,2020,33002436,Breast Cancer,Immunotherapy
NCT02853331,Powles T et al. ,2020,33284113,Renal Cell Carcinoma,Immunotherapy
NCT02657434,Nishio M et al,2020,33333328,NSCLC,Chemotherapy and Immunotherapy
NCT02564263,Kojima T et al.,2020,33026938,Esophageal Cancer,Immunotherapy
NCT00861614,Fizazi K et al.,2020,32811715,Prostate Cancer,Immunotherapy
NCT01721772,Robert C et al,2020,32997575,Melanoma,Nivolumab
NCT02130466,Ferrucci PF et al,2020,33361337,Melanoma,Targeted therapy
NCT03043872,Goldman JW et al,2020,33285097,Small Cell Lung Cancer,Chemotherapy
NCT03043872,Goldman JW et al (1),2020,33285097,Small Cell Lung Cancer,Chemotherapy
NCT02991482,Popat S et al. ,2020,32976938,Mesothelioma,Pembrolizumab
NCT02563002,Andre T et al.,2020,33264544,Colorectal Cancer,Immunotherapy
NCT02362594,Eggermont AMM et al,2020,32946353,Melanoma,Pembrolizumab
NCT00636168,Eggermont AMM et al,2015,25840693,Melanoma,Ipilimumab
NCT01903993,Mazieres J et al,2020,33166718,Lung Cancer,Immunotherapy
NCT02008227,Mazieres J et al,2020,33166718,Lung Cancer,Immunotherapy
NCT02811861,Motzer R et al,2021,33616314,Renal Cell Cancer,Pembrolizumab + Lenvatinib
NCT03215706,Paz-Ares L et al,2021,33476593,Lung Cancer,Immunotherapy+Chemotherapy
NCT02481830,Spigel DR et al,2021,33539946,Small Cell Lung Cancer,Nivolumab
NCT03141177,Choueiri TK et al,2021,33657295,Renal Cancer,Nivolumab+Cabozantinib
NCT02538666,Owonikoko TK et al,2021,33683919,Small Cell Lung Cancer,Immunotherapy
NCT02538666,Owonikoko TK et al,2021,33683919,Small Cell Lung Cancer,Nivolumab
NCT02299999,Bachelot T et al,2021,33462450,Breast Cancer,Immunotherapy
NCT02684292,Kuruvilla J et al,2021,33721562,Hodgkin Lymphoma,Pembrolizumab
NCT02450331,Bellmunt J et al,2021,33721560,Urothelial Cancer,Atezolizumab
NCT02555657,Winer PE et al,2021,33676601,Breast Cancer,Immunotherapy
NCT03088540,Sezer A et al,2021,33581821,Lung Cancer,Immunotherapy
NCT02852083,Heudobler D et al,2021,33796020,Lung Cancer,Nivolumab
NCT02952586,Lee NY et al,2021,33794205,Head and Neck Cancer,Chemoradiotherapy
NCT02743494,Kelly RJ,2021,33789008,,Immunotherapy
NCT02999087,Tao Y et al.,2021,33125944,Head and Neck Cancer,Avelumab+Cetuximab+Radiotherapy
