NCT,PMID,cancer_type_normalized,treatment_regimen_normalized,Authors,Year
NCT00527735,22858559,Small Cell Lung Cancer,Phased ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al,2012
NCT00527735,22858559,Small Cell Lung Cancer,Phased ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al (1),2012
NCT00527735,22858559,Small Cell Lung Cancer,Phased ipilimumab+Paclitaxel+Carboplatin,Reck M et al,2012
NCT00527735,22858559,Small Cell Lung Cancer,Phased ipilimumab+Paclitaxel+Carboplatin,Reck M et al (1),2012
NCT01673867,26412456,Non-Small Cell Lung Cancer,Nivolumab,Borghaei  H et al,2015
NCT01642004,26028407,Non-Small Cell Lung Cancer,Nivolumab,Brahmer J et al,2015
NCT01905657,26712084,Non-Small Cell Lung Cancer,Pembrolizumab,Herbst RS et al,2016
NCT01905657,26712084,Non-Small Cell Lung Cancer,Pembrolizumab,Herbst RS et al (1),2016
NCT01905657,26712084,Non-Small Cell Lung Cancer,Pembrolizumab,Herbst RS et al,2016
NCT01905657,26712084,Non-Small Cell Lung Cancer,Pembrolizumab,Herbst RS et al (1),2016
NCT01903993,26970723,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,26970723,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT01450761,27458307,Small Cell Lung Cancer,Ipilimumab+Etoposide+Platinum agent,Reck M et al,2016
NCT02041533,28636851,Non-Small Cell Lung Cancer,Nivolumab,Carbone DP et al,2017
NCT01285609,28854067,Non-Small Cell Lung Cancer,Ipilimumab+Paclitaxel+Carboplatin,Govindan R et al,2017
NCT02125461,28885881,Non-Small Cell Lung Cancer,Durvalumab,Antonia SJ et al,2017
NCT02125461,28885881,Non-Small Cell Lung Cancer,Durvalumab,Antonia SJ et al,2018
NCT02125461,30280658,Non-Small Cell Lung Cancer,Durvalumab,Antonia SJ et al,2017
NCT02125461,30280658,Non-Small Cell Lung Cancer,Durvalumab,Antonia SJ et al,2018
NCT02395172,30262187,Non-Small Cell Lung Cancer,Atezolizumab,Barlesi F et al,2018
NCT02039674,27745820,Non-Small Cell Lung Cancer,Pembrolizumab+Pemetrexed+Carboplatin,Langer JC et al,2016
NCT02039674,27745820,Non-Small Cell Lung Cancer,Pembrolizumab+Pemetrexed+Carboplatin,Borghaei  H et al,2018
NCT02039674,30138764,Non-Small Cell Lung Cancer,Pembrolizumab+Pemetrexed+Carboplatin,Langer JC et al,2016
NCT02039674,30138764,Non-Small Cell Lung Cancer,Pembrolizumab+Pemetrexed+Carboplatin,Borghaei  H et al,2018
NCT02008227,27979383,Non-Small Cell Lung Cancer,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,27979383,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,27979383,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT02008227,29777823,Non-Small Cell Lung Cancer,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,29777823,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,29777823,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT02578680,29658856,Non-Small Cell Lung Cancer,Pembrolizumab with Platinum agent,Gandhi L et al,2018
NCT02763579,30280641,Small Cell Lung Cancer,Atezolizumab+Etoposide+Carboplatin,Horn L et al,2018
NCT02763579,30280641,Small Cell Lung Cancer,Atezolizumab+Etoposide+Carboplatin,Mansfield AS et al,2020
NCT02775435,30280635,Non-Small Cell Lung Cancer,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,Paz-Ares L et al,2018
NCT02366143,29863955,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel,Socinski MA et al,2018
NCT02366143,29863955,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel,Socinski MA et al (1),2018
NCT02366143,29863955,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Socinski MA et al,2018
NCT02366143,29863955,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Socinski MA et al (1),2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al,2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (1),2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al,2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (1),2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (2),2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al,2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (1),2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al,2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (1),2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (2),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Ipilimumab Combination,Hellmann MD et al,2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Ipilimumab Combination,Hellmann MD et al (1),2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Ipilimumab Combination,Hellmann MD et al,2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Ipilimumab Combination,Hellmann MD et al (1),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Ipilimumab Combination,Hellmann MD et al (2),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al,2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (1),2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al,2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (1),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (2),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Chemotherapy,Hellmann MD et al,2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Chemotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Chemotherapy,Hellmann MD et al,2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Chemotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab and Chemotherapy,Hellmann MD et al (2),2019
NCT02220894,30955977,Non-Small Cell Lung Cancer,Pembrolizumab,Mok TSK et al,2019
NCT03059667,30664989,Small Cell Lung Cancer,Atezolizumab,Pujol JL et al,2019
NCT02142738,30620668,Non-Small Cell Lung Cancer,Pembrolizumab,Reck M et al,2019
NCT02142738,30620668,Non-Small Cell Lung Cancer,Pembrolizumab,Reck M et al,2016
NCT02367781,31122901,Non-Small Cell Lung Cancer,"Atezolizumab, Carboplatin, and Nab-paclitaxel",West H et al,2019
NCT02613507,30659987,Non-Small Cell Lung Cancer,Nivolumab,Wu YL et al,2019
NCT02454933,30763730,Non-Small Cell Lung Cancer,Durvalumab+Osimertinib,Yang JCH et al,2019
NCT00324155,21639810,Melanoma,Ipilimumab+Dacarbazine,Robert C et al,2011
NCT00094653,20525992,Melanoma,Ipilimumab,Hodi FS et al,2010
NCT00094653,20525992,Melanoma,Ipilimumab,Hodi FS et al (1),2010
NCT00094653,20525992,Melanoma,Ipilimumab,McDermott D et al,2013
NCT00094653,20525992,Melanoma,Ipilimumab,McDermott D et al (1),2013
NCT00094653,20525992,Melanoma,Ipilimumab with Gp100 Vaccine,Hodi FS et al,2010
NCT00094653,20525992,Melanoma,Ipilimumab with Gp100 Vaccine,Hodi FS et al (1),2010
NCT00094653,20525992,Melanoma,Ipilimumab with Gp100 Vaccine,McDermott D et al,2013
NCT00094653,20525992,Melanoma,Ipilimumab with Gp100 Vaccine,McDermott D et al (1),2013
NCT00257205,23295794,Melanoma,Tremelimumab,Ribas A et al,2013
NCT02362594,29658430,Melanoma,Pembrolizumab,Eggermont AMM et al,2018
NCT02362594,29658430,Melanoma,Pembrolizumab,Eggermont AMM et al,2020
NCT01704287,26115796,Melanoma,Pembrolizumab 2 mg/kg,Ribas A et al,2015
NCT01704287,26115796,Melanoma,Pembrolizumab 2 mg/kg,Ribas A et al (1),2015
NCT01704287,26115796,Melanoma,Pembrolizumab 2 mg/kg,Hamid O et al,2017
NCT01704287,26115796,Melanoma,Pembrolizumab 2 mg/kg,Hamid O et al (1),2017
NCT01704287,26115796,Melanoma,Pembrolizumab 10 mg/kg,Ribas A et al,2015
NCT01704287,26115796,Melanoma,Pembrolizumab 10 mg/kg,Ribas A et al (1),2015
NCT01704287,26115796,Melanoma,Pembrolizumab 10 mg/kg,Hamid O et al,2017
NCT01704287,26115796,Melanoma,Pembrolizumab 10 mg/kg,Hamid O et al (1),2017
NCT01704287,28961465,Melanoma,Pembrolizumab 2 mg/kg,Ribas A et al,2015
NCT01704287,28961465,Melanoma,Pembrolizumab 2 mg/kg,Ribas A et al (1),2015
NCT01704287,28961465,Melanoma,Pembrolizumab 2 mg/kg,Hamid O et al,2017
NCT01704287,28961465,Melanoma,Pembrolizumab 2 mg/kg,Hamid O et al (1),2017
NCT01704287,28961465,Melanoma,Pembrolizumab 10 mg/kg,Ribas A et al,2015
NCT01704287,28961465,Melanoma,Pembrolizumab 10 mg/kg,Ribas A et al (1),2015
NCT01704287,28961465,Melanoma,Pembrolizumab 10 mg/kg,Hamid O et al,2017
NCT01704287,28961465,Melanoma,Pembrolizumab 10 mg/kg,Hamid O et al (1),2017
NCT00636168,27717298,Melanoma,Ipilimumab,Eggermont AMM et al,2016
NCT00636168,27717298,Melanoma,Ipilimumab,Eggermont AMM et al,2015
NCT01721746,25795410,Melanoma,Nivolumab,Weber JS et al,2015
NCT01721746,25795410,Melanoma,Nivolumab,Larkin J et al,2018
NCT01721746,28671856,Melanoma,Nivolumab,Weber JS et al,2015
NCT01721746,28671856,Melanoma,Nivolumab,Larkin J et al,2018
NCT02130466,31171878,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Ascierto PA et al,2019
NCT02130466,31171878,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Ferrucci PF et al,2020
NCT01721772,25399552,Melanoma,Nivolumab,Robert C et al,2015
NCT01721772,25399552,Melanoma,Nivolumab,Ascierto PA et al,2019
NCT01721772,25399552,Melanoma,Nivolumab,Robert C et al,2020
NCT01721772,30422243,Melanoma,Nivolumab,Robert C et al,2015
NCT01721772,30422243,Melanoma,Nivolumab,Ascierto PA et al,2019
NCT01721772,30422243,Melanoma,Nivolumab,Robert C et al,2020
NCT01843374,28729154,Mesothelioma,Tremelimumab,Maio M et al,2017
NCT02576977,31327687,Multiple Myeloma,Pembrolizumab+Pomalidomide+Dexamethasone,Mateos MV et al,2019
NCT02579863,31327689,Multiple Myeloma,Pembrolizumab+Lenalidomide+Dexamethasone,Usmani SZ et al,2019
NCT00861614,24831977,Prostate Cancer,Ipilimumab,Kwon ED et al,2014
NCT00861614,24831977,Prostate Cancer,Ipilimumab,Fizazi K et al.,2020
NCT01057810,28034081,Prostate Cancer,Ipilimumab,Beer TM et al,2017
NCT02267343,31863227,Gastric/GEJ,Nivolumab,Kang YK et al,2017
NCT02267343,31863227,Gastric/GEJ,Nivolumab,Chen LT et al,2019
NCT02702401,31790344,Hepatocellular Carcinoma,Pembrolizumab,Finn RS et al,2019
NCT02569242,31582355,Esophageal/GEJ,Nivolumab,Kato K et al,2019
NCT01042379,32053137,Breast Cancer,Pembrolizumab+Paclitaxel,Nanda R et al,2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum agent,Goldman JW et al,2020
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum agent,Goldman JW et al (1),2020
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Goldman JW et al,2020
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Goldman JW et al (1),2020
NCT02425891,31786121,Breast Cancer,Atezolizumab+Nab-paclitaxel,Schmid P et al,2018
NCT02425891,31786121,Breast Cancer,Atezolizumab+Nab-paclitaxel,Schmid P et al,2019
NCT02358031,31679945,Head and Neck Cancer,Pembrolizumab,Burtness B et al,2019
NCT02358031,31679945,Head and Neck Cancer,Pembrolizumab,Burtness B et al (1),2019
NCT02358031,31679945,Head and Neck Cancer,Pembrolizumab plus Platinum-based chemotherapy plus 5-Fluorouracil,Burtness B et al,2019
NCT02358031,31679945,Head and Neck Cancer,Pembrolizumab plus Platinum-based chemotherapy plus 5-Fluorouracil,Burtness B et al (1),2019
NCT02763579,31959349,Small Cell Lung Cancer,Atezolizumab+Carboplatin+Etoposide,Horn L et al,2018
NCT02763579,31959349,Small Cell Lung Cancer,Atezolizumab+Carboplatin+Etoposide,Mansfield AS et al,2020
NCT02362048,32114502,Pancreatic Cancer,Pembrolizumab+Acalabrutinib,Overman M et al,2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab,Planchard D et al (2),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Tremelimumab,Planchard D et al,2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Tremelimumab,Planchard D et al (1),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Tremelimumab,Planchard D et al (2),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Planchard D et al,2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Planchard D et al (1),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Planchard D et al (2),2020
NCT03036488,32101663,Breast Cancer,Pembrolizumab+Paclitaxel+Carboplatin,Schmid P et al,2020
NCT01274338,31880964,Melanoma,Ipilimumab,Tarhini AA et al,2020
NCT01274338,31880964,Melanoma,Ipilimumab,Tarhini AA et al (1),2020
NCT01274338,31880964,Melanoma,Ipilimumab,Tarhini AA et al,2020
NCT01274338,31880964,Melanoma,Ipilimumab,Tarhini AA et al (1),2020
NCT02523313,32416781,Melanoma,Nivolumab,Zimmer L et al,2020
NCT02523313,32416781,Melanoma,Nivolumab,Zimmer L et al (1),2020
NCT02523313,32416781,Melanoma,Nivolumab+Ipilimumab,Zimmer L et al,2020
NCT02523313,32416781,Melanoma,Nivolumab+Ipilimumab,Zimmer L et al (1),2020
NCT01896869,32591464,Pancreatic Cancer,Ipilimumab+GVAX,Wu AA et al,2020
NCT03066778,32468956,Small Cell Lung Cancer,Pembrolizumab+Etoposide+Platinum agent,Rudin CM et al,2020
NCT02453282,32271377,Non-Small Cell Lung Cancer,Durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,Non-Small Cell Lung Cancer,Durvalumab,Rizvi NA et al (1),2020
NCT02453282,32271377,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Rizvi NA et al,2020
NCT02453282,32271377,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Rizvi NA et al (1),2020
NCT02231749,32661118,Renal Cell Carcinoma,Nivolumab plus Ipilimumab,Motzer RJ et al,2018
NCT02231749,32661118,Renal Cell Carcinoma,Nivolumab plus Ipilimumab,Motzer RJ et al,2019
NCT02231749,32661118,Renal Cell Carcinoma,Nivolumab plus Ipilimumab,Motzer RJ et al,2020
NCT02367794,32302702,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel,Jotte R et al,2020
NCT02367794,32302702,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel,Jotte R et al (1),2020
NCT02367794,32302702,Non-Small Cell Lung Cancer,Atezolizumab with Carboplatin and Nab-paclitaxel,Jotte R et al,2020
NCT02367794,32302702,Non-Small Cell Lung Cancer,Atezolizumab with Carboplatin and Nab-paclitaxel,Jotte R et al (1),2020
NCT02908672,32534646,Melanoma,Atezolizumab+Vemurafenib+Cobimetinib,Gutzmer R et al,2020
NCT02017717,32437507,Head and Neck Cancer,Nivolumab,Reardon DA et al,2020
NCT02500121,32271672,Urothelial Cancer,Pembrolizumab,Galsky MD et al,2020
NCT02807636,32416780,Urothelial Cancer,Atezolizumab with Gemcitabine and Carboplatin or Cisplatin,Galsky MD et al,2020
NCT02807636,32416780,Urothelial Cancer,Atezolizumab with Gemcitabine and Carboplatin or Cisplatin,Galsky MD et al (1),2020
NCT02807636,32416780,Urothelial Cancer,Atezolizumab,Galsky MD et al,2020
NCT02807636,32416780,Urothelial Cancer,Atezolizumab,Galsky MD et al (1),2020
NCT03434379,32402160,Hepatocellular Carcinoma,Atezolizumab+Bevacizumab,Finn RS et al,2020
NCT02369874,32294530,Head and Neck Cancer,Durvalumab,Ferris RL et al,2020
NCT02369874,32294530,Head and Neck Cancer,Durvalumab,Ferris RL et al (1),2020
NCT02369874,32294530,Head and Neck Cancer,Durvalumab+Tremelimumab,Ferris RL et al,2020
NCT02369874,32294530,Head and Neck Cancer,Durvalumab+Tremelimumab,Ferris RL et al (1),2020
NCT02870920,32379280,Colorectal Cancer,Durvalumab+Tremelimumab+Best supportive care,Chen EX et al,2020
NCT02574598,32271354,Non-Small Cell Lung Cancer,Pembrolizumab and Docetaxel,Arrieta O et al,2020
NCT01668784,32673417,Renal Cell Carcinoma,Nivolumab,Motzer RJ et al,2015
NCT01668784,32673417,Renal Cell Carcinoma,Nivolumab,Motzer RJ et al,2020
NCT02684006,32339648,Renal cell carcinoma,Avelumab+Axitinib,Motzer RJ et al,2019
NCT02684006,32339648,Renal cell carcinoma,Avelumab+Axitinib,Choueiri TK et al,2020
NCT02142738,27718847,Non-Small Cell Lung Cancer,Pembrolizumab,Reck M et al,2019
NCT02142738,27718847,Non-Small Cell Lung Cancer,Pembrolizumab,Reck M et al,2016
NCT00094653,23942774,Melanoma,Ipilimumab,Hodi FS et al,2010
NCT00094653,23942774,Melanoma,Ipilimumab,Hodi FS et al (1),2010
NCT00094653,23942774,Melanoma,Ipilimumab,McDermott D et al,2013
NCT00094653,23942774,Melanoma,Ipilimumab,McDermott D et al (1),2013
NCT00094653,23942774,Melanoma,Ipilimumab with Gp100 Vaccine,Hodi FS et al,2010
NCT00094653,23942774,Melanoma,Ipilimumab with Gp100 Vaccine,Hodi FS et al (1),2010
NCT00094653,23942774,Melanoma,Ipilimumab with Gp100 Vaccine,McDermott D et al,2013
NCT00094653,23942774,Melanoma,Ipilimumab with Gp100 Vaccine,McDermott D et al (1),2013
NCT03051659,32880602,Breast Cancer,Pembrolizumab+Eribulin,Tolaney SM et al,2020
NCT02494583,32880601,Gastric/GEJ,Pembrolizumab,Shitara K et al,2020
NCT02494583,32880601,Gastric/GEJ,Pembrolizumab,Shitara K et al (1),2020
NCT02494583,32880601,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Shitara K et al,2020
NCT02494583,32880601,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Shitara K et al (1),2020
NCT02819518,33278935,Breast Cancer,Pembrolizumab with nab-paclitaxel/paclitaxel/gemcitabine and carboplatin,Cortes J et al,2020
NCT02516241,32971005,Urothelial,Durvalumab,Powles T et al,2020
NCT02516241,32971005,Urothelial,Durvalumab,Powles T et al (1),2020
NCT02516241,32971005,Urothelial Cancer,Durvalumab+Tremelimumab,Powles T et al,2020
NCT02516241,32971005,Urothelial Cancer,Durvalumab+Tremelimumab,Powles T et al (1),2020
NCT03197935,32966830,Breast Cancer,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Mittendorf EA et al,2020
NCT02603432,32945632,Urothelial,Avelumab plus Best Supportive Care,Powles T et al,2020
NCT02625610,33197226,Gastric/GEJ,Avelumab,Moehler M et al,2020
NCT02899299,33485464,Mesothelioma,Nivolumab+Ipilimumab,Baas P et al.,2021
NCT02409342,32997907,Non-Small Cell Lung Cancer,Atezolizumab,Herbst RS et al.,2020
NCT02924883,33002436,Breast Cancer,Atezolizumab,Emens LA et al,2020
NCT02853331,33284113,Renal Cell Carcinoma,Pembrolizumab plus Axitinib,Rini BI et al,2019
NCT02853331,33284113,Renal Cell Carcinoma,Pembrolizumab plus Axitinib,Powles T et al. ,2020
NCT02657434,33333328,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,Nishio M et al,2020
NCT02564263,33026938,Esophageal/GEJ,Pembrolizumab,Kojima T et al.,2020
NCT00861614,32811715,Prostate,Ipilimumab,Kwon ED et al,2014
NCT00861614,32811715,Prostate,Ipilimumab,Fizazi K et al.,2020
NCT01721772,32997575,Melanoma,Nivolumab,Robert C et al,2015
NCT01721772,32997575,Melanoma,Nivolumab,Ascierto PA et al,2019
NCT01721772,32997575,Melanoma,Nivolumab,Robert C et al,2020
NCT02130466,33361337,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Ascierto PA et al,2019
NCT02130466,33361337,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Ferrucci PF et al,2020
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Goldman JW et al,2020
