NCT,PMID,endpoint_category,Authors,Year
NCT02125461,28885881,OS,Antonia SJ et al,2018
NCT02125461,30280658,Other,Antonia SJ et al,2017
NCT02125461,30280658,Other,Antonia SJ et al,2018
NCT02395172,30262187,OS,Barlesi F et al,2018
NCT02039674,27745820,ORR,Langer JC et al,2016
NCT02039674,27745820,ORR,Borghaei  H et al,2018
NCT02039674,30138764,ORR,Langer JC et al,2016
NCT02039674,30138764,ORR,Borghaei  H et al,2018
NCT02008227,27979383,OS,Rittmeyer A et al,2017
NCT02008227,27979383,OS,Fehrenbacher L et al,2018
NCT02008227,27979383,OS,Mazieres J et al,2020
NCT02008227,29777823,OS,Rittmeyer A et al,2017
NCT02008227,29777823,OS,Fehrenbacher L et al,2018
NCT02008227,29777823,OS,Mazieres J et al,2020
NCT02578680,29658856,Other,Gandhi L et al,2018
NCT02763579,30280641,Other,Horn L et al,2018
NCT02763579,30280641,Other,Mansfield AS et al,2020
NCT02775435,30280635,Other,Paz-Ares L et al,2018
NCT02366143,29863955,Other,Socinski MA et al,2018
NCT02366143,29863955,Other,Socinski MA et al (1),2018
NCT02366143,29863955,Other,Socinski MA et al,2018
NCT02366143,29863955,Other,Socinski MA et al (1),2018
NCT02477826,29658845,Other,Hellmann MD et al,2018
NCT02477826,29658845,Other,Hellmann MD et al (1),2018
NCT02477826,29658845,Other,Hellmann MD et al,2019
NCT02477826,29658845,Other,Hellmann MD et al (1),2019
NCT02477826,29658845,Other,Hellmann MD et al (2),2019
NCT02477826,29658845,OS,Hellmann MD et al,2018
NCT02477826,29658845,OS,Hellmann MD et al (1),2018
NCT02477826,29658845,OS,Hellmann MD et al,2019
NCT02477826,29658845,OS,Hellmann MD et al (1),2019
NCT02477826,29658845,OS,Hellmann MD et al (2),2019
NCT02477826,31562796,OS,Hellmann MD et al,2018
NCT02477826,31562796,OS,Hellmann MD et al (1),2018
NCT02477826,31562796,OS,Hellmann MD et al,2019
NCT02477826,31562796,OS,Hellmann MD et al (1),2019
NCT02477826,31562796,OS,Hellmann MD et al (2),2019
NCT02477826,31562796,OS,Hellmann MD et al,2018
NCT02477826,31562796,OS,Hellmann MD et al (1),2018
NCT02477826,31562796,OS,Hellmann MD et al,2019
NCT02477826,31562796,OS,Hellmann MD et al (1),2019
NCT02477826,31562796,OS,Hellmann MD et al (2),2019
NCT02477826,31562796,OS,Hellmann MD et al,2018
NCT02477826,31562796,OS,Hellmann MD et al (1),2018
NCT02477826,31562796,OS,Hellmann MD et al,2019
NCT02477826,31562796,OS,Hellmann MD et al (1),2019
NCT02477826,31562796,OS,Hellmann MD et al (2),2019
NCT02220894,30955977,OS,Mok TSK et al,2019
NCT03059667,30664989,ORR,Pujol JL et al,2019
NCT02142738,30620668,PFS,Reck M et al,2019
NCT02142738,30620668,PFS,Reck M et al,2016
NCT02367781,31122901,Other,West H et al,2019
NCT02613507,30659987,OS,Wu YL et al,2019
NCT02454933,30763730,Other,Yang JCH et al,2019
NCT00324155,21639810,OS,Robert C et al,2011
NCT00094653,20525992,OS,Hodi FS et al,2010
NCT00094653,20525992,OS,Hodi FS et al (1),2010
NCT00094653,20525992,OS,McDermott D et al,2013
NCT00094653,20525992,OS,McDermott D et al (1),2013
NCT00094653,20525992,OS,Hodi FS et al,2010
NCT00094653,20525992,OS,Hodi FS et al (1),2010
NCT00094653,20525992,OS,McDermott D et al,2013
NCT00094653,20525992,OS,McDermott D et al (1),2013
NCT00257205,23295794,OS,Ribas A et al,2013
NCT02362594,29658430,PFS,Eggermont AMM et al,2018
NCT02362594,29658430,PFS,Eggermont AMM et al,2020
NCT01704287,26115796,Other,Ribas A et al,2015
NCT01704287,26115796,Other,Ribas A et al (1),2015
NCT01704287,26115796,Other,Hamid O et al,2017
NCT01704287,26115796,Other,Hamid O et al (1),2017
NCT01704287,26115796,Other,Ribas A et al,2015
NCT01704287,26115796,Other,Ribas A et al (1),2015
NCT01704287,26115796,Other,Hamid O et al,2017
NCT01704287,26115796,Other,Hamid O et al (1),2017
NCT01704287,28961465,Other,Ribas A et al,2015
NCT01704287,28961465,Other,Ribas A et al (1),2015
NCT01704287,28961465,Other,Hamid O et al,2017
NCT01704287,28961465,Other,Hamid O et al (1),2017
NCT01704287,28961465,Other,Ribas A et al,2015
NCT01704287,28961465,Other,Ribas A et al (1),2015
NCT01704287,28961465,Other,Hamid O et al,2017
NCT01704287,28961465,Other,Hamid O et al (1),2017
NCT00636168,27717298,PFS,Eggermont AMM et al,2016
NCT00636168,27717298,PFS,Eggermont AMM et al,2015
NCT01721746,25795410,OS,Weber JS et al,2015
NCT01721746,25795410,OS,Larkin J et al,2018
NCT01721746,28671856,OS,Weber JS et al,2015
NCT01721746,28671856,OS,Larkin J et al,2018
NCT02130466,31171878,PFS,Ascierto PA et al,2019
NCT02130466,31171878,PFS,Ferrucci PF et al,2020
NCT01721772,25399552,OS,Robert C et al,2015
NCT01721772,25399552,OS,Ascierto PA et al,2019
NCT01721772,25399552,OS,Robert C et al,2020
NCT01721772,30422243,OS,Robert C et al,2015
NCT01721772,30422243,OS,Ascierto PA et al,2019
NCT01721772,30422243,OS,Robert C et al,2020
NCT01843374,28729154,OS,Maio M et al,2017
NCT02576977,31327687,Other,Mateos MV et al,2019
NCT02579863,31327689,PFS,Usmani SZ et al,2019
NCT00861614,24831977,OS,Kwon ED et al,2014
NCT00861614,24831977,OS,Fizazi K et al.,2020
NCT01057810,28034081,OS,Beer TM et al,2017
NCT02267343,31863227,OS,Kang YK et al,2017
NCT02267343,31863227,OS,Chen LT et al,2019
NCT02702401,31790344,Other,Finn RS et al,2019
NCT02569242,31582355,OS,Kato K et al,2019
NCT01042379,32053137,Other,Nanda R et al,2019
NCT03043872,31590988,OS,Paz-Ares L et al,2019
NCT03043872,31590988,OS,Paz-Ares L et al (1),2019
NCT03043872,31590988,OS,Goldman JW et al,2020
NCT03043872,31590988,OS,Goldman JW et al (1),2020
NCT03043872,31590988,OS,Paz-Ares L et al,2019
NCT03043872,31590988,OS,Paz-Ares L et al (1),2019
NCT03043872,31590988,OS,Goldman JW et al,2020
NCT03043872,31590988,OS,Goldman JW et al (1),2020
NCT02425891,31786121,Other,Schmid P et al,2018
NCT02425891,31786121,Other,Schmid P et al,2019
NCT02358031,31679945,Other,Burtness B et al,2019
NCT02358031,31679945,Other,Burtness B et al (1),2019
NCT02358031,31679945,Other,Burtness B et al,2019
NCT02358031,31679945,Other,Burtness B et al (1),2019
NCT02763579,31959349,OS,Horn L et al,2018
NCT02763579,31959349,OS,Mansfield AS et al,2020
NCT02362048,32114502,Other,Overman M et al,2020
NCT02352948,32201234,Other,Planchard D et al,2020
NCT02352948,32201234,Other,Planchard D et al (1),2020
NCT02352948,32201234,Other,Planchard D et al (2),2020
NCT02352948,32201234,Other,Planchard D et al,2020
NCT02352948,32201234,Other,Planchard D et al (1),2020
NCT02352948,32201234,Other,Planchard D et al (2),2020
NCT02352948,32201234,Other,Planchard D et al,2020
NCT02352948,32201234,Other,Planchard D et al (1),2020
NCT02352948,32201234,Other,Planchard D et al (2),2020
NCT03036488,32101663,Other,Schmid P et al,2020
NCT01274338,31880964,OS,Tarhini AA et al,2020
NCT01274338,31880964,OS,Tarhini AA et al (1),2020
NCT01274338,31880964,OS,Tarhini AA et al,2020
NCT01274338,31880964,OS,Tarhini AA et al (1),2020
NCT02523313,32416781,Other,Zimmer L et al,2020
NCT02523313,32416781,Other,Zimmer L et al (1),2020
NCT02523313,32416781,Other,Zimmer L et al,2020
NCT02523313,32416781,Other,Zimmer L et al (1),2020
NCT01896869,32591464,OS,Wu AA et al,2020
NCT03066778,32468956,Other,Rudin CM et al,2020
NCT02453282,32271377,Other,Rizvi NA et al,2020
NCT02453282,32271377,Other,Rizvi NA et al (1),2020
NCT02453282,32271377,Other,Rizvi NA et al,2020
NCT02453282,32271377,Other,Rizvi NA et al (1),2020
NCT02231749,32661118,Other,Motzer RJ et al,2018
NCT02231749,32661118,Other,Motzer RJ et al,2019
NCT02231749,32661118,Other,Motzer RJ et al,2020
NCT02367794,32302702,Other,Jotte R et al,2020
NCT02367794,32302702,Other,Jotte R et al (1),2020
NCT02367794,32302702,Other,Jotte R et al,2020
NCT02367794,32302702,Other,Jotte R et al (1),2020
NCT02908672,32534646,PFS,Gutzmer R et al,2020
NCT02017717,32437507,OS,Reardon DA et al,2020
NCT02500121,32271672,PFS,Galsky MD et al,2020
NCT02807636,32416780,OS,Galsky MD et al,2020
NCT02807636,32416780,OS,Galsky MD et al (1),2020
NCT02807636,32416780,OS,Galsky MD et al,2020
NCT02807636,32416780,OS,Galsky MD et al (1),2020
NCT03434379,32402160,OS,Finn RS et al,2020
NCT02369874,32294530,OS,Ferris RL et al,2020
NCT02369874,32294530,OS,Ferris RL et al (1),2020
NCT02369874,32294530,OS,Ferris RL et al,2020
NCT02369874,32294530,OS,Ferris RL et al (1),2020
NCT02870920,32379280,OS,Chen EX et al,2020
NCT02574598,32271354,ORR,Arrieta O et al,2020
NCT01668784,32673417,OS,Motzer RJ et al,2015
NCT01668784,32673417,OS,Motzer RJ et al,2020
NCT02684006,32339648,OS,Motzer RJ et al,2019
NCT02684006,32339648,OS,Choueiri TK et al,2020
NCT02142738,27718847,PFS,Reck M et al,2019
NCT02142738,27718847,PFS,Reck M et al,2016
NCT00094653,23942774,OS,Hodi FS et al,2010
NCT00094653,23942774,OS,Hodi FS et al (1),2010
NCT00094653,23942774,OS,McDermott D et al,2013
NCT00094653,23942774,OS,McDermott D et al (1),2013
NCT00094653,23942774,OS,Hodi FS et al,2010
NCT00094653,23942774,OS,Hodi FS et al (1),2010
NCT00094653,23942774,OS,McDermott D et al,2013
NCT00094653,23942774,OS,McDermott D et al (1),2013
NCT03051659,32880602,PFS,Tolaney SM et al,2020
NCT02494583,32880601,Other,Shitara K et al,2020
NCT02494583,32880601,Other,Shitara K et al (1),2020
NCT02494583,32880601,Other,Shitara K et al,2020
NCT02494583,32880601,Other,Shitara K et al (1),2020
NCT02819518,33278935,OS,Cortes J et al,2020
NCT02516241,32971005,OS,Powles T et al,2020
NCT02516241,32971005,OS,Powles T et al (1),2020
NCT02516241,32971005,OS,Powles T et al,2020
NCT02516241,32971005,OS,Powles T et al (1),2020
NCT03197935,32966830,Other,Mittendorf EA et al,2020
NCT02603432,32945632,OS,Powles T et al,2020
NCT02625610,33197226,OS,Moehler M et al,2020
NCT02899299,33485464,OS,Baas P et al.,2021
NCT02409342,32997907,OS,Herbst RS et al.,2020
NCT02924883,33002436,PFS,Emens LA et al,2020
NCT02853331,33284113,OS,Rini BI et al,2019
NCT02853331,33284113,OS,Powles T et al. ,2020
NCT02657434,33333328,PFS,Nishio M et al,2020
NCT02564263,33026938,OS,Kojima T et al.,2020
NCT00861614,32811715,OS,Kwon ED et al,2014
NCT00861614,32811715,OS,Fizazi K et al.,2020
NCT01721772,32997575,OS,Robert C et al,2015
NCT01721772,32997575,OS,Ascierto PA et al,2019
NCT01721772,32997575,OS,Robert C et al,2020
NCT02130466,33361337,PFS,Ascierto PA et al,2019
NCT02130466,33361337,PFS,Ferrucci PF et al,2020
NCT03043872,33285097,OS,Paz-Ares L et al,2019
NCT03043872,33285097,OS,Paz-Ares L et al (1),2019
NCT03043872,33285097,OS,Goldman JW et al,2020
NCT03043872,33285097,OS,Goldman JW et al (1),2020
NCT03043872,33285097,OS,Paz-Ares L et al,2019
NCT03043872,33285097,OS,Paz-Ares L et al (1),2019
NCT03043872,33285097,OS,Goldman JW et al,2020
NCT03043872,33285097,OS,Goldman JW et al (1),2020
NCT02991482,32976938,PFS,Popat S et al. ,2020
NCT02563002,33264544,PFS,Andre T et al.,2020
NCT02362594,32946353,Other,Eggermont AMM et al,2018
NCT02362594,32946353,Other,Eggermont AMM et al,2020
NCT00636168,25840693,PFS,Eggermont AMM et al,2016
NCT00636168,25840693,PFS,Eggermont AMM et al,2015
NCT01903993,33166718,OS,Fehrenbacher L et al,2016
NCT01903993,33166718,OS,Mazieres J et al,2020
NCT02008227,33166718,OS,Rittmeyer A et al,2017
NCT02008227,33166718,OS,Fehrenbacher L et al,2018
NCT02008227,33166718,OS,Mazieres J et al,2020
NCT02811861,33616314,PFS,Motzer R et al,2021
NCT03215706,33476593,OS,Paz-Ares L et al,2021
NCT02481830,33539946,OS,Spigel DR et al,2021
NCT03141177,33657295,PFS,Choueiri TK et al,2021
NCT02538666,33683919,OS,Owonikoko TK et al,2021
NCT02538666,33683919,OS,Owonikoko TK et al,2021
NCT02538666,33683919,Other,Owonikoko TK et al,2021
NCT02538666,33683919,Other,Owonikoko TK et al,2021
NCT02299999,33462450,PFS,Bachelot T et al,2021
NCT02684292,33721562,PFS,Kuruvilla J et al,2021
NCT02450331,33721560,Other,Bellmunt J et al,2021
NCT02555657,33676601,OS,Winer PE et al,2021
NCT03088540,33581821,Other,Sezer A et al,2021
NCT02852083,33796020,PFS,Heudobler D et al,2021
NCT02952586,33794205,PFS,Lee NY et al,2021
NCT02743494,33789008,Other,Kelly RJ,2021
NCT02999087,33125944,PFS,Tao Y et al.,2021
