NCT,PMID,extracted_aspects,Authors,Year
NCT00527735,22858559,concurrent ipilimumab with chemotherapy,Lynch TJ et al (1),2012
NCT00527735,22858559,concurrent ipilimumab with chemotherapy,Reck M et al,2012
NCT00527735,22858559,concurrent ipilimumab with chemotherapy,Reck M et al (1),2012
NCT00527735,22858559,Phased ipilimumab administration,Lynch TJ et al,2012
NCT00527735,22858559,Phased ipilimumab administration,Lynch TJ et al (1),2012
NCT00527735,22858559,Phased ipilimumab administration,Reck M et al,2012
NCT00527735,22858559,Phased ipilimumab administration,Reck M et al (1),2012
NCT01673867,26412456,monotherapy,Borghaei  H et al,2015
NCT01642004,26028407,Phase 3 trial,Brahmer J et al,2015
NCT01905657,26712084,monotherapy,Herbst RS et al,2016
NCT01905657,26712084,monotherapy,Herbst RS et al (1),2016
NCT01905657,26712084,Monotherapy,Herbst RS et al,2016
NCT01905657,26712084,Monotherapy,Herbst RS et al (1),2016
NCT01903993,26970723,Atezolizumab monotherapy,Fehrenbacher L et al,2016
NCT01903993,26970723,Atezolizumab monotherapy,Mazieres J et al,2020
NCT01450761,27458307,Ipilimumab combined with standard chemotherapy (Etoposide+Platinum agent),Reck M et al,2016
NCT02041533,28636851,single agent anti-PD-1,Carbone DP et al,2017
NCT01285609,28854067,Ipilimumab in combination with Paclitaxel and Carboplatin,Govindan R et al,2017
NCT02125461,28885881,Durvalumab monotherapy,Antonia SJ et al,2017
NCT02125461,28885881,Durvalumab monotherapy,Antonia SJ et al,2018
NCT02125461,30280658,Adjuvant durvalumab following chemoradiation,Antonia SJ et al,2017
NCT02125461,30280658,Adjuvant durvalumab following chemoradiation,Antonia SJ et al,2018
NCT02395172,30262187,Phase II trial,Barlesi F et al,2018
NCT02039674,27745820,Phase 2 trial evaluating pembrolizumab in combination with pemetrexed and carboplatin.,Langer JC et al,2016
NCT02039674,27745820,Phase 2 trial evaluating pembrolizumab in combination with pemetrexed and carboplatin.,Borghaei  H et al,2018
NCT02039674,30138764,"Pembrolizumab, Pemetrexed, Carboplatin combination; Keynote trial series",Langer JC et al,2016
NCT02039674,30138764,"Pembrolizumab, Pemetrexed, Carboplatin combination; Keynote trial series",Borghaei  H et al,2018
NCT02008227,27979383,Atezolizumab monotherapy,Rittmeyer A et al,2017
NCT02008227,27979383,Atezolizumab monotherapy,Fehrenbacher L et al,2018
NCT02008227,27979383,Atezolizumab monotherapy,Mazieres J et al,2020
NCT02008227,29777823,Atezolizumab monotherapy,Rittmeyer A et al,2017
NCT02008227,29777823,Atezolizumab monotherapy,Fehrenbacher L et al,2018
NCT02008227,29777823,Atezolizumab monotherapy,Mazieres J et al,2020
NCT02578680,29658856,Pembrolizumab combined with Platinum-based chemotherapy.,Gandhi L et al,2018
NCT02763579,30280641,Atezolizumab added to standard Etoposide and Carboplatin regimen.,Horn L et al,2018
NCT02763579,30280641,Atezolizumab added to standard Etoposide and Carboplatin regimen.,Mansfield AS et al,2020
NCT02775435,30280635,Pembrolizumab combined with either Paclitaxel or nab-paclitaxel and Carboplatin,Paz-Ares L et al,2018
NCT02366143,29863955,Atezolizumab with chemotherapy,Socinski MA et al,2018
NCT02366143,29863955,Atezolizumab with chemotherapy,Socinski MA et al (1),2018
NCT02366143,29863955,Quadruple combination; Atezolizumab-based,Socinski MA et al,2018
NCT02366143,29863955,Quadruple combination; Atezolizumab-based,Socinski MA et al (1),2018
NCT02477826,29658845,Dual checkpoint inhibition,Hellmann MD et al,2018
NCT02477826,29658845,Dual checkpoint inhibition,Hellmann MD et al (1),2018
NCT02477826,29658845,Dual checkpoint inhibition,Hellmann MD et al,2019
NCT02477826,29658845,Dual checkpoint inhibition,Hellmann MD et al (1),2019
NCT02477826,29658845,Dual checkpoint inhibition,Hellmann MD et al (2),2019
NCT02477826,29658845,Nivolumab monotherapy,Hellmann MD et al,2018
NCT02477826,29658845,Nivolumab monotherapy,Hellmann MD et al (1),2018
NCT02477826,29658845,Nivolumab monotherapy,Hellmann MD et al,2019
NCT02477826,29658845,Nivolumab monotherapy,Hellmann MD et al (1),2019
NCT02477826,29658845,Nivolumab monotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,Nivolumab and Ipilimumab combination,Hellmann MD et al,2018
NCT02477826,31562796,Nivolumab and Ipilimumab combination,Hellmann MD et al (1),2018
NCT02477826,31562796,Nivolumab and Ipilimumab combination,Hellmann MD et al,2019
NCT02477826,31562796,Nivolumab and Ipilimumab combination,Hellmann MD et al (1),2019
NCT02477826,31562796,Nivolumab and Ipilimumab combination,Hellmann MD et al (2),2019
NCT02477826,31562796,Nivolumab monotherapy,Hellmann MD et al,2018
NCT02477826,31562796,Nivolumab monotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,Nivolumab monotherapy,Hellmann MD et al,2019
NCT02477826,31562796,Nivolumab monotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,Nivolumab monotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,Nivolumab plus chemotherapy,Hellmann MD et al,2018
NCT02477826,31562796,Nivolumab plus chemotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,Nivolumab plus chemotherapy,Hellmann MD et al,2019
NCT02477826,31562796,Nivolumab plus chemotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,Nivolumab plus chemotherapy,Hellmann MD et al (2),2019
NCT02220894,30955977,Single agent pembrolizumab,Mok TSK et al,2019
NCT03059667,30664989,Atezolizumab monotherapy,Pujol JL et al,2019
NCT02142738,30620668,Pembrolizumab monotherapy,Reck M et al,2019
NCT02142738,30620668,Pembrolizumab monotherapy,Reck M et al,2016
NCT02367781,31122901,"Atezolizumab, Carboplatin, Nab-paclitaxel",West H et al,2019
NCT02613507,30659987,Nivolumab monotherapy,Wu YL et al,2019
NCT02454933,30763730,Durvalumab and Osimertinib combination,Yang JCH et al,2019
NCT00324155,21639810,Ipilimumab and dacarbazine combination,Robert C et al,2011
NCT00094653,20525992,monotherapy,Hodi FS et al,2010
NCT00094653,20525992,monotherapy,Hodi FS et al (1),2010
NCT00094653,20525992,monotherapy,McDermott D et al,2013
NCT00094653,20525992,monotherapy,McDermott D et al (1),2013
NCT00094653,20525992,"Ipilimumab, Gp100 Vaccine",Hodi FS et al,2010
NCT00094653,20525992,"Ipilimumab, Gp100 Vaccine",Hodi FS et al (1),2010
NCT00094653,20525992,"Ipilimumab, Gp100 Vaccine",McDermott D et al,2013
NCT00094653,20525992,"Ipilimumab, Gp100 Vaccine",McDermott D et al (1),2013
NCT00257205,23295794,tremelimumab monotherapy,Ribas A et al,2013
NCT02362594,29658430,"Phase III, adjuvant therapy",Eggermont AMM et al,2018
NCT02362594,29658430,"Phase III, adjuvant therapy",Eggermont AMM et al,2020
NCT01704287,26115796,Pembrolizumab dose specified as 2 mg/kg,Ribas A et al,2015
NCT01704287,26115796,Pembrolizumab dose specified as 2 mg/kg,Ribas A et al (1),2015
NCT01704287,26115796,Pembrolizumab dose specified as 2 mg/kg,Hamid O et al,2017
NCT01704287,26115796,Pembrolizumab dose specified as 2 mg/kg,Hamid O et al (1),2017
NCT01704287,26115796,Pembrolizumab dosing specified as 10 mg/kg.,Ribas A et al,2015
NCT01704287,26115796,Pembrolizumab dosing specified as 10 mg/kg.,Ribas A et al (1),2015
NCT01704287,26115796,Pembrolizumab dosing specified as 10 mg/kg.,Hamid O et al,2017
NCT01704287,26115796,Pembrolizumab dosing specified as 10 mg/kg.,Hamid O et al (1),2017
NCT01704287,28961465,"Pembrolizumab dosing specified (2 mg/kg), monotherapy.",Ribas A et al,2015
NCT01704287,28961465,"Pembrolizumab dosing specified (2 mg/kg), monotherapy.",Ribas A et al (1),2015
NCT01704287,28961465,"Pembrolizumab dosing specified (2 mg/kg), monotherapy.",Hamid O et al,2017
NCT01704287,28961465,"Pembrolizumab dosing specified (2 mg/kg), monotherapy.",Hamid O et al (1),2017
NCT01704287,28961465,Pembrolizumab dosing at 10 mg/kg,Ribas A et al,2015
NCT01704287,28961465,Pembrolizumab dosing at 10 mg/kg,Ribas A et al (1),2015
NCT01704287,28961465,Pembrolizumab dosing at 10 mg/kg,Hamid O et al,2017
NCT01704287,28961465,Pembrolizumab dosing at 10 mg/kg,Hamid O et al (1),2017
NCT00636168,27717298,Ipilimumab monotherapy,Eggermont AMM et al,2016
NCT00636168,27717298,Ipilimumab monotherapy,Eggermont AMM et al,2015
NCT01721746,25795410,monotherapy,Weber JS et al,2015
NCT01721746,25795410,monotherapy,Larkin J et al,2018
NCT01721746,28671856,Monotherapy,Weber JS et al,2015
NCT01721746,28671856,Monotherapy,Larkin J et al,2018
NCT02130466,31171878,Pembrolizumab combined with BRAF/MEK inhibitors Dabrafenib and Trametinib,Ascierto PA et al,2019
NCT02130466,31171878,Pembrolizumab combined with BRAF/MEK inhibitors Dabrafenib and Trametinib,Ferrucci PF et al,2020
NCT01721772,25399552,Monotherapy with nivolumab,Robert C et al,2015
NCT01721772,25399552,Monotherapy with nivolumab,Ascierto PA et al,2019
NCT01721772,25399552,Monotherapy with nivolumab,Robert C et al,2020
NCT01721772,30422243,Nivolumab monotherapy,Robert C et al,2015
NCT01721772,30422243,Nivolumab monotherapy,Ascierto PA et al,2019
NCT01721772,30422243,Nivolumab monotherapy,Robert C et al,2020
NCT01843374,28729154,single-agent anti-CTLA-4 therapy,Maio M et al,2017
NCT02576977,31327687,Pembrolizumab with Pomalidomide and Dexamethasone; Phase 3 trial,Mateos MV et al,2019
NCT02579863,31327689,"Pembrolizumab, Lenalidomide, Dexamethasone",Usmani SZ et al,2019
NCT00861614,24831977,Ipilimumab combination therapy,Kwon ED et al,2014
NCT00861614,24831977,Ipilimumab combination therapy,Fizazi K et al.,2020
NCT01057810,28034081,Ipilimumab monotherapy,Beer TM et al,2017
NCT02267343,31863227,Nivolumab monotherapy,Kang YK et al,2017
NCT02267343,31863227,Nivolumab monotherapy,Chen LT et al,2019
NCT02702401,31790344,Pembrolizumab monotherapy,Finn RS et al,2019
NCT02569242,31582355,Nivolumab monotherapy,Kato K et al,2019
NCT01042379,32053137,"Pembrolizumab and Paclitaxel combination, I-SPY2 trial",Nanda R et al,2019
NCT03043872,31590988,Durvalumab in combination with Etoposide and Platinum-based chemotherapy,Paz-Ares L et al,2019
NCT03043872,31590988,Durvalumab in combination with Etoposide and Platinum-based chemotherapy,Paz-Ares L et al (1),2019
NCT03043872,31590988,Durvalumab in combination with Etoposide and Platinum-based chemotherapy,Goldman JW et al,2020
NCT03043872,31590988,Durvalumab in combination with Etoposide and Platinum-based chemotherapy,Goldman JW et al (1),2020
NCT03043872,31590988,Phase III trial of durvalumab and tremelimumab with etoposide and platinum-based chemotherapy,Paz-Ares L et al,2019
NCT03043872,31590988,Phase III trial of durvalumab and tremelimumab with etoposide and platinum-based chemotherapy,Paz-Ares L et al (1),2019
NCT03043872,31590988,Phase III trial of durvalumab and tremelimumab with etoposide and platinum-based chemotherapy,Goldman JW et al,2020
NCT03043872,31590988,Phase III trial of durvalumab and tremelimumab with etoposide and platinum-based chemotherapy,Goldman JW et al (1),2020
NCT02425891,31786121,Atezolizumab with Nab-paclitaxel combination.,Schmid P et al,2018
NCT02425891,31786121,Atezolizumab with Nab-paclitaxel combination.,Schmid P et al,2019
NCT02358031,31679945,Pembrolizumab monotherapy,Burtness B et al,2019
NCT02358031,31679945,Pembrolizumab monotherapy,Burtness B et al (1),2019
NCT02358031,31679945,Pembrolizumab in combination with platinum-based chemotherapy (cisplatin or carboplatin) and 5-FU,Burtness B et al,2019
NCT02358031,31679945,Pembrolizumab in combination with platinum-based chemotherapy (cisplatin or carboplatin) and 5-FU,Burtness B et al (1),2019
NCT02763579,31959349,Atezolizumab combination with platinum-based chemotherapy,Horn L et al,2018
NCT02763579,31959349,Atezolizumab combination with platinum-based chemotherapy,Mansfield AS et al,2020
NCT02362048,32114502,Pembrolizumab and acalabrutinib combination,Overman M et al,2020
NCT02352948,32201234,Single-arm trial.,Planchard D et al,2020
NCT02352948,32201234,Single-arm trial.,Planchard D et al (1),2020
NCT02352948,32201234,Single-arm trial.,Planchard D et al (2),2020
NCT02352948,32201234,Tremelimumab monotherapy,Planchard D et al,2020
NCT02352948,32201234,Tremelimumab monotherapy,Planchard D et al (1),2020
NCT02352948,32201234,Tremelimumab monotherapy,Planchard D et al (2),2020
NCT02352948,32201234,Dual immunotherapy,Planchard D et al,2020
NCT02352948,32201234,Dual immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,Dual immunotherapy,Planchard D et al (2),2020
NCT03036488,32101663,Pembrolizumab with taxane and platinum doublet,Schmid P et al,2020
NCT01274338,31880964,Ipilimumab monotherapy,Tarhini AA et al,2020
NCT01274338,31880964,Ipilimumab monotherapy,Tarhini AA et al (1),2020
NCT02523313,32416781,Nivolumab monotherapy,Zimmer L et al,2020
NCT02523313,32416781,Nivolumab monotherapy,Zimmer L et al (1),2020
NCT02523313,32416781,Nivolumab and Ipilimumab combination,Zimmer L et al,2020
NCT02523313,32416781,Nivolumab and Ipilimumab combination,Zimmer L et al (1),2020
NCT01896869,32591464,Ipilimumab and GVAX combination therapy,Wu AA et al,2020
NCT03066778,32468956,Pembrolizumab in combination with Etoposide and Platinum agent,Rudin CM et al,2020
NCT02453282,32271377,Durvalumab monotherapy,Rizvi NA et al,2020
NCT02453282,32271377,Durvalumab monotherapy,Rizvi NA et al (1),2020
NCT02453282,32271377,Dual immune checkpoint blockade,Rizvi NA et al,2020
NCT02453282,32271377,Dual immune checkpoint blockade,Rizvi NA et al (1),2020
NCT02231749,32661118,Nivolumab and Ipilimumab combination therapy,Motzer RJ et al,2018
NCT02231749,32661118,Nivolumab and Ipilimumab combination therapy,Motzer RJ et al,2019
NCT02231749,32661118,Nivolumab and Ipilimumab combination therapy,Motzer RJ et al,2020
NCT02367794,32302702,"Atezolizumab, Carboplatin, Paclitaxel combination",Jotte R et al,2020
NCT02367794,32302702,"Atezolizumab, Carboplatin, Paclitaxel combination",Jotte R et al (1),2020
NCT02367794,32302702,"Atezolizumab, Carboplatin, Nab-paclitaxel",Jotte R et al,2020
NCT02367794,32302702,"Atezolizumab, Carboplatin, Nab-paclitaxel",Jotte R et al (1),2020
NCT02908672,32534646,"Triple combination of Atezolizumab (anti-PD-L1), Vemurafenib (BRAF inhibitor), and Cobimetinib (MEK inhibitor)",Gutzmer R et al,2020
NCT02017717,32437507,Nivolumab monotherapy,Reardon DA et al,2020
NCT02500121,32271672,Pembrolizumab monotherapy,Galsky MD et al,2020
NCT02807636,32416780,Atezolizumab in combination with Gemcitabine and either Carboplatin or Cisplatin; phase 3 trial,Galsky MD et al,2020
NCT02807636,32416780,Atezolizumab in combination with Gemcitabine and either Carboplatin or Cisplatin; phase 3 trial,Galsky MD et al (1),2020
NCT02807636,32416780,Monotherapy arm of the IMvigor130 trial,Galsky MD et al,2020
NCT02807636,32416780,Monotherapy arm of the IMvigor130 trial,Galsky MD et al (1),2020
NCT03434379,32402160,Atezolizumab and Bevacizumab combination therapy.,Finn RS et al,2020
NCT02369874,32294530,Durvalumab monotherapy,Ferris RL et al,2020
NCT02369874,32294530,Durvalumab monotherapy,Ferris RL et al (1),2020
NCT02369874,32294530,anti-PD-L1 and anti-CTLA-4 combination,Ferris RL et al,2020
NCT02369874,32294530,anti-PD-L1 and anti-CTLA-4 combination,Ferris RL et al (1),2020
NCT02870920,32379280,Durvalumab and Tremelimumab combination with best supportive care.,Chen EX et al,2020
NCT02574598,32271354,Pembrolizumab and Docetaxel combination,Arrieta O et al,2020
NCT01668784,32673417,monotherapy with nivolumab,Motzer RJ et al,2015
NCT01668784,32673417,monotherapy with nivolumab,Motzer RJ et al,2020
NCT02684006,32339648,Phase III trial of PD-L1 inhibitor (avelumab) plus VEGFR TKI (axitinib),Motzer RJ et al,2019
NCT02684006,32339648,Phase III trial of PD-L1 inhibitor (avelumab) plus VEGFR TKI (axitinib),Choueiri TK et al,2020
NCT02142738,27718847,First-line therapy,Reck M et al,2019
NCT02142738,27718847,First-line therapy,Reck M et al,2016
NCT00094653,23942774,Ipilimumab monotherapy,Hodi FS et al,2010
NCT00094653,23942774,Ipilimumab monotherapy,Hodi FS et al (1),2010
NCT00094653,23942774,Ipilimumab monotherapy,McDermott D et al,2013
NCT00094653,23942774,Ipilimumab monotherapy,McDermott D et al (1),2013
NCT00094653,23942774,Ipilimumab and Gp100 vaccine combination,Hodi FS et al,2010
NCT00094653,23942774,Ipilimumab and Gp100 vaccine combination,Hodi FS et al (1),2010
NCT00094653,23942774,Ipilimumab and Gp100 vaccine combination,McDermott D et al,2013
NCT00094653,23942774,Ipilimumab and Gp100 vaccine combination,McDermott D et al (1),2013
NCT03051659,32880602,Pembrolizumab and Eribulin combination,Tolaney SM et al,2020
NCT02494583,32880601,Pembrolizumab monotherapy,Shitara K et al,2020
NCT02494583,32880601,Pembrolizumab monotherapy,Shitara K et al (1),2020
NCT02494583,32880601,Pembrolizumab in combination with chemotherapy (Cisplatin+5-FU/Capecitabine),Shitara K et al,2020
NCT02494583,32880601,Pembrolizumab in combination with chemotherapy (Cisplatin+5-FU/Capecitabine),Shitara K et al (1),2020
NCT02819518,33278935,"Pembrolizumab combined with various chemotherapies (nab-paclitaxel, paclitaxel, gemcitabine+carboplatin).",Cortes J et al,2020
NCT02516241,32971005,Durvalumab monotherapy,Powles T et al,2020
NCT02516241,32971005,Durvalumab monotherapy,Powles T et al (1),2020
NCT02516241,32971005,Durvalumab and Tremelimumab combination therapy,Powles T et al,2020
NCT02516241,32971005,Durvalumab and Tremelimumab combination therapy,Powles T et al (1),2020
NCT03197935,32966830,Atezolizumab in combination with chemotherapy; Nab-paclitaxel + Doxorubicin + Cyclophosphamide regimen; included growth factor support.,Mittendorf EA et al,2020
NCT02603432,32945632,Avelumab monotherapy versus best supportive care. ,Powles T et al,2020
NCT02625610,33197226,"Avelumab in combination, Phase III",Moehler M et al,2020
NCT02899299,33485464,Nivolumab and Ipilimumab combination,Baas P et al.,2021
NCT02409342,32997907,Atezolizumab monotherapy,Herbst RS et al.,2020
NCT02924883,33002436,Atezolizumab combination therapy,Emens LA et al,2020
NCT02853331,33284113,Pembrolizumab and Axitinib combination,Rini BI et al,2019
NCT02853331,33284113,Pembrolizumab and Axitinib combination,Powles T et al. ,2020
NCT02657434,33333328,Atezolizumab in combination with platinum-based chemotherapy (Carboplatin/Cisplatin) and Pemetrexed,Nishio M et al,2020
NCT02564263,33026938,Pembrolizumab monotherapy,Kojima T et al.,2020
NCT00861614,32811715,Ipilimumab in combination (details of other agents not specified),Kwon ED et al,2014
NCT00861614,32811715,Ipilimumab in combination (details of other agents not specified),Fizazi K et al.,2020
NCT01721772,32997575,Nivolumab monotherapy,Robert C et al,2015
NCT01721772,32997575,Nivolumab monotherapy,Ascierto PA et al,2019
NCT01721772,32997575,Nivolumab monotherapy,Robert C et al,2020
NCT02130466,33361337,Pembrolizumab in combination with targeted therapy (Dabrafenib and Trametinib),Ascierto PA et al,2019
NCT02130466,33361337,Pembrolizumab in combination with targeted therapy (Dabrafenib and Trametinib),Ferrucci PF et al,2020
NCT03043872,33285097,Phase III trial with immunotherapy combination (Durvalumab + Tremelimumab) added to chemotherapy (Etoposide + Platinum agent).,Paz-Ares L et al,2019
NCT03043872,33285097,Phase III trial with immunotherapy combination (Durvalumab + Tremelimumab) added to chemotherapy (Etoposide + Platinum agent).,Paz-Ares L et al (1),2019
NCT03043872,33285097,Phase III trial with immunotherapy combination (Durvalumab + Tremelimumab) added to chemotherapy (Etoposide + Platinum agent).,Goldman JW et al,2020
NCT03043872,33285097,Phase III trial with immunotherapy combination (Durvalumab + Tremelimumab) added to chemotherapy (Etoposide + Platinum agent).,Goldman JW et al (1),2020
NCT03043872,33285097,"Durvalumab, Etoposide, Platinum agent",Paz-Ares L et al,2019
NCT03043872,33285097,"Durvalumab, Etoposide, Platinum agent",Paz-Ares L et al (1),2019
NCT03043872,33285097,"Durvalumab, Etoposide, Platinum agent",Goldman JW et al,2020
NCT03043872,33285097,"Durvalumab, Etoposide, Platinum agent",Goldman JW et al (1),2020
NCT02991482,32976938,Pembrolizumab monotherapy,Popat S et al. ,2020
NCT02563002,33264544,Pembrolizumab monotherapy,Andre T et al.,2020
NCT02362594,32946353,"EORTC trial, KEYNOTE-054, adjuvant setting",Eggermont AMM et al,2018
NCT02362594,32946353,"EORTC trial, KEYNOTE-054, adjuvant setting",Eggermont AMM et al,2020
NCT00636168,25840693,Ipilimumab monotherapy,Eggermont AMM et al,2016
NCT00636168,25840693,Ipilimumab monotherapy,Eggermont AMM et al,2015
NCT01903993,33166718,Atezolizumab monotherapy,Fehrenbacher L et al,2016
NCT01903993,33166718,Atezolizumab monotherapy,Mazieres J et al,2020
NCT02008227,33166718,Atezolizumab monotherapy,Rittmeyer A et al,2017
NCT02008227,33166718,Atezolizumab monotherapy,Fehrenbacher L et al,2018
NCT02008227,33166718,Atezolizumab monotherapy,Mazieres J et al,2020
NCT02811861,33616314,Pembrolizumab Lenvatinib combination,Motzer R et al,2021
NCT03215706,33476593,Phase 3 trial; first-line treatment,Paz-Ares L et al,2021
NCT02481830,33539946,Phase 3 trial of nivolumab monotherapy,Spigel DR et al,2021
NCT03141177,33657295,Nivolumab and Cabozantinib combination,Choueiri TK et al,2021
NCT02538666,33683919,Nivolumab and Ipilimumab combination therapy,Owonikoko TK et al,2021
NCT02538666,33683919,Nivolumab and Ipilimumab combination therapy,Owonikoko TK et al,2021
NCT02538666,33683919,Nivolumab monotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,Nivolumab monotherapy,Owonikoko TK et al,2021
NCT02299999,33462450,Monotherapy of Durvalumab; SAFIR02-BREAST IMMUNO trial,Bachelot T et al,2021
NCT02684292,33721562,Pembrolizumab monotherapy,Kuruvilla J et al,2021
NCT02450331,33721560,Atezolizumab monotherapy,Bellmunt J et al,2021
NCT02555657,33676601,Pembrolizumab monotherapy,Winer PE et al,2021
NCT03088540,33581821,monotherapy with cemiplimab,Sezer A et al,2021
NCT02852083,33796020,Nivolumab monotherapy,Heudobler D et al,2021
NCT02952586,33794205,Avelumab combined with Chemoradiotherapy,Lee NY et al,2021
NCT02743494,33789008,Nivolumab monotherapy,Kelly RJ,2021
NCT02999087,33125944,"Avelumab, cetuximab, radiotherapy",Tao Y et al.,2021
