NCT,Authors,Year,PMID,Cancer type,Treatment regimen,cancer_type_from_regimen
NCT00527735,Reck M et al (1),2012,22858559,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Small Cell Lung
NCT00527735,Reck M et al (1),2012,22858559,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Small Cell Lung
NCT01673867,Borghaei  H et al,2015,26412456,Non-Small Cell Lung,Nivolumab,UNKNOWN
NCT01642004,Brahmer J et al,2015,26028407,Non-Small Cell Lung,Nivolumab,UNKNOWN
NCT01905657,Herbst RS et al,2016,26712084,Non-Small Cell Lung,Pembrolizumab,UNKNOWN
NCT01905657,Herbst RS et al,2016,26712084,Non-Small Cell Lung,Pembrolizumab,UNKNOWN
NCT01905657,Herbst RS et al (1),2016,26712084,Non-Small Cell Lung,Pembrolizumab,UNKNOWN
NCT01905657,Herbst RS et al (1),2016,26712084,Non-Small Cell Lung,Pembrolizumab,UNKNOWN
NCT01903993,Fehrenbacher L et al,2016,26970723,Non-Small Cell Lung,Atezolizumab,UNKNOWN
NCT01450761,Reck M et al,2016,27458307,Small Cell Lung,Ipilimumab+Etoposide+Platinum agent,Small Cell Lung
NCT02041533,Carbone DP et al,2017,28636851,Non-Small Cell Lung,Nivolumab,UNKNOWN
NCT01285609,Govindan R et al,2017,28854067,Non-Small Cell Lung,Ipilimumab+Paclitaxel+Carboplatin,Non-Small Cell Lung
NCT02125461,Antonia SJ et al,2017,28885881,Non-Small Cell Lung,Durvalumab,UNKNOWN
NCT02125461,Antonia SJ et al,2018,30280658,Non-Small Cell Lung,Durvalumab,UNKNOWN
NCT02395172,Barlesi F et al,2018,30262187,Non-Small Cell Lung,Atezolizumab,Non-Small Cell Lung
NCT02039674,Langer JC et al,2016,27745820,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,UNKNOWN
NCT02039674,Borghaei  H et al,2018,30138764,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Lung
NCT02008227,Rittmeyer A et al,2017,27979383,Non-Small Cell Lung,Atezolizumab,UNKNOWN
NCT02008227,Fehrenbacher L et al,2018,29777823,Non-Small Cell Lung,Atezolizumab,UNKNOWN
NCT02578680,Gandhi L et al,2018,29658856,Non-Small Cell Lung,Pembrolizumab+Platinum agent,UNKNOWN
NCT02763579,Horn L et al,2018,30280641,Small Cell Lung,Atezolizumab+Etoposide+Carboplatin,Small Cell Lung
NCT02775435,Paz-Ares L et al,2018,30280635,Non-Small Cell Lung,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,Lung
NCT02366143,Socinski MA et al,2018,29863955,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Non-Small Cell Lung
NCT02366143,Socinski MA et al,2018,29863955,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Lung
NCT02366143,Socinski MA et al (1),2018,29863955,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Non-Small Cell Lung
NCT02366143,Socinski MA et al (1),2018,29863955,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Lung
NCT02477826,Hellmann MD et al,2018,29658845,Non-Small Cell Lung,Nivolumab+Ipilimumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al,2018,29658845,Non-Small Cell Lung,Nivolumab+Ipilimumab,UNKNOWN
NCT02477826,Hellmann MD et al (1),2018,29658845,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (1),2018,29658845,Non-Small Cell Lung,Nivolumab,UNKNOWN
NCT02477826,Hellmann MD et al,2019,31562796,Non-Small Cell Lung,Nivolumab+Ipilimumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al,2019,31562796,Non-Small Cell Lung,Nivolumab+Ipilimumab,UNKNOWN
NCT02477826,Hellmann MD et al,2019,31562796,Non-Small Cell Lung,Nivolumab+Ipilimumab,UNKNOWN
NCT02477826,Hellmann MD et al (1),2019,31562796,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (1),2019,31562796,Non-Small Cell Lung,Nivolumab,UNKNOWN
NCT02477826,Hellmann MD et al (1),2019,31562796,Non-Small Cell Lung,Nivolumab,UNKNOWN
NCT02477826,Hellmann MD et al (2),2019,31562796,Non-Small Cell Lung,Nivolumab+Chemotherapy,Non-Small Cell Lung
NCT02477826,Hellmann MD et al (2),2019,31562796,Non-Small Cell Lung,Nivolumab+Chemotherapy,UNKNOWN
NCT02477826,Hellmann MD et al (2),2019,31562796,Non-Small Cell Lung,Nivolumab+Chemotherapy,UNKNOWN
NCT02220894,Mok TSK et al,2019,30955977,Non-Small Cell Lung,Pembrolizumab,UNKNOWN
NCT03059667,Pujol JL et al,2019,30664989,Small Cell Lung,Atezolizumab,UNKNOWN
NCT02142738,Reck M et al,2019,30620668,Non-Small Cell Lung,Pembrolizumab,UNKNOWN
NCT02367781,West H et al,2019,31122901,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Non-Small Cell Lung
NCT02613507,Wu YL et al,2019,30659987,Non-Small Cell Lung,Nivolumab,UNKNOWN
NCT02454933,Yang JCH et al,2019,30763730,Non-Small Cell Lung,Durvalumab+Osimertinib,Non-Small Cell Lung
NCT00324155,Robert C et al,2011,21639810,Melanoma,Ipilimumab+Dacarbazine,Melanoma
NCT00094653,Hodi FS et al,2010,20525992,Melanoma,Ipilimumab,UNKNOWN
NCT00094653,Hodi FS et al,2010,20525992,Melanoma,Ipilimumab,Melanoma
NCT00094653,Hodi FS et al (1),2010,20525992,Melanoma,Ipilimumab+Gp100 Vaccine,UNKNOWN
NCT00094653,Hodi FS et al (1),2010,20525992,Melanoma,Ipilimumab+Gp100 Vaccine,Melanoma
NCT00257205,Ribas A et al,2013,23295794,Melanoma,Tremelimumab,UNKNOWN
NCT02362594,Eggermont AMM et al,2018,29658430,Melanoma,Pembrolizumab,UNKNOWN
NCT01704287,Ribas A et al,2015,26115796,Melanoma,Pembrolizumab 2 mg/kg,Melanoma
NCT01704287,Ribas A et al,2015,26115796,Melanoma,Pembrolizumab 2 mg/kg,Melanoma
NCT01704287,Ribas A et al (1),2015,26115796,Melanoma,Pembrolizumab 10 mg/kg,Melanoma
NCT01704287,Ribas A et al (1),2015,26115796,Melanoma,Pembrolizumab 10 mg/kg,Melanoma
NCT01704287,Hamid O et al,2017,28961465,Melanoma,Pembrolizumab 2 mg/kg,Melanoma
NCT01704287,Hamid O et al,2017,28961465,Melanoma,Pembrolizumab 2 mg/kg,Melanoma
NCT01704287,Hamid O et al (1),2017,28961465,Melanoma,Pembrolizumab 10 mg/kg,Melanoma
NCT01704287,Hamid O et al (1),2017,28961465,Melanoma,Pembrolizumab 10 mg/kg,Melanoma
NCT00636168,Eggermont AMM et al,2016,27717298,Melanoma,Ipilimumab,Melanoma
NCT01721746,Weber JS et al,2015,25795410,Melanoma,Nivolumab,UNKNOWN
NCT01721746,Larkin J et al,2018,28671856,Melanoma,Nivolumab,Melanoma
NCT02130466,Ascierto PA et al,2019,31171878,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Melanoma
NCT01721772,Robert C et al,2015,25399552,Melanoma,Nivolumab,UNKNOWN
NCT01721772,Ascierto PA et al,2019,30422243,Melanoma,Nivolumab,UNKNOWN
NCT01843374,Maio M et al,2017,28729154,Mesothelioma,Tremelimumab,UNKNOWN
NCT02576977,Mateos MV et al,2019,31327687,Multiple Myeloma,Pembrolizumab+Pomalidomide+Dexamethasone,Multiple Myeloma
NCT02579863,Usmani SZ et al,2019,31327689,Multiple Myeloma,Pembrolizumab+Lenalidomide+Dexamethasone,Multiple Myeloma
NCT00861614,Kwon ED et al,2014,24831977,Prostate,Ipilimumab,Prostate
NCT01057810,Beer TM et al,2017,28034081,Prostate,Ipilimumab,UNKNOWN
NCT02267343,Chen LT et al,2019,31863227,Gastric/GEJ,Nivolumab,UNKNOWN
NCT02702401,Finn RS et al,2019,31790344,Hepatocellular,Pembrolizumab,UNKNOWN
NCT02569242,Kato K et al,2019,31582355,Esophageal/GEJ,Nivolumab,UNKNOWN
NCT01042379,Nanda R et al,2019,32053137,Breast,Pembrolizumab+Paclitaxel,Breast
NCT03043872,Paz-Ares L et al,2019,31590988,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Lung
NCT03043872,Paz-Ares L et al,2019,31590988,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Paz-Ares L et al (1),2019,31590988,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Lung
NCT03043872,Paz-Ares L et al (1),2019,31590988,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Small Cell Lung
NCT02425891,Schmid P et al,2019,31786121,Breast,Atezolizumab+Nab-paclitaxel,Breast
NCT02358031,Burtness B et al,2019,31679945,Head and Neck,Pembrolizumab,UNKNOWN
NCT02358031,Burtness B et al,2019,31679945,Head and Neck,Pembrolizumab,Head and Neck
NCT02358031,Burtness B et al (1),2019,31679945,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,UNKNOWN
NCT02358031,Burtness B et al (1),2019,31679945,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,Head and Neck
NCT02763579,Mansfield AS et al,2020,31959349,Small Cell Lung,Atezolizumab+Carboplatin+Etoposide,Small Cell Lung
NCT02362048,Overman M et al,2020,32114502,Pancreatic,Pembrolizumab+Acalabrutinib,UNKNOWN
NCT02352948,Planchard D et al,2020,32201234,Non-Small Cell Lung,Durvalumab,UNKNOWN
NCT02352948,Planchard D et al,2020,32201234,Non-Small Cell Lung,Durvalumab,UNKNOWN
NCT02352948,Planchard D et al,2020,32201234,Non-Small Cell Lung,Durvalumab,UNKNOWN
NCT02352948,Planchard D et al (1),2020,32201234,Non-Small Cell Lung,Tremelimumab,UNKNOWN
NCT02352948,Planchard D et al (1),2020,32201234,Non-Small Cell Lung,Tremelimumab,UNKNOWN
NCT02352948,Planchard D et al (1),2020,32201234,Non-Small Cell Lung,Tremelimumab,UNKNOWN
NCT02352948,Planchard D et al (2),2020,32201234,Non-Small Cell Lung,Durvalumab+Tremelimumab,UNKNOWN
NCT02352948,Planchard D et al (2),2020,32201234,Non-Small Cell Lung,Durvalumab+Tremelimumab,UNKNOWN
NCT02352948,Planchard D et al (2),2020,32201234,Non-Small Cell Lung,Durvalumab+Tremelimumab,UNKNOWN
NCT03036488,Schmid P et al,2020,32101663,Breast,Pembrolizumab+Paclitaxel+Carboplatin,Breast
NCT01274338,Tarhini AA et al,2020,31880964,Melanoma,Ipilimumab,UNKNOWN
NCT01274338,Tarhini AA et al,2020,31880964,Melanoma,Ipilimumab,UNKNOWN
NCT01274338,Tarhini AA et al (1),2020,31880964,Melanoma,Ipilimumab,UNKNOWN
NCT01274338,Tarhini AA et al (1),2020,31880964,Melanoma,Ipilimumab,UNKNOWN
NCT02523313,Zimmer L et al,2020,32416781,Melanoma,Nivolumab,UNKNOWN
NCT02523313,Zimmer L et al,2020,32416781,Melanoma,Nivolumab,Melanoma
NCT02523313,Zimmer L et al (1),2020,32416781,Melanoma,Nivolumab+Ipilimumab,UNKNOWN
NCT02523313,Zimmer L et al (1),2020,32416781,Melanoma,Nivolumab+Ipilimumab,Melanoma
NCT01896869,Wu AA et al,2020,32591464,Pancreatic,Ipilimumab+GVAX,Pancreatic
NCT03066778,Rudin CM et al,2020,32468956,Small Cell Lung,Pembrolizumab+Etoposide+Platinum agent,Small Cell Lung
NCT02453282,Rizvi NA et al,2020,32271377,Non-Small Cell Lung,Durvalumab,UNKNOWN
NCT02453282,Rizvi NA et al,2020,32271377,Non-Small Cell Lung,Durvalumab,UNKNOWN
NCT02453282,Rizvi NA et al (1),2020,32271377,Non-Small Cell Lung,Durvalumab+Tremelimumab,UNKNOWN
NCT02453282,Rizvi NA et al (1),2020,32271377,Non-Small Cell Lung,Durvalumab+Tremelimumab,UNKNOWN
NCT02231749,Motzer RJ et al,2020,32661118,Renal cell,Nivolumab+Ipilimumab,Renal cell
NCT02367794,Jotte R et al,2020,32302702,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Lung
NCT02367794,Jotte R et al,2020,32302702,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Lung
NCT02367794,Jotte R et al (1),2020,32302702,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Lung
NCT02367794,Jotte R et al (1),2020,32302702,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Lung
NCT02908672,Gutzmer R et al,2020,32534646,Melanoma,Atezolizumab+Vemurafenib+Cobimetinib,Melanoma
NCT02017717,Reardon DA et al,2020,32437507,Head and Neck,Nivolumab,UNKNOWN
NCT02500121,Galsky MD et al,2020,32271672,Urothelial,Pembrolizumab,UNKNOWN
NCT02807636,Galsky MD et al,2020,32416780,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Urothelial
NCT02807636,Galsky MD et al,2020,32416780,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,UNKNOWN
NCT02807636,Galsky MD et al (1),2020,32416780,Urothelial,Atezolizumab,Urothelial
NCT02807636,Galsky MD et al (1),2020,32416780,Urothelial,Atezolizumab,UNKNOWN
NCT03434379,Finn RS et al,2020,32402160,Hepatocellular,Atezolizumab+Bevacizumab,Hepatocellular
NCT02369874,Ferris RL et al,2020,32294530,Head and Neck,Durvalumab,UNKNOWN
NCT02369874,Ferris RL et al,2020,32294530,Head and Neck,Durvalumab,Head and Neck
NCT02369874,Ferris RL et al (1),2020,32294530,Head and Neck,Durvalumab+Tremelimumab,UNKNOWN
NCT02369874,Ferris RL et al (1),2020,32294530,Head and Neck,Durvalumab+Tremelimumab,Head and Neck
NCT02870920,Chen EX et al,2020,32379280,Colorectal,Durvalumab+Tremelimumab+Best supportive care,UNKNOWN
NCT02574598,Arrieta O et al,2020,32271354,Non-Small Cell Lung,Pembrolizumab+ Docetaxel,Non-Small Cell Lung
NCT01668784,Motzer RJ et al,2020,32673417,Renal cell,Nivolumab,UNKNOWN
NCT02684006,Choueiri TK et al,2020,32339648,Renal cell,Avelumab+Axitinib,Renal cell
NCT02142738,Reck M et al,2016,27718847,Non-Small Cell Lung,Pembrolizumab,UNKNOWN
NCT00094653,McDermott D et al,2013,23942774,Melanoma,Ipilimumab,Melanoma
NCT00094653,McDermott D et al,2013,23942774,Melanoma,Ipilimumab,Melanoma
NCT00094653,McDermott D et al (1),2013,23942774,Melanoma,Ipilimumab+Gp100 Vaccine,Melanoma
NCT00094653,McDermott D et al (1),2013,23942774,Melanoma,Ipilimumab+Gp100 Vaccine,Melanoma
NCT03051659,Tolaney SM et al,2020,32880602,Breast,Pembrolizumab+Eribulin,Breast
NCT02494583,Shitara K et al,2020,32880601,Gastric/GEJ,Pembrolizumab,UNKNOWN
NCT02494583,Shitara K et al,2020,32880601,Gastric/GEJ,Pembrolizumab,Gastric/GEJ
NCT02494583,Shitara K et al (1),2020,32880601,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,UNKNOWN
NCT02494583,Shitara K et al (1),2020,32880601,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Gastric/GEJ
NCT02819518,Cortes J et al,2020,33278935,Breast,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,Breast
NCT02516241,Powles T et al,2020,32971005,Urothelial,Durvalumab,UNKNOWN
NCT02516241,Powles T et al,2020,32971005,Urothelial,Durvalumab,Urothelial
NCT02516241,Powles T et al (1),2020,32971005,Urothelial,Durvalumab+Tremelimumab,UNKNOWN
NCT02516241,Powles T et al (1),2020,32971005,Urothelial,Durvalumab+Tremelimumab,Urothelial
NCT03197935,Mittendorf EA et al,2020,32966830,Breast,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Breast
NCT02603432,Powles T et al,2020,32945632,Urothelial,Avelumab+Best Supportive Care,UNKNOWN
NCT02625610,Moehler M et al,2020,33197226,Gastric/GEJ,Avelumab,UNKNOWN
NCT02899299,Baas P et al.,2021,33485464,Mesothelioma,Nivolumab+Ipilimumab,Mesothelioma
NCT02409342,Herbst RS et al.,2020,32997907,Non-Small Cell Lung,Atezolizumab,UNKNOWN
NCT02924883,Emens LA et al,2020,33002436,Breast,Atezolizumab,UNKNOWN
NCT02853331,Powles T et al. ,2020,33284113,Renal cell,Pembrolizumab+Axitinib,Renal cell
NCT02657434,Nishio M et al,2020,33333328,NSCLC,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,NSCLC
NCT02564263,Kojima T et al.,2020,33026938,Esophageal/GEJ,Pembrolizumab,Esophageal/GEJ
NCT00861614,Fizazi K et al.,2020,32811715,Prostate,Ipilimumab,UNKNOWN
NCT01721772,Robert C et al,2020,32997575,Melanoma,Nivolumab,UNKNOWN
NCT02130466,Ferrucci PF et al,2020,33361337,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Melanoma
NCT03043872,Goldman JW et al,2020,33285097,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Goldman JW et al,2020,33285097,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Lung Cancer
NCT03043872,Goldman JW et al (1),2020,33285097,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Small Cell Lung
NCT03043872,Goldman JW et al (1),2020,33285097,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Lung Cancer
NCT02991482,Popat S et al. ,2020,32976938,Mesothelioma,Pembrolizumab,UNKNOWN
NCT02563002,Andre T et al.,2020,33264544,Colorectal,Pembrolizumab,Colorectal
NCT02362594,Eggermont AMM et al,2020,32946353,Melanoma,Pembrolizumab,UNKNOWN
NCT00636168,Eggermont AMM et al,2015,25840693,Melanoma,Ipilimumab,Melanoma
NCT01903993,Mazieres J et al,2020,33166718,Non-Small Cell Lung,Atezolizumab,UNKNOWN
NCT02008227,Mazieres J et al,2020,33166718,Non-Small Cell Lung,Atezolizumab,UNKNOWN
NCT02811861,Motzer R et al,2021,33616314,Renal cell,Pembrolizumab+Lenvatinib,UNKNOWN
NCT03215706,Paz-Ares L et al,2021,33476593,Non-Small Cell Lung,Nivolumab+Ipilimumab+Chemotherapy,Non-Small Cell Lung
NCT02481830,Spigel DR et al,2021,33539946,Small Cell Lung,Nivolumab,UNKNOWN
NCT03141177,Choueiri TK et al,2021,33657295,Renal cell,Nivolumab+Cabozantinib,Renal cell
NCT02538666,Owonikoko TK et al,2021,33683919,Small Cell Lung,Nivolumab+Ipilimumab,Small Cell Lung
NCT02538666,Owonikoko TK et al,2021,33683919,Small Cell Lung,Nivolumab+Ipilimumab,UNKNOWN
NCT02538666,Owonikoko TK et al,2021,33683919,Small Cell Lung,Nivolumab,Small Cell Lung
NCT02538666,Owonikoko TK et al,2021,33683919,Small Cell Lung,Nivolumab,UNKNOWN
NCT02299999,Bachelot T et al,2021,33462450,Breast,Durvalumab,UNKNOWN
NCT02684292,Kuruvilla J et al,2021,33721562,Hodgkin Lymphoma,Pembrolizumab,UNKNOWN
NCT02450331,Bellmunt J et al,2021,33721560,Urothelial,Atezolizumab,UNKNOWN
NCT02555657,Winer PE et al,2021,33676601,Breast,Pembrolizumab,UNKNOWN
NCT03088540,Sezer A et al,2021,33581821,Non-Small Cell Lung,Cemiplimab,Non-Small Cell Lung
NCT02852083,Heudobler D et al,2021,33796020,Non-Small Cell Lung,Nivolumab,UNKNOWN
NCT02952586,Lee NY et al,2021,33794205,Head and Neck,Avelumab+Chemoradiotherapy,Head and Neck
NCT02743494,Kelly RJ,2021,33789008,,Nivolumab,UNKNOWN
NCT02999087,Tao Y et al.,2021,33125944,Head and Neck,Avelumab+cetuximab+radiotherapy,Head and Neck
