NCT,PMID,sample_size_category,Authors,Year
NCT02041533,28636851,medium,Carbone DP et al,2017
NCT01285609,28854067,large,Govindan R et al,2017
NCT02125461,28885881,large,Antonia SJ et al,2017
NCT02125461,28885881,large,Antonia SJ et al,2018
NCT02125461,30280658,large,Antonia SJ et al,2017
NCT02125461,30280658,large,Antonia SJ et al,2018
NCT02395172,30262187,large,Barlesi F et al,2018
NCT02039674,27745820,medium,Langer JC et al,2016
NCT02039674,27745820,medium,Borghaei  H et al,2018
NCT02039674,30138764,medium,Langer JC et al,2016
NCT02039674,30138764,medium,Borghaei  H et al,2018
NCT02008227,27979383,large,Rittmeyer A et al,2017
NCT02008227,27979383,large,Fehrenbacher L et al,2018
NCT02008227,27979383,large,Mazieres J et al,2020
NCT02008227,29777823,large,Rittmeyer A et al,2017
NCT02008227,29777823,large,Fehrenbacher L et al,2018
NCT02008227,29777823,large,Mazieres J et al,2020
NCT02578680,29658856,large,Gandhi L et al,2018
NCT02763579,30280641,medium,Horn L et al,2018
NCT02763579,30280641,medium,Mansfield AS et al,2020
NCT02775435,30280635,large,Paz-Ares L et al,2018
NCT02366143,29863955,large,Socinski MA et al,2018
NCT02366143,29863955,large,Socinski MA et al (1),2018
NCT02366143,29863955,large,Socinski MA et al,2018
NCT02366143,29863955,large,Socinski MA et al (1),2018
NCT02477826,29658845,large,Hellmann MD et al,2018
NCT02477826,29658845,large,Hellmann MD et al (1),2018
NCT02477826,29658845,large,Hellmann MD et al,2019
NCT02477826,29658845,large,Hellmann MD et al (1),2019
NCT02477826,29658845,large,Hellmann MD et al (2),2019
NCT02477826,29658845,large,Hellmann MD et al,2018
NCT02477826,29658845,large,Hellmann MD et al (1),2018
NCT02477826,29658845,large,Hellmann MD et al,2019
NCT02477826,29658845,large,Hellmann MD et al (1),2019
NCT02477826,29658845,large,Hellmann MD et al (2),2019
NCT02477826,31562796,large,Hellmann MD et al,2018
NCT02477826,31562796,large,Hellmann MD et al (1),2018
NCT02477826,31562796,large,Hellmann MD et al,2019
NCT02477826,31562796,large,Hellmann MD et al (1),2019
NCT02477826,31562796,large,Hellmann MD et al (2),2019
NCT02477826,31562796,large,Hellmann MD et al,2018
NCT02477826,31562796,large,Hellmann MD et al (1),2018
NCT02477826,31562796,large,Hellmann MD et al,2019
NCT02477826,31562796,large,Hellmann MD et al (1),2019
NCT02477826,31562796,large,Hellmann MD et al (2),2019
NCT02477826,31562796,large,Hellmann MD et al,2018
NCT02477826,31562796,large,Hellmann MD et al (1),2018
NCT02477826,31562796,large,Hellmann MD et al,2019
NCT02477826,31562796,large,Hellmann MD et al (1),2019
NCT02477826,31562796,large,Hellmann MD et al (2),2019
NCT02220894,30955977,large,Mok TSK et al,2019
NCT03059667,30664989,small,Pujol JL et al,2019
NCT02142738,30620668,medium,Reck M et al,2019
NCT02142738,30620668,medium,Reck M et al,2016
NCT02367781,31122901,large,West H et al,2019
NCT02613507,30659987,large,Wu YL et al,2019
NCT02454933,30763730,small,Yang JCH et al,2019
NCT00324155,21639810,large,Robert C et al,2011
NCT00094653,20525992,large,Hodi FS et al,2010
NCT00094653,20525992,large,Hodi FS et al (1),2010
NCT00094653,20525992,large,McDermott D et al,2013
NCT00094653,20525992,large,McDermott D et al (1),2013
NCT00094653,20525992,large,Hodi FS et al,2010
NCT00094653,20525992,large,Hodi FS et al (1),2010
NCT00094653,20525992,large,McDermott D et al,2013
NCT00094653,20525992,large,McDermott D et al (1),2013
NCT00257205,23295794,large,Ribas A et al,2013
NCT02362594,29658430,large,Eggermont AMM et al,2018
NCT02362594,29658430,large,Eggermont AMM et al,2020
NCT01704287,26115796,large,Ribas A et al,2015
NCT01704287,26115796,large,Ribas A et al (1),2015
NCT01704287,26115796,large,Hamid O et al,2017
NCT01704287,26115796,large,Hamid O et al (1),2017
NCT01704287,26115796,large,Ribas A et al,2015
NCT01704287,26115796,large,Ribas A et al (1),2015
NCT01704287,26115796,large,Hamid O et al,2017
NCT01704287,26115796,large,Hamid O et al (1),2017
NCT01704287,28961465,large,Ribas A et al,2015
NCT01704287,28961465,large,Ribas A et al (1),2015
NCT01704287,28961465,large,Hamid O et al,2017
NCT01704287,28961465,large,Hamid O et al (1),2017
NCT01704287,28961465,large,Ribas A et al,2015
NCT01704287,28961465,large,Ribas A et al (1),2015
NCT01704287,28961465,large,Hamid O et al,2017
NCT01704287,28961465,large,Hamid O et al (1),2017
NCT00636168,27717298,large,Eggermont AMM et al,2016
NCT00636168,27717298,large,Eggermont AMM et al,2015
NCT01721746,25795410,medium,Weber JS et al,2015
NCT01721746,25795410,medium,Larkin J et al,2018
NCT01721746,28671856,medium,Weber JS et al,2015
NCT01721746,28671856,medium,Larkin J et al,2018
NCT02130466,31171878,medium,Ascierto PA et al,2019
NCT02130466,31171878,medium,Ferrucci PF et al,2020
NCT01721772,25399552,medium,Robert C et al,2015
NCT01721772,25399552,medium,Ascierto PA et al,2019
NCT01721772,25399552,medium,Robert C et al,2020
NCT01721772,30422243,medium,Robert C et al,2015
NCT01721772,30422243,medium,Ascierto PA et al,2019
NCT01721772,30422243,medium,Robert C et al,2020
NCT01843374,28729154,large,Maio M et al,2017
NCT02576977,31327687,medium,Mateos MV et al,2019
NCT02579863,31327689,medium,Usmani SZ et al,2019
NCT00861614,24831977,large,Kwon ED et al,2014
NCT00861614,24831977,large,Fizazi K et al.,2020
NCT01057810,28034081,large,Beer TM et al,2017
NCT02267343,31863227,medium,Kang YK et al,2017
NCT02267343,31863227,medium,Chen LT et al,2019
NCT02702401,31790344,medium,Finn RS et al,2019
NCT02569242,31582355,medium,Kato K et al,2019
NCT01042379,32053137,medium,Nanda R et al,2019
NCT03043872,31590988,large,Paz-Ares L et al,2019
NCT03043872,31590988,large,Paz-Ares L et al (1),2019
NCT03043872,31590988,large,Goldman JW et al,2020
NCT03043872,31590988,large,Goldman JW et al (1),2020
NCT03043872,31590988,large,Paz-Ares L et al,2019
NCT03043872,31590988,large,Paz-Ares L et al (1),2019
NCT03043872,31590988,large,Goldman JW et al,2020
NCT03043872,31590988,large,Goldman JW et al (1),2020
NCT02425891,31786121,large,Schmid P et al,2018
NCT02425891,31786121,large,Schmid P et al,2019
NCT02358031,31679945,large,Burtness B et al,2019
NCT02358031,31679945,large,Burtness B et al (1),2019
NCT02358031,31679945,large,Burtness B et al,2019
NCT02358031,31679945,large,Burtness B et al (1),2019
NCT02763579,31959349,medium,Horn L et al,2018
NCT02763579,31959349,medium,Mansfield AS et al,2020
NCT02362048,32114502,small,Overman M et al,2020
NCT02352948,32201234,large,Planchard D et al,2020
NCT02352948,32201234,large,Planchard D et al (1),2020
NCT02352948,32201234,large,Planchard D et al (2),2020
NCT02352948,32201234,large,Planchard D et al,2020
NCT02352948,32201234,large,Planchard D et al (1),2020
NCT02352948,32201234,large,Planchard D et al (2),2020
NCT02352948,32201234,large,Planchard D et al,2020
NCT02352948,32201234,large,Planchard D et al (1),2020
NCT02352948,32201234,large,Planchard D et al (2),2020
NCT03036488,32101663,large,Schmid P et al,2020
NCT01274338,31880964,large,Tarhini AA et al,2020
NCT01274338,31880964,large,Tarhini AA et al (1),2020
NCT01274338,31880964,large,Tarhini AA et al,2020
NCT01274338,31880964,large,Tarhini AA et al (1),2020
NCT02523313,32416781,medium,Zimmer L et al,2020
NCT02523313,32416781,medium,Zimmer L et al (1),2020
NCT02523313,32416781,medium,Zimmer L et al,2020
NCT02523313,32416781,medium,Zimmer L et al (1),2020
NCT01896869,32591464,small,Wu AA et al,2020
NCT03066778,32468956,medium,Rudin CM et al,2020
NCT02453282,32271377,large,Rizvi NA et al,2020
NCT02453282,32271377,large,Rizvi NA et al (1),2020
NCT02453282,32271377,large,Rizvi NA et al,2020
NCT02453282,32271377,large,Rizvi NA et al (1),2020
NCT02231749,32661118,large,Motzer RJ et al,2018
NCT02231749,32661118,large,Motzer RJ et al,2019
NCT02231749,32661118,large,Motzer RJ et al,2020
NCT02367794,32302702,large,Jotte R et al,2020
NCT02367794,32302702,large,Jotte R et al (1),2020
NCT02367794,32302702,large,Jotte R et al,2020
NCT02367794,32302702,large,Jotte R et al (1),2020
NCT02908672,32534646,large,Gutzmer R et al,2020
NCT02017717,32437507,medium,Reardon DA et al,2020
NCT02500121,32271672,medium,Galsky MD et al,2020
NCT02807636,32416780,large,Galsky MD et al,2020
NCT02807636,32416780,large,Galsky MD et al (1),2020
NCT02807636,32416780,large,Galsky MD et al,2020
NCT02807636,32416780,large,Galsky MD et al (1),2020
NCT03434379,32402160,medium,Finn RS et al,2020
NCT02369874,32294530,large,Ferris RL et al,2020
NCT02369874,32294530,large,Ferris RL et al (1),2020
NCT02369874,32294530,large,Ferris RL et al,2020
NCT02369874,32294530,large,Ferris RL et al (1),2020
NCT02870920,32379280,medium,Chen EX et al,2020
NCT02574598,32271354,small,Arrieta O et al,2020
NCT01668784,32673417,large,Motzer RJ et al,2015
NCT01668784,32673417,large,Motzer RJ et al,2020
NCT02684006,32339648,large,Motzer RJ et al,2019
NCT02684006,32339648,large,Choueiri TK et al,2020
NCT02142738,27718847,medium,Reck M et al,2019
NCT02142738,27718847,medium,Reck M et al,2016
NCT00094653,23942774,large,Hodi FS et al,2010
NCT00094653,23942774,large,Hodi FS et al (1),2010
NCT00094653,23942774,large,McDermott D et al,2013
NCT00094653,23942774,large,McDermott D et al (1),2013
NCT00094653,23942774,large,Hodi FS et al,2010
NCT00094653,23942774,large,Hodi FS et al (1),2010
NCT00094653,23942774,large,McDermott D et al,2013
NCT00094653,23942774,large,McDermott D et al (1),2013
NCT03051659,32880602,small,Tolaney SM et al,2020
NCT02494583,32880601,large,Shitara K et al,2020
NCT02494583,32880601,large,Shitara K et al (1),2020
NCT02494583,32880601,large,Shitara K et al,2020
NCT02494583,32880601,large,Shitara K et al (1),2020
NCT02819518,33278935,large,Cortes J et al,2020
NCT02516241,32971005,large,Powles T et al,2020
NCT02516241,32971005,large,Powles T et al (1),2020
NCT02516241,32971005,large,Powles T et al,2020
NCT02516241,32971005,large,Powles T et al (1),2020
NCT03197935,32966830,medium,Mittendorf EA et al,2020
NCT02603432,32945632,large,Powles T et al,2020
NCT02625610,33197226,medium,Moehler M et al,2020
NCT02899299,33485464,large,Baas P et al.,2021
NCT02409342,32997907,large,Herbst RS et al.,2020
NCT02924883,33002436,medium,Emens LA et al,2020
NCT02853331,33284113,large,Rini BI et al,2019
NCT02853331,33284113,large,Powles T et al. ,2020
NCT02657434,33333328,large,Nishio M et al,2020
NCT02564263,33026938,large,Kojima T et al.,2020
NCT00861614,32811715,large,Kwon ED et al,2014
NCT00861614,32811715,large,Fizazi K et al.,2020
NCT01721772,32997575,medium,Robert C et al,2015
NCT01721772,32997575,medium,Ascierto PA et al,2019
NCT01721772,32997575,medium,Robert C et al,2020
NCT02130466,33361337,medium,Ascierto PA et al,2019
NCT02130466,33361337,medium,Ferrucci PF et al,2020
NCT03043872,33285097,large,Paz-Ares L et al,2019
NCT03043872,33285097,large,Paz-Ares L et al (1),2019
NCT03043872,33285097,large,Goldman JW et al,2020
NCT03043872,33285097,large,Goldman JW et al (1),2020
NCT03043872,33285097,large,Paz-Ares L et al,2019
NCT03043872,33285097,large,Paz-Ares L et al (1),2019
NCT03043872,33285097,large,Goldman JW et al,2020
NCT03043872,33285097,large,Goldman JW et al (1),2020
NCT02991482,32976938,medium,Popat S et al. ,2020
NCT02563002,33264544,medium,Andre T et al.,2020
NCT02362594,32946353,large,Eggermont AMM et al,2018
NCT02362594,32946353,large,Eggermont AMM et al,2020
NCT00636168,25840693,large,Eggermont AMM et al,2016
NCT00636168,25840693,large,Eggermont AMM et al,2015
NCT01903993,33166718,medium,Fehrenbacher L et al,2016
NCT01903993,33166718,medium,Mazieres J et al,2020
NCT02008227,33166718,large,Rittmeyer A et al,2017
NCT02008227,33166718,large,Fehrenbacher L et al,2018
NCT02008227,33166718,large,Mazieres J et al,2020
NCT02811861,33616314,large,Motzer R et al,2021
NCT03215706,33476593,large,Paz-Ares L et al,2021
NCT02481830,33539946,large,Spigel DR et al,2021
NCT03141177,33657295,large,Choueiri TK et al,2021
NCT02538666,33683919,large,Owonikoko TK et al,2021
NCT02538666,33683919,large,Owonikoko TK et al,2021
NCT02538666,33683919,large,Owonikoko TK et al,2021
NCT02538666,33683919,large,Owonikoko TK et al,2021
NCT02299999,33462450,medium,Bachelot T et al,2021
NCT02684292,33721562,medium,Kuruvilla J et al,2021
NCT02450331,33721560,large,Bellmunt J et al,2021
NCT02555657,33676601,large,Winer PE et al,2021
NCT03088540,33581821,large,Sezer A et al,2021
NCT02852083,33796020,small,Heudobler D et al,2021
NCT02952586,33794205,large,Lee NY et al,2021
NCT02999087,33125944,small,Tao Y et al.,2021
