NCT,PMID,pdl1_inclusion,other_biomarker_inclusion,Authors,Year
NCT02477826,29658845,NO,NO,Hellmann MD et al,2018
NCT02477826,29658845,NO,NO,Hellmann MD et al (1),2018
NCT02477826,29658845,NO,NO,Hellmann MD et al,2019
NCT02477826,29658845,NO,NO,Hellmann MD et al (1),2019
NCT02477826,29658845,NO,NO,Hellmann MD et al (2),2019
NCT02477826,31562796,NO,YES,Hellmann MD et al,2018
NCT02477826,31562796,NO,YES,Hellmann MD et al (1),2018
NCT02477826,31562796,NO,YES,Hellmann MD et al,2019
NCT02477826,31562796,NO,YES,Hellmann MD et al (1),2019
NCT02477826,31562796,NO,YES,Hellmann MD et al (2),2019
NCT02477826,31562796,NO,YES,Hellmann MD et al,2018
NCT02477826,31562796,NO,YES,Hellmann MD et al (1),2018
NCT02477826,31562796,NO,YES,Hellmann MD et al,2019
NCT02477826,31562796,NO,YES,Hellmann MD et al (1),2019
NCT02477826,31562796,NO,YES,Hellmann MD et al (2),2019
NCT02477826,31562796,NO,YES,Hellmann MD et al,2018
NCT02477826,31562796,NO,YES,Hellmann MD et al (1),2018
NCT02477826,31562796,NO,YES,Hellmann MD et al,2019
NCT02477826,31562796,NO,YES,Hellmann MD et al (1),2019
NCT02477826,31562796,NO,YES,Hellmann MD et al (2),2019
NCT02220894,30955977,YES,NO,Mok TSK et al,2019
NCT03059667,30664989,NO,NO,Pujol JL et al,2019
NCT02142738,30620668,YES,NO,Reck M et al,2019
NCT02142738,30620668,YES,NO,Reck M et al,2016
NCT02367781,31122901,NO,NO,West H et al,2019
NCT02613507,30659987,NO,NO,Wu YL et al,2019
NCT02454933,30763730,NO,NO,Yang JCH et al,2019
NCT00324155,21639810,NO,NO,Robert C et al,2011
NCT00094653,20525992,NO,YES,Hodi FS et al,2010
NCT00094653,20525992,NO,YES,Hodi FS et al (1),2010
NCT00094653,20525992,NO,YES,McDermott D et al,2013
NCT00094653,20525992,NO,YES,McDermott D et al (1),2013
NCT00094653,20525992,NO,YES,Hodi FS et al,2010
NCT00094653,20525992,NO,YES,Hodi FS et al (1),2010
NCT00094653,20525992,NO,YES,McDermott D et al,2013
NCT00094653,20525992,NO,YES,McDermott D et al (1),2013
NCT00257205,23295794,NO,NO,Ribas A et al,2013
NCT02362594,29658430,NO,NO,Eggermont AMM et al,2018
NCT02362594,29658430,NO,NO,Eggermont AMM et al,2020
NCT01704287,26115796,NO,NO,Ribas A et al,2015
NCT01704287,26115796,NO,NO,Ribas A et al (1),2015
NCT01704287,26115796,NO,NO,Hamid O et al,2017
NCT01704287,26115796,NO,NO,Hamid O et al (1),2017
NCT01704287,26115796,NO,NO,Ribas A et al,2015
NCT01704287,26115796,NO,NO,Ribas A et al (1),2015
NCT01704287,26115796,NO,NO,Hamid O et al,2017
NCT01704287,26115796,NO,NO,Hamid O et al (1),2017
NCT01704287,28961465,NO,NO,Ribas A et al,2015
NCT01704287,28961465,NO,NO,Ribas A et al (1),2015
NCT01704287,28961465,NO,NO,Hamid O et al,2017
NCT01704287,28961465,NO,NO,Hamid O et al (1),2017
NCT01704287,28961465,NO,NO,Ribas A et al,2015
NCT01704287,28961465,NO,NO,Ribas A et al (1),2015
NCT01704287,28961465,NO,NO,Hamid O et al,2017
NCT01704287,28961465,NO,NO,Hamid O et al (1),2017
NCT00636168,27717298,NO,NO,Eggermont AMM et al,2016
NCT00636168,27717298,NO,NO,Eggermont AMM et al,2015
NCT01721746,25795410,NO,NO,Weber JS et al,2015
NCT01721746,25795410,NO,NO,Larkin J et al,2018
NCT01721746,28671856,NO,NO,Weber JS et al,2015
NCT01721746,28671856,NO,NO,Larkin J et al,2018
NCT02130466,31171878,NO,YES,Ascierto PA et al,2019
NCT02130466,31171878,NO,YES,Ferrucci PF et al,2020
NCT01721772,25399552,NO,YES,Robert C et al,2015
NCT01721772,25399552,NO,YES,Ascierto PA et al,2019
NCT01721772,25399552,NO,YES,Robert C et al,2020
NCT01721772,30422243,NO,YES,Robert C et al,2015
NCT01721772,30422243,NO,YES,Ascierto PA et al,2019
NCT01721772,30422243,NO,YES,Robert C et al,2020
NCT01843374,28729154,NO,NO,Maio M et al,2017
NCT02576977,31327687,NO,NO,Mateos MV et al,2019
NCT02579863,31327689,NO,NO,Usmani SZ et al,2019
NCT00861614,24831977,NO,NO,Kwon ED et al,2014
NCT00861614,24831977,NO,NO,Fizazi K et al.,2020
NCT01057810,28034081,NO,NO,Beer TM et al,2017
NCT02267343,31863227,NO,NO,Kang YK et al,2017
NCT02267343,31863227,NO,NO,Chen LT et al,2019
NCT02702401,31790344,NO,NO,Finn RS et al,2019
NCT02569242,31582355,NO,NO,Kato K et al,2019
NCT01042379,32053137,NO,YES,Nanda R et al,2019
NCT03043872,31590988,NO,NO,Paz-Ares L et al,2019
NCT03043872,31590988,NO,NO,Paz-Ares L et al (1),2019
NCT03043872,31590988,NO,NO,Goldman JW et al,2020
NCT03043872,31590988,NO,NO,Goldman JW et al (1),2020
NCT03043872,31590988,NO,NO,Paz-Ares L et al,2019
NCT03043872,31590988,NO,NO,Paz-Ares L et al (1),2019
NCT03043872,31590988,NO,NO,Goldman JW et al,2020
NCT03043872,31590988,NO,NO,Goldman JW et al (1),2020
NCT02425891,31786121,NO,NO,Schmid P et al,2018
NCT02425891,31786121,NO,NO,Schmid P et al,2019
NCT02358031,31679945,NO,NO,Burtness B et al,2019
NCT02358031,31679945,NO,NO,Burtness B et al (1),2019
NCT02358031,31679945,NO,NO,Burtness B et al,2019
NCT02358031,31679945,NO,NO,Burtness B et al (1),2019
NCT02763579,31959349,NO,NO,Horn L et al,2018
NCT02763579,31959349,NO,NO,Mansfield AS et al,2020
NCT02362048,32114502,NO,NO,Overman M et al,2020
NCT02352948,32201234,NO,NO,Planchard D et al,2020
NCT02352948,32201234,NO,NO,Planchard D et al (1),2020
NCT02352948,32201234,NO,NO,Planchard D et al (2),2020
NCT02352948,32201234,NO,NO,Planchard D et al,2020
NCT02352948,32201234,NO,NO,Planchard D et al (1),2020
NCT02352948,32201234,NO,NO,Planchard D et al (2),2020
NCT02352948,32201234,NO,NO,Planchard D et al,2020
NCT02352948,32201234,NO,NO,Planchard D et al (1),2020
NCT02352948,32201234,NO,NO,Planchard D et al (2),2020
NCT03036488,32101663,NO,YES,Schmid P et al,2020
NCT01274338,31880964,NO,NO,Tarhini AA et al,2020
NCT01274338,31880964,NO,NO,Tarhini AA et al (1),2020
NCT01274338,31880964,NO,NO,Tarhini AA et al,2020
NCT01274338,31880964,NO,NO,Tarhini AA et al (1),2020
NCT02523313,32416781,NO,NO,Zimmer L et al,2020
NCT02523313,32416781,NO,NO,Zimmer L et al (1),2020
NCT02523313,32416781,NO,NO,Zimmer L et al,2020
NCT02523313,32416781,NO,NO,Zimmer L et al (1),2020
NCT01896869,32591464,NO,NO,Wu AA et al,2020
NCT03066778,32468956,NO,NO,Rudin CM et al,2020
NCT02453282,32271377,NO,YES,Rizvi NA et al,2020
NCT02453282,32271377,NO,YES,Rizvi NA et al (1),2020
NCT02453282,32271377,NO,YES,Rizvi NA et al,2020
NCT02453282,32271377,NO,YES,Rizvi NA et al (1),2020
NCT02231749,32661118,NO,NO,Motzer RJ et al,2018
NCT02231749,32661118,NO,NO,Motzer RJ et al,2019
NCT02231749,32661118,NO,NO,Motzer RJ et al,2020
NCT02367794,32302702,NO,NO,Jotte R et al,2020
NCT02367794,32302702,NO,NO,Jotte R et al (1),2020
NCT02367794,32302702,NO,NO,Jotte R et al,2020
NCT02367794,32302702,NO,NO,Jotte R et al (1),2020
NCT02908672,32534646,NO,YES,Gutzmer R et al,2020
NCT02017717,32437507,NO,NO,Reardon DA et al,2020
NCT02500121,32271672,NO,NO,Galsky MD et al,2020
NCT02807636,32416780,NO,NO,Galsky MD et al,2020
NCT02807636,32416780,NO,NO,Galsky MD et al (1),2020
NCT02807636,32416780,NO,NO,Galsky MD et al,2020
NCT02807636,32416780,NO,NO,Galsky MD et al (1),2020
NCT03434379,32402160,NO,NO,Finn RS et al,2020
NCT02369874,32294530,YES,NO,Ferris RL et al,2020
NCT02369874,32294530,YES,NO,Ferris RL et al (1),2020
NCT02369874,32294530,YES,NO,Ferris RL et al,2020
NCT02369874,32294530,YES,NO,Ferris RL et al (1),2020
NCT02870920,32379280,NO,NO,Chen EX et al,2020
NCT02574598,32271354,NO,NO,Arrieta O et al,2020
NCT01668784,32673417,NO,NO,Motzer RJ et al,2015
NCT01668784,32673417,NO,NO,Motzer RJ et al,2020
NCT02684006,32339648,NO,NO,Motzer RJ et al,2019
NCT02684006,32339648,NO,NO,Choueiri TK et al,2020
NCT02142738,27718847,YES,NO,Reck M et al,2019
NCT02142738,27718847,YES,NO,Reck M et al,2016
NCT00094653,23942774,NO,YES,Hodi FS et al,2010
NCT00094653,23942774,NO,YES,Hodi FS et al (1),2010
NCT00094653,23942774,NO,YES,McDermott D et al,2013
NCT00094653,23942774,NO,YES,McDermott D et al (1),2013
NCT00094653,23942774,NO,YES,Hodi FS et al,2010
NCT00094653,23942774,NO,YES,Hodi FS et al (1),2010
NCT00094653,23942774,NO,YES,McDermott D et al,2013
NCT00094653,23942774,NO,YES,McDermott D et al (1),2013
NCT03051659,32880602,NO,YES,Tolaney SM et al,2020
NCT02494583,32880601,YES,YES,Shitara K et al,2020
NCT02494583,32880601,YES,YES,Shitara K et al (1),2020
NCT02494583,32880601,YES,YES,Shitara K et al,2020
NCT02494583,32880601,YES,YES,Shitara K et al (1),2020
NCT02819518,33278935,YES,YES,Cortes J et al,2020
NCT02516241,32971005,NO,NO,Powles T et al,2020
NCT02516241,32971005,NO,NO,Powles T et al (1),2020
NCT02516241,32971005,NO,NO,Powles T et al,2020
NCT02516241,32971005,NO,NO,Powles T et al (1),2020
NCT03197935,32966830,NO,YES,Mittendorf EA et al,2020
NCT02603432,32945632,NO,NO,Powles T et al,2020
NCT02625610,33197226,NO,YES,Moehler M et al,2020
NCT02899299,33485464,NO,NO,Baas P et al.,2021
NCT02409342,32997907,YES,YES,Herbst RS et al.,2020
NCT02924883,33002436,NO,YES,Emens LA et al,2020
NCT02853331,33284113,NO,NO,Rini BI et al,2019
NCT02853331,33284113,NO,NO,Powles T et al. ,2020
NCT02657434,33333328,NO,YES,Nishio M et al,2020
NCT02564263,33026938,NO,YES,Kojima T et al.,2020
NCT00861614,32811715,NO,NO,Kwon ED et al,2014
NCT00861614,32811715,NO,NO,Fizazi K et al.,2020
NCT01721772,32997575,NO,YES,Robert C et al,2015
NCT01721772,32997575,NO,YES,Ascierto PA et al,2019
NCT01721772,32997575,NO,YES,Robert C et al,2020
NCT02130466,33361337,NO,YES,Ascierto PA et al,2019
NCT02130466,33361337,NO,YES,Ferrucci PF et al,2020
NCT03043872,33285097,NO,NO,Paz-Ares L et al,2019
NCT03043872,33285097,NO,NO,Paz-Ares L et al (1),2019
NCT03043872,33285097,NO,NO,Goldman JW et al,2020
NCT03043872,33285097,NO,NO,Goldman JW et al (1),2020
NCT03043872,33285097,NO,NO,Paz-Ares L et al,2019
NCT03043872,33285097,NO,NO,Paz-Ares L et al (1),2019
NCT03043872,33285097,NO,NO,Goldman JW et al,2020
NCT03043872,33285097,NO,NO,Goldman JW et al (1),2020
NCT02991482,32976938,NO,NO,Popat S et al. ,2020
NCT02563002,33264544,NO,YES,Andre T et al.,2020
NCT02362594,32946353,NO,NO,Eggermont AMM et al,2018
NCT02362594,32946353,NO,NO,Eggermont AMM et al,2020
NCT00636168,25840693,NO,NO,Eggermont AMM et al,2016
NCT00636168,25840693,NO,NO,Eggermont AMM et al,2015
NCT01903993,33166718,NO,NO,Fehrenbacher L et al,2016
NCT01903993,33166718,NO,NO,Mazieres J et al,2020
NCT02008227,33166718,NO,NO,Rittmeyer A et al,2017
NCT02008227,33166718,NO,NO,Fehrenbacher L et al,2018
NCT02008227,33166718,NO,NO,Mazieres J et al,2020
NCT02811861,33616314,NO,NO,Motzer R et al,2021
NCT03215706,33476593,NO,YES,Paz-Ares L et al,2021
NCT02481830,33539946,NO,NO,Spigel DR et al,2021
NCT03141177,33657295,NO,NO,Choueiri TK et al,2021
NCT02538666,33683919,NO,NO,Owonikoko TK et al,2021
NCT02538666,33683919,NO,NO,Owonikoko TK et al,2021
NCT02538666,33683919,NO,NO,Owonikoko TK et al,2021
NCT02538666,33683919,NO,NO,Owonikoko TK et al,2021
NCT02299999,33462450,NO,YES,Bachelot T et al,2021
NCT02684292,33721562,NO,NO,Kuruvilla J et al,2021
NCT02450331,33721560,NO,NO,Bellmunt J et al,2021
NCT02555657,33676601,NO,YES,Winer PE et al,2021
NCT03088540,33581821,YES,YES,Sezer A et al,2021
NCT02852083,33796020,NO,NO,Heudobler D et al,2021
NCT02952586,33794205,NO,NO,Lee NY et al,2021
NCT02743494,33789008,NO,NO,Kelly RJ,2021
NCT02999087,33125944,NO,YES,Tao Y et al.,2021
