NCT,PMID,treatment_category,Authors,Year
NCT00527735,22547592,combination,Reck M et al,2012
NCT00527735,22547592,combination,Reck M et al (1),2012
NCT00527735,22547592,chemotherapy,Lynch TJ et al,2012
NCT00527735,22547592,chemotherapy,Lynch TJ et al (1),2012
NCT00527735,22547592,chemotherapy,Reck M et al,2012
NCT00527735,22547592,chemotherapy,Reck M et al (1),2012
NCT00527735,22858559,chemotherapy,Lynch TJ et al,2012
NCT00527735,22858559,chemotherapy,Lynch TJ et al (1),2012
NCT00527735,22858559,chemotherapy,Reck M et al,2012
NCT00527735,22858559,chemotherapy,Reck M et al (1),2012
NCT00527735,22858559,chemotherapy,Lynch TJ et al,2012
NCT00527735,22858559,chemotherapy,Lynch TJ et al (1),2012
NCT00527735,22858559,chemotherapy,Reck M et al,2012
NCT00527735,22858559,chemotherapy,Reck M et al (1),2012
NCT01673867,26412456,immunotherapy,Borghaei  H et al,2015
NCT01642004,26028407,immunotherapy,Brahmer J et al,2015
NCT01905657,26712084,immunotherapy,Herbst RS et al,2016
NCT01905657,26712084,immunotherapy,Herbst RS et al (1),2016
NCT01905657,26712084,immunotherapy,Herbst RS et al,2016
NCT01905657,26712084,immunotherapy,Herbst RS et al (1),2016
NCT01903993,26970723,immunotherapy,Fehrenbacher L et al,2016
NCT01903993,26970723,immunotherapy,Mazieres J et al,2020
NCT01450761,27458307,other,Reck M et al,2016
NCT02041533,28636851,immunotherapy,Carbone DP et al,2017
NCT01285609,28854067,immunotherapy,Govindan R et al,2017
NCT02125461,28885881,immunotherapy,Antonia SJ et al,2017
NCT02125461,28885881,immunotherapy,Antonia SJ et al,2018
NCT02125461,30280658,immunotherapy,Antonia SJ et al,2017
NCT02125461,30280658,immunotherapy,Antonia SJ et al,2018
NCT02395172,30262187,immunotherapy,Barlesi F et al,2018
NCT02039674,27745820,immunotherapy,Langer JC et al,2016
NCT02039674,27745820,immunotherapy,Borghaei  H et al,2018
NCT02039674,30138764,immunotherapy,Langer JC et al,2016
NCT02039674,30138764,immunotherapy,Borghaei  H et al,2018
NCT02008227,27979383,immunotherapy,Rittmeyer A et al,2017
NCT02008227,27979383,immunotherapy,Fehrenbacher L et al,2018
NCT02008227,27979383,immunotherapy,Mazieres J et al,2020
NCT02008227,29777823,immunotherapy,Rittmeyer A et al,2017
NCT02008227,29777823,immunotherapy,Fehrenbacher L et al,2018
NCT02008227,29777823,immunotherapy,Mazieres J et al,2020
NCT02578680,29658856,immunotherapy,Gandhi L et al,2018
NCT02763579,30280641,immunotherapy,Horn L et al,2018
NCT02763579,30280641,immunotherapy,Mansfield AS et al,2020
NCT02775435,30280635,immunotherapy,Paz-Ares L et al,2018
NCT02366143,29863955,"immunotherapy, chemotherapy",Socinski MA et al,2018
NCT02366143,29863955,"immunotherapy, chemotherapy",Socinski MA et al (1),2018
NCT02366143,29863955,combination,Socinski MA et al,2018
NCT02366143,29863955,combination,Socinski MA et al (1),2018
NCT02477826,29658845,immunotherapy,Hellmann MD et al,2018
NCT02477826,29658845,immunotherapy,Hellmann MD et al (1),2018
NCT02477826,29658845,immunotherapy,Hellmann MD et al,2019
NCT02477826,29658845,immunotherapy,Hellmann MD et al (1),2019
NCT02477826,29658845,immunotherapy,Hellmann MD et al (2),2019
NCT02477826,29658845,immunotherapy,Hellmann MD et al,2018
NCT02477826,29658845,immunotherapy,Hellmann MD et al (1),2018
NCT02477826,29658845,immunotherapy,Hellmann MD et al,2019
NCT02477826,29658845,immunotherapy,Hellmann MD et al (1),2019
NCT02477826,29658845,immunotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al,2018
NCT02477826,31562796,immunotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,immunotherapy,Hellmann MD et al,2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al,2018
NCT02477826,31562796,immunotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,immunotherapy,Hellmann MD et al,2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al,2018
NCT02477826,31562796,immunotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,immunotherapy,Hellmann MD et al,2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,immunotherapy,Hellmann MD et al (2),2019
NCT02220894,30955977,immunotherapy,Mok TSK et al,2019
NCT03059667,30664989,immunotherapy,Pujol JL et al,2019
NCT02142738,30620668,immunotherapy,Reck M et al,2019
NCT02142738,30620668,immunotherapy,Reck M et al,2016
NCT02367781,31122901,immunotherapy,West H et al,2019
NCT02613507,30659987,immunotherapy,Wu YL et al,2019
NCT02454933,30763730,immunotherapy,Yang JCH et al,2019
NCT00324155,21639810,immunotherapy,Robert C et al,2011
NCT00094653,20525992,immunotherapy,Hodi FS et al,2010
NCT00094653,20525992,immunotherapy,Hodi FS et al (1),2010
NCT00094653,20525992,immunotherapy,McDermott D et al,2013
NCT00094653,20525992,immunotherapy,McDermott D et al (1),2013
NCT00094653,20525992,immunotherapy,Hodi FS et al,2010
NCT00094653,20525992,immunotherapy,Hodi FS et al (1),2010
NCT00094653,20525992,immunotherapy,McDermott D et al,2013
NCT00094653,20525992,immunotherapy,McDermott D et al (1),2013
NCT00257205,23295794,immunotherapy,Ribas A et al,2013
NCT02362594,29658430,immunotherapy,Eggermont AMM et al,2018
NCT02362594,29658430,immunotherapy,Eggermont AMM et al,2020
NCT01704287,26115796,immunotherapy,Ribas A et al,2015
NCT01704287,26115796,immunotherapy,Ribas A et al (1),2015
NCT01704287,26115796,immunotherapy,Hamid O et al,2017
NCT01704287,26115796,immunotherapy,Hamid O et al (1),2017
NCT01704287,26115796,immunotherapy,Ribas A et al,2015
NCT01704287,26115796,immunotherapy,Ribas A et al (1),2015
NCT01704287,26115796,immunotherapy,Hamid O et al,2017
NCT01704287,26115796,immunotherapy,Hamid O et al (1),2017
NCT01704287,28961465,immunotherapy,Ribas A et al,2015
NCT01704287,28961465,immunotherapy,Ribas A et al (1),2015
NCT01704287,28961465,immunotherapy,Hamid O et al,2017
NCT01704287,28961465,immunotherapy,Hamid O et al (1),2017
NCT01704287,28961465,immunotherapy,Ribas A et al,2015
NCT01704287,28961465,immunotherapy,Ribas A et al (1),2015
NCT01704287,28961465,immunotherapy,Hamid O et al,2017
NCT01704287,28961465,immunotherapy,Hamid O et al (1),2017
NCT00636168,27717298,immunotherapy,Eggermont AMM et al,2016
NCT00636168,27717298,immunotherapy,Eggermont AMM et al,2015
NCT01721746,25795410,immunotherapy,Weber JS et al,2015
NCT01721746,25795410,immunotherapy,Larkin J et al,2018
NCT01721746,28671856,immunotherapy,Weber JS et al,2015
NCT01721746,28671856,immunotherapy,Larkin J et al,2018
NCT02130466,31171878,immunotherapy,Ascierto PA et al,2019
NCT02130466,31171878,immunotherapy,Ferrucci PF et al,2020
NCT01721772,25399552,immunotherapy,Robert C et al,2015
NCT01721772,25399552,immunotherapy,Ascierto PA et al,2019
NCT01721772,25399552,immunotherapy,Robert C et al,2020
NCT01721772,30422243,immunotherapy,Robert C et al,2015
NCT01721772,30422243,immunotherapy,Ascierto PA et al,2019
NCT01721772,30422243,immunotherapy,Robert C et al,2020
NCT01843374,28729154,immunotherapy,Maio M et al,2017
NCT02576977,31327687,immunotherapy,Mateos MV et al,2019
NCT02579863,31327689,immunotherapy,Usmani SZ et al,2019
NCT00861614,24831977,immunotherapy,Kwon ED et al,2014
NCT00861614,24831977,immunotherapy,Fizazi K et al.,2020
NCT01057810,28034081,immunotherapy,Beer TM et al,2017
NCT02267343,31863227,immunotherapy,Kang YK et al,2017
NCT02267343,31863227,immunotherapy,Chen LT et al,2019
NCT02702401,31790344,immunotherapy,Finn RS et al,2019
NCT02569242,31582355,immunotherapy,Kato K et al,2019
NCT01042379,32053137,immunotherapy,Nanda R et al,2019
NCT03043872,31590988,immunotherapy,Paz-Ares L et al,2019
NCT03043872,31590988,immunotherapy,Paz-Ares L et al (1),2019
NCT03043872,31590988,immunotherapy,Goldman JW et al,2020
NCT03043872,31590988,immunotherapy,Goldman JW et al (1),2020
NCT03043872,31590988,immunotherapy,Paz-Ares L et al,2019
NCT03043872,31590988,immunotherapy,Paz-Ares L et al (1),2019
NCT03043872,31590988,immunotherapy,Goldman JW et al,2020
NCT03043872,31590988,immunotherapy,Goldman JW et al (1),2020
NCT02425891,31786121,immunotherapy,Schmid P et al,2018
NCT02425891,31786121,immunotherapy,Schmid P et al,2019
NCT02358031,31679945,immunotherapy,Burtness B et al,2019
NCT02358031,31679945,immunotherapy,Burtness B et al (1),2019
NCT02358031,31679945,immunotherapy,Burtness B et al,2019
NCT02358031,31679945,immunotherapy,Burtness B et al (1),2019
NCT02763579,31959349,immunotherapy,Horn L et al,2018
NCT02763579,31959349,immunotherapy,Mansfield AS et al,2020
NCT02362048,32114502,immunotherapy,Overman M et al,2020
NCT02352948,32201234,immunotherapy,Planchard D et al,2020
NCT02352948,32201234,immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,immunotherapy,Planchard D et al (2),2020
NCT02352948,32201234,immunotherapy,Planchard D et al,2020
NCT02352948,32201234,immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,immunotherapy,Planchard D et al (2),2020
NCT02352948,32201234,immunotherapy,Planchard D et al,2020
NCT02352948,32201234,immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,immunotherapy,Planchard D et al (2),2020
NCT03036488,32101663,combination,Schmid P et al,2020
NCT01274338,31880964,immunotherapy,Tarhini AA et al,2020
NCT01274338,31880964,immunotherapy,Tarhini AA et al (1),2020
NCT01274338,31880964,immunotherapy,Tarhini AA et al,2020
NCT01274338,31880964,immunotherapy,Tarhini AA et al (1),2020
NCT02523313,32416781,immunotherapy,Zimmer L et al,2020
NCT02523313,32416781,immunotherapy,Zimmer L et al (1),2020
NCT02523313,32416781,immunotherapy,Zimmer L et al,2020
NCT02523313,32416781,immunotherapy,Zimmer L et al (1),2020
NCT01896869,32591464,immunotherapy,Wu AA et al,2020
NCT03066778,32468956,immunotherapy,Rudin CM et al,2020
NCT02453282,32271377,immunotherapy,Rizvi NA et al,2020
NCT02453282,32271377,immunotherapy,Rizvi NA et al (1),2020
NCT02453282,32271377,immunotherapy,Rizvi NA et al,2020
NCT02453282,32271377,immunotherapy,Rizvi NA et al (1),2020
NCT02231749,32661118,immunotherapy,Motzer RJ et al,2018
NCT02231749,32661118,immunotherapy,Motzer RJ et al,2019
NCT02231749,32661118,immunotherapy,Motzer RJ et al,2020
NCT02367794,32302702,chemotherapy,Jotte R et al,2020
NCT02367794,32302702,chemotherapy,Jotte R et al (1),2020
NCT02367794,32302702,immunotherapy,Jotte R et al,2020
NCT02367794,32302702,immunotherapy,Jotte R et al (1),2020
NCT02908672,32534646,immunotherapy,Gutzmer R et al,2020
NCT02017717,32437507,immunotherapy,Reardon DA et al,2020
NCT02500121,32271672,immunotherapy,Galsky MD et al,2020
NCT02807636,32416780,"immunotherapy, chemotherapy",Galsky MD et al,2020
NCT02807636,32416780,"immunotherapy, chemotherapy",Galsky MD et al (1),2020
NCT02807636,32416780,immunotherapy,Galsky MD et al,2020
NCT02807636,32416780,immunotherapy,Galsky MD et al (1),2020
NCT03434379,32402160,immunotherapy,Finn RS et al,2020
NCT02369874,32294530,immunotherapy,Ferris RL et al,2020
NCT02369874,32294530,immunotherapy,Ferris RL et al (1),2020
NCT02369874,32294530,immunotherapy,Ferris RL et al,2020
NCT02369874,32294530,immunotherapy,Ferris RL et al (1),2020
NCT02870920,32379280,immunotherapy,Chen EX et al,2020
NCT02574598,32271354,immunotherapy,Arrieta O et al,2020
NCT01668784,32673417,immunotherapy,Motzer RJ et al,2015
NCT01668784,32673417,immunotherapy,Motzer RJ et al,2020
NCT02684006,32339648,immunotherapy,Motzer RJ et al,2019
NCT02684006,32339648,immunotherapy,Choueiri TK et al,2020
NCT02142738,27718847,immunotherapy,Reck M et al,2019
NCT02142738,27718847,immunotherapy,Reck M et al,2016
NCT00094653,23942774,immunotherapy,Hodi FS et al,2010
NCT00094653,23942774,immunotherapy,Hodi FS et al (1),2010
NCT00094653,23942774,immunotherapy,McDermott D et al,2013
NCT00094653,23942774,immunotherapy,McDermott D et al (1),2013
NCT00094653,23942774,immunotherapy,Hodi FS et al,2010
NCT00094653,23942774,immunotherapy,Hodi FS et al (1),2010
NCT00094653,23942774,immunotherapy,McDermott D et al,2013
NCT00094653,23942774,immunotherapy,McDermott D et al (1),2013
NCT03051659,32880602,immunotherapy,Tolaney SM et al,2020
NCT02494583,32880601,immunotherapy,Shitara K et al,2020
NCT02494583,32880601,immunotherapy,Shitara K et al (1),2020
NCT02494583,32880601,"immunotherapy, chemotherapy",Shitara K et al,2020
NCT02494583,32880601,"immunotherapy, chemotherapy",Shitara K et al (1),2020
NCT02819518,33278935,combination,Cortes J et al,2020
NCT02516241,32971005,immunotherapy,Powles T et al,2020
NCT02516241,32971005,immunotherapy,Powles T et al (1),2020
NCT02516241,32971005,immunotherapy,Powles T et al,2020
NCT02516241,32971005,immunotherapy,Powles T et al (1),2020
NCT03197935,32966830,immunotherapy,Mittendorf EA et al,2020
NCT02603432,32945632,immunotherapy,Powles T et al,2020
NCT02625610,33197226,immunotherapy,Moehler M et al,2020
NCT02899299,33485464,immunotherapy,Baas P et al.,2021
NCT02409342,32997907,immunotherapy,Herbst RS et al.,2020
NCT02924883,33002436,immunotherapy,Emens LA et al,2020
NCT02853331,33284113,immunotherapy,Rini BI et al,2019
NCT02853331,33284113,immunotherapy,Powles T et al. ,2020
NCT02657434,33333328,"immunotherapy, chemotherapy",Nishio M et al,2020
NCT02564263,33026938,immunotherapy,Kojima T et al.,2020
NCT00861614,32811715,immunotherapy,Kwon ED et al,2014
NCT00861614,32811715,immunotherapy,Fizazi K et al.,2020
NCT01721772,32997575,immunotherapy,Robert C et al,2015
NCT01721772,32997575,immunotherapy,Ascierto PA et al,2019
NCT01721772,32997575,immunotherapy,Robert C et al,2020
NCT02130466,33361337,immunotherapy,Ascierto PA et al,2019
NCT02130466,33361337,immunotherapy,Ferrucci PF et al,2020
NCT03043872,33285097,immunotherapy,Paz-Ares L et al,2019
NCT03043872,33285097,immunotherapy,Paz-Ares L et al (1),2019
NCT03043872,33285097,immunotherapy,Goldman JW et al,2020
NCT03043872,33285097,immunotherapy,Goldman JW et al (1),2020
NCT03043872,33285097,immunotherapy,Paz-Ares L et al,2019
NCT03043872,33285097,immunotherapy,Paz-Ares L et al (1),2019
NCT03043872,33285097,immunotherapy,Goldman JW et al,2020
NCT03043872,33285097,immunotherapy,Goldman JW et al (1),2020
NCT02991482,32976938,immunotherapy,Popat S et al. ,2020
NCT02563002,33264544,immunotherapy,Andre T et al.,2020
NCT02362594,32946353,immunotherapy,Eggermont AMM et al,2018
NCT02362594,32946353,immunotherapy,Eggermont AMM et al,2020
NCT00636168,25840693,immunotherapy,Eggermont AMM et al,2016
NCT00636168,25840693,immunotherapy,Eggermont AMM et al,2015
NCT01903993,33166718,immunotherapy,Fehrenbacher L et al,2016
NCT01903993,33166718,immunotherapy,Mazieres J et al,2020
NCT02008227,33166718,immunotherapy,Rittmeyer A et al,2017
NCT02008227,33166718,immunotherapy,Fehrenbacher L et al,2018
NCT02008227,33166718,immunotherapy,Mazieres J et al,2020
NCT02811861,33616314,immunotherapy,Motzer R et al,2021
NCT03215706,33476593,immunotherapy,Paz-Ares L et al,2021
NCT02481830,33539946,immunotherapy,Spigel DR et al,2021
NCT03141177,33657295,immunotherapy,Choueiri TK et al,2021
NCT02538666,33683919,immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,immunotherapy,Owonikoko TK et al,2021
NCT02299999,33462450,immunotherapy,Bachelot T et al,2021
NCT02684292,33721562,immunotherapy,Kuruvilla J et al,2021
NCT02450331,33721560,immunotherapy,Bellmunt J et al,2021
NCT02555657,33676601,immunotherapy,Winer PE et al,2021
NCT03088540,33581821,immunotherapy,Sezer A et al,2021
NCT02852083,33796020,immunotherapy,Heudobler D et al,2021
NCT02952586,33794205,immunotherapy,Lee NY et al,2021
NCT02743494,33789008,immunotherapy,Kelly RJ,2021
NCT02999087,33125944,immunotherapy,Tao Y et al.,2021
