NCT,PMID,foo,Authors,Year
NCT00527735,22858559,bar,Reck M et al (1),2012
NCT00527735,22858559,bar,Lynch TJ et al,2012
NCT00527735,22858559,bar,Lynch TJ et al (1),2012
NCT00527735,22858559,bar,Reck M et al,2012
NCT00527735,22858559,bar,Reck M et al (1),2012
NCT01673867,26412456,bar,Borghaei  H et al,2015
NCT01642004,26028407,bar,Brahmer J et al,2015
NCT01905657,26712084,bar,Herbst RS et al,2016
NCT01905657,26712084,bar,Herbst RS et al (1),2016
NCT01905657,26712084,bar,Herbst RS et al,2016
NCT01905657,26712084,bar,Herbst RS et al (1),2016
NCT01903993,26970723,bar,Fehrenbacher L et al,2016
NCT01903993,26970723,bar,Mazieres J et al,2020
NCT01450761,27458307,bar,Reck M et al,2016
NCT02041533,28636851,bar,Carbone DP et al,2017
NCT01285609,28854067,bar,Govindan R et al,2017
NCT02125461,28885881,bar,Antonia SJ et al,2017
NCT02125461,28885881,bar,Antonia SJ et al,2018
NCT02125461,30280658,bar,Antonia SJ et al,2017
NCT02125461,30280658,bar,Antonia SJ et al,2018
NCT02395172,30262187,bar,Barlesi F et al,2018
NCT02039674,27745820,bar,Langer JC et al,2016
NCT02039674,27745820,bar,Borghaei  H et al,2018
NCT02039674,30138764,bar,Langer JC et al,2016
NCT02039674,30138764,bar,Borghaei  H et al,2018
NCT02008227,27979383,bar,Rittmeyer A et al,2017
NCT02008227,27979383,bar,Fehrenbacher L et al,2018
NCT02008227,27979383,bar,Mazieres J et al,2020
NCT02008227,29777823,bar,Rittmeyer A et al,2017
NCT02008227,29777823,bar,Fehrenbacher L et al,2018
NCT02008227,29777823,bar,Mazieres J et al,2020
NCT02578680,29658856,bar,Gandhi L et al,2018
NCT02763579,30280641,bar,Horn L et al,2018
NCT02763579,30280641,bar,Mansfield AS et al,2020
NCT02775435,30280635,bar,Paz-Ares L et al,2018
NCT02366143,29863955,bar,Socinski MA et al,2018
NCT02366143,29863955,bar,Socinski MA et al (1),2018
NCT02366143,29863955,bar,Socinski MA et al,2018
NCT02366143,29863955,bar,Socinski MA et al (1),2018
NCT02477826,29658845,bar,Hellmann MD et al,2018
NCT02477826,29658845,bar,Hellmann MD et al (1),2018
NCT02477826,29658845,bar,Hellmann MD et al,2019
NCT02477826,29658845,bar,Hellmann MD et al (1),2019
NCT02477826,29658845,bar,Hellmann MD et al (2),2019
NCT02477826,29658845,bar,Hellmann MD et al,2018
NCT02477826,29658845,bar,Hellmann MD et al (1),2018
NCT02477826,29658845,bar,Hellmann MD et al,2019
NCT02477826,29658845,bar,Hellmann MD et al (1),2019
NCT02477826,29658845,bar,Hellmann MD et al (2),2019
NCT02477826,31562796,bar,Hellmann MD et al,2018
NCT02477826,31562796,bar,Hellmann MD et al (1),2018
NCT02477826,31562796,bar,Hellmann MD et al,2019
NCT02477826,31562796,bar,Hellmann MD et al (1),2019
NCT02477826,31562796,bar,Hellmann MD et al (2),2019
NCT02477826,31562796,bar,Hellmann MD et al,2018
NCT02477826,31562796,bar,Hellmann MD et al (1),2018
NCT02477826,31562796,bar,Hellmann MD et al,2019
NCT02477826,31562796,bar,Hellmann MD et al (1),2019
NCT02477826,31562796,bar,Hellmann MD et al (2),2019
NCT02477826,31562796,bar,Hellmann MD et al,2018
NCT02477826,31562796,bar,Hellmann MD et al (1),2018
NCT02477826,31562796,bar,Hellmann MD et al,2019
NCT02477826,31562796,bar,Hellmann MD et al (1),2019
NCT02477826,31562796,bar,Hellmann MD et al (2),2019
NCT02220894,30955977,bar,Mok TSK et al,2019
NCT03059667,30664989,bar,Pujol JL et al,2019
NCT02142738,30620668,bar,Reck M et al,2019
NCT02142738,30620668,bar,Reck M et al,2016
NCT02367781,31122901,bar,West H et al,2019
NCT02613507,30659987,bar,Wu YL et al,2019
NCT02454933,30763730,bar,Yang JCH et al,2019
NCT00324155,21639810,bar,Robert C et al,2011
NCT00094653,20525992,bar,Hodi FS et al,2010
NCT00094653,20525992,bar,Hodi FS et al (1),2010
NCT00094653,20525992,bar,McDermott D et al,2013
NCT00094653,20525992,bar,McDermott D et al (1),2013
NCT00094653,20525992,bar,Hodi FS et al,2010
NCT00094653,20525992,bar,Hodi FS et al (1),2010
NCT00094653,20525992,bar,McDermott D et al,2013
NCT00094653,20525992,bar,McDermott D et al (1),2013
NCT00257205,23295794,bar,Ribas A et al,2013
NCT02362594,29658430,bar,Eggermont AMM et al,2018
NCT02362594,29658430,bar,Eggermont AMM et al,2020
NCT01704287,26115796,bar,Ribas A et al,2015
NCT01704287,26115796,bar,Ribas A et al (1),2015
NCT01704287,26115796,bar,Hamid O et al,2017
NCT01704287,26115796,bar,Hamid O et al (1),2017
NCT01704287,26115796,bar,Ribas A et al,2015
NCT01704287,26115796,bar,Ribas A et al (1),2015
NCT01704287,26115796,bar,Hamid O et al,2017
NCT01704287,26115796,bar,Hamid O et al (1),2017
NCT01704287,28961465,bar,Ribas A et al,2015
NCT01704287,28961465,bar,Ribas A et al (1),2015
NCT01704287,28961465,bar,Hamid O et al,2017
NCT01704287,28961465,bar,Hamid O et al (1),2017
NCT01704287,28961465,bar,Ribas A et al,2015
NCT01704287,28961465,bar,Ribas A et al (1),2015
NCT01704287,28961465,bar,Hamid O et al,2017
NCT01704287,28961465,bar,Hamid O et al (1),2017
NCT00636168,27717298,bar,Eggermont AMM et al,2016
NCT00636168,27717298,bar,Eggermont AMM et al,2015
NCT01721746,25795410,bar,Weber JS et al,2015
NCT01721746,25795410,bar,Larkin J et al,2018
NCT01721746,28671856,bar,Weber JS et al,2015
NCT01721746,28671856,bar,Larkin J et al,2018
NCT02130466,31171878,bar,Ascierto PA et al,2019
NCT02130466,31171878,bar,Ferrucci PF et al,2020
NCT01721772,25399552,bar,Robert C et al,2015
NCT01721772,25399552,bar,Ascierto PA et al,2019
NCT01721772,25399552,bar,Robert C et al,2020
NCT01721772,30422243,bar,Robert C et al,2015
NCT01721772,30422243,bar,Ascierto PA et al,2019
NCT01721772,30422243,bar,Robert C et al,2020
NCT01843374,28729154,bar,Maio M et al,2017
NCT02576977,31327687,bar,Mateos MV et al,2019
NCT02579863,31327689,bar,Usmani SZ et al,2019
NCT00861614,24831977,bar,Kwon ED et al,2014
NCT00861614,24831977,bar,Fizazi K et al.,2020
NCT01057810,28034081,bar,Beer TM et al,2017
NCT02267343,31863227,bar,Kang YK et al,2017
NCT02267343,31863227,bar,Chen LT et al,2019
NCT02702401,31790344,bar,Finn RS et al,2019
NCT02569242,31582355,bar,Kato K et al,2019
NCT01042379,32053137,bar,Nanda R et al,2019
NCT03043872,31590988,bar,Paz-Ares L et al,2019
NCT03043872,31590988,bar,Paz-Ares L et al (1),2019
NCT03043872,31590988,bar,Goldman JW et al,2020
NCT03043872,31590988,bar,Goldman JW et al (1),2020
NCT03043872,31590988,bar,Paz-Ares L et al,2019
NCT03043872,31590988,bar,Paz-Ares L et al (1),2019
NCT03043872,31590988,bar,Goldman JW et al,2020
NCT03043872,31590988,bar,Goldman JW et al (1),2020
NCT02425891,31786121,bar,Schmid P et al,2018
NCT02425891,31786121,bar,Schmid P et al,2019
NCT02358031,31679945,bar,Burtness B et al,2019
NCT02358031,31679945,bar,Burtness B et al (1),2019
NCT02358031,31679945,bar,Burtness B et al,2019
NCT02358031,31679945,bar,Burtness B et al (1),2019
NCT02763579,31959349,bar,Horn L et al,2018
NCT02763579,31959349,bar,Mansfield AS et al,2020
NCT02362048,32114502,bar,Overman M et al,2020
NCT02352948,32201234,bar,Planchard D et al,2020
NCT02352948,32201234,bar,Planchard D et al (1),2020
NCT02352948,32201234,bar,Planchard D et al (2),2020
NCT02352948,32201234,bar,Planchard D et al,2020
NCT02352948,32201234,bar,Planchard D et al (1),2020
NCT02352948,32201234,bar,Planchard D et al (2),2020
NCT02352948,32201234,bar,Planchard D et al,2020
NCT02352948,32201234,bar,Planchard D et al (1),2020
NCT02352948,32201234,bar,Planchard D et al (2),2020
NCT03036488,32101663,bar,Schmid P et al,2020
NCT01274338,31880964,bar,Tarhini AA et al,2020
NCT01274338,31880964,bar,Tarhini AA et al (1),2020
NCT01274338,31880964,bar,Tarhini AA et al,2020
NCT01274338,31880964,bar,Tarhini AA et al (1),2020
NCT02523313,32416781,bar,Zimmer L et al,2020
NCT02523313,32416781,bar,Zimmer L et al (1),2020
NCT02523313,32416781,bar,Zimmer L et al,2020
NCT02523313,32416781,bar,Zimmer L et al (1),2020
NCT01896869,32591464,bar,Wu AA et al,2020
NCT03066778,32468956,bar,Rudin CM et al,2020
NCT02453282,32271377,bar,Rizvi NA et al,2020
NCT02453282,32271377,bar,Rizvi NA et al (1),2020
NCT02453282,32271377,bar,Rizvi NA et al,2020
NCT02453282,32271377,bar,Rizvi NA et al (1),2020
NCT02231749,32661118,bar,Motzer RJ et al,2018
NCT02231749,32661118,bar,Motzer RJ et al,2019
NCT02231749,32661118,bar,Motzer RJ et al,2020
NCT02367794,32302702,bar,Jotte R et al,2020
NCT02367794,32302702,bar,Jotte R et al (1),2020
NCT02367794,32302702,bar,Jotte R et al,2020
NCT02367794,32302702,bar,Jotte R et al (1),2020
NCT02908672,32534646,bar,Gutzmer R et al,2020
NCT02017717,32437507,bar,Reardon DA et al,2020
NCT02500121,32271672,bar,Galsky MD et al,2020
NCT02807636,32416780,bar,Galsky MD et al,2020
NCT02807636,32416780,bar,Galsky MD et al (1),2020
NCT02807636,32416780,bar,Galsky MD et al,2020
NCT02807636,32416780,bar,Galsky MD et al (1),2020
NCT03434379,32402160,bar,Finn RS et al,2020
NCT02369874,32294530,bar,Ferris RL et al,2020
NCT02369874,32294530,bar,Ferris RL et al (1),2020
NCT02369874,32294530,bar,Ferris RL et al,2020
NCT02369874,32294530,bar,Ferris RL et al (1),2020
NCT02870920,32379280,bar,Chen EX et al,2020
NCT02574598,32271354,bar,Arrieta O et al,2020
NCT01668784,32673417,bar,Motzer RJ et al,2015
NCT01668784,32673417,bar,Motzer RJ et al,2020
NCT02684006,32339648,bar,Motzer RJ et al,2019
NCT02684006,32339648,bar,Choueiri TK et al,2020
NCT02142738,27718847,bar,Reck M et al,2019
NCT02142738,27718847,bar,Reck M et al,2016
NCT00094653,23942774,bar,Hodi FS et al,2010
NCT00094653,23942774,bar,Hodi FS et al (1),2010
NCT00094653,23942774,bar,McDermott D et al,2013
NCT00094653,23942774,bar,McDermott D et al (1),2013
NCT00094653,23942774,bar,Hodi FS et al,2010
NCT00094653,23942774,bar,Hodi FS et al (1),2010
NCT00094653,23942774,bar,McDermott D et al,2013
NCT00094653,23942774,bar,McDermott D et al (1),2013
NCT03051659,32880602,bar,Tolaney SM et al,2020
NCT02494583,32880601,bar,Shitara K et al,2020
NCT02494583,32880601,bar,Shitara K et al (1),2020
NCT02494583,32880601,bar,Shitara K et al,2020
NCT02494583,32880601,bar,Shitara K et al (1),2020
NCT02819518,33278935,bar,Cortes J et al,2020
NCT02516241,32971005,bar,Powles T et al,2020
NCT02516241,32971005,bar,Powles T et al (1),2020
NCT02516241,32971005,bar,Powles T et al,2020
NCT02516241,32971005,bar,Powles T et al (1),2020
NCT03197935,32966830,bar,Mittendorf EA et al,2020
NCT02603432,32945632,bar,Powles T et al,2020
NCT02625610,33197226,bar,Moehler M et al,2020
NCT02899299,33485464,bar,Baas P et al.,2021
NCT02409342,32997907,bar,Herbst RS et al.,2020
NCT02924883,33002436,bar,Emens LA et al,2020
NCT02853331,33284113,bar,Rini BI et al,2019
NCT02853331,33284113,bar,Powles T et al. ,2020
NCT02657434,33333328,bar,Nishio M et al,2020
NCT02564263,33026938,bar,Kojima T et al.,2020
NCT00861614,32811715,bar,Kwon ED et al,2014
NCT00861614,32811715,bar,Fizazi K et al.,2020
NCT01721772,32997575,bar,Robert C et al,2015
NCT01721772,32997575,bar,Ascierto PA et al,2019
NCT01721772,32997575,bar,Robert C et al,2020
NCT02130466,33361337,bar,Ascierto PA et al,2019
NCT02130466,33361337,bar,Ferrucci PF et al,2020
NCT03043872,33285097,bar,Paz-Ares L et al,2019
NCT03043872,33285097,bar,Paz-Ares L et al (1),2019
NCT03043872,33285097,bar,Goldman JW et al,2020
NCT03043872,33285097,bar,Goldman JW et al (1),2020
NCT03043872,33285097,bar,Paz-Ares L et al,2019
NCT03043872,33285097,bar,Paz-Ares L et al (1),2019
NCT03043872,33285097,bar,Goldman JW et al,2020
NCT03043872,33285097,bar,Goldman JW et al (1),2020
NCT02991482,32976938,bar,Popat S et al. ,2020
NCT02563002,33264544,bar,Andre T et al.,2020
NCT02362594,32946353,bar,Eggermont AMM et al,2018
NCT02362594,32946353,bar,Eggermont AMM et al,2020
NCT00636168,25840693,bar,Eggermont AMM et al,2016
NCT00636168,25840693,bar,Eggermont AMM et al,2015
NCT01903993,33166718,bar,Fehrenbacher L et al,2016
NCT01903993,33166718,bar,Mazieres J et al,2020
NCT02008227,33166718,bar,Rittmeyer A et al,2017
NCT02008227,33166718,bar,Fehrenbacher L et al,2018
NCT02008227,33166718,bar,Mazieres J et al,2020
NCT02811861,33616314,bar,Motzer R et al,2021
NCT03215706,33476593,bar,Paz-Ares L et al,2021
NCT02481830,33539946,bar,Spigel DR et al,2021
NCT03141177,33657295,bar,Choueiri TK et al,2021
NCT02538666,33683919,bar,Owonikoko TK et al,2021
NCT02538666,33683919,bar,Owonikoko TK et al,2021
NCT02538666,33683919,bar,Owonikoko TK et al,2021
NCT02538666,33683919,bar,Owonikoko TK et al,2021
NCT02299999,33462450,bar,Bachelot T et al,2021
NCT02684292,33721562,bar,Kuruvilla J et al,2021
NCT02450331,33721560,bar,Bellmunt J et al,2021
NCT02555657,33676601,bar,Winer PE et al,2021
NCT03088540,33581821,bar,Sezer A et al,2021
NCT02852083,33796020,bar,Heudobler D et al,2021
NCT02952586,33794205,bar,Lee NY et al,2021
NCT02743494,33789008,bar,Kelly RJ,2021
NCT02999087,33125944,bar,Tao Y et al.,2021
