NCT,PMID,ici_class,Authors,Year
NCT02125461,28885881,PD-L1,Antonia SJ et al,2017
NCT02125461,28885881,PD-L1,Antonia SJ et al,2018
NCT02125461,30280658,PD-L1,Antonia SJ et al,2017
NCT02125461,30280658,PD-L1,Antonia SJ et al,2018
NCT02395172,30262187,PD-L1,Barlesi F et al,2018
NCT02039674,27745820,PD-1,Langer JC et al,2016
NCT02039674,27745820,PD-1,Borghaei  H et al,2018
NCT02039674,30138764,PD-1,Langer JC et al,2016
NCT02039674,30138764,PD-1,Borghaei  H et al,2018
NCT02008227,27979383,PD-L1,Rittmeyer A et al,2017
NCT02008227,27979383,PD-L1,Fehrenbacher L et al,2018
NCT02008227,27979383,PD-L1,Mazieres J et al,2020
NCT02008227,29777823,PD-L1,Rittmeyer A et al,2017
NCT02008227,29777823,PD-L1,Fehrenbacher L et al,2018
NCT02008227,29777823,PD-L1,Mazieres J et al,2020
NCT02578680,29658856,PD-1,Gandhi L et al,2018
NCT02763579,30280641,PD-L1,Horn L et al,2018
NCT02763579,30280641,PD-L1,Mansfield AS et al,2020
NCT02775435,30280635,PD-1,Paz-Ares L et al,2018
NCT02366143,29863955,PD-L1,Socinski MA et al,2018
NCT02366143,29863955,PD-L1,Socinski MA et al (1),2018
NCT02366143,29863955,PD-L1,Socinski MA et al,2018
NCT02366143,29863955,PD-L1,Socinski MA et al (1),2018
NCT02477826,29658845,PD-1,Hellmann MD et al,2018
NCT02477826,29658845,PD-1,Hellmann MD et al (1),2018
NCT02477826,29658845,PD-1,Hellmann MD et al,2019
NCT02477826,29658845,PD-1,Hellmann MD et al (1),2019
NCT02477826,29658845,PD-1,Hellmann MD et al (2),2019
NCT02477826,29658845,PD-1,Hellmann MD et al,2018
NCT02477826,29658845,PD-1,Hellmann MD et al (1),2018
NCT02477826,29658845,PD-1,Hellmann MD et al,2019
NCT02477826,29658845,PD-1,Hellmann MD et al (1),2019
NCT02477826,29658845,PD-1,Hellmann MD et al (2),2019
NCT02477826,31562796,PD-1,Hellmann MD et al,2018
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2018
NCT02477826,31562796,PD-1,Hellmann MD et al,2019
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2019
NCT02477826,31562796,PD-1,Hellmann MD et al (2),2019
NCT02477826,31562796,PD-1,Hellmann MD et al,2018
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2018
NCT02477826,31562796,PD-1,Hellmann MD et al,2019
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2019
NCT02477826,31562796,PD-1,Hellmann MD et al (2),2019
NCT02477826,31562796,PD-1,Hellmann MD et al,2018
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2018
NCT02477826,31562796,PD-1,Hellmann MD et al,2019
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2019
NCT02477826,31562796,PD-1,Hellmann MD et al (2),2019
NCT02220894,30955977,PD-1,Mok TSK et al,2019
NCT03059667,30664989,PD-L1,Pujol JL et al,2019
NCT02142738,30620668,PD-1,Reck M et al,2019
NCT02142738,30620668,PD-1,Reck M et al,2016
NCT02367781,31122901,PD-L1,West H et al,2019
NCT02613507,30659987,PD-1,Wu YL et al,2019
NCT02454933,30763730,PD-L1,Yang JCH et al,2019
NCT00324155,21639810,CTLA-4,Robert C et al,2011
NCT00094653,20525992,CTLA-4,Hodi FS et al,2010
NCT00094653,20525992,CTLA-4,Hodi FS et al (1),2010
NCT00094653,20525992,CTLA-4,McDermott D et al,2013
NCT00094653,20525992,CTLA-4,McDermott D et al (1),2013
NCT00094653,20525992,CTLA-4,Hodi FS et al,2010
NCT00094653,20525992,CTLA-4,Hodi FS et al (1),2010
NCT00094653,20525992,CTLA-4,McDermott D et al,2013
NCT00094653,20525992,CTLA-4,McDermott D et al (1),2013
NCT00257205,23295794,OTHER/UNKNOWN,Ribas A et al,2013
NCT02362594,29658430,PD-1,Eggermont AMM et al,2018
NCT02362594,29658430,PD-1,Eggermont AMM et al,2020
NCT01704287,26115796,PD-1,Ribas A et al,2015
NCT01704287,26115796,PD-1,Ribas A et al (1),2015
NCT01704287,26115796,PD-1,Hamid O et al,2017
NCT01704287,26115796,PD-1,Hamid O et al (1),2017
NCT01704287,26115796,PD-1,Ribas A et al,2015
NCT01704287,26115796,PD-1,Ribas A et al (1),2015
NCT01704287,26115796,PD-1,Hamid O et al,2017
NCT01704287,26115796,PD-1,Hamid O et al (1),2017
NCT01704287,28961465,PD-1,Ribas A et al,2015
NCT01704287,28961465,PD-1,Ribas A et al (1),2015
NCT01704287,28961465,PD-1,Hamid O et al,2017
NCT01704287,28961465,PD-1,Hamid O et al (1),2017
NCT01704287,28961465,PD-1,Ribas A et al,2015
NCT01704287,28961465,PD-1,Ribas A et al (1),2015
NCT01704287,28961465,PD-1,Hamid O et al,2017
NCT01704287,28961465,PD-1,Hamid O et al (1),2017
NCT00636168,27717298,CTLA-4,Eggermont AMM et al,2016
NCT00636168,27717298,CTLA-4,Eggermont AMM et al,2015
NCT01721746,25795410,PD-1,Weber JS et al,2015
NCT01721746,25795410,PD-1,Larkin J et al,2018
NCT01721746,28671856,PD-1,Weber JS et al,2015
NCT01721746,28671856,PD-1,Larkin J et al,2018
NCT02130466,31171878,PD-1,Ascierto PA et al,2019
NCT02130466,31171878,PD-1,Ferrucci PF et al,2020
NCT01721772,25399552,PD-1,Robert C et al,2015
NCT01721772,25399552,PD-1,Ascierto PA et al,2019
NCT01721772,25399552,PD-1,Robert C et al,2020
NCT01721772,30422243,PD-1,Robert C et al,2015
NCT01721772,30422243,PD-1,Ascierto PA et al,2019
NCT01721772,30422243,PD-1,Robert C et al,2020
NCT01843374,28729154,OTHER/UNKNOWN,Maio M et al,2017
NCT02576977,31327687,PD-1,Mateos MV et al,2019
NCT02579863,31327689,PD-1,Usmani SZ et al,2019
NCT00861614,24831977,CTLA-4,Kwon ED et al,2014
NCT00861614,24831977,CTLA-4,Fizazi K et al.,2020
NCT01057810,28034081,CTLA-4,Beer TM et al,2017
NCT02267343,31863227,PD-1,Kang YK et al,2017
NCT02267343,31863227,PD-1,Chen LT et al,2019
NCT02702401,31790344,PD-1,Finn RS et al,2019
NCT02569242,31582355,PD-1,Kato K et al,2019
NCT01042379,32053137,PD-1,Nanda R et al,2019
NCT03043872,31590988,PD-L1,Paz-Ares L et al,2019
NCT03043872,31590988,PD-L1,Paz-Ares L et al (1),2019
NCT03043872,31590988,PD-L1,Goldman JW et al,2020
NCT03043872,31590988,PD-L1,Goldman JW et al (1),2020
NCT03043872,31590988,PD-L1,Paz-Ares L et al,2019
NCT03043872,31590988,PD-L1,Paz-Ares L et al (1),2019
NCT03043872,31590988,PD-L1,Goldman JW et al,2020
NCT03043872,31590988,PD-L1,Goldman JW et al (1),2020
NCT02425891,31786121,PD-L1,Schmid P et al,2018
NCT02425891,31786121,PD-L1,Schmid P et al,2019
NCT02358031,31679945,PD-1,Burtness B et al,2019
NCT02358031,31679945,PD-1,Burtness B et al (1),2019
NCT02358031,31679945,PD-1,Burtness B et al,2019
NCT02358031,31679945,PD-1,Burtness B et al (1),2019
NCT02763579,31959349,PD-L1,Horn L et al,2018
NCT02763579,31959349,PD-L1,Mansfield AS et al,2020
NCT02362048,32114502,PD-1,Overman M et al,2020
NCT02352948,32201234,PD-L1,Planchard D et al,2020
NCT02352948,32201234,PD-L1,Planchard D et al (1),2020
NCT02352948,32201234,PD-L1,Planchard D et al (2),2020
NCT02352948,32201234,OTHER/UNKNOWN,Planchard D et al,2020
NCT02352948,32201234,OTHER/UNKNOWN,Planchard D et al (1),2020
NCT02352948,32201234,OTHER/UNKNOWN,Planchard D et al (2),2020
NCT02352948,32201234,PD-L1,Planchard D et al,2020
NCT02352948,32201234,PD-L1,Planchard D et al (1),2020
NCT02352948,32201234,PD-L1,Planchard D et al (2),2020
NCT03036488,32101663,PD-1,Schmid P et al,2020
NCT01274338,31880964,CTLA-4,Tarhini AA et al,2020
NCT01274338,31880964,CTLA-4,Tarhini AA et al (1),2020
NCT01274338,31880964,CTLA-4,Tarhini AA et al,2020
NCT01274338,31880964,CTLA-4,Tarhini AA et al (1),2020
NCT02523313,32416781,PD-1,Zimmer L et al,2020
NCT02523313,32416781,PD-1,Zimmer L et al (1),2020
NCT02523313,32416781,PD-1,Zimmer L et al,2020
NCT02523313,32416781,PD-1,Zimmer L et al (1),2020
NCT01896869,32591464,CTLA-4,Wu AA et al,2020
NCT03066778,32468956,PD-1,Rudin CM et al,2020
NCT02453282,32271377,PD-L1,Rizvi NA et al,2020
NCT02453282,32271377,PD-L1,Rizvi NA et al (1),2020
NCT02453282,32271377,PD-L1,Rizvi NA et al,2020
NCT02453282,32271377,PD-L1,Rizvi NA et al (1),2020
NCT02231749,32661118,PD-1,Motzer RJ et al,2018
NCT02231749,32661118,PD-1,Motzer RJ et al,2019
NCT02231749,32661118,PD-1,Motzer RJ et al,2020
NCT02367794,32302702,PD-L1,Jotte R et al,2020
NCT02367794,32302702,PD-L1,Jotte R et al (1),2020
NCT02367794,32302702,PD-L1,Jotte R et al,2020
NCT02367794,32302702,PD-L1,Jotte R et al (1),2020
NCT02908672,32534646,PD-L1,Gutzmer R et al,2020
NCT02017717,32437507,PD-1,Reardon DA et al,2020
NCT02500121,32271672,PD-1,Galsky MD et al,2020
NCT02807636,32416780,PD-L1,Galsky MD et al,2020
NCT02807636,32416780,PD-L1,Galsky MD et al (1),2020
NCT02807636,32416780,PD-L1,Galsky MD et al,2020
NCT02807636,32416780,PD-L1,Galsky MD et al (1),2020
NCT03434379,32402160,PD-L1,Finn RS et al,2020
NCT02369874,32294530,PD-L1,Ferris RL et al,2020
NCT02369874,32294530,PD-L1,Ferris RL et al (1),2020
NCT02369874,32294530,PD-L1,Ferris RL et al,2020
NCT02369874,32294530,PD-L1,Ferris RL et al (1),2020
NCT02870920,32379280,PD-L1,Chen EX et al,2020
NCT02574598,32271354,PD-1,Arrieta O et al,2020
NCT01668784,32673417,PD-1,Motzer RJ et al,2015
NCT01668784,32673417,PD-1,Motzer RJ et al,2020
NCT02684006,32339648,PD-L1,Motzer RJ et al,2019
NCT02684006,32339648,PD-L1,Choueiri TK et al,2020
NCT02142738,27718847,PD-1,Reck M et al,2019
NCT02142738,27718847,PD-1,Reck M et al,2016
NCT00094653,23942774,CTLA-4,Hodi FS et al,2010
NCT00094653,23942774,CTLA-4,Hodi FS et al (1),2010
NCT00094653,23942774,CTLA-4,McDermott D et al,2013
NCT00094653,23942774,CTLA-4,McDermott D et al (1),2013
NCT00094653,23942774,CTLA-4,Hodi FS et al,2010
NCT00094653,23942774,CTLA-4,Hodi FS et al (1),2010
NCT00094653,23942774,CTLA-4,McDermott D et al,2013
NCT00094653,23942774,CTLA-4,McDermott D et al (1),2013
NCT03051659,32880602,PD-1,Tolaney SM et al,2020
NCT02494583,32880601,PD-1,Shitara K et al,2020
NCT02494583,32880601,PD-1,Shitara K et al (1),2020
NCT02494583,32880601,PD-1,Shitara K et al,2020
NCT02494583,32880601,PD-1,Shitara K et al (1),2020
NCT02819518,33278935,PD-1,Cortes J et al,2020
NCT02516241,32971005,PD-L1,Powles T et al,2020
NCT02516241,32971005,PD-L1,Powles T et al (1),2020
NCT02516241,32971005,PD-L1,Powles T et al,2020
NCT02516241,32971005,PD-L1,Powles T et al (1),2020
NCT03197935,32966830,PD-L1,Mittendorf EA et al,2020
NCT02603432,32945632,PD-L1,Powles T et al,2020
NCT02625610,33197226,PD-L1,Moehler M et al,2020
NCT02899299,33485464,PD-1,Baas P et al.,2021
NCT02409342,32997907,PD-L1,Herbst RS et al.,2020
NCT02924883,33002436,PD-L1,Emens LA et al,2020
NCT02853331,33284113,PD-1,Rini BI et al,2019
NCT02853331,33284113,PD-1,Powles T et al. ,2020
NCT02657434,33333328,PD-L1,Nishio M et al,2020
NCT02564263,33026938,PD-1,Kojima T et al.,2020
NCT00861614,32811715,CTLA-4,Kwon ED et al,2014
NCT00861614,32811715,CTLA-4,Fizazi K et al.,2020
NCT01721772,32997575,PD-1,Robert C et al,2015
NCT01721772,32997575,PD-1,Ascierto PA et al,2019
NCT01721772,32997575,PD-1,Robert C et al,2020
NCT02130466,33361337,PD-1,Ascierto PA et al,2019
NCT02130466,33361337,PD-1,Ferrucci PF et al,2020
NCT03043872,33285097,PD-L1,Paz-Ares L et al,2019
NCT03043872,33285097,PD-L1,Paz-Ares L et al (1),2019
NCT03043872,33285097,PD-L1,Goldman JW et al,2020
NCT03043872,33285097,PD-L1,Goldman JW et al (1),2020
NCT03043872,33285097,PD-L1,Paz-Ares L et al,2019
NCT03043872,33285097,PD-L1,Paz-Ares L et al (1),2019
NCT03043872,33285097,PD-L1,Goldman JW et al,2020
NCT03043872,33285097,PD-L1,Goldman JW et al (1),2020
NCT02991482,32976938,PD-1,Popat S et al. ,2020
NCT02563002,33264544,PD-1,Andre T et al.,2020
NCT02362594,32946353,PD-1,Eggermont AMM et al,2018
NCT02362594,32946353,PD-1,Eggermont AMM et al,2020
NCT00636168,25840693,CTLA-4,Eggermont AMM et al,2016
NCT00636168,25840693,CTLA-4,Eggermont AMM et al,2015
NCT01903993,33166718,PD-L1,Fehrenbacher L et al,2016
NCT01903993,33166718,PD-L1,Mazieres J et al,2020
NCT02008227,33166718,PD-L1,Rittmeyer A et al,2017
NCT02008227,33166718,PD-L1,Fehrenbacher L et al,2018
NCT02008227,33166718,PD-L1,Mazieres J et al,2020
NCT02811861,33616314,PD-1,Motzer R et al,2021
NCT03215706,33476593,PD-1,Paz-Ares L et al,2021
NCT02481830,33539946,PD-1,Spigel DR et al,2021
NCT03141177,33657295,PD-1,Choueiri TK et al,2021
NCT02538666,33683919,PD-1,Owonikoko TK et al,2021
NCT02538666,33683919,PD-1,Owonikoko TK et al,2021
NCT02538666,33683919,PD-1,Owonikoko TK et al,2021
NCT02538666,33683919,PD-1,Owonikoko TK et al,2021
NCT02299999,33462450,PD-L1,Bachelot T et al,2021
NCT02684292,33721562,OTHER/UNKNOWN,Kuruvilla J et al,2021
NCT02450331,33721560,PD-L1,Bellmunt J et al,2021
NCT02555657,33676601,OTHER/UNKNOWN,Winer PE et al,2021
NCT03088540,33581821,PD-1,Sezer A et al,2021
NCT02852083,33796020,PD-1,Heudobler D et al,2021
NCT02952586,33794205,PD-L1,Lee NY et al,2021
NCT02743494,33789008,PD-1,Kelly RJ,2021
NCT02999087,33125944,PD-L1,Tao Y et al.,2021
