NCT,PMID,cancer_type,treatment_regimen,Authors,Year
NCT00527735,22547592,Lung,Immunotherapy,Lynch TJ et al,2012
NCT00527735,22547592,Lung,Immunotherapy,Lynch TJ et al (1),2012
NCT00527735,22547592,Lung,Immunotherapy,Reck M et al,2012
NCT00527735,22547592,Lung,Immunotherapy,Reck M et al (1),2012
NCT00527735,22547592,Lung,Immunotherapy,Lynch TJ et al,2012
NCT00527735,22547592,Lung,Immunotherapy,Lynch TJ et al (1),2012
NCT00527735,22547592,Lung,Immunotherapy,Reck M et al,2012
NCT00527735,22547592,Lung,Immunotherapy,Reck M et al (1),2012
NCT00527735,22858559,Lung,Immunotherapy,Lynch TJ et al,2012
NCT00527735,22858559,Lung,Immunotherapy,Lynch TJ et al (1),2012
NCT00527735,22858559,Lung,Immunotherapy,Reck M et al,2012
NCT00527735,22858559,Lung,Immunotherapy,Reck M et al (1),2012
NCT00527735,22858559,Lung,Chemotherapy,Lynch TJ et al,2012
NCT00527735,22858559,Lung,Chemotherapy,Lynch TJ et al (1),2012
NCT00527735,22858559,Lung,Chemotherapy,Reck M et al,2012
NCT00527735,22858559,Lung,Chemotherapy,Reck M et al (1),2012
NCT01673867,26412456,Lung,Immunotherapy,Borghaei  H et al,2015
NCT01642004,26028407,Lung,Immunotherapy,Brahmer J et al,2015
NCT01905657,26712084,Lung,Immunotherapy,Herbst RS et al,2016
NCT01905657,26712084,Lung,Immunotherapy,Herbst RS et al (1),2016
NCT01905657,26712084,Lung,Immunotherapy,Herbst RS et al,2016
NCT01905657,26712084,Lung,Immunotherapy,Herbst RS et al (1),2016
NCT01903993,26970723,Lung,Immunotherapy,Fehrenbacher L et al,2016
NCT01903993,26970723,Lung,Immunotherapy,Mazieres J et al,2020
NCT01450761,27458307,Lung,Immunotherapy,Reck M et al,2016
NCT02041533,28636851,Lung,Immunotherapy,Carbone DP et al,2017
NCT01285609,28854067,Lung,Immunotherapy,Govindan R et al,2017
NCT02125461,28885881,Lung,Immunotherapy,Antonia SJ et al,2017
NCT02125461,28885881,Lung,Immunotherapy,Antonia SJ et al,2018
NCT02125461,30280658,Lung,Immunotherapy,Antonia SJ et al,2017
NCT02125461,30280658,Lung,Immunotherapy,Antonia SJ et al,2018
NCT02395172,30262187,Lung,Immunotherapy,Barlesi F et al,2018
NCT02039674,27745820,Lung,Immunotherapy,Langer JC et al,2016
NCT02039674,27745820,Lung,Immunotherapy,Borghaei  H et al,2018
NCT02039674,30138764,Lung,Immunotherapy,Langer JC et al,2016
NCT02039674,30138764,Lung,Immunotherapy,Borghaei  H et al,2018
NCT02008227,27979383,Lung,Immunotherapy,Rittmeyer A et al,2017
NCT02008227,27979383,Lung,Immunotherapy,Fehrenbacher L et al,2018
NCT02008227,27979383,Lung,Immunotherapy,Mazieres J et al,2020
NCT02008227,29777823,Lung,Immunotherapy,Rittmeyer A et al,2017
NCT02008227,29777823,Lung,Immunotherapy,Fehrenbacher L et al,2018
NCT02008227,29777823,Lung,Immunotherapy,Mazieres J et al,2020
NCT02578680,29658856,Lung,Immunotherapy,Gandhi L et al,2018
NCT02763579,30280641,Lung,Immunotherapy,Horn L et al,2018
NCT02763579,30280641,Lung,Immunotherapy,Mansfield AS et al,2020
NCT02775435,30280635,Lung,Immunotherapy,Paz-Ares L et al,2018
NCT02366143,29863955,Lung,Immunotherapy,Socinski MA et al,2018
NCT02366143,29863955,Lung,Immunotherapy,Socinski MA et al (1),2018
NCT02366143,29863955,Lung,Immunotherapy,Socinski MA et al,2018
NCT02366143,29863955,Lung,Immunotherapy,Socinski MA et al (1),2018
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al,2018
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (1),2018
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al,2019
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (1),2019
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (2),2019
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al,2018
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (1),2018
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al,2019
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (1),2019
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (2),2019
NCT02220894,30955977,Lung,Immunotherapy,Mok TSK et al,2019
NCT03059667,30664989,Lung,Immunotherapy,Pujol JL et al,2019
NCT02142738,30620668,Lung,Immunotherapy,Reck M et al,2019
NCT02142738,30620668,Lung,Immunotherapy,Reck M et al,2016
NCT02367781,31122901,Lung,Immunotherapy,West H et al,2019
NCT02613507,30659987,Lung,Immunotherapy,Wu YL et al,2019
NCT02454933,30763730,Lung,Immunotherapy,Yang JCH et al,2019
NCT00324155,21639810,Melanoma,Immunotherapy,Robert C et al,2011
NCT00094653,20525992,Melanoma,Immunotherapy,Hodi FS et al,2010
NCT00094653,20525992,Melanoma,Immunotherapy,Hodi FS et al (1),2010
NCT00094653,20525992,Melanoma,Immunotherapy,McDermott D et al,2013
NCT00094653,20525992,Melanoma,Immunotherapy,McDermott D et al (1),2013
NCT00094653,20525992,Melanoma,Immunotherapy,Hodi FS et al,2010
NCT00094653,20525992,Melanoma,Immunotherapy,Hodi FS et al (1),2010
NCT00094653,20525992,Melanoma,Immunotherapy,McDermott D et al,2013
NCT00094653,20525992,Melanoma,Immunotherapy,McDermott D et al (1),2013
NCT00257205,23295794,Melanoma,Immunotherapy,Ribas A et al,2013
NCT02362594,29658430,Melanoma,Immunotherapy,Eggermont AMM et al,2018
NCT02362594,29658430,Melanoma,Immunotherapy,Eggermont AMM et al,2020
NCT01704287,26115796,Melanoma,Immunotherapy,Ribas A et al,2015
NCT01704287,26115796,Melanoma,Immunotherapy,Ribas A et al (1),2015
NCT01704287,26115796,Melanoma,Immunotherapy,Hamid O et al,2017
NCT01704287,26115796,Melanoma,Immunotherapy,Hamid O et al (1),2017
NCT01704287,26115796,Melanoma,Immunotherapy,Ribas A et al,2015
NCT01704287,26115796,Melanoma,Immunotherapy,Ribas A et al (1),2015
NCT01704287,26115796,Melanoma,Immunotherapy,Hamid O et al,2017
NCT01704287,26115796,Melanoma,Immunotherapy,Hamid O et al (1),2017
NCT01704287,28961465,Melanoma,Immunotherapy,Ribas A et al,2015
NCT01704287,28961465,Melanoma,Immunotherapy,Ribas A et al (1),2015
NCT01704287,28961465,Melanoma,Immunotherapy,Hamid O et al,2017
NCT01704287,28961465,Melanoma,Immunotherapy,Hamid O et al (1),2017
NCT01704287,28961465,Melanoma,Immunotherapy,Ribas A et al,2015
NCT01704287,28961465,Melanoma,Immunotherapy,Ribas A et al (1),2015
NCT01704287,28961465,Melanoma,Immunotherapy,Hamid O et al,2017
NCT01704287,28961465,Melanoma,Immunotherapy,Hamid O et al (1),2017
NCT00636168,27717298,Melanoma,Immunotherapy,Eggermont AMM et al,2016
NCT00636168,27717298,Melanoma,Immunotherapy,Eggermont AMM et al,2015
NCT01721746,25795410,Melanoma,Immunotherapy,Weber JS et al,2015
NCT01721746,25795410,Melanoma,Immunotherapy,Larkin J et al,2018
NCT01721746,28671856,Melanoma,Immunotherapy,Weber JS et al,2015
NCT01721746,28671856,Melanoma,Immunotherapy,Larkin J et al,2018
NCT02130466,31171878,Melanoma,Immunotherapy,Ascierto PA et al,2019
NCT02130466,31171878,Melanoma,Immunotherapy,Ferrucci PF et al,2020
NCT01721772,25399552,Melanoma,Immunotherapy,Robert C et al,2015
NCT01721772,25399552,Melanoma,Immunotherapy,Ascierto PA et al,2019
NCT01721772,25399552,Melanoma,Immunotherapy,Robert C et al,2020
NCT01721772,30422243,Melanoma,Immunotherapy,Robert C et al,2015
NCT01721772,30422243,Melanoma,Immunotherapy,Ascierto PA et al,2019
NCT01721772,30422243,Melanoma,Immunotherapy,Robert C et al,2020
NCT01843374,28729154,Other,Immunotherapy,Maio M et al,2017
NCT02576977,31327687,Other,Immunotherapy,Mateos MV et al,2019
NCT02579863,31327689,Other,Immunotherapy,Usmani SZ et al,2019
NCT00861614,24831977,Prostate,Immunotherapy,Kwon ED et al,2014
NCT00861614,24831977,Prostate,Immunotherapy,Fizazi K et al.,2020
NCT01057810,28034081,Prostate,Immunotherapy,Beer TM et al,2017
NCT02267343,31863227,Other,Immunotherapy,Kang YK et al,2017
NCT02267343,31863227,Other,Immunotherapy,Chen LT et al,2019
NCT02702401,31790344,Other,Immunotherapy,Finn RS et al,2019
NCT02569242,31582355,Other,Immunotherapy,Kato K et al,2019
NCT01042379,32053137,Breast,Immunotherapy,Nanda R et al,2019
NCT03043872,31590988,Lung,Immunotherapy,Paz-Ares L et al,2019
NCT03043872,31590988,Lung,Immunotherapy,Paz-Ares L et al (1),2019
NCT03043872,31590988,Lung,Immunotherapy,Goldman JW et al,2020
NCT03043872,31590988,Lung,Immunotherapy,Goldman JW et al (1),2020
NCT03043872,31590988,Lung,Immunotherapy,Paz-Ares L et al,2019
NCT03043872,31590988,Lung,Immunotherapy,Paz-Ares L et al (1),2019
NCT03043872,31590988,Lung,Immunotherapy,Goldman JW et al,2020
NCT03043872,31590988,Lung,Immunotherapy,Goldman JW et al (1),2020
NCT02425891,31786121,Breast,Immunotherapy,Schmid P et al,2018
NCT02425891,31786121,Breast,Immunotherapy,Schmid P et al,2019
NCT02358031,31679945,Other,Immunotherapy,Burtness B et al,2019
NCT02358031,31679945,Other,Immunotherapy,Burtness B et al (1),2019
NCT02358031,31679945,Other,Immunotherapy,Burtness B et al,2019
NCT02358031,31679945,Other,Immunotherapy,Burtness B et al (1),2019
NCT02763579,31959349,Lung,Immunotherapy,Horn L et al,2018
NCT02763579,31959349,Lung,Immunotherapy,Mansfield AS et al,2020
NCT02362048,32114502,Other,Immunotherapy,Overman M et al,2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al,2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (2),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al,2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (2),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al,2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (1),2020
NCT02352948,32201234,Lung,Immunotherapy,Planchard D et al (2),2020
NCT03036488,32101663,Breast,Immunotherapy,Schmid P et al,2020
NCT01274338,31880964,Melanoma,Immunotherapy,Tarhini AA et al,2020
NCT01274338,31880964,Melanoma,Immunotherapy,Tarhini AA et al (1),2020
NCT01274338,31880964,Melanoma,Immunotherapy,Tarhini AA et al,2020
NCT01274338,31880964,Melanoma,Immunotherapy,Tarhini AA et al (1),2020
NCT02523313,32416781,Melanoma,Immunotherapy,Zimmer L et al,2020
NCT02523313,32416781,Melanoma,Immunotherapy,Zimmer L et al (1),2020
NCT02523313,32416781,Melanoma,Immunotherapy,Zimmer L et al,2020
NCT02523313,32416781,Melanoma,Immunotherapy,Zimmer L et al (1),2020
NCT01896869,32591464,Other,Immunotherapy,Wu AA et al,2020
NCT03066778,32468956,Lung,Immunotherapy,Rudin CM et al,2020
NCT02453282,32271377,Lung,Immunotherapy,Rizvi NA et al,2020
NCT02453282,32271377,Lung,Immunotherapy,Rizvi NA et al (1),2020
NCT02453282,32271377,Lung,Immunotherapy,Rizvi NA et al,2020
NCT02453282,32271377,Lung,Immunotherapy,Rizvi NA et al (1),2020
NCT02231749,32661118,Other,Immunotherapy,Motzer RJ et al,2018
NCT02231749,32661118,Other,Immunotherapy,Motzer RJ et al,2019
NCT02231749,32661118,Other,Immunotherapy,Motzer RJ et al,2020
NCT02367794,32302702,Lung,Immunotherapy,Jotte R et al,2020
NCT02367794,32302702,Lung,Immunotherapy,Jotte R et al (1),2020
NCT02367794,32302702,Lung,Immunotherapy,Jotte R et al,2020
NCT02367794,32302702,Lung,Immunotherapy,Jotte R et al (1),2020
NCT02908672,32534646,Melanoma,Immunotherapy,Gutzmer R et al,2020
NCT02017717,32437507,Other,Immunotherapy,Reardon DA et al,2020
NCT02500121,32271672,Other,Immunotherapy,Galsky MD et al,2020
NCT02807636,32416780,Other,Chemotherapy,Galsky MD et al,2020
NCT02807636,32416780,Other,Chemotherapy,Galsky MD et al (1),2020
NCT02807636,32416780,Other,Immunotherapy,Galsky MD et al,2020
NCT02807636,32416780,Other,Immunotherapy,Galsky MD et al (1),2020
NCT03434379,32402160,Other,Immunotherapy,Finn RS et al,2020
NCT02369874,32294530,Other,Immunotherapy,Ferris RL et al,2020
NCT02369874,32294530,Other,Immunotherapy,Ferris RL et al (1),2020
NCT02369874,32294530,Other,Immunotherapy,Ferris RL et al,2020
NCT02369874,32294530,Other,Immunotherapy,Ferris RL et al (1),2020
NCT02870920,32379280,Colorectal,Immunotherapy,Chen EX et al,2020
NCT02574598,32271354,Lung,Immunotherapy,Arrieta O et al,2020
NCT01668784,32673417,Other,Immunotherapy,Motzer RJ et al,2015
NCT01668784,32673417,Other,Immunotherapy,Motzer RJ et al,2020
NCT02684006,32339648,Other,Immunotherapy,Motzer RJ et al,2019
NCT02684006,32339648,Other,Immunotherapy,Choueiri TK et al,2020
NCT02142738,27718847,Lung,Immunotherapy,Reck M et al,2019
NCT02142738,27718847,Lung,Immunotherapy,Reck M et al,2016
NCT00094653,23942774,Melanoma,Immunotherapy,Hodi FS et al,2010
NCT00094653,23942774,Melanoma,Immunotherapy,Hodi FS et al (1),2010
NCT00094653,23942774,Melanoma,Immunotherapy,McDermott D et al,2013
NCT00094653,23942774,Melanoma,Immunotherapy,McDermott D et al (1),2013
NCT00094653,23942774,Melanoma,Immunotherapy,Hodi FS et al,2010
NCT00094653,23942774,Melanoma,Immunotherapy,Hodi FS et al (1),2010
NCT00094653,23942774,Melanoma,Immunotherapy,McDermott D et al,2013
NCT00094653,23942774,Melanoma,Immunotherapy,McDermott D et al (1),2013
NCT03051659,32880602,Breast,Immunotherapy,Tolaney SM et al,2020
NCT02494583,32880601,Other,Immunotherapy,Shitara K et al,2020
NCT02494583,32880601,Other,Immunotherapy,Shitara K et al (1),2020
NCT02494583,32880601,Other,Immunotherapy,Shitara K et al,2020
NCT02494583,32880601,Other,Immunotherapy,Shitara K et al (1),2020
NCT02819518,33278935,Breast,Immunotherapy,Cortes J et al,2020
NCT02516241,32971005,Other,Immunotherapy,Powles T et al,2020
NCT02516241,32971005,Other,Immunotherapy,Powles T et al (1),2020
NCT02516241,32971005,Other,Immunotherapy,Powles T et al,2020
NCT02516241,32971005,Other,Immunotherapy,Powles T et al (1),2020
NCT03197935,32966830,Breast,Chemotherapy,Mittendorf EA et al,2020
NCT02603432,32945632,Other,Immunotherapy,Powles T et al,2020
NCT02625610,33197226,Other,Immunotherapy,Moehler M et al,2020
NCT02899299,33485464,Other,Immunotherapy,Baas P et al.,2021
NCT02409342,32997907,Lung,Immunotherapy,Herbst RS et al.,2020
NCT02924883,33002436,Breast,Immunotherapy,Emens LA et al,2020
NCT02853331,33284113,Other,Immunotherapy,Rini BI et al,2019
NCT02853331,33284113,Other,Immunotherapy,Powles T et al. ,2020
NCT02657434,33333328,Lung,Immunotherapy,Nishio M et al,2020
NCT02564263,33026938,Other,Immunotherapy,Kojima T et al.,2020
NCT00861614,32811715,Prostate,Immunotherapy,Kwon ED et al,2014
NCT00861614,32811715,Prostate,Immunotherapy,Fizazi K et al.,2020
NCT01721772,32997575,Melanoma,Immunotherapy,Robert C et al,2015
NCT01721772,32997575,Melanoma,Immunotherapy,Ascierto PA et al,2019
NCT01721772,32997575,Melanoma,Immunotherapy,Robert C et al,2020
NCT02130466,33361337,Melanoma,Immunotherapy,Ascierto PA et al,2019
NCT02130466,33361337,Melanoma,Immunotherapy,Ferrucci PF et al,2020
NCT03043872,33285097,Lung,Immunotherapy,Paz-Ares L et al,2019
NCT03043872,33285097,Lung,Immunotherapy,Paz-Ares L et al (1),2019
NCT03043872,33285097,Lung,Immunotherapy,Goldman JW et al,2020
NCT03043872,33285097,Lung,Immunotherapy,Goldman JW et al (1),2020
NCT03043872,33285097,Lung,Immunotherapy,Paz-Ares L et al,2019
NCT03043872,33285097,Lung,Immunotherapy,Paz-Ares L et al (1),2019
NCT03043872,33285097,Lung,Immunotherapy,Goldman JW et al,2020
NCT03043872,33285097,Lung,Immunotherapy,Goldman JW et al (1),2020
NCT02991482,32976938,Other,Immunotherapy,Popat S et al. ,2020
NCT02563002,33264544,Colorectal,Immunotherapy,Andre T et al.,2020
NCT02362594,32946353,Melanoma,Immunotherapy,Eggermont AMM et al,2018
NCT02362594,32946353,Melanoma,Immunotherapy,Eggermont AMM et al,2020
NCT00636168,25840693,Melanoma,Immunotherapy,Eggermont AMM et al,2016
NCT00636168,25840693,Melanoma,Immunotherapy,Eggermont AMM et al,2015
NCT01903993,33166718,Lung,Immunotherapy,Fehrenbacher L et al,2016
NCT01903993,33166718,Lung,Immunotherapy,Mazieres J et al,2020
NCT02008227,33166718,Lung,Immunotherapy,Rittmeyer A et al,2017
NCT02008227,33166718,Lung,Immunotherapy,Fehrenbacher L et al,2018
NCT02008227,33166718,Lung,Immunotherapy,Mazieres J et al,2020
NCT02811861,33616314,Other,Immunotherapy,Motzer R et al,2021
NCT03215706,33476593,Lung,Immunotherapy,Paz-Ares L et al,2021
NCT02481830,33539946,Lung,Immunotherapy,Spigel DR et al,2021
NCT03141177,33657295,Other,Immunotherapy,Choueiri TK et al,2021
NCT02538666,33683919,Lung,Immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Immunotherapy,Owonikoko TK et al,2021
NCT02538666,33683919,Lung,Immunotherapy,Owonikoko TK et al,2021
NCT02299999,33462450,Breast,Immunotherapy,Bachelot T et al,2021
NCT02684292,33721562,Other,Immunotherapy,Kuruvilla J et al,2021
NCT02450331,33721560,Other,Immunotherapy,Bellmunt J et al,2021
NCT02555657,33676601,Breast,Immunotherapy,Winer PE et al,2021
NCT03088540,33581821,Lung,Immunotherapy,Sezer A et al,2021
NCT02852083,33796020,Lung,Immunotherapy,Heudobler D et al,2021
NCT02952586,33794205,Other,Chemotherapy,Lee NY et al,2021
NCT02743494,33789008,Other,Immunotherapy,Kelly RJ,2021
NCT02999087,33125944,Other,Other,Tao Y et al.,2021
