NCT,PMID,cancer_type_normalized,treatment_regimen_normalized,Authors,Year
NCT00527735,22858559,Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Reck M et al (1),2012
NCT01673867,26412456,Non-Small Cell Lung Cancer,Nivolumab,Borghaei  H et al,2015
NCT01642004,26028407,Non-Small Cell Lung Cancer,Nivolumab,Brahmer J et al,2015
NCT01905657,26712084,Non-Small Cell Lung Cancer,Pembrolizumab,Herbst RS et al,2016
NCT01905657,26712084,Non-Small Cell Lung Cancer,Pembrolizumab,Herbst RS et al (1),2016
NCT01905657,26712084,Non-Small Cell Lung Cancer,Pembrolizumab,Herbst RS et al,2016
NCT01905657,26712084,Non-Small Cell Lung Cancer,Pembrolizumab,Herbst RS et al (1),2016
NCT01903993,26970723,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,26970723,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT01450761,27458307,Small Cell Lung Cancer,Ipilimumab+Etoposide+Platinum,Reck M et al,2016
NCT02041533,28636851,Non-Small Cell Lung Cancer,Nivolumab,Carbone DP et al,2017
NCT01285609,28854067,Non-Small Cell Lung Cancer,Ipilimumab+Paclitaxel+Carboplatin,Govindan R et al,2017
NCT02125461,28885881,Non-Small Cell Lung Cancer,Durvalumab,Antonia SJ et al,2017
NCT02125461,28885881,Non-Small Cell Lung Cancer,Durvalumab,Antonia SJ et al,2018
NCT02125461,30280658,Non-Small Cell Lung Cancer,Durvalumab,Antonia SJ et al,2017
NCT02125461,30280658,Non-Small Cell Lung Cancer,Durvalumab,Antonia SJ et al,2018
NCT02395172,30262187,Non-Small Cell Lung Cancer,Atezolizumab,Barlesi F et al,2018
NCT02039674,27745820,Non-Small Cell Lung Cancer,Pembrolizumab+Pemetrexed+Carboplatin,Langer JC et al,2016
NCT02039674,27745820,Non-Small Cell Lung Cancer,Pembrolizumab+Pemetrexed+Carboplatin,Borghaei  H et al,2018
NCT02039674,30138764,Non-Small Cell Lung Cancer,Pembrolizumab+Pemetrexed+Carboplatin,Langer JC et al,2016
NCT02039674,30138764,Non-Small Cell Lung Cancer,Pembrolizumab+Pemetrexed+Carboplatin,Borghaei  H et al,2018
NCT02008227,27979383,Non-Small Cell Lung Cancer,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,27979383,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,27979383,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT02008227,29777823,Non-Small Cell Lung Cancer,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,29777823,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,29777823,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT02578680,29658856,Non-Small Cell Lung Cancer,Pembrolizumab+Platinum agent,Gandhi L et al,2018
NCT02763579,30280641,Small Cell Lung Cancer,Atezolizumab+Etoposide+Carboplatin,Horn L et al,2018
NCT02763579,30280641,Small Cell Lung Cancer,Atezolizumab+Etoposide+Carboplatin,Mansfield AS et al,2020
NCT02775435,30280635,Non-Small Cell Lung Cancer,Pembrolizumab+Carboplatin+Paclitaxel,Paz-Ares L et al,2018
NCT02366143,29863955,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel,Socinski MA et al,2018
NCT02366143,29863955,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel,Socinski MA et al (1),2018
NCT02366143,29863955,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Socinski MA et al,2018
NCT02366143,29863955,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Socinski MA et al (1),2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al,2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (1),2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al,2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (1),2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (2),2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al,2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (1),2018
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al,2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (1),2019
NCT02477826,29658845,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (2),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al,2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (1),2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al,2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (1),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab,Hellmann MD et al (2),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al,2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (1),2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al,2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (1),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab,Hellmann MD et al (2),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab plus Chemotherapy,Hellmann MD et al,2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab plus Chemotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab plus Chemotherapy,Hellmann MD et al,2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab plus Chemotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,Non-Small Cell Lung Cancer,Nivolumab plus Chemotherapy,Hellmann MD et al (2),2019
NCT02220894,30955977,Non-Small Cell Lung Cancer,Pembrolizumab,Mok TSK et al,2019
NCT03059667,30664989,Small Cell Lung Cancer,Atezolizumab,Pujol JL et al,2019
NCT02142738,30620668,Non-Small Cell Lung Cancer,Pembrolizumab,Reck M et al,2019
NCT02142738,30620668,Non-Small Cell Lung Cancer,Pembrolizumab,Reck M et al,2016
NCT02367781,31122901,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Nab-paclitaxel,West H et al,2019
NCT02613507,30659987,Non-Small Cell Lung Cancer,Nivolumab,Wu YL et al,2019
NCT02454933,30763730,Non-Small Cell Lung Cancer,Durvalumab+Osimertinib,Yang JCH et al,2019
NCT00324155,21639810,melanoma,ipilimumab+dacarbazine,Robert C et al,2011
NCT00094653,20525992,melanoma,ipilimumab,Hodi FS et al,2010
NCT00094653,20525992,melanoma,ipilimumab,Hodi FS et al (1),2010
NCT00094653,20525992,melanoma,ipilimumab,McDermott D et al,2013
NCT00094653,20525992,melanoma,ipilimumab,McDermott D et al (1),2013
NCT00094653,20525992,melanoma,ipilimumab and vaccine,Hodi FS et al,2010
NCT00094653,20525992,melanoma,ipilimumab and vaccine,Hodi FS et al (1),2010
NCT00094653,20525992,melanoma,ipilimumab and vaccine,McDermott D et al,2013
NCT00094653,20525992,melanoma,ipilimumab and vaccine,McDermott D et al (1),2013
NCT00257205,23295794,melanoma,tremelimumab,Ribas A et al,2013
NCT02362594,29658430,melanoma,pembrolizumab,Eggermont AMM et al,2018
NCT02362594,29658430,melanoma,pembrolizumab,Eggermont AMM et al,2020
NCT01704287,26115796,melanoma,pembrolizumab,Ribas A et al,2015
NCT01704287,26115796,melanoma,pembrolizumab,Ribas A et al (1),2015
NCT01704287,26115796,melanoma,pembrolizumab,Hamid O et al,2017
NCT01704287,26115796,melanoma,pembrolizumab,Hamid O et al (1),2017
NCT01704287,26115796,melanoma,pembrolizumab,Ribas A et al,2015
NCT01704287,26115796,melanoma,pembrolizumab,Ribas A et al (1),2015
NCT01704287,26115796,melanoma,pembrolizumab,Hamid O et al,2017
NCT01704287,26115796,melanoma,pembrolizumab,Hamid O et al (1),2017
NCT01704287,28961465,melanoma,pembrolizumab,Ribas A et al,2015
NCT01704287,28961465,melanoma,pembrolizumab,Ribas A et al (1),2015
NCT01704287,28961465,melanoma,pembrolizumab,Hamid O et al,2017
NCT01704287,28961465,melanoma,pembrolizumab,Hamid O et al (1),2017
NCT01704287,28961465,melanoma,pembrolizumab,Ribas A et al,2015
NCT01704287,28961465,melanoma,pembrolizumab,Ribas A et al (1),2015
NCT01704287,28961465,melanoma,pembrolizumab,Hamid O et al,2017
NCT01704287,28961465,melanoma,pembrolizumab,Hamid O et al (1),2017
NCT00636168,27717298,melanoma,ipilimumab,Eggermont AMM et al,2016
NCT00636168,27717298,melanoma,ipilimumab,Eggermont AMM et al,2015
NCT01721746,25795410,melanoma,nivolumab,Weber JS et al,2015
NCT01721746,25795410,melanoma,nivolumab,Larkin J et al,2018
NCT01721746,28671856,melanoma,nivolumab,Weber JS et al,2015
NCT01721746,28671856,melanoma,nivolumab,Larkin J et al,2018
NCT02130466,31171878,melanoma,pembrolizumab+dabrafenib+trametinib,Ascierto PA et al,2019
NCT02130466,31171878,melanoma,pembrolizumab+dabrafenib+trametinib,Ferrucci PF et al,2020
NCT01721772,25399552,melanoma,nivolumab,Robert C et al,2015
NCT01721772,25399552,melanoma,nivolumab,Ascierto PA et al,2019
NCT01721772,25399552,melanoma,nivolumab,Robert C et al,2020
NCT01721772,30422243,melanoma,nivolumab,Robert C et al,2015
NCT01721772,30422243,melanoma,nivolumab,Ascierto PA et al,2019
NCT01721772,30422243,melanoma,nivolumab,Robert C et al,2020
NCT01843374,28729154,Mesothelioma,Tremelimumab,Maio M et al,2017
NCT02576977,31327687,Multiple Myeloma,Pembrolizumab+Pomalidomide+Dexamethasone,Mateos MV et al,2019
NCT02579863,31327689,multiple myeloma,pembrolizumab+lenalidomide+dexamethasone,Usmani SZ et al,2019
NCT00861614,24831977,prostate cancer,ipilimumab,Kwon ED et al,2014
NCT00861614,24831977,prostate cancer,ipilimumab,Fizazi K et al.,2020
NCT01057810,28034081,Prostate Cancer,Ipilimumab,Beer TM et al,2017
NCT02267343,31863227,gastric cancer,nivolumab,Kang YK et al,2017
NCT02267343,31863227,gastric cancer,nivolumab,Chen LT et al,2019
NCT02702401,31790344,hepatocellular carcinoma,pembrolizumab,Finn RS et al,2019
NCT02569242,31582355,esophagogastric cancer,nivolumab,Kato K et al,2019
NCT01042379,32053137,Breast Cancer,Pembrolizumab+Paclitaxel,Nanda R et al,2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum,Paz-Ares L et al,2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum,Paz-Ares L et al (1),2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum,Goldman JW et al,2020
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum,Goldman JW et al (1),2020
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum,Paz-Ares L et al,2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum,Paz-Ares L et al (1),2019
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum,Goldman JW et al,2020
NCT03043872,31590988,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum,Goldman JW et al (1),2020
NCT02425891,31786121,breast cancer,atezolizumab and nab-paclitaxel,Schmid P et al,2018
NCT02425891,31786121,breast cancer,atezolizumab and nab-paclitaxel,Schmid P et al,2019
NCT02358031,31679945,head and neck cancer,pembrolizumab,Burtness B et al,2019
NCT02358031,31679945,head and neck cancer,pembrolizumab,Burtness B et al (1),2019
NCT02358031,31679945,Head and Neck Cancer,Pembrolizumab+Platinum-based chemotherapy+Fluorouracil,Burtness B et al,2019
NCT02358031,31679945,Head and Neck Cancer,Pembrolizumab+Platinum-based chemotherapy+Fluorouracil,Burtness B et al (1),2019
NCT02763579,31959349,Small Cell Lung Cancer,Atezolizumab+Carboplatin+Etoposide,Horn L et al,2018
NCT02763579,31959349,Small Cell Lung Cancer,Atezolizumab+Carboplatin+Etoposide,Mansfield AS et al,2020
NCT02362048,32114502,pancreatic cancer,pembrolizumab + acalabrutinib,Overman M et al,2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab,Planchard D et al (2),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Tremelimumab,Planchard D et al,2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Tremelimumab,Planchard D et al (1),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Tremelimumab,Planchard D et al (2),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Planchard D et al,2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Planchard D et al (1),2020
NCT02352948,32201234,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Planchard D et al (2),2020
NCT03036488,32101663,breast cancer,pembrolizumab+paclitaxel+carboplatin,Schmid P et al,2020
NCT01274338,31880964,melanoma,ipilimumab,Tarhini AA et al,2020
NCT01274338,31880964,melanoma,ipilimumab,Tarhini AA et al (1),2020
NCT01274338,31880964,melanoma,ipilimumab,Tarhini AA et al,2020
NCT01274338,31880964,melanoma,ipilimumab,Tarhini AA et al (1),2020
NCT02523313,32416781,melanoma,nivolumab,Zimmer L et al,2020
NCT02523313,32416781,melanoma,nivolumab,Zimmer L et al (1),2020
NCT02523313,32416781,melanoma,nivolumab+ipilimumab,Zimmer L et al,2020
NCT02523313,32416781,melanoma,nivolumab+ipilimumab,Zimmer L et al (1),2020
NCT01896869,32591464,pancreatic cancer,ipilimumab and GVAX,Wu AA et al,2020
NCT03066778,32468956,Small Cell Lung Cancer,Pembrolizumab+Etoposide+Platinum,Rudin CM et al,2020
NCT02453282,32271377,Non-Small Cell Lung Cancer,Durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,Non-Small Cell Lung Cancer,Durvalumab,Rizvi NA et al (1),2020
NCT02453282,32271377,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Rizvi NA et al,2020
NCT02453282,32271377,Non-Small Cell Lung Cancer,Durvalumab+Tremelimumab,Rizvi NA et al (1),2020
NCT02231749,32661118,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2018
NCT02231749,32661118,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2019
NCT02231749,32661118,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2020
NCT02367794,32302702,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel,Jotte R et al,2020
NCT02367794,32302702,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Paclitaxel,Jotte R et al (1),2020
NCT02367794,32302702,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Nab-paclitaxel,Jotte R et al,2020
NCT02367794,32302702,Non-Small Cell Lung Cancer,Atezolizumab+Carboplatin+Nab-paclitaxel,Jotte R et al (1),2020
NCT02908672,32534646,Melanoma,Atezolizumab+Vemurafenib+Cobimetinib,Gutzmer R et al,2020
NCT02017717,32437507,head and neck cancer,nivolumab,Reardon DA et al,2020
NCT02500121,32271672,urothelial cancer,pembrolizumab,Galsky MD et al,2020
NCT02807636,32416780,urothelial carcinoma,"atezolizumab, gemcitabine, carboplatin, cisplatin",Galsky MD et al,2020
NCT02807636,32416780,urothelial carcinoma,"atezolizumab, gemcitabine, carboplatin, cisplatin",Galsky MD et al (1),2020
NCT02807636,32416780,urothelial carcinoma,atezolizumab,Galsky MD et al,2020
NCT02807636,32416780,urothelial carcinoma,atezolizumab,Galsky MD et al (1),2020
NCT03434379,32402160,hepatocellular carcinoma,atezolizumab+bevacizumab,Finn RS et al,2020
NCT02369874,32294530,head and neck cancer,durvalumab,Ferris RL et al,2020
NCT02369874,32294530,head and neck cancer,durvalumab,Ferris RL et al (1),2020
NCT02369874,32294530,Head and Neck Cancer,Durvalumab+Tremelimumab,Ferris RL et al,2020
NCT02369874,32294530,Head and Neck Cancer,Durvalumab+Tremelimumab,Ferris RL et al (1),2020
NCT02870920,32379280,Colorectal Cancer,Durvalumab+Tremelimumab+Best supportive care,Chen EX et al,2020
NCT02574598,32271354,Non-Small Cell Lung Cancer,Pembrolizumab + Docetaxel,Arrieta O et al,2020
NCT01668784,32673417,renal cell carcinoma,nivolumab,Motzer RJ et al,2015
NCT01668784,32673417,renal cell carcinoma,nivolumab,Motzer RJ et al,2020
NCT02684006,32339648,renal cell carcinoma,avelumab + axitinib,Motzer RJ et al,2019
NCT02684006,32339648,renal cell carcinoma,avelumab + axitinib,Choueiri TK et al,2020
NCT02142738,27718847,Non-Small Cell Lung Cancer,Pembrolizumab,Reck M et al,2019
NCT02142738,27718847,Non-Small Cell Lung Cancer,Pembrolizumab,Reck M et al,2016
NCT00094653,23942774,melanoma,ipilimumab,Hodi FS et al,2010
NCT00094653,23942774,melanoma,ipilimumab,Hodi FS et al (1),2010
NCT00094653,23942774,melanoma,ipilimumab,McDermott D et al,2013
NCT00094653,23942774,melanoma,ipilimumab,McDermott D et al (1),2013
NCT00094653,23942774,melanoma,ipilimumab+gp100 vaccine,Hodi FS et al,2010
NCT00094653,23942774,melanoma,ipilimumab+gp100 vaccine,Hodi FS et al (1),2010
NCT00094653,23942774,melanoma,ipilimumab+gp100 vaccine,McDermott D et al,2013
NCT00094653,23942774,melanoma,ipilimumab+gp100 vaccine,McDermott D et al (1),2013
NCT03051659,32880602,breast cancer,pembrolizumab and eribulin,Tolaney SM et al,2020
NCT02494583,32880601,gastric cancer,pembrolizumab,Shitara K et al,2020
NCT02494583,32880601,gastric cancer,pembrolizumab,Shitara K et al (1),2020
NCT02494583,32880601,gastric cancer,"pembrolizumab, cisplatin, fluorouracil, capecitabine",Shitara K et al,2020
NCT02494583,32880601,gastric cancer,"pembrolizumab, cisplatin, fluorouracil, capecitabine",Shitara K et al (1),2020
NCT02819518,33278935,Breast Cancer,Pembrolizumab + Nab-paclitaxel/Paclitaxel/Gemcitabine + Carboplatin,Cortes J et al,2020
NCT02516241,32971005,urothelial cancer,durvalumab,Powles T et al,2020
NCT02516241,32971005,urothelial cancer,durvalumab,Powles T et al (1),2020
NCT02516241,32971005,urothelial cancer,durvalumab+tremelimumab,Powles T et al,2020
NCT02516241,32971005,urothelial cancer,durvalumab+tremelimumab,Powles T et al (1),2020
NCT03197935,32966830,breast cancer,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Mittendorf EA et al,2020
NCT02603432,32945632,urothelial cancer,avelumab and best supportive care,Powles T et al,2020
NCT02625610,33197226,gastric cancer,avelumab,Moehler M et al,2020
NCT02899299,33485464,Mesothelioma,Nivolumab+Ipilimumab,Baas P et al.,2021
NCT02409342,32997907,Non-Small Cell Lung Cancer,Atezolizumab,Herbst RS et al.,2020
NCT02924883,33002436,breast cancer,atezolizumab,Emens LA et al,2020
NCT02853331,33284113,renal cell carcinoma,pembrolizumab+axitinib,Rini BI et al,2019
NCT02853331,33284113,renal cell carcinoma,pembrolizumab+axitinib,Powles T et al. ,2020
NCT02657434,33333328,Non-small cell lung cancer,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,Nishio M et al,2020
NCT02564263,33026938,esophagogastric cancer,pembrolizumab,Kojima T et al.,2020
NCT00861614,32811715,prostate cancer,ipilimumab,Kwon ED et al,2014
NCT00861614,32811715,prostate cancer,ipilimumab,Fizazi K et al.,2020
NCT01721772,32997575,melanoma,nivolumab,Robert C et al,2015
NCT01721772,32997575,melanoma,nivolumab,Ascierto PA et al,2019
NCT01721772,32997575,melanoma,nivolumab,Robert C et al,2020
NCT02130466,33361337,melanoma,pembrolizumab+dabrafenib+trametinib,Ascierto PA et al,2019
NCT02130466,33361337,melanoma,pembrolizumab+dabrafenib+trametinib,Ferrucci PF et al,2020
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum,Paz-Ares L et al,2019
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum,Paz-Ares L et al (1),2019
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum,Goldman JW et al,2020
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum,Goldman JW et al (1),2020
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum,Paz-Ares L et al,2019
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum,Paz-Ares L et al (1),2019
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum,Goldman JW et al,2020
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum,Goldman JW et al (1),2020
NCT02991482,32976938,Mesothelioma,Pembrolizumab,Popat S et al. ,2020
NCT02563002,33264544,Colorectal Cancer,Pembrolizumab,Andre T et al.,2020
NCT02362594,32946353,melanoma,pembrolizumab,Eggermont AMM et al,2018
NCT02362594,32946353,melanoma,pembrolizumab,Eggermont AMM et al,2020
NCT00636168,25840693,melanoma,ipilimumab,Eggermont AMM et al,2016
NCT00636168,25840693,melanoma,ipilimumab,Eggermont AMM et al,2015
NCT01903993,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT02008227,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Rittmeyer A et al,2017
