NCT,Author,Year_x,PMID_x,Control arm,control_arm_class,Authors,Year_y,PMID_y
NCT03043872,Paz-Ares L et al,2019,31590988,Chemo,Active,Paz-Ares L et al,2019,31590988
NCT03043872,Paz-Ares L et al,2019,31590988,Chemo,Active,Paz-Ares L et al (1),2019,31590988
NCT03043872,Paz-Ares L et al,2019,31590988,Chemo,Active,Goldman JW et al,2020,33285097
NCT03043872,Paz-Ares L et al,2019,31590988,Chemo,Active,Goldman JW et al (1),2020,33285097
NCT02613507,Wu YL et al,2019,30659987,Chemo,Active,Wu YL et al,2019,30659987
NCT02367781,West H et al,2019,31122901,Chemo,Active,West H et al,2019,31122901
NCT02142738,Reck M et al,2019,30620668,Chemo,Active,Reck M et al,2019,30620668
NCT02142738,Reck M et al,2019,30620668,Chemo,Active,Reck M et al,2016,27718847
NCT02220894,Mok TSK et al,2019,30955977,Chemo,Active,Mok TSK et al,2019,30955977
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemo,Active,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemo,Active,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemo,Active,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemo,Active,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemo,Active,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemo,Active,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemo,Active,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemo,Active,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemo,Active,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Chemo,Active,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemo,Active,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,Chemo,Active,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,Chemo,Active,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemo,Active,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,Chemo,Active,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemo,Active,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemo,Active,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemo,Active,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemo,Active,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Chemo,Active,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemo,Active,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,Chemo,Active,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,Chemo,Active,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemo,Active,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,Chemo,Active,Hellmann MD et al (2),2019,31562796
NCT02775435,Paz-Ares L et al,2018,30280635,Chemo,Active,Paz-Ares L et al,2018,30280635
NCT02578680,Gandhi L et al,2018,29658856,Chemo,Active,Gandhi L et al,2018,29658856
NCT02008227,Fehrenbacher L et al,2018,29777823,Chemo,Active,Rittmeyer A et al,2017,27979383
NCT02008227,Fehrenbacher L et al,2018,29777823,Chemo,Active,Fehrenbacher L et al,2018,29777823
NCT02008227,Fehrenbacher L et al,2018,29777823,Chemo,Active,Mazieres J et al,2020,33166718
NCT02008227,Rittmeyer A et al,2017,27979383,Chemo,Active,Rittmeyer A et al,2017,27979383
NCT02008227,Rittmeyer A et al,2017,27979383,Chemo,Active,Fehrenbacher L et al,2018,29777823
NCT02008227,Rittmeyer A et al,2017,27979383,Chemo,Active,Mazieres J et al,2020,33166718
NCT02395172,Barlesi F et al,2018,30262187,Chemo,Active,Barlesi F et al,2018,30262187
NCT01285609,Govindan R et al,2017,28854067,Chemo,Active,Govindan R et al,2017,28854067
NCT02041533,Carbone DP et al,2017,28636851,Chemo,Active,Carbone DP et al,2017,28636851
NCT01450761,Reck M et al,2016,27458307,Chemo,Active,Reck M et al,2016,27458307
NCT01642004,Brahmer J et al,2015,26028407,Chemo,Active,Brahmer J et al,2015,26028407
NCT01673867,Borghaei  H et al,2015,26412456,Chemo,Active,Borghaei  H et al,2015,26412456
NCT02125461,Antonia SJ et al,2018,30280658,Placebo  ,Placebo,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2018,30280658,Placebo  ,Placebo,Antonia SJ et al,2018,30280658
NCT02125461,Antonia SJ et al,2017,28885881,Placebo  ,Placebo,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2017,28885881,Placebo  ,Placebo,Antonia SJ et al,2018,30280658
NCT02538666,Owonikoko TK et al,2021,33683919,Placebo,Placebo,Owonikoko TK et al,2021,33683919
NCT02538666,Owonikoko TK et al,2021,33683919,Placebo,Placebo,Owonikoko TK et al,2021,33683919
NCT02538666,Owonikoko TK et al,2021,33683919,Placebo,Placebo,Owonikoko TK et al,2021,33683919
NCT02538666,Owonikoko TK et al,2021,33683919,Placebo,Placebo,Owonikoko TK et al,2021,33683919
NCT02763579,Horn L et al,2018,30280641,Placebo,Placebo,Horn L et al,2018,30280641
NCT02763579,Horn L et al,2018,30280641,Placebo,Placebo,Mansfield AS et al,2020,31959349
NCT02366143,Socinski MA et al (1),2018,29863955,Chemo+Anti-VEGF,Active,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955,Chemo+Anti-VEGF,Active,Socinski MA et al (1),2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Chemo+Anti-VEGF,Active,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Chemo+Anti-VEGF,Active,Socinski MA et al (1),2018,29863955
NCT02454933,Yang JCH et al,2019,30763730,TKI,Active,Yang JCH et al,2019,30763730
NCT02352948,Planchard D et al (2),2020,32201234,Chemo/TKI,Active,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al (2),2020,32201234,Chemo/TKI,Active,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al (2),2020,32201234,Chemo/TKI,Active,Planchard D et al (2),2020,32201234
NCT02352948,Planchard D et al (1),2020,32201234,Chemo/TKI,Active,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al (1),2020,32201234,Chemo/TKI,Active,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al (1),2020,32201234,Chemo/TKI,Active,Planchard D et al (2),2020,32201234
NCT02352948,Planchard D et al,2020,32201234,Chemo/TKI,Active,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al,2020,32201234,Chemo/TKI,Active,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al,2020,32201234,Chemo/TKI,Active,Planchard D et al (2),2020,32201234
