NCT,Author,Year_x,PMID_x,Name of ICI,ICI Brand Name,Authors,Year_y,PMID_y
NCT03059667,Pujol JL et al,2019,30664989,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Pujol JL et al,2019,30664989
NCT02366143,Socinski MA et al (1),2018,29863955,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Socinski MA et al (1),2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Socinski MA et al (1),2018,29863955
NCT02763579,Horn L et al,2018,30280641,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Horn L et al,2018,30280641
NCT02763579,Horn L et al,2018,30280641,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Mansfield AS et al,2020,31959349
NCT02008227,Fehrenbacher L et al,2018,29777823,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Rittmeyer A et al,2017,27979383
NCT02008227,Fehrenbacher L et al,2018,29777823,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Fehrenbacher L et al,2018,29777823
NCT02008227,Fehrenbacher L et al,2018,29777823,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Mazieres J et al,2020,33166718
NCT02008227,Rittmeyer A et al,2017,27979383,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Rittmeyer A et al,2017,27979383
NCT02008227,Rittmeyer A et al,2017,27979383,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Fehrenbacher L et al,2018,29777823
NCT02008227,Rittmeyer A et al,2017,27979383,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Mazieres J et al,2020,33166718
NCT02395172,Barlesi F et al,2018,30262187,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Barlesi F et al,2018,30262187
NCT01903993,Fehrenbacher L et al,2016,26970723,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Fehrenbacher L et al,2016,26970723
NCT01903993,Fehrenbacher L et al,2016,26970723,Atezolizumab,Atezolizumab is marketed under the brand name **Tecentriq**.,Mazieres J et al,2020,33166718
NCT03043872,Goldman JW et al (1),2020,33285097,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Paz-Ares L et al,2019,31590988
NCT03043872,Goldman JW et al (1),2020,33285097,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Paz-Ares L et al (1),2019,31590988
NCT03043872,Goldman JW et al (1),2020,33285097,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Goldman JW et al,2020,33285097
NCT03043872,Goldman JW et al (1),2020,33285097,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Goldman JW et al (1),2020,33285097
NCT02453282,Rizvi NA et al,2020,32271377,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Rizvi NA et al (1),2020,32271377
NCT02352948,Planchard D et al,2020,32201234,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al,2020,32201234,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al,2020,32201234,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Planchard D et al (2),2020,32201234
NCT03043872,Paz-Ares L et al,2019,31590988,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Paz-Ares L et al,2019,31590988
NCT03043872,Paz-Ares L et al,2019,31590988,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Paz-Ares L et al (1),2019,31590988
NCT03043872,Paz-Ares L et al,2019,31590988,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Goldman JW et al,2020,33285097
NCT03043872,Paz-Ares L et al,2019,31590988,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Goldman JW et al (1),2020,33285097
NCT02454933,Yang JCH et al,2019,30763730,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Yang JCH et al,2019,30763730
NCT02125461,Antonia SJ et al,2018,30280658,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2018,30280658,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Antonia SJ et al,2018,30280658
NCT02125461,Antonia SJ et al,2017,28885881,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2017,28885881,Durvalumab,Durvalumab is marketed under the brand name **Imfinzi**.,Antonia SJ et al,2018,30280658
