NCT,Author,Year_x,PMID_x,Name of ICI,ICI Class,Authors,Year_y,PMID_y
NCT02453282,Rizvi NA et al,2020,32271377,Durvalumab,PD-L1,Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,Durvalumab,PD-L1,Rizvi NA et al (1),2020,32271377
NCT02352948,Planchard D et al,2020,32201234,Durvalumab,PD-L1,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al,2020,32201234,Durvalumab,PD-L1,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al,2020,32201234,Durvalumab,PD-L1,Planchard D et al (2),2020,32201234
NCT02454933,Yang JCH et al,2019,30763730,Durvalumab,PD-L1,Yang JCH et al,2019,30763730
NCT02125461,Antonia SJ et al,2018,30280658,Durvalumab,PD-L1,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2018,30280658,Durvalumab,PD-L1,Antonia SJ et al,2018,30280658
NCT02125461,Antonia SJ et al,2017,28885881,Durvalumab,PD-L1,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2017,28885881,Durvalumab,PD-L1,Antonia SJ et al,2018,30280658
NCT03215706,Paz-Ares L et al,2021,33476593,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Paz-Ares L et al,2021,33476593
NCT02477826,Hellmann MD et al,2019,31562796,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,"Nivolumab, Ipilimumab","PD-1, CTLA-4",Hellmann MD et al (2),2019,31562796
NCT02352948,Planchard D et al (1),2020,32201234,Tremelimumab,CTLA-4,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al (1),2020,32201234,Tremelimumab,CTLA-4,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al (1),2020,32201234,Tremelimumab,CTLA-4,Planchard D et al (2),2020,32201234
NCT02453282,Rizvi NA et al (1),2020,32271377,"Durvalumab, Tremelimumab","PD-1, CTLA-4",Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al (1),2020,32271377,"Durvalumab, Tremelimumab","PD-1, CTLA-4",Rizvi NA et al (1),2020,32271377
NCT02352948,Planchard D et al (2),2020,32201234,"Durvalumab, Tremelimumab","PD-1, CTLA-4",Planchard D et al,2020,32201234
NCT02352948,Planchard D et al (2),2020,32201234,"Durvalumab, Tremelimumab","PD-1, CTLA-4",Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al (2),2020,32201234,"Durvalumab, Tremelimumab","PD-1, CTLA-4",Planchard D et al (2),2020,32201234
NCT03088540,Sezer A et al,2021,33581821,Cemiplimab,PD-1,Sezer A et al,2021,33581821
