NCT,Author,Year_x,PMID_x,Primary endpoint,endpoint_type,Authors,Year_y,PMID_y
NCT00094653,Hodi FS et al (1),2010,20525992,OS,"Without the text, I cannot answer the question. Please provide the text.",Hodi FS et al (1),2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992,OS,"Without the text, I cannot answer the question. Please provide the text.",McDermott D et al,2013,23942774
NCT00094653,Hodi FS et al (1),2010,20525992,OS,"Without the text, I cannot answer the question. Please provide the text.",McDermott D et al (1),2013,23942774
NCT00094653,Hodi FS et al,2010,20525992,OS,"Without the text, I cannot answer the question. Please provide the text.",Hodi FS et al,2010,20525992
NCT00094653,Hodi FS et al,2010,20525992,OS,"Without the text, I cannot answer the question. Please provide the text.",Hodi FS et al (1),2010,20525992
NCT00094653,Hodi FS et al,2010,20525992,OS,"Without the text, I cannot answer the question. Please provide the text.",McDermott D et al,2013,23942774
NCT00094653,Hodi FS et al,2010,20525992,OS,"Without the text, I cannot answer the question. Please provide the text.",McDermott D et al (1),2013,23942774
NCT00324155,Robert C et al,2011,21639810,OS,"Without the text, I cannot answer the question. Please provide the text.",Robert C et al,2011,21639810
NCT00636168,Eggermont AMM et al,2015,25840693,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Eggermont AMM et al,2016,27717298
NCT00636168,Eggermont AMM et al,2015,25840693,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Eggermont AMM et al,2015,25840693
NCT02130466,Ferrucci PF et al,2020,33361337,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Ascierto PA et al,2019,31171878
NCT02130466,Ferrucci PF et al,2020,33361337,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Ferrucci PF et al,2020,33361337
NCT02908672,Gutzmer R et al,2020,32534646,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Gutzmer R et al,2020,32534646
NCT02130466,Ascierto PA et al,2019,31171878,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Ascierto PA et al,2019,31171878
NCT02130466,Ascierto PA et al,2019,31171878,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Ferrucci PF et al,2020,33361337
NCT00636168,Eggermont AMM et al,2016,27717298,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Eggermont AMM et al,2016,27717298
NCT00636168,Eggermont AMM et al,2016,27717298,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Eggermont AMM et al,2015,25840693
NCT02362594,Eggermont AMM et al,2018,29658430,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Eggermont AMM et al,2018,29658430
NCT02362594,Eggermont AMM et al,2018,29658430,PFS,"Based on the absence of specific details about the study endpoints, I cannot definitively say whether PFS (Progression-Free Survival) is a primary or secondary endpoint.",Eggermont AMM et al,2020,32946353
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Ribas A et al,2015,26115796
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Ribas A et al (1),2015,26115796
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Hamid O et al,2017,28961465
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Hamid O et al (1),2017,28961465
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Ribas A et al,2015,26115796
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Ribas A et al (1),2015,26115796
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Hamid O et al,2017,28961465
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Hamid O et al (1),2017,28961465
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Ribas A et al,2015,26115796
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Ribas A et al (1),2015,26115796
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Hamid O et al,2017,28961465
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Hamid O et al (1),2017,28961465
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Ribas A et al,2015,26115796
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Ribas A et al (1),2015,26115796
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Hamid O et al,2017,28961465
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,"Without the text, I cannot answer this question. Please provide the text.",Hamid O et al (1),2017,28961465
NCT01721746,Larkin J et al,2018,28671856,OS+ORR,"I am sorry, but I do not have access to the internet to gather information on the text you may be referring to. Therefore, I cannot answer whether 'OS+ORR' is a primary or secondary endpoint.",Weber JS et al,2015,25795410
NCT01721746,Larkin J et al,2018,28671856,OS+ORR,"I am sorry, but I do not have access to the internet to gather information on the text you may be referring to. Therefore, I cannot answer whether 'OS+ORR' is a primary or secondary endpoint.",Larkin J et al,2018,28671856
NCT01721746,Weber JS et al,2015,25795410,OS+ORR,"I am sorry, but I do not have access to the internet to gather information on the text you may be referring to. Therefore, I cannot answer whether 'OS+ORR' is a primary or secondary endpoint.",Weber JS et al,2015,25795410
NCT01721746,Weber JS et al,2015,25795410,OS+ORR,"I am sorry, but I do not have access to the internet to gather information on the text you may be referring to. Therefore, I cannot answer whether 'OS+ORR' is a primary or secondary endpoint.",Larkin J et al,2018,28671856
NCT01274338,Tarhini AA et al (1),2020,31880964,OS+RFS,SECONDARY,Tarhini AA et al,2020,31880964
NCT01274338,Tarhini AA et al (1),2020,31880964,OS+RFS,SECONDARY,Tarhini AA et al (1),2020,31880964
NCT01274338,Tarhini AA et al,2020,31880964,OS+RFS,SECONDARY,Tarhini AA et al,2020,31880964
NCT01274338,Tarhini AA et al,2020,31880964,OS+RFS,SECONDARY,Tarhini AA et al (1),2020,31880964
NCT02362594,Eggermont AMM et al,2020,32946353,RFS,"I am sorry, but the provided text is missing. Therefore, I cannot determine whether 'RFS' is a primary or secondary endpoint.",Eggermont AMM et al,2018,29658430
NCT02362594,Eggermont AMM et al,2020,32946353,RFS,"I am sorry, but the provided text is missing. Therefore, I cannot determine whether 'RFS' is a primary or secondary endpoint.",Eggermont AMM et al,2020,32946353
NCT02523313,Zimmer L et al (1),2020,32416781,RFS,"I am sorry, but the provided text is missing. Therefore, I cannot determine whether 'RFS' is a primary or secondary endpoint.",Zimmer L et al,2020,32416781
NCT02523313,Zimmer L et al (1),2020,32416781,RFS,"I am sorry, but the provided text is missing. Therefore, I cannot determine whether 'RFS' is a primary or secondary endpoint.",Zimmer L et al (1),2020,32416781
NCT02523313,Zimmer L et al,2020,32416781,RFS,"I am sorry, but the provided text is missing. Therefore, I cannot determine whether 'RFS' is a primary or secondary endpoint.",Zimmer L et al,2020,32416781
NCT02523313,Zimmer L et al,2020,32416781,RFS,"I am sorry, but the provided text is missing. Therefore, I cannot determine whether 'RFS' is a primary or secondary endpoint.",Zimmer L et al (1),2020,32416781
