NCT,Author,Year_x,PMID_x,Primary endpoint,endpoint_type,Authors,Year_y,PMID_y
NCT02008227,Fehrenbacher L et al,2018,29777823,OS,PRIMARY,Mazieres J et al,2020,33166718
NCT02008227,Rittmeyer A et al,2017,27979383,OS,PRIMARY,Rittmeyer A et al,2017,27979383
NCT02008227,Rittmeyer A et al,2017,27979383,OS,PRIMARY,Fehrenbacher L et al,2018,29777823
NCT02008227,Rittmeyer A et al,2017,27979383,OS,PRIMARY,Mazieres J et al,2020,33166718
NCT02395172,Barlesi F et al,2018,30262187,OS,PRIMARY,Barlesi F et al,2018,30262187
NCT01285609,Govindan R et al,2017,28854067,OS,PRIMARY,Govindan R et al,2017,28854067
NCT01450761,Reck M et al,2016,27458307,OS,PRIMARY,Reck M et al,2016,27458307
NCT01642004,Brahmer J et al,2015,26028407,OS,PRIMARY,Brahmer J et al,2015,26028407
NCT01673867,Borghaei  H et al,2015,26412456,OS,PRIMARY,Borghaei  H et al,2015,26412456
NCT03088540,Sezer A et al,2021,33581821,OS+PFS,PRIMARY,Sezer A et al,2021,33581821
NCT02367794,Jotte R et al (1),2020,32302702,OS+PFS,PRIMARY,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al (1),2020,32302702,OS+PFS,PRIMARY,Jotte R et al (1),2020,32302702
NCT02367794,Jotte R et al,2020,32302702,OS+PFS,PRIMARY,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al,2020,32302702,OS+PFS,PRIMARY,Jotte R et al (1),2020,32302702
NCT02453282,Rizvi NA et al (1),2020,32271377,OS+PFS,PRIMARY,Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al (1),2020,32271377,OS+PFS,PRIMARY,Rizvi NA et al (1),2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,OS+PFS,PRIMARY,Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al,2020,32271377,OS+PFS,PRIMARY,Rizvi NA et al (1),2020,32271377
NCT03066778,Rudin CM et al,2020,32468956,OS+PFS,PRIMARY,Rudin CM et al,2020,32468956
NCT02352948,Planchard D et al (2),2020,32201234,OS+PFS,PRIMARY,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al (2),2020,32201234,OS+PFS,PRIMARY,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al (2),2020,32201234,OS+PFS,PRIMARY,Planchard D et al (2),2020,32201234
NCT02352948,Planchard D et al (1),2020,32201234,OS+PFS,PRIMARY,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al (1),2020,32201234,OS+PFS,PRIMARY,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al (1),2020,32201234,OS+PFS,PRIMARY,Planchard D et al (2),2020,32201234
NCT02352948,Planchard D et al,2020,32201234,OS+PFS,PRIMARY,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al,2020,32201234,OS+PFS,PRIMARY,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al,2020,32201234,OS+PFS,PRIMARY,Planchard D et al (2),2020,32201234
NCT02763579,Mansfield AS et al,2020,31959349,OS+PFS,PRIMARY,Horn L et al,2018,30280641
NCT02763579,Mansfield AS et al,2020,31959349,OS+PFS,PRIMARY,Mansfield AS et al,2020,31959349
NCT02367781,West H et al,2019,31122901,OS+PFS,PRIMARY,West H et al,2019,31122901
NCT02477826,Hellmann MD et al (1),2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,OS+PFS,PRIMARY,Hellmann MD et al (2),2019,31562796
NCT02366143,Socinski MA et al (1),2018,29863955,OS+PFS,PRIMARY,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955,OS+PFS,PRIMARY,Socinski MA et al (1),2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,OS+PFS,PRIMARY,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,OS+PFS,PRIMARY,Socinski MA et al (1),2018,29863955
NCT02775435,Paz-Ares L et al,2018,30280635,OS+PFS,PRIMARY,Paz-Ares L et al,2018,30280635
NCT02763579,Horn L et al,2018,30280641,OS+PFS,PRIMARY,Horn L et al,2018,30280641
NCT02763579,Horn L et al,2018,30280641,OS+PFS,PRIMARY,Mansfield AS et al,2020,31959349
NCT02578680,Gandhi L et al,2018,29658856,OS+PFS,PRIMARY,Gandhi L et al,2018,29658856
NCT02125461,Antonia SJ et al,2018,30280658,OS+PFS,PRIMARY,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2018,30280658,OS+PFS,PRIMARY,Antonia SJ et al,2018,30280658
NCT02125461,Antonia SJ et al,2017,28885881,OS+PFS,PRIMARY,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2017,28885881,OS+PFS,PRIMARY,Antonia SJ et al,2018,30280658
NCT01905657,Herbst RS et al (1),2016,26712084,OS+PFS,PRIMARY,Herbst RS et al,2016,26712084
NCT01905657,Herbst RS et al (1),2016,26712084,OS+PFS,PRIMARY,Herbst RS et al (1),2016,26712084
NCT01905657,Herbst RS et al,2016,26712084,OS+PFS,PRIMARY,Herbst RS et al,2016,26712084
NCT01905657,Herbst RS et al,2016,26712084,OS+PFS,PRIMARY,Herbst RS et al (1),2016,26712084
NCT02574598,Arrieta O et al,2020,32271354,ORR,PRIMARY,Arrieta O et al,2020,32271354
NCT03059667,Pujol JL et al,2019,30664989,ORR,PRIMARY,Pujol JL et al,2019,30664989
NCT02039674,Borghaei  H et al,2018,30138764,ORR,PRIMARY,Langer JC et al,2016,27745820
NCT02039674,Borghaei  H et al,2018,30138764,ORR,PRIMARY,Borghaei  H et al,2018,30138764
NCT02039674,Langer JC et al,2016,27745820,ORR,PRIMARY,Langer JC et al,2016,27745820
NCT02039674,Langer JC et al,2016,27745820,ORR,PRIMARY,Borghaei  H et al,2018,30138764
