nct,author,year,cancer_type,ici_class,trial_phase
NCT01896869,Wu AA et al,2020,Pancreatic,CTLA-4,Phase 2
NCT02453282,Rizvi NA et al,2020,Non-Small Cell Lung,PD-L1,Phase 3
NCT02367794,Jotte R et al,2020,Non-Small Cell Lung,PD-L1,Phase 3
NCT02367794,Jotte R et al (1),2020,Non-Small Cell Lung,PD-L1,Phase 3
NCT02908672,Gutzmer R et al,2020,Melanoma,PD-L1,Phase 3
NCT02807636,Galsky MD et al,2020,Urothelial,PD-L1,Phase 3
NCT02807636,Galsky MD et al (1),2020,Urothelial,PD-L1,Phase 3
NCT03434379,Finn RS et al,2020,Hepatocellular,PD-L1,Phase 3
NCT02369874,Ferris RL et al,2020,Head and Neck,PD-L1,Phase 3
NCT02684006,Choueiri TK et al,2020,Renal cell,PD-L1,Phase 3
NCT00094653,McDermott D et al,2013,Melanoma,CTLA-4,Phase 3
NCT00094653,McDermott D et al (1),2013,Melanoma,CTLA-4,Phase 3
NCT02516241,Powles T et al,2020,Urothelial,PD-L1,Phase 3
NCT03197935,Mittendorf EA et al,2020,Breast,PD-L1,Phase 3
NCT02603432,Powles T et al,2020,Urothelial,PD-L1,Phase 3
NCT02625610,Moehler M et al,2020,Gastric/GEJ,PD-L1,Phase 3
NCT02409342,Herbst RS et al.,2020,Non-Small Cell Lung,PD-L1,Phase 3
NCT02924883,Emens LA et al,2020,Breast,PD-L1,Phase 2
NCT02657434,Nishio M et al,2020,NSCLC,PD-L1,Phase 3
NCT00861614,Fizazi K et al.,2020,Prostate,CTLA-4,Phase 3
NCT03043872,Goldman JW et al (1),2020,Small Cell Lung,PD-L1,Phase 3
NCT00636168,Eggermont AMM et al,2015,Melanoma,CTLA-4,Phase 3
NCT01903993,Mazieres J et al,2020,Non-Small Cell Lung,PD-L1,Phase 2
NCT02008227,Mazieres J et al,2020,Non-Small Cell Lung,PD-L1,Phase 3
NCT02299999,Bachelot T et al,2021,Breast,PD-L1,Phase 2
NCT02450331,Bellmunt J et al,2021,Urothelial,PD-L1,Phase 3
NCT02952586,Lee NY et al,2021,Head and Neck,PD-L1,Phase 3
NCT02999087,Tao Y et al.,2021,Head and Neck,PD-L1,Phase 3
