NCT,PMID,control_arm_type,Control arm,Authors,Year
NCT02477826,31562796,active,Chemo,Hellmann MD et al,2018
NCT02477826,31562796,active,Chemo,Hellmann MD et al (1),2018
NCT02477826,31562796,active,Chemo,Hellmann MD et al,2019
NCT02477826,31562796,active,Chemo,Hellmann MD et al (1),2019
NCT02477826,31562796,active,Chemo,Hellmann MD et al (2),2019
NCT02477826,31562796,active,Chemo,Hellmann MD et al,2018
NCT02477826,31562796,active,Chemo,Hellmann MD et al (1),2018
NCT02477826,31562796,active,Chemo,Hellmann MD et al,2019
NCT02477826,31562796,active,Chemo,Hellmann MD et al (1),2019
NCT02477826,31562796,active,Chemo,Hellmann MD et al (2),2019
NCT02220894,30955977,active,Chemo,Mok TSK et al,2019
NCT02142738,30620668,active,Chemo,Reck M et al,2019
NCT02142738,30620668,active,Chemo,Reck M et al,2016
NCT02367781,31122901,active,Chemo,West H et al,2019
NCT02613507,30659987,active,Chemo,Wu YL et al,2019
NCT02454933,30763730,active,TKI,Yang JCH et al,2019
NCT03043872,31590988,active,Chemo,Paz-Ares L et al,2019
NCT03043872,31590988,active,Chemo,Paz-Ares L et al (1),2019
NCT03043872,31590988,active,Chemo,Goldman JW et al,2020
NCT03043872,31590988,active,Chemo,Goldman JW et al (1),2020
NCT03043872,31590988,active,Chemo,Paz-Ares L et al,2019
NCT03043872,31590988,active,Chemo,Paz-Ares L et al (1),2019
NCT03043872,31590988,active,Chemo,Goldman JW et al,2020
NCT03043872,31590988,active,Chemo,Goldman JW et al (1),2020
NCT02763579,31959349,active,Chemo,Horn L et al,2018
NCT02763579,31959349,active,Chemo,Mansfield AS et al,2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al,2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al (1),2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al (2),2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al,2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al (1),2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al (2),2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al,2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al (1),2020
NCT02352948,32201234,active,Chemo/TKI,Planchard D et al (2),2020
NCT03066778,32468956,active,Chemo,Rudin CM et al,2020
NCT02453282,32271377,active,Chemo,Rizvi NA et al,2020
NCT02453282,32271377,active,Chemo,Rizvi NA et al (1),2020
NCT02453282,32271377,active,Chemo,Rizvi NA et al,2020
NCT02453282,32271377,active,Chemo,Rizvi NA et al (1),2020
NCT02367794,32302702,active,Chemo,Jotte R et al,2020
NCT02367794,32302702,active,Chemo,Jotte R et al (1),2020
NCT02367794,32302702,active,Chemo,Jotte R et al,2020
NCT02367794,32302702,active,Chemo,Jotte R et al (1),2020
NCT02142738,27718847,active,Chemo,Reck M et al,2019
NCT02142738,27718847,active,Chemo,Reck M et al,2016
NCT02409342,32997907,active,Chemo,Herbst RS et al.,2020
NCT03043872,33285097,active,Chemo,Paz-Ares L et al,2019
NCT03043872,33285097,active,Chemo,Paz-Ares L et al (1),2019
NCT03043872,33285097,active,Chemo,Goldman JW et al,2020
NCT03043872,33285097,active,Chemo,Goldman JW et al (1),2020
NCT03043872,33285097,active,Chemo,Paz-Ares L et al,2019
NCT03043872,33285097,active,Chemo,Paz-Ares L et al (1),2019
NCT03043872,33285097,active,Chemo,Goldman JW et al,2020
NCT03043872,33285097,active,Chemo,Goldman JW et al (1),2020
NCT02008227,33166718,active,Chemo,Rittmeyer A et al,2017
NCT02008227,33166718,active,Chemo,Fehrenbacher L et al,2018
NCT02008227,33166718,active,Chemo,Mazieres J et al,2020
NCT03215706,33476593,active,Chemo,Paz-Ares L et al,2021
NCT02481830,33539946,active,Chemo,Spigel DR et al,2021
NCT02538666,33683919,placebo,Placebo,Owonikoko TK et al,2021
NCT02538666,33683919,placebo,Placebo,Owonikoko TK et al,2021
NCT02538666,33683919,placebo,Placebo,Owonikoko TK et al,2021
NCT02538666,33683919,placebo,Placebo,Owonikoko TK et al,2021
NCT03088540,33581821,active,Chemo,Sezer A et al,2021
