Type,Page,Content
text,5,"Missing
0
2 (0.4)
0
0
0
2 (0.4)
0
0
2 (0.2)"
text,5,"Gleason score at initial diagnosis,d No. (%)"
text,5,", 8
96 (19.3)
87 (17.1)
26 (16.9)
31 (21.2)
16 (3.5)
16 (3.5)
106 (53.3)
102 (52.6)
240 (18.4)"
text,5,"$ 8
381 (76.7)
403 (79.3)
124 (80.5)
113 (77.4)
428 (94.7)
440 (95.7)
77 (38.7)
76 (39.2)
1,021 (78."
text,5,"Missing
20 (4.0)
18 (3.5)
4 (2.6)
2 (1.4)
8 (1.8)
4 (0.9)
16 (8.0)
16 (8.2)
44 (3.4)"
text,5,"Metastasis stage at initial diagnosis, No. (%)"
text,5,"De novo mHSPC
432 (86.9)
445 (87.6)
126 (81.8)
121 (82.9)
416 (92.0)
419 (91.1)
142 (71.4)
147 (75.8"
text,5,"Recurrent mHSPC
58 (11.7)
59 (11.6)
28 (18.2)
23 (15.8)
33 (7.3)
39 (8.5)
53 (26.6)
43 (22.2)
168 (1"
text,5,"Missing
7 (1.4)
4 (0.8)
0
2 (1.4)
3 (0.7)
2 (0.4)
4 (2.0)
4 (2.1)
13 (1.0)"
text,5,"Metastasis stage at screening, No. (%)"
text,5,"M1a, nonregional LN only
0
0
23 (14.9)
15 (10.3)
0
0
23 (11.6)
15 (7.7)
38 (2.9)"
text,5,"M1b, bone metastases 6 LN
386 (77.7)
390 (76.8)e
131 (85.1)
131 (89.7)
345 (76.3)
354 (77.0)e
172 (8"
text,5,"M1c, visceral metastases 6 LN or bone
111 (22.3)
118 (23.2)
0
0
107 (23.7)
106 (23.0)
4 (2.0)
12 (6."
text,5,"Serum PSA level,f ng/mL, median (range)
38.7 (0-9,219.0)
27.9 (0-11,947.0)
11.7 (0-3,771.0)
14.5 (0-"
text,5,"Serum ALP level,f U/L, median (range)
199.0 (46-4,885)
172.0 (41-7,680)
84.5 (40-2,116)
87.5 (36-735"
text,5,"ALP , ULN, No. (%)
168 (33.8)
176 (34.6)
122 (79.2)
115 (78.8)
165 (36.5)
166 (36.1)
125 (62.8)
125 "
text,5,"ALP $ ULN, No. (%)
329 (66.2)
332 (65.4)
32 (20.8)
31 (21.2)
287 (63.5)
294 (63.9)
74 (37.2)
69 (35."
text,5,"Abbreviations: ADT, androgen-deprivation therapy; ALP, alkaline phosphatase; ECOG PS, Eastern Cooper"
text,5,aDisease volume deﬁned by CHAARTED criteria: presence of visceral metastases or $ 4 bone metastases 
text,5,bDisease risk deﬁned by LATITUDE criteria (two of the following three factors): Gleason score of $ 8
text,5,"cECOG PS scores range from 0 to 5, with higher scores indicating greater disability."
text,5,"dGleason scores for the histologic pattern of carcinoma range from 6 to 10, with higher scores indic"
text,5,fThese values were centrally assessed. Samples were obtained while patients were receiving ADT.
text,5,"Journal of Clinical Oncology
5"
text,5,"Darolutamide, ADT, and Docetaxel in mHSPC Volume/Risk Subgroups"
text,5,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,5,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,6,"with high-volume disease, with a risk reduction of 28%
(HR, 0.72; 95.1% CI, 0.55 to 0.95). The risk "
text,6,"The results of this post hoc analysis of the ARASENS trial, in
which all patients received docetaxel"
text,6,Time (months)
text,6,"HR for death, 0.69
(95% CI, 0.57 to 0.82)"
text,6,"Placebo + ADT + docetaxel
Median, 42.4 months (95% CI, 39.7 to 46.0)"
text,6,"Darolutamide + ADT + docetaxel
Median, NE (95% CI, 50.3 months to NE)"
text,6,No. of high-volume patients at risk:
text,6,"Darolutamide
497 494 486 479 462 449 429 408 389 378 356 341 326 312 285 193 103 43
6
0
0"
text,6,"0
1
4
23
153 72
233
269
286
304
319
341
358
378
401
430
444
469
491
502
508
Placebo"
text,6,"0
3
6
9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60"
text,6,Patients Who Survived (%)
text,6,100
text,6,90
text,6,80
text,6,70
text,6,60
text,6,50
text,6,30
text,6,40
text,6,20
text,6,10
text,6,A
text,6,Time (months)
text,6,"HR for death, 0.68
(95% CI, 0.41 to 1.13)"
text,6,"Placebo + ADT + docetaxel
Median, NE (95% CI, NE to NE)"
text,6,"Darolutamide + ADT + docetaxel
Median, NE (95% CI, NE to NE)"
text,6,No. of low-volume patients at risk:
text,6,"154 151 151 148 146 144 141 140 136 131 130 127 126 124 117 74
36
13
3
0"
text,6,"0
2
14
65
35
107
114
116
120
122
129
130
132
134
135
136
138
139
144
146"
text,6,Patients Who Survived (%)
text,6,"0
3
6
9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57"
text,6,100
text,6,90
text,6,80
text,6,70
text,6,60
text,6,50
text,6,30
text,6,40
text,6,20
text,6,10
text,6,Darolutamide
text,6,Placebo
text,6,B
text,6,Time (months)
text,6,"HR for death, 0.71
(95% CI, 0.58 to 0.86)"
text,6,"Placebo + ADT + docetaxel
Median, 43.2 months (95% CI, 40.0 to 48.9)"
text,6,"Darolutamide + ADT + docetaxel
Median, NE (95% CI, NE to NE)"
text,6,No. of high-risk patients at risk:
text,6,"452 450 443 437 419 407 389 369 352 344 322 308 294 282 257 177 99
42
6
0"
text,6,"0
3
24
148 72
215
245
261
277
290
313
330
346
367
392
400
423
443
453
460"
text,6,Patients Who Survived (%)
text,6,"0
3
6
9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57"
text,6,100
text,6,90
text,6,80
text,6,70
text,6,60
text,6,50
text,6,30
text,6,40
text,6,20
text,6,10
text,6,Darolutamide
text,6,Placebo
text,6,C
text,6,Time (months)
text,6,"HR for death, 0.62
(95% CI, 0.42 to 0.90)"
text,6,"Placebo + ADT + docetaxel
Median, NE (95% CI, NE to NE)"
text,6,"Darolutamide + ADT + docetaxel
Median, NE (95% CI, NE to NE)"
text,6,No. of low-risk patients at risk:
text,6,"199 195 194 190 189 186 181 179 173 165 164 160 158 154 145 90
40
14
3
0
0"
text,6,"0
1
3
13
70
35
125
138
141
147
151
157
158
164
168
173
180
184
187
193
194"
text,6,Patients Who Survived (%)
text,6,"0
3
6
9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60"
text,6,100
text,6,90
text,6,80
text,6,70
text,6,60
text,6,50
text,6,30
text,6,40
text,6,20
text,6,10
text,6,Darolutamide
text,6,Placebo
text,6,D
text,6,"FIG 2. OS in subgroups of patients by (A) high-volume disease, (B) low-volume disease, (C) high-risk"
text,6,6 © 2023 by American Society of Clinical Oncology
text,6,Hussain et al
text,6,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,6,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,7,"below one across all volume and risk subgroups, with
greater variability in the low-volume and low-r"
text,7,"The favorable safety proﬁle of darolutamide was conﬁrmed
in the subgroups of patients by disease vol"
text,7,"treatment longer than those receiving placebo in all sub-
groups by disease volume and risk, indicat"
text,7,Time (months)
text,7,"HR for disease progression, 0.41
(95% CI, 0.34 to 0.49)"
text,7,"Placebo + ADT + docetaxel
Median, 16.4 months (95% CI, 13.9 to 19.3)"
text,7,"Darolutamide + ADT + docetaxel
Median, NE (95% CI, 41.5 months to NE)"
text,7,No. of high-volume patients at risk:
text,7,"497 469 428 401 365 337 313 284 266 246 231 220 205 195 147 89
38
13
2
0"
text,7,"0
1
3
26
11
52
70
79
89
95
115
128
149
169
202
247
312
408
474
508"
text,7,"Patients Who Did Not
Progress to Castration-
Resistant Prostate Cancer (%)"
text,7,"0
3
6
9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57"
text,7,100
text,7,90
text,7,80
text,7,70
text,7,60
text,7,50
text,7,30
text,7,40
text,7,20
text,7,10
text,7,Darolutamide
text,7,Placebo
text,7,A
text,7,Time (months)
text,7,"HR for disease progression, 0.21
(95% CI, 0.14 to 0.33)"
text,7,"Placebo + ADT + docetaxel
Median, 25.8 months (95% CI, 22.1 to 35.9)"
text,7,"Darolutamide + ADT + docetaxel
Median, NE (95% CI, NE to NE)"
text,7,No. of low-volume patients at risk:
text,7,"154 147 139 136 131 128 120 117 114 112 109 105 103 97
64
43
16
5
3
0"
text,7,"0
0
1
12
3
27
35
41
45
48
50
57
66
73
87
101
113
125
139
146"
text,7,"Patients Who Did Not
Progress to Castration-
Resistant Prostate Cancer (%)"
text,7,"0
3
6
9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57"
text,7,100
text,7,90
text,7,80
text,7,70
text,7,60
text,7,50
text,7,30
text,7,40
text,7,20
text,7,10
text,7,Darolutamide
text,7,Placebo
text,7,B
text,7,"Patients Who Did Not
Progress to Castration-
Resistant Prostate Cancer (%)"
text,7,Time (months)
text,7,"HR for disease progression, 0.38
(95% CI, 0.32 to 0.46)"
text,7,"Placebo + ADT + docetaxel
Median, 16.1 months (95% CI, 13.8 to 17.0)"
text,7,"Darolutamide + ADT + docetaxel
Median, NE (95% CI, 43.9 months to NE)"
text,7,No. of high-risk patients at risk:
text,7,"452 427 391 363 331 306 284 261 246 229 215 205 192 182 137 85
39
12
3
0"
text,7,"0
0
2
22
9
46
59
67
77
83
98
111
130
147
179
223
283
367
429
460"
text,7,"0
3
6
9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57"
text,7,100
text,7,90
text,7,80
text,7,70
text,7,60
text,7,50
text,7,30
text,7,40
text,7,20
text,7,10
text,7,Darolutamide
text,7,Placebo
text,7,C
text,7,"Patients Who Did Not
Progress to Castration-
Resistant Prostate Cancer (%)"
text,7,Time (months)
text,7,"HR for disease progression, 0.32
(95% CI, 0.23 to 0.45)"
text,7,"Placebo + ADT + docetaxel
Median, 25.1 months (95% CI, 21.8 to 30.3)"
text,7,"Darolutamide + ADT + docetaxel
Median, NE (95% CI, NE to NE)"
text,7,No. of low-risk patients at risk:
text,7,"199 189 176 174 165 159 149 140 134 129 125 120 116 110 74
47
15
6
2
0"
text,7,"0
1
2
16
5
33
46
53
57
60
67
74
85
95
110
125
142
166
184
194"
text,7,"0
3
6
9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57"
text,7,100
text,7,90
text,7,80
text,7,70
text,7,60
text,7,50
text,7,30
text,7,40
text,7,20
text,7,10
text,7,Darolutamide
text,7,Placebo
text,7,D
text,7,FIG 3. Time to castration-resistant prostate cancer in subgroups of patients by (A) high-volume dise
text,7,"Journal of Clinical Oncology
7"
text,7,"Darolutamide, ADT, and Docetaxel in mHSPC Volume/Risk Subgroups"
text,7,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,7,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,8,TABLE 2. Secondary Efﬁcacy End Points for the Subgroups of Patients by Disease Volume and Disease Ri
text,8,"End Point, Median Months"
text,8,"High Volumea
Low Volumea
High Riskb
Low Riskb
All Patients9 (N 5 1,305)"
text,8,"Darolutamide
(n 5 497)
Placebo
(n 5 508)
Darolutamide
(n 5 154)
Placebo
(n 5 146)
Darolutamide
(n 5 "
text,8,"Time to CRPC
NR
16.4
NR
25.8
NR
16.1
NR
25.1
NR
19.1"
text,8,"No. (%)c
198 (40)
315 (62)
27 (18)
76 (52)
175 (39)
289 (63)
50 (25)
102 (53)
225 (35)
391 (60)"
text,8,"HR (95% CI)
0.41 (0.34 to 0.49)
0.21 (0.14 to 0.33)
0.38 (0.32 to 0.46)
0.32 (0.23 to 0.45)
0.36 (0."
text,8,"Time to pain progression
NR
24.4
46.1
39.5
35.4
25.0
NR
28.8
NR
27.5"
text,8,"No. (%)c
161 (32)
192 (38)
61 (40)
56 (38)
155 (34)
173 (38)
67 (34)
75 (39)
222 (34)
248 (38)"
text,8,"HR (95% CI)
0.75 (0.61 to 0.93)
0.94 (0.66 to 1.36)
0.81 (0.65 to 1.01)
0.76 (0.55 to 1.06)
0.79 (0."
text,8,"SSE-free survival
46.1
35.7
NR
NR
47.1
35.8
NR
46.7
51.2
39.7"
text,8,"No. (%)c
225 (45)
287 (57)
32 (21)
42 (29)
205 (45)
257 (56)
52 (26)
72 (37)
257 (40)
329 (50)"
text,8,"HR (95% CI)
0.63 (0.53 to 0.75)
0.61 (0.38 to 0.96)
0.65 (0.54 to 0.78)
0.55 (0.39 to 0.79)
0.61 (0."
text,8,"Time to ﬁrst SSE
NR
NR
NR
NR
NR
NR
NR
NR
NR
NR"
text,8,"No. (%)c
82 (17)
96 (19)
13 (8)
12 (8)
78 (17)
79 (17)
17 (9)
29 (15)
95 (15)
108 (17)"
text,8,"HR (95% CI)
0.71 (0.53 to 0.96)
0.89 (0.40 to 1.95)
0.84 (0.61 to 1.15)
0.46 (0.25 to 0.84)
0.71 (0."
text,8,"Time to subsequent
antineoplastic therapy
NR
22.7
NR
42.5
NR
21.3
NR
39.0
NR
25.3"
text,8,"No. (%)c
187 (38)
324 (64)
32 (21)
71 (49)
173 (38)
299 (65)
46 (23)
96 (49)
219 (34)
395 (60)"
text,8,"HR (95% CI)
0.40 (0.34 to 0.49)
0.34 (0.22 to 0.52)
0.40 (0.33 to 0.48)
0.36 (0.26 to 0.52)
0.39 (0."
text,8,"Time to worsening disease-
related symptoms
22.0
22.1
11.1
11.2
19.3
16.7
19.4
24.6
19.3
19.4"
text,8,"No. (%)c
259 (52)
229 (45)
92 (60)
79 (54)
241 (53)
217 (47)
110 (55)
91 (47)
351 (54)
308 (47)"
text,8,"HR (95% CI)
1.05 (0.88 to 1.25)
1.04 (0.77 to 1.40)
1.01 (0.84 to 1.22)
1.13 (0.86 to 1.50)
1.04 (0."
text,8,"Time to opioid use $ 7
days
NR
NR
NR
NR
NR
NR
NR
NR
NR
NR"
text,8,"No. (%)c
74 (15)
106 (21)
18 (12)
11 (8)
68 (15)
94 (20)
24 (12)
23 (12)
92 (14)
117 (18)"
text,8,"HR (95% CI)
0.63 (0.47 to 0.85)
1.46 (0.69 to 3.10)
0.66 (0.48 to 0.90)
0.94 (0.53 to 1.66)
0.69 (0."
text,8,"Abbreviations: CRPC, castration-resistant prostate cancer; mo, months; HR, hazard ratio; NR, not rea"
text,8,aDisease volume deﬁned by CHAARTED criteria: presence of visceral metastases or $ 4 bone metastases 
text,8,bDisease risk deﬁned by LATITUDE criteria (two of the following three factors): Gleason score of $ 8
text,8,cNo. of patients with an event.
text,8,8 © 2023 by American Society of Clinical Oncology
text,8,Hussain et al
text,8,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,8,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,9,TABLE 3. Treatment-Emergent AEs in the Subgroups of Patients by Disease Volume and Disease Risk in A
text,9,AE
text,9,"High Volumea
Low Volumea
High Riskb
Low Riskb
All Patients9 (N 5 1302c)"
text,9,"Darolutamide
(n 5 498)
Placebo
(n 5 506)
Darolutamide
(n 5 154)
Placebo
(n 5 144)
Darolutamide
(n 5 "
text,9,"Any AE
496 (99.6)
500 (98.8)
153 (99.4)
143 (99.3)
450 (99.3)
451 (98.7)
199 (100)
192 (99.5)
649 (9"
text,9,Worst grade
text,9,"Grade 1
21 (4.2)
23 (4.5)
7 (4.5)
12 (8.3)
19 (4.2)
20 (4.4)
9 (4.5)
15 (7.8)
28 (4.3)
35 (5.4)"
text,9,"Grade 2
130 (26.1)
132 (26.1)
32 (20.8)
37 (25.7)
107 (23.6)
118 (25.8)
55 (27.6)
51 (26.4)
162 (24."
text,9,"Grade 3
188 (37.8)
189 (37.4)
60 (39.0)
43 (29.9)
169 (37.3)
167 (36.5)
79 (39.7)
65 (33.7)
248 (38."
text,9,"Grade 4
135 (27.1)
136 (26.9)
48 (31.2)
45 (31.3)
137 (30.2)
127 (27.8)
46 (23.1)
54 (28.0)
183 (28."
text,9,"Grade 5 (death)d
21 (4.2)
20 (4.0)
6 (3.9)
6 (4.2)
17 (3.8)
19 (4.2)
10 (5.0)
7 (3.6)
27 (4.1)
26 (4"
text,9,"Serious AE
226 (45.4)
220 (43.5)
66 (42.9)
55 (38.2)
205 (45.3)
196 (42.9)
87 (43.7)
79 (40.9)
292 ("
text,9,"AE leading to
permanent
discontinuation
of trial agent"
text,9,"Darolutamide or
placebo
66 (13.3)
54 (10.7)
22 (14.3)
15 (10.4)
58 (12.8)
45 (9.8)
30 (15.1)
24 (12."
text,9,"Docetaxel
39 (7.8)
54 (10.7)
13 (8.4)
13 (9.0)
38 (8.4)
45 (9.8)
14 (7.0)
22 (11.4)
52 (8.0)
67 (10."
text,9,"Most common AEs
($ 25%), No.
(%)/EAIR"
text,9,"Alopecia
192 (38.6)/15.3
202 (39.9)/23.1
72 (46.8)/15.2
62 (43.1)/18.9
191 (42.2)/16.6
183 (40.0)/23"
text,9,"Neutropeniae
197 (39.6)
199 (39.3)
59 (38.3)
53 (36.8)
192 (42.4)
182 (39.8)
64 (32.2)
70 (36.3)
256"
text,9,"Fatigue
166 (33.3)/13.2
165 (32.6)/18.9
50 (32.5)/10.6
49 (34.0)/15.0
141 (31.1)/12.3
130 (28.4)/16."
text,9,"Anemia
140 (28.1)/11.1
132 (26.1)/15.1
41 (26.6)/8.7
31 (21.5)/9.5
134 (29.6)/11.7
105 (23.0)/13.4
4"
text,9,"Peripheral edema
136 (27.3)/10.8
138 (27.3)/15.8
37 (24.0)/7.8
31 (21.5)/9.5
119 (26.3)/10.4
123 (26"
text,9,"Arthralgia
134 (26.9)/10.7
134 (26.5)/15.3
44 (28.6)/9.3
40 (27.8)/12.2
125 (27.6)/10.9
118 (25.8)/1"
text,9,"Diarrhea
120 (24.1)/9.5
114 (22.5)/13.0
47 (30.5)/9.9
42 (29.2)/12.8
111 (24.5)/9.7
98 (21.4)/12.5
5"
text,9,"Abbreviatios: AE, adverse event; EAIR, exposure-adjusted incidence rate."
text,9,aDisease volume deﬁned by CHAARTED criteria: presence of visceral metastases or $ 4 bone metastases 
text,9,bDisease risk deﬁned by LATITUDE criteria (two of the following three factors): Gleason score of $ 8
text,9,cThree patients who underwent random assignment never received the assigned trial treatment; all thr
text,9,dSpeciﬁc grade 5 events are provided in the supplementary appendix of Smith et al.9
text,9,"eNeutropenia includes preferred terms of leukopenia, neutropenia, decreased neutrophil count, and de"
text,9,"Journal of Clinical Oncology
9"
text,9,"Darolutamide, ADT, and Docetaxel in mHSPC Volume/Risk Subgroups"
text,9,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,9,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,10,TABLE 4. AEs of Special Interest for the Subgroups of Patients by Disease Volume and Disease Risk in
text,10,AEs of Special Interest
text,10,"High Volumea
Low Volumea
High Riskb
Low Riskb
All Patientsc"
text,10,"Darolutamide
(n 5 498)
Placebo
(n 5 506)
Darolutamide
(n 5 154)
Placebo
(n 5 144)
Darolutamide
(n 5 "
text,10,"Fatigue
166 (33.3)
165 (32.6)
50 (32.5)
49 (34.0)
141 (31.1)
130 (28.4)
75 (37.7)
84 (43.5)
216 (33."
text,10,"Vasodilation/ﬂushing
96 (19.3)
108 (21.3)
37 (24.0)
33 (22.9)
83 (18.3)
96 (21.0)
50 (25.1)
45 (23.3"
text,10,"Rashd
78 (15.7)
71 (14.0)
30 (19.5)
17 (11.8)
72 (15.9)
67 (14.7)
36 (18.1)
21 (10.9)
108 (16.6)
88 "
text,10,"Diabetes mellitus and hyperglycemia
69 (13.9)
70 (13.8)
30 (19.5)
23 (16.0)
60 (13.2)
63 (13.8)
39 ("
text,10,"Hypertensione
63 (12.7)
38 (7.5)
26 (16.9)
21 (14.6)
54 (11.9)
33 (7.2)
35 (17.6)
26 (13.5)
89 (13.7"
text,10,"Cardiac disorder
56 (11.2)
60 (11.9)
15 (9.7)
16 (11.1)
44 (9.7)
47 (10.3)
27 (13.6)
29 (15.0)
71 (1"
text,10,"Cardiac arrhythmiae
40 (8.0)
43 (8.5)
12 (7.8)
12 (8.3)
31 (6.8)
34 (7.4)
21 (10.6)
21 (10.9)
52 (8."
text,10,"Coronary artery disorderse
16 (3.2)
10 (2.0)
3 (1.9)
3 (2.1)
14 (3.1)
7 (1.5)
5 (2.5)
6 (3.1)
19 (2."
text,10,"Heart failuree
3 (0.6)
11 (2.2)
1 (0.6)
2 (1.4)
2 (0.4)
9 (2.0)
2 (1.0)
4 (2.1)
4 (0.6)
13 (2.0)"
text,10,"Bone fracturef
39 (7.8)
25 (4.9)
10 (6.5)
8 (5.6)
36 (7.9)
23 (5.0)
13 (6.5)
10 (5.2)
49 (7.5)
33 (5"
text,10,"Falls, including accident
34 (6.8)
24 (4.7)
9 (5.8)
6 (4.2)
33 (7.3)
18 (3.9)
10 (5.0)
12 (6.2)
43 ("
text,10,"Mental impairment disorderse
17 (3.4)
11 (2.2)
6 (3.9)
4 (2.8)
18 (4.0)
10 (2.2)
5 (2.5)
5 (2.6)
23 "
text,10,"Weight decreased
19 (3.8)
31 (6.1)
3 (1.9)
4 (2.8)
18 (4.0)
24 (5.3)
4 (2.0)
11 (5.7)
22 (3.4)
35 (5"
