NCT,PMID_x,control_arm_type,Authors,Year,PMID_y
NCT02477826,31562796,active,Hellmann MD et al (2),2019,31562796
NCT02477826,31562796,active,Hellmann MD et al,2018,29658845
NCT02477826,31562796,active,Hellmann MD et al (1),2018,29658845
NCT02477826,31562796,active,Hellmann MD et al,2019,31562796
NCT02477826,31562796,active,Hellmann MD et al (1),2019,31562796
NCT02477826,31562796,active,Hellmann MD et al (2),2019,31562796
NCT02477826,31562796,active,Hellmann MD et al,2018,29658845
NCT02477826,31562796,active,Hellmann MD et al (1),2018,29658845
NCT02477826,31562796,active,Hellmann MD et al,2019,31562796
NCT02477826,31562796,active,Hellmann MD et al (1),2019,31562796
NCT02477826,31562796,active,Hellmann MD et al (2),2019,31562796
NCT02220894,30955977,active,Mok TSK et al,2019,30955977
NCT02142738,30620668,active,Reck M et al,2019,30620668
NCT02142738,30620668,active,Reck M et al,2016,27718847
NCT02367781,31122901,active,West H et al,2019,31122901
NCT02613507,30659987,active,Wu YL et al,2019,30659987
NCT02454933,30763730,active,Yang JCH et al,2019,30763730
NCT03043872,31590988,active,Paz-Ares L et al,2019,31590988
NCT03043872,31590988,active,Paz-Ares L et al (1),2019,31590988
NCT03043872,31590988,active,Goldman JW et al,2020,33285097
NCT03043872,31590988,active,Goldman JW et al (1),2020,33285097
NCT03043872,31590988,active,Paz-Ares L et al,2019,31590988
NCT03043872,31590988,active,Paz-Ares L et al (1),2019,31590988
NCT03043872,31590988,active,Goldman JW et al,2020,33285097
NCT03043872,31590988,active,Goldman JW et al (1),2020,33285097
NCT02763579,31959349,active,Horn L et al,2018,30280641
NCT02763579,31959349,active,Mansfield AS et al,2020,31959349
NCT02352948,32201234,active,Planchard D et al,2020,32201234
NCT02352948,32201234,active,Planchard D et al (1),2020,32201234
NCT02352948,32201234,active,Planchard D et al (2),2020,32201234
NCT02352948,32201234,active,Planchard D et al,2020,32201234
NCT02352948,32201234,active,Planchard D et al (1),2020,32201234
NCT02352948,32201234,active,Planchard D et al (2),2020,32201234
NCT02352948,32201234,active,Planchard D et al,2020,32201234
NCT02352948,32201234,active,Planchard D et al (1),2020,32201234
NCT02352948,32201234,active,Planchard D et al (2),2020,32201234
NCT03066778,32468956,active,Rudin CM et al,2020,32468956
NCT02453282,32271377,active,Rizvi NA et al,2020,32271377
NCT02453282,32271377,active,Rizvi NA et al (1),2020,32271377
NCT02453282,32271377,active,Rizvi NA et al,2020,32271377
NCT02453282,32271377,active,Rizvi NA et al (1),2020,32271377
NCT02367794,32302702,active,Jotte R et al,2020,32302702
NCT02367794,32302702,active,Jotte R et al (1),2020,32302702
NCT02367794,32302702,active,Jotte R et al,2020,32302702
NCT02367794,32302702,active,Jotte R et al (1),2020,32302702
NCT02142738,27718847,active,Reck M et al,2019,30620668
NCT02142738,27718847,active,Reck M et al,2016,27718847
NCT02409342,32997907,active,Herbst RS et al.,2020,32997907
NCT03043872,33285097,active,Paz-Ares L et al,2019,31590988
NCT03043872,33285097,active,Paz-Ares L et al (1),2019,31590988
NCT03043872,33285097,active,Goldman JW et al,2020,33285097
NCT03043872,33285097,active,Goldman JW et al (1),2020,33285097
NCT03043872,33285097,active,Paz-Ares L et al,2019,31590988
NCT03043872,33285097,active,Paz-Ares L et al (1),2019,31590988
NCT03043872,33285097,active,Goldman JW et al,2020,33285097
NCT03043872,33285097,active,Goldman JW et al (1),2020,33285097
NCT02008227,33166718,active,Rittmeyer A et al,2017,27979383
NCT02008227,33166718,active,Fehrenbacher L et al,2018,29777823
NCT02008227,33166718,active,Mazieres J et al,2020,33166718
NCT03215706,33476593,active,Paz-Ares L et al,2021,33476593
NCT02481830,33539946,active,Spigel DR et al,2021,33539946
NCT02538666,33683919,placebo,Owonikoko TK et al,2021,33683919
NCT02538666,33683919,placebo,Owonikoko TK et al,2021,33683919
NCT02538666,33683919,placebo,Owonikoko TK et al,2021,33683919
NCT02538666,33683919,placebo,Owonikoko TK et al,2021,33683919
NCT03088540,33581821,active,Sezer A et al,2021,33581821
