nct,author,year,pubmed_id,cancer_type,ici_name,trial_phase,primary_endpoint,primary_endpoint_is_multiple_or_composite
NCT02477826,Hellmann MD et al (1),2018,29658845,Non-Small Cell Lung,Nivolumab,Phase 3,OS+PFS,Co-primary
NCT02477826,Hellmann MD et al (1),2019,31562796,Non-Small Cell Lung,Nivolumab,Phase 3,OS,
NCT02477826,Hellmann MD et al (2),2019,31562796,Non-Small Cell Lung,Nivolumab,Phase 3,OS,
NCT02220894,Mok TSK et al,2019,30955977,Non-Small Cell Lung,Pembrolizumab,Phase 3,OS,
NCT02142738,Reck M et al,2019,30620668,Non-Small Cell Lung,Pembrolizumab,Phase 3,PFS,
NCT02613507,Wu YL et al,2019,30659987,Non-Small Cell Lung,Nivolumab,Phase 3,OS,
NCT02362594,Eggermont AMM et al,2018,29658430,Melanoma,Pembrolizumab,Phase 3,PFS,
NCT01704287,Ribas A et al,2015,26115796,Melanoma,Pembrolizumab,Phase 2,OS+PFS,Co-primary
NCT01704287,Ribas A et al (1),2015,26115796,Melanoma,Pembrolizumab,Phase 2,OS+PFS,Co-primary
NCT01704287,Hamid O et al,2017,28961465,Melanoma,Pembrolizumab,Phase 2,OS+PFS,Co-primary
NCT01704287,Hamid O et al (1),2017,28961465,Melanoma,Pembrolizumab,Phase 2,OS+PFS,Co-primary
NCT01721746,Weber JS et al,2015,25795410,Melanoma,Nivolumab,Phase 3,OS+ORR,Co-primary
NCT01721746,Larkin J et al,2018,28671856,Melanoma,Nivolumab,Phase 3,OS+ORR,Co-primary
NCT02130466,Ascierto PA et al,2019,31171878,Melanoma,Pembrolizumab,Phase 2,PFS,
NCT01721772,Robert C et al,2015,25399552,Melanoma,Nivolumab,Phase 3,OS,
NCT01721772,Ascierto PA et al,2019,30422243,Melanoma,Nivolumab,Phase 3,OS,
NCT02576977,Mateos MV et al,2019,31327687,Multiple Myeloma,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02579863,Usmani SZ et al,2019,31327689,Multiple Myeloma,Pembrolizumab,Phase 3,PFS,
NCT02267343,Chen LT et al,2019,31863227,Gastric/GEJ,Nivolumab,Phase 3,OS,
NCT02702401,Finn RS et al,2019,31790344,Hepatocellular,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02569242,Kato K et al,2019,31582355,Esophageal/GEJ,Nivolumab,Phase 3,OS,
NCT01042379,Nanda R et al,2019,32053137,Breast,Pembrolizumab,Phase 2,Path CR,
NCT02358031,Burtness B et al,2019,31679945,Head and Neck,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02358031,Burtness B et al (1),2019,31679945,Head and Neck,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02362048,Overman M et al,2020,32114502,Pancreatic,Pembrolizumab,Phase 2,Safety,
NCT03036488,Schmid P et al,2020,32101663,Breast,Pembrolizumab,Phase 3,Path CR+EFS,Co-primary
NCT02523313,Zimmer L et al,2020,32416781,Melanoma,Nivolumab,Phase 2,RFS,
NCT03066778,Rudin CM et al,2020,32468956,Small Cell Lung,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02017717,Reardon DA et al,2020,32437507,Head and Neck,Nivolumab,Phase 3,OS,
NCT02500121,Galsky MD et al,2020,32271672,Urothelial,Pembrolizumab,Phase 2,PFS,
NCT02574598,Arrieta O et al,2020,32271354,Non-Small Cell Lung,Pembrolizumab,Phase 2,ORR,
NCT01668784,Motzer RJ et al,2020,32673417,Renal cell,Nivolumab,Phase 3,OS,
NCT02142738,Reck M et al,2016,27718847,Non-Small Cell Lung,Pembrolizumab,Phase 3,PFS,
NCT03051659,Tolaney SM et al,2020,32880602,Breast,Pembrolizumab,Phase 2,PFS,
NCT02494583,Shitara K et al,2020,32880601,Gastric/GEJ,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02494583,Shitara K et al (1),2020,32880601,Gastric/GEJ,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02819518,Cortes J et al,2020,33278935,Breast,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02853331,Powles T et al. ,2020,33284113,Renal cell,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02564263,Kojima T et al.,2020,33026938,Esophageal/GEJ,Pembrolizumab,Phase 3,OS,
NCT01721772,Robert C et al,2020,32997575,Melanoma,Nivolumab,Phase 3,OS,
NCT02130466,Ferrucci PF et al,2020,33361337,Melanoma,Pembrolizumab,Phase 2,PFS,
NCT02991482,Popat S et al. ,2020,32976938,Mesothelioma,Pembrolizumab,Phase 3,PFS,
NCT02563002,Andre T et al.,2020,33264544,Colorectal,Pembrolizumab,Phase 3,PFS+OS,Multiple
NCT02362594,Eggermont AMM et al,2020,32946353,Melanoma,Pembrolizumab,Phase 3,RFS,Co-primary
NCT02811861,Motzer R et al,2021,33616314,Renal cell,Pembrolizumab,Phase 3,PFS,
NCT02481830,Spigel DR et al,2021,33539946,Small Cell Lung,Nivolumab,Phase 3,OS,
NCT03141177,Choueiri TK et al,2021,33657295,Renal cell,Nivolumab,Phase 3,PFS,
NCT02538666,Owonikoko TK et al,2021,33683919,Small Cell Lung,Nivolumab,Phase 3,,
NCT02684292,Kuruvilla J et al,2021,33721562,Hodgkin Lymphoma,Brentuximab-vedotin,Phase 3,PFS+OS,"Dual, unspecified"
NCT02555657,Winer PE et al,2021,33676601,Breast,Chemotherapy,Phase 3,OS,
NCT03088540,Sezer A et al,2021,33581821,Non-Small Cell Lung,Cemiplimab,Phase 3,OS+PFS,Multiple
NCT02852083,Heudobler D et al,2021,33796020,Non-Small Cell Lung,Nivolumab,Phase 2,PFS,
NCT02743494,Kelly RJ,2021,33789008,,Nivolumab,Phase 3,DFS,
