NCT,PMID,Author,Year,ici_class,Name of ICI,Authors
NCT02366143,29863955,Socinski MA et al,2018,PD-L1,Atezolizumab,Socinski MA et al (1)
NCT02366143,29863955,Socinski MA et al (1),2018,PD-L1,Atezolizumab,Socinski MA et al
NCT02366143,29863955,Socinski MA et al (1),2018,PD-L1,Atezolizumab,Socinski MA et al (1)
NCT02477826,29658845,Hellmann MD et al,2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,29658845,Hellmann MD et al,2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,29658845,Hellmann MD et al,2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,29658845,Hellmann MD et al,2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,29658845,Hellmann MD et al,2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02477826,29658845,Hellmann MD et al (1),2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,29658845,Hellmann MD et al (1),2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,29658845,Hellmann MD et al (1),2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,29658845,Hellmann MD et al (1),2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,29658845,Hellmann MD et al (1),2018,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02477826,31562796,Hellmann MD et al,2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,31562796,Hellmann MD et al,2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,31562796,Hellmann MD et al,2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,31562796,Hellmann MD et al,2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,31562796,Hellmann MD et al,2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02477826,31562796,Hellmann MD et al (1),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,31562796,Hellmann MD et al (1),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,31562796,Hellmann MD et al (1),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,31562796,Hellmann MD et al (1),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,31562796,Hellmann MD et al (1),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02477826,31562796,Hellmann MD et al (2),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,31562796,Hellmann MD et al (2),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,31562796,Hellmann MD et al (2),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,31562796,Hellmann MD et al (2),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,31562796,Hellmann MD et al (2),2019,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02220894,30955977,Mok TSK et al,2019,PD-1,Pembrolizumab,Mok TSK et al
NCT03059667,30664989,Pujol JL et al,2019,PD-L1,Atezolizumab,Pujol JL et al
NCT02142738,30620668,Reck M et al,2019,PD-1,Pembrolizumab,Reck M et al
NCT02142738,30620668,Reck M et al,2019,PD-1,Pembrolizumab,Reck M et al
NCT02367781,31122901,West H et al,2019,PD-L1,Atezolizumab,West H et al
NCT02613507,30659987,Wu YL et al,2019,PD-1,Nivolumab,Wu YL et al
NCT02454933,30763730,Yang JCH et al,2019,PD-L1,Durvalumab,Yang JCH et al
NCT03043872,31590988,Paz-Ares L et al,2019,PD-L1,Durvalumab,Paz-Ares L et al
NCT03043872,31590988,Paz-Ares L et al,2019,PD-L1,Durvalumab,Paz-Ares L et al (1)
NCT03043872,31590988,Paz-Ares L et al,2019,PD-L1,Durvalumab,Goldman JW et al
NCT03043872,31590988,Paz-Ares L et al,2019,PD-L1,Durvalumab,Goldman JW et al (1)
NCT03043872,31590988,Paz-Ares L et al (1),2019,PD-L1,Durvalumab,Paz-Ares L et al
NCT03043872,31590988,Paz-Ares L et al (1),2019,PD-L1,Durvalumab,Paz-Ares L et al (1)
NCT03043872,31590988,Paz-Ares L et al (1),2019,PD-L1,Durvalumab,Goldman JW et al
NCT03043872,31590988,Paz-Ares L et al (1),2019,PD-L1,Durvalumab,Goldman JW et al (1)
NCT02763579,31959349,Mansfield AS et al,2020,PD-L1,Atezolizumab,Horn L et al
NCT02763579,31959349,Mansfield AS et al,2020,PD-L1,Atezolizumab,Mansfield AS et al
NCT02352948,32201234,Planchard D et al,2020,PD-L1,Durvalumab,Planchard D et al
NCT02352948,32201234,Planchard D et al,2020,PD-L1,Durvalumab,Planchard D et al (1)
NCT02352948,32201234,Planchard D et al,2020,PD-L1,Durvalumab,Planchard D et al (2)
NCT02352948,32201234,Planchard D et al (1),2020,OTHER/UNKNOWN,Durvalumab,Planchard D et al
NCT02352948,32201234,Planchard D et al (1),2020,OTHER/UNKNOWN,Durvalumab,Planchard D et al (1)
NCT02352948,32201234,Planchard D et al (1),2020,OTHER/UNKNOWN,Durvalumab,Planchard D et al (2)
NCT02352948,32201234,Planchard D et al (2),2020,PD-L1,Durvalumab,Planchard D et al
NCT02352948,32201234,Planchard D et al (2),2020,PD-L1,Durvalumab,Planchard D et al (1)
NCT02352948,32201234,Planchard D et al (2),2020,PD-L1,Durvalumab,Planchard D et al (2)
NCT03066778,32468956,Rudin CM et al,2020,PD-1,Pembrolizumab,Rudin CM et al
NCT02453282,32271377,Rizvi NA et al,2020,PD-L1,Durvalumab,Rizvi NA et al
NCT02453282,32271377,Rizvi NA et al,2020,PD-L1,Durvalumab,Rizvi NA et al (1)
NCT02453282,32271377,Rizvi NA et al (1),2020,PD-L1,Durvalumab,Rizvi NA et al
NCT02453282,32271377,Rizvi NA et al (1),2020,PD-L1,Durvalumab,Rizvi NA et al (1)
NCT02367794,32302702,Jotte R et al,2020,PD-L1,Atezolizumab,Jotte R et al
NCT02367794,32302702,Jotte R et al,2020,PD-L1,Atezolizumab,Jotte R et al (1)
NCT02367794,32302702,Jotte R et al (1),2020,PD-L1,Atezolizumab,Jotte R et al
NCT02367794,32302702,Jotte R et al (1),2020,PD-L1,Atezolizumab,Jotte R et al (1)
NCT02574598,32271354,Arrieta O et al,2020,PD-1,Pembrolizumab,Arrieta O et al
NCT02142738,27718847,Reck M et al,2016,PD-1,Pembrolizumab,Reck M et al
NCT02142738,27718847,Reck M et al,2016,PD-1,Pembrolizumab,Reck M et al
NCT02409342,32997907,Herbst RS et al.,2020,PD-L1,Atezolizumab,Herbst RS et al.
NCT03043872,33285097,Goldman JW et al,2020,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al
NCT03043872,33285097,Goldman JW et al,2020,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al (1)
NCT03043872,33285097,Goldman JW et al,2020,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al
NCT03043872,33285097,Goldman JW et al,2020,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al (1)
NCT03043872,33285097,Goldman JW et al (1),2020,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al
NCT03043872,33285097,Goldman JW et al (1),2020,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al (1)
NCT03043872,33285097,Goldman JW et al (1),2020,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al
NCT03043872,33285097,Goldman JW et al (1),2020,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al (1)
NCT01903993,33166718,Mazieres J et al,2020,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT01903993,33166718,Mazieres J et al,2020,PD-L1,Atezolizumab,Mazieres J et al
NCT02008227,33166718,Mazieres J et al,2020,PD-L1,Atezolizumab,Rittmeyer A et al
NCT02008227,33166718,Mazieres J et al,2020,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT02008227,33166718,Mazieres J et al,2020,PD-L1,Atezolizumab,Mazieres J et al
NCT03215706,33476593,Paz-Ares L et al,2021,PD-1,"Nivolumab, Ipilimumab",Paz-Ares L et al
NCT02481830,33539946,Spigel DR et al,2021,PD-1,Nivolumab,Spigel DR et al
NCT02538666,33683919,Owonikoko TK et al,2021,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al
NCT02538666,33683919,Owonikoko TK et al,2021,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al
NCT02538666,33683919,Owonikoko TK et al,2021,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al
NCT02538666,33683919,Owonikoko TK et al,2021,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al
NCT03088540,33581821,Sezer A et al,2021,PD-1,Cemiplimab,Sezer A et al
NCT02852083,33796020,Heudobler D et al,2021,PD-1,Nivolumab,Heudobler D et al
