NCT,PMID,sample_size_bucket,Total sample size,Authors,Year
NCT02477826,29658845,large,1739.0,Hellmann MD et al (1),2018
NCT02477826,29658845,large,1739.0,Hellmann MD et al,2019
NCT02477826,29658845,large,1739.0,Hellmann MD et al (1),2019
NCT02477826,29658845,large,1739.0,Hellmann MD et al (2),2019
NCT02477826,29658845,large,1739.0,Hellmann MD et al,2018
NCT02477826,29658845,large,1739.0,Hellmann MD et al (1),2018
NCT02477826,29658845,large,1739.0,Hellmann MD et al,2019
NCT02477826,29658845,large,1739.0,Hellmann MD et al (1),2019
NCT02477826,29658845,large,1739.0,Hellmann MD et al (2),2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al,2018
NCT02477826,31562796,large,1739.0,Hellmann MD et al (1),2018
NCT02477826,31562796,large,1739.0,Hellmann MD et al,2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al (1),2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al (2),2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al,2018
NCT02477826,31562796,large,1739.0,Hellmann MD et al (1),2018
NCT02477826,31562796,large,1739.0,Hellmann MD et al,2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al (1),2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al (2),2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al,2018
NCT02477826,31562796,large,1739.0,Hellmann MD et al (1),2018
NCT02477826,31562796,large,1739.0,Hellmann MD et al,2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al (1),2019
NCT02477826,31562796,large,1739.0,Hellmann MD et al (2),2019
NCT02613507,30659987,large,504.0,Wu YL et al,2019
NCT00324155,21639810,large,502.0,Robert C et al,2011
NCT00094653,20525992,large,676.0,Hodi FS et al,2010
NCT00094653,20525992,large,676.0,Hodi FS et al (1),2010
NCT00094653,20525992,large,676.0,McDermott D et al,2013
NCT00094653,20525992,large,676.0,McDermott D et al (1),2013
NCT00094653,20525992,large,676.0,Hodi FS et al,2010
NCT00094653,20525992,large,676.0,Hodi FS et al (1),2010
NCT00094653,20525992,large,676.0,McDermott D et al,2013
NCT00094653,20525992,large,676.0,McDermott D et al (1),2013
NCT00636168,27717298,large,951.0,Eggermont AMM et al,2016
NCT00636168,27717298,large,951.0,Eggermont AMM et al,2015
NCT01721746,25795410,large,405.0,Weber JS et al,2015
NCT01721746,25795410,large,405.0,Larkin J et al,2018
NCT01721746,28671856,large,405.0,Weber JS et al,2015
NCT01721746,28671856,large,405.0,Larkin J et al,2018
NCT01721772,25399552,large,418.0,Robert C et al,2015
NCT01721772,25399552,large,418.0,Ascierto PA et al,2019
NCT01721772,25399552,large,418.0,Robert C et al,2020
NCT01721772,30422243,large,418.0,Robert C et al,2015
NCT01721772,30422243,large,418.0,Ascierto PA et al,2019
NCT01721772,30422243,large,418.0,Robert C et al,2020
NCT00861614,24831977,large,799.0,Kwon ED et al,2014
NCT00861614,24831977,large,799.0,Fizazi K et al.,2020
NCT01057810,28034081,large,602.0,Beer TM et al,2017
NCT02267343,31863227,large,493.0,Kang YK et al,2017
NCT02267343,31863227,large,493.0,Chen LT et al,2019
NCT02569242,31582355,large,419.0,Kato K et al,2019
NCT01274338,31880964,large,1670.0,Tarhini AA et al,2020
NCT01274338,31880964,large,1670.0,Tarhini AA et al (1),2020
NCT01274338,31880964,large,1670.0,Tarhini AA et al,2020
NCT01274338,31880964,large,1670.0,Tarhini AA et al (1),2020
NCT02523313,32416781,medium,167.0,Zimmer L et al,2020
NCT02523313,32416781,medium,167.0,Zimmer L et al (1),2020
NCT02523313,32416781,medium,167.0,Zimmer L et al,2020
NCT02523313,32416781,medium,167.0,Zimmer L et al (1),2020
NCT01896869,32591464,small,83.0,Wu AA et al,2020
NCT02231749,32661118,large,1096.0,Motzer RJ et al,2018
NCT02231749,32661118,large,1096.0,Motzer RJ et al,2019
NCT02231749,32661118,large,1096.0,Motzer RJ et al,2020
NCT02017717,32437507,large,369.0,Reardon DA et al,2020
NCT01668784,32673417,large,821.0,Motzer RJ et al,2015
NCT01668784,32673417,large,821.0,Motzer RJ et al,2020
NCT00094653,23942774,large,676.0,Hodi FS et al,2010
NCT00094653,23942774,large,676.0,Hodi FS et al (1),2010
NCT00094653,23942774,large,676.0,McDermott D et al,2013
NCT00094653,23942774,large,676.0,McDermott D et al (1),2013
NCT00094653,23942774,large,676.0,Hodi FS et al,2010
NCT00094653,23942774,large,676.0,Hodi FS et al (1),2010
NCT00094653,23942774,large,676.0,McDermott D et al,2013
NCT00094653,23942774,large,676.0,McDermott D et al (1),2013
NCT02899299,33485464,large,605.0,Baas P et al.,2021
NCT00861614,32811715,large,799.0,Kwon ED et al,2014
NCT00861614,32811715,large,799.0,Fizazi K et al.,2020
NCT01721772,32997575,large,418.0,Robert C et al,2015
NCT01721772,32997575,large,418.0,Ascierto PA et al,2019
NCT01721772,32997575,large,418.0,Robert C et al,2020
NCT00636168,25840693,large,951.0,Eggermont AMM et al,2016
NCT00636168,25840693,large,951.0,Eggermont AMM et al,2015
NCT03215706,33476593,large,719.0,Paz-Ares L et al,2021
NCT02481830,33539946,large,569.0,Spigel DR et al,2021
NCT03141177,33657295,large,651.0,Choueiri TK et al,2021
NCT02538666,33683919,large,834.0,Owonikoko TK et al,2021
NCT02538666,33683919,large,834.0,Owonikoko TK et al,2021
NCT02538666,33683919,large,834.0,Owonikoko TK et al,2021
NCT02538666,33683919,large,834.0,Owonikoko TK et al,2021
NCT02852083,33796020,small,40.0,Heudobler D et al,2021
