NCT,PMID,ici_class,Name of ICI,Authors,Year
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2018
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2018
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al,2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1),2019
NCT02477826,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2),2019
NCT02220894,30955977,PD-1,Pembrolizumab,Mok TSK et al,2019
NCT03059667,30664989,PD-L1,Atezolizumab,Pujol JL et al,2019
NCT02142738,30620668,PD-1,Pembrolizumab,Reck M et al,2019
NCT02142738,30620668,PD-1,Pembrolizumab,Reck M et al,2016
NCT02367781,31122901,PD-L1,Atezolizumab,West H et al,2019
NCT02613507,30659987,PD-1,Nivolumab,Wu YL et al,2019
NCT02454933,30763730,PD-L1,Durvalumab,Yang JCH et al,2019
NCT03043872,31590988,PD-L1,Durvalumab,Paz-Ares L et al,2019
NCT03043872,31590988,PD-L1,Durvalumab,Paz-Ares L et al (1),2019
NCT03043872,31590988,PD-L1,Durvalumab,Goldman JW et al,2020
NCT03043872,31590988,PD-L1,Durvalumab,Goldman JW et al (1),2020
NCT03043872,31590988,PD-L1,Durvalumab,Paz-Ares L et al,2019
NCT03043872,31590988,PD-L1,Durvalumab,Paz-Ares L et al (1),2019
NCT03043872,31590988,PD-L1,Durvalumab,Goldman JW et al,2020
NCT03043872,31590988,PD-L1,Durvalumab,Goldman JW et al (1),2020
NCT02763579,31959349,PD-L1,Atezolizumab,Horn L et al,2018
NCT02763579,31959349,PD-L1,Atezolizumab,Mansfield AS et al,2020
NCT02352948,32201234,PD-L1,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,PD-L1,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,PD-L1,Durvalumab,Planchard D et al (2),2020
NCT02352948,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al (2),2020
NCT02352948,32201234,PD-L1,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,PD-L1,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,PD-L1,Durvalumab,Planchard D et al (2),2020
NCT03066778,32468956,PD-1,Pembrolizumab,Rudin CM et al,2020
NCT02453282,32271377,PD-L1,Durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,PD-L1,Durvalumab,Rizvi NA et al (1),2020
NCT02453282,32271377,PD-L1,Durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,PD-L1,Durvalumab,Rizvi NA et al (1),2020
NCT02367794,32302702,PD-L1,Atezolizumab,Jotte R et al,2020
NCT02367794,32302702,PD-L1,Atezolizumab,Jotte R et al (1),2020
NCT02367794,32302702,PD-L1,Atezolizumab,Jotte R et al,2020
NCT02367794,32302702,PD-L1,Atezolizumab,Jotte R et al (1),2020
NCT02574598,32271354,PD-1,Pembrolizumab,Arrieta O et al,2020
NCT02142738,27718847,PD-1,Pembrolizumab,Reck M et al,2019
NCT02142738,27718847,PD-1,Pembrolizumab,Reck M et al,2016
NCT02409342,32997907,PD-L1,Atezolizumab,Herbst RS et al.,2020
NCT03043872,33285097,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al,2019
NCT03043872,33285097,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al (1),2019
NCT03043872,33285097,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al,2020
NCT03043872,33285097,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al (1),2020
NCT03043872,33285097,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al,2019
NCT03043872,33285097,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al (1),2019
NCT03043872,33285097,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al,2020
NCT03043872,33285097,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al (1),2020
NCT01903993,33166718,PD-L1,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,33166718,PD-L1,Atezolizumab,Mazieres J et al,2020
NCT02008227,33166718,PD-L1,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,33166718,PD-L1,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,33166718,PD-L1,Atezolizumab,Mazieres J et al,2020
NCT03215706,33476593,PD-1,"Nivolumab, Ipilimumab",Paz-Ares L et al,2021
NCT02481830,33539946,PD-1,Nivolumab,Spigel DR et al,2021
NCT02538666,33683919,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al,2021
NCT02538666,33683919,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al,2021
NCT02538666,33683919,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al,2021
NCT02538666,33683919,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al,2021
NCT03088540,33581821,PD-1,Cemiplimab,Sezer A et al,2021
NCT02852083,33796020,PD-1,Nivolumab,Heudobler D et al,2021
