NCT,PMID,Authors,Year,Original/Follow Up,Study name,Trial phase,Number of arms,Originial publication or Follow-up,Cancer type,Treatment regimen,Name of ICI,Class of ICI,Monotherapy/combination,Type of combination,Control regimen,Type of control,Total sample size,Lines of treatment,Clincal setting in relation to surgery,Is PD-L1 positivity inclusion criteria,Is any other biomarker used for inclusion,Primary endpoint,"Priamry Multiple, composite, or co-primary endpoints?",Secondary endpoint,Type of follow-up given,Follow-up duration for primary endpoint(s) in months,Overall,Rx,Control
NCT00861614,24831977,Eugene D Kwon et al,2014,original,CA184-043,Phase 3,2,Original publication,Prostate,Ipilimumab,Ipilimumab,CTLA-4,Combination,ICI+RadiatICIn,Placebo+Radiotherapy,Radiation,799,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,PFS; pain response; safety profile.,Median,,,,
NCT01721772,25399552,Caroline Robert et al,2015,original,CheckMate 066,Phase 3,2,Original publication,Melanoma,Nivolumab,Nivolumab,PD1,Monotherapy,NA,Dacarbazine,Chemo,418,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,Yes,OS,NA,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Upto,,,,
NCT01721746,25795410,Jeffrey S Weber et al,2015,original,CheckMate 037,Phase 3,2,Original publication,Melanoma,Nivolumab,Nivolumab,PD1,Monotherapy,NA,Dacarbazine/carboplatin+paclitaxel,Chemo,405,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS+ORR,Co-primary,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,Minimum,,,,
NCT00636168,25840693,Alexander M M Eggermont et al,2015,original,NA,Phase 3,2,Original publication,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,NA,Placebo,Placebo,951,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,PFS,NA,OS; distant metastasis–free survival; safety; health-related quality of life.,Median,,,,
NCT01642004,26028407,Julie Brahmer et al,2015,original,Checkmate 017,Phase 3,2,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,NA,Docetaxel,Chemo,272,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,"OR, PFS, PRO",Median,,,,
NCT01704287,26115796,Antoni Ribas et al,2015,original,KEYNOTE-002,Phase 2,3,Original publication,Melanoma,Pembrolizumab 2 mg/kg,Pembrolizumab,PD1,Monotherapy,NA,Investigator's choice chemotherapy,Chemo,540,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS+PFS,Co-primary,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Median,,,,
NCT01704287,26115796,Antoni Ribas et al*,2015,original,KEYNOTE-002,Phase 2,3,Original publication,Melanoma,Pembrolizumab 10 mg/kg,Pembrolizumab,PD1,Monotherapy,NA,Investigator's choice chemotherapy,Chemo,540,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS+PFS,Co-primary,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Median,,,,
NCT01668784,26406148,Robert J Motzer et al,2015,original,CheckMate 025,Phase 3,2,Original publication,Renal cell,Nivolumab,Nivolumab,PD1,Monotherapy,NA,Everolimus,mTOR inhibitor,821,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",Minimum,,,,
NCT01673867,26412456,Hossein Borghaei et al,2015,original,Checkmate 057,Phase 3,2,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,NA,Docetaxel,Chemo,582,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,"OR, PFS, PRO",Median,,,,
NCT01905657,26712084,Roy S Herbst et al,2016,original,Keynote-010,Phase 2,3,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,NA,Docetaxel,Chemo,1034,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),Yes,No,OS+PFS,Multiple,"RR, DOR",Median,,,,
NCT01905657,26712084,Roy S Herbst et al*,2016,original,Keynote-010,Phase 2,3,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,NA,Docetaxel,Chemo,1034,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),Yes,No,OS+PFS,Multiple,"RR, DOR",Median,,,,
NCT01903993,26970723,Louis Fehrenbacher et al,2016,original,POPLAR,Phase 2,2,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,NA,Docetaxel,Chemo,287,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),Yes,No,PFS,NA,"ORR, PFS, DOR,OR",Median,,,,
NCT01450761,27458307,Martin Reck et al,2016,original,CA184-156,Phase 3,2,Original publication,Small Cell Lung,Ipilimumab+Etoposide+Platinum agent,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Etoposide+Platinum agent,Chemo,1132,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,"PFS, ORR, DOR",Median,,,,
NCT00636168,27717298,Alexander M M Eggermont et al,2016,followup,NA,Phase 3,2,Original publication,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,NA,Placebo,Placebo,951,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,PFS,NA,OS; distant metastasis–free survival; safety; health-related quality of life.,Median,,,,
NCT02105636,27718784,Robert L Ferris et al,2016,original,CheckMate 141,Phase 3,2,Original publication,Head and Neck,Nivolumab,Nivolumab,PD1,Monotherapy,NA,Methotrexate/Docetaxel/Cetuximab,Chemo/Anti-EGFR,361,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,"PFS, ORR",Median,,,,
NCT02142738,27718847,Martin Reck et al,2016,original,Keynote-024,Phase 3,2,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,NA,Platinum-based chemotherapy,Chemo,305,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),Yes,No,PFS,NA,"OS, ORR, safety",Median,,,,
NCT02039674,27745820,Corey J Langer et al,2016,original,Keynote-021,Phase 2,2,Original publication,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Pembrolizumab,PD1,Combination,ICI+Chemo,Pemetrexed+Carboplatin,Chemo,123,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),Yes,Yes,ORR,NA,"PFS, DOR, OS",Median,,,,
NCT02008227,27979383,Achim Rittmeyer et al,2017,original,OAK,Phase 3,2,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,NA,Docetaxel,Chemo,1225,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,Yes,OS,NA,"PFS, ORR, DoR",Median,,,,
NCT01057810,28034081,Tomasz M Beer et al,2017,original,CA184-095,Phase 3,2,Original publication,Prostate,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,NA,Placebo,Placebo,602,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,"PFS; time to subsequent systemic, cytotoxic therapy and to pain progression in all patients; safety profile in treated patients.",NA,,,,
NCT02256436,28212060,Joaquim Bellmunt et al,2017,original,Keynote-045,Phase 3,2,Original publication,Bladder,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,NA,Vinflunine+Paclitaxel+Docetaxel,Chemo,542,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS+PFS,Multiple,"Safety, tolerability, ORR, DoR",Median,,,,
NCT02041533,28636851,David P Carbone et al,2017,original,Checkmate 026,Phase 3,2,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,NA,Platinum-based chemotherapy,Chemo,423,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),Yes,Yes,PFS,NA,"OS,PFS(PD-L1),RR,",Median,,,,
