NCT,PubMed ID,Trial name,Author,Year,Trial phase,Number of arms,Total sample size,Original publication or Follow-up,Cancer type,Treatment regimen,Name of ICI,Class of ICI,Monotherapy/combination,Type of combination,Control regimen,Control arm,Lines of treatment,Clinical setting in relation to surgery,Primary endpoint,"Primary Multiple, composite, or co-primary endpoints?",Secondary endpoint,Is PD-L1 positivity inclusion criteria,Is any other biomarker used for inclusion,Type of follow-up given,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Rx,Follow-up duration for primary endpoint(s) in months | Control,Type of therapy,Clinical setting
NCT02008227,29777823,OAK,Fehrenbacher L et al,2018,Phase 3,2,1225,Follow-up,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DoR",False,True,Median,26.0,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02763579,30280641,IMPower 133,Horn L et al,2018,Phase 3,2,403,Original publication,Small Cell Lung,Atezolizumab+Etoposide+Carboplatin,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo  ,Placebo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DOR",False,False,Median,13.9,,,Combination,Metastatic+recurrent (unresectable)
NCT02366143,29863955,IMPower150,Socinski MA et al,2018,Phase 3,3,1202,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Bevacizumab+Carboplatin+Paclitaxel,Chemo+Anti-VEGF,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"PFS, OS in ITT population",False,False,Minimum,,,,Combination,Metastatic+recurrent (unresectable)
NCT02366143,29863955,IMPower150,Socinski MA et al (1),2018,Phase 3,3,1202,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Chemo+Anti-VEGF,Bevacizumab+Carboplatin+Paclitaxel,Chemo+Anti-VEGF,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"PFS, OS in ITT population",False,False,Minimum,,15.4,15.5,Combination,Metastatic+recurrent (unresectable)
NCT03059667,30664989,IFCT-1603,Pujol JL et al,2019,Phase 2,2,73,Original publication,Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Etoposide+Carboplatin/Topotecan,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),ORR,,"OS, PFS, RR, Disease progression/Death, QoL",False,False,Median,13.7,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02367781,31122901,IMpower130,West H et al,2019,Phase 3,2,724,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin+Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,,False,False,Median,,18.5,19.2,Combination,Metastatic+recurrent (unresectable)
NCT02425891,31786121,IMpassion130,Schmid P et al,2019,Phase 3,2,902,Follow-up,Breast,Atezolizumab+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"investigator-assessed RECIST v1.1 ORR,  DoR",False,False,Median,,18.5,17.5,Combination,Metastatic+recurrent (unresectable)
NCT02763579,31959349,IMpower133,Mansfield AS et al,2020,Phase 3,2,403,Follow-up,Small Cell Lung,Atezolizumab+Carboplatin+Etoposide,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo+Carboplatin+Etoposide,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,Patient-reported outcomes,False,False,,,,,Combination,Metastatic+recurrent (unresectable)
NCT02367794,32302702,IMpower131,Jotte R et al,2020,Phase 3,3,1021,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin+Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"ORR, DOR, PFS and OS in PD-L1 subgroups and T-effector population; safety.",False,False,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT02367794,32302702,IMpower131,Jotte R et al (1),2020,Phase 3,3,1021,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin+Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"ORR, DOR, PFS and OS in PD-L1 subgroups and T-effector population; safety.",False,False,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT02908672,32534646,IMspire150,Gutzmer R et al,2020,Phase 3,2,514,Original publication,Melanoma,Atezolizumab+Vemurafenib+Cobimetinib,Atezolizumab,PD-L1,Combination,ICI+BRAFi+MEKi,Placebo+Vemurafenib+Cobimetinib,BRAFi+MEKi,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,PFS assessed by independent review committee; ORR; DOR; OS; time to deterioration in global health status and physical function.,False,True,Median,18.9,,,Combination,Metastatic+recurrent (unresectable)
NCT02807636,32416780,IMvigor130,Galsky MD et al,2020,Phase 3,3,1213,Original publication,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo+Gemcitabine+Carboplatin or Cisplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"RR, DOR, PFS",False,False,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT02807636,32416780,IMvigor130,Galsky MD et al (1),2020,Phase 3,3,1213,Original publication,Urothelial,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Placebo+Gemcitabine+Carboplatin or Cisplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"RR, DOR, PFS",False,False,Median,,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT03434379,32402160,IMbrave150,Finn RS et al,2020,Phase 3,3,336,Original publication,Hepatocellular,Atezolizumab+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Anti-VEGF,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"ORR, DOR, safety, tolerability",False,False,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT03197935,32966830,IMpassion031,Mittendorf EA et al,2020,Phase 3,2,333,Original publication,Breast,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Chemo,Only 1st line of treatment for metastatic disease,Neoadjuvant,Path CR in ITT+Path CR in PD-L1+,Co-primary,"OS, Event free survival , disease free survival",False,True,Median,,20.6,19.8,Combination,Neoadjuvant
NCT02409342,32997907,IMpower110,Herbst RS et al.,2020,Phase 3,2,572,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Cisplatin/carboplatin+gemcitabine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed PFS, DOR",True,True,Median,13.4,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02657434,33333328,Impower 132,Nishio M et al,2020,Phase 3,2,578,Original publication,NSCLC,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin/Cisplatin+Pemetrexed,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS+OS,Co-primary,,False,True,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT01903993,33166718,POPLAR,Mazieres J et al,2020,Phase 2,2,287,Follow-up,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,,False,False,Median,48.6,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02008227,33166718,OAK,Mazieres J et al,2020,Phase 3,2,1225,Follow-up,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,,False,False,Median,47.7,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02450331,33721560,Imvigor010,Bellmunt J et al,2021,Phase 3,2,809,Original publication,Urothelial,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Observation,Observation,,Adjuvant,DFS,,OS; disease-specific survival; distant metastasis-free survival; non-urinary tract recurrence-free survival; pharmacokinetics; PROs,False,False,Median,21.9,,,Monotherapy,Adjuvant
