NCT,Author,Year,PMID,ici_class,Name of ICI,Authors
NCT02775435,Paz-Ares L et al,2018,30280635,PD-1,Pembrolizumab,Paz-Ares L et al
NCT02366143,Socinski MA et al,2018,29863955,PD-L1,Atezolizumab,Socinski MA et al
NCT02366143,Socinski MA et al,2018,29863955,PD-L1,Atezolizumab,Socinski MA et al (1)
NCT02366143,Socinski MA et al (1),2018,29863955,PD-L1,Atezolizumab,Socinski MA et al
NCT02366143,Socinski MA et al (1),2018,29863955,PD-L1,Atezolizumab,Socinski MA et al (1)
NCT02477826,Hellmann MD et al,2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al,2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al,2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al,2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al,2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02477826,Hellmann MD et al (1),2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al (1),2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al (1),2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al (1),2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al (1),2018,29658845,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02477826,Hellmann MD et al,2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al,2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al,2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al,2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al,2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02477826,Hellmann MD et al (1),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al (1),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al (1),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al (1),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al (1),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02477826,Hellmann MD et al (2),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al (2),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al (2),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al
NCT02477826,Hellmann MD et al (2),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (1)
NCT02477826,Hellmann MD et al (2),2019,31562796,PD-1,"Nivolumab, Ipilimumab",Hellmann MD et al (2)
NCT02220894,Mok TSK et al,2019,30955977,PD-1,Pembrolizumab,Mok TSK et al
NCT03059667,Pujol JL et al,2019,30664989,PD-L1,Atezolizumab,Pujol JL et al
NCT02142738,Reck M et al,2019,30620668,PD-1,Pembrolizumab,Reck M et al
NCT02142738,Reck M et al,2019,30620668,PD-1,Pembrolizumab,Reck M et al
NCT02367781,West H et al,2019,31122901,PD-L1,Atezolizumab,West H et al
NCT02613507,Wu YL et al,2019,30659987,PD-1,Nivolumab,Wu YL et al
NCT02454933,Yang JCH et al,2019,30763730,PD-L1,Durvalumab,Yang JCH et al
NCT03043872,Paz-Ares L et al,2019,31590988,PD-L1,Durvalumab,Paz-Ares L et al
NCT03043872,Paz-Ares L et al,2019,31590988,PD-L1,Durvalumab,Paz-Ares L et al (1)
NCT03043872,Paz-Ares L et al,2019,31590988,PD-L1,Durvalumab,Goldman JW et al
NCT03043872,Paz-Ares L et al,2019,31590988,PD-L1,Durvalumab,Goldman JW et al (1)
NCT03043872,Paz-Ares L et al (1),2019,31590988,PD-L1,Durvalumab,Paz-Ares L et al
NCT03043872,Paz-Ares L et al (1),2019,31590988,PD-L1,Durvalumab,Paz-Ares L et al (1)
NCT03043872,Paz-Ares L et al (1),2019,31590988,PD-L1,Durvalumab,Goldman JW et al
NCT03043872,Paz-Ares L et al (1),2019,31590988,PD-L1,Durvalumab,Goldman JW et al (1)
NCT02763579,Mansfield AS et al,2020,31959349,PD-L1,Atezolizumab,Horn L et al
NCT02763579,Mansfield AS et al,2020,31959349,PD-L1,Atezolizumab,Mansfield AS et al
NCT02352948,Planchard D et al,2020,32201234,PD-L1,Durvalumab,Planchard D et al
NCT02352948,Planchard D et al,2020,32201234,PD-L1,Durvalumab,Planchard D et al (1)
NCT02352948,Planchard D et al,2020,32201234,PD-L1,Durvalumab,Planchard D et al (2)
NCT02352948,Planchard D et al (1),2020,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al
NCT02352948,Planchard D et al (1),2020,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al (1)
NCT02352948,Planchard D et al (1),2020,32201234,OTHER/UNKNOWN,Durvalumab,Planchard D et al (2)
NCT02352948,Planchard D et al (2),2020,32201234,PD-L1,Durvalumab,Planchard D et al
NCT02352948,Planchard D et al (2),2020,32201234,PD-L1,Durvalumab,Planchard D et al (1)
NCT02352948,Planchard D et al (2),2020,32201234,PD-L1,Durvalumab,Planchard D et al (2)
NCT03066778,Rudin CM et al,2020,32468956,PD-1,Pembrolizumab,Rudin CM et al
NCT02453282,Rizvi NA et al,2020,32271377,PD-L1,Durvalumab,Rizvi NA et al
NCT02453282,Rizvi NA et al,2020,32271377,PD-L1,Durvalumab,Rizvi NA et al (1)
NCT02453282,Rizvi NA et al (1),2020,32271377,PD-L1,Durvalumab,Rizvi NA et al
NCT02453282,Rizvi NA et al (1),2020,32271377,PD-L1,Durvalumab,Rizvi NA et al (1)
NCT02367794,Jotte R et al,2020,32302702,PD-L1,Atezolizumab,Jotte R et al
NCT02367794,Jotte R et al,2020,32302702,PD-L1,Atezolizumab,Jotte R et al (1)
NCT02367794,Jotte R et al (1),2020,32302702,PD-L1,Atezolizumab,Jotte R et al
NCT02367794,Jotte R et al (1),2020,32302702,PD-L1,Atezolizumab,Jotte R et al (1)
NCT02574598,Arrieta O et al,2020,32271354,PD-1,Pembrolizumab,Arrieta O et al
NCT02142738,Reck M et al,2016,27718847,PD-1,Pembrolizumab,Reck M et al
NCT02142738,Reck M et al,2016,27718847,PD-1,Pembrolizumab,Reck M et al
NCT02409342,Herbst RS et al.,2020,32997907,PD-L1,Atezolizumab,Herbst RS et al.
NCT03043872,Goldman JW et al,2020,33285097,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al
NCT03043872,Goldman JW et al,2020,33285097,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al (1)
NCT03043872,Goldman JW et al,2020,33285097,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al
NCT03043872,Goldman JW et al,2020,33285097,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al (1)
NCT03043872,Goldman JW et al (1),2020,33285097,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al
NCT03043872,Goldman JW et al (1),2020,33285097,PD-L1,"Durvalumab, Tremelimumab",Paz-Ares L et al (1)
NCT03043872,Goldman JW et al (1),2020,33285097,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al
NCT03043872,Goldman JW et al (1),2020,33285097,PD-L1,"Durvalumab, Tremelimumab",Goldman JW et al (1)
NCT01903993,Mazieres J et al,2020,33166718,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT01903993,Mazieres J et al,2020,33166718,PD-L1,Atezolizumab,Mazieres J et al
NCT02008227,Mazieres J et al,2020,33166718,PD-L1,Atezolizumab,Rittmeyer A et al
NCT02008227,Mazieres J et al,2020,33166718,PD-L1,Atezolizumab,Fehrenbacher L et al
NCT02008227,Mazieres J et al,2020,33166718,PD-L1,Atezolizumab,Mazieres J et al
NCT03215706,Paz-Ares L et al,2021,33476593,PD-1,"Nivolumab, Ipilimumab",Paz-Ares L et al
NCT02481830,Spigel DR et al,2021,33539946,PD-1,Nivolumab,Spigel DR et al
NCT02538666,Owonikoko TK et al,2021,33683919,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al
NCT02538666,Owonikoko TK et al,2021,33683919,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al
NCT02538666,Owonikoko TK et al,2021,33683919,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al
NCT02538666,Owonikoko TK et al,2021,33683919,PD-1,"Nivolumab, Ipilimumab",Owonikoko TK et al
NCT03088540,Sezer A et al,2021,33581821,PD-1,Cemiplimab,Sezer A et al
NCT02852083,Heudobler D et al,2021,33796020,PD-1,Nivolumab,Heudobler D et al
