row_index,question,gt_sql_original,gt_sql_final,status,error,result_rows,results_csv,fixes_applied
10,List Small Cell Lung trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""other_biomarker_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""is_any_other_biomarker_used_for_inclusion"" = 'No';",ok,,14,gt_sql_runs_fixed/row010_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]"
11,Show Prostate CTLA-4 trials conducted in 2018 or later.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Prostate' AND ""ici_class"" = 'CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Prostate' AND ""class_of_ici"" = 'CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",ok,,1,gt_sql_runs_fixed/row011_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}]"
12,Show Prostate trials with at least 2 prior lines of therapy that used combination treatment.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_of_treatment"", ""therapy_modality"", ""cancer_type"", ""combination_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Prostate' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""lines_of_treatment"", ""monotherapy_combination"", ""cancer_type"", ""type_of_combination"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Prostate' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""monotherapy_combination"" = 'Combination';",ok,,2,gt_sql_runs_fixed/row012_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]"
13,List Prostate trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Prostate' AND ""other_biomarker_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Prostate' AND ""is_any_other_biomarker_used_for_inclusion"" = 'No';",ok,,3,gt_sql_runs_fixed/row013_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]"
14,List Breast trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Breast' AND ""other_biomarker_inclusion"" = 'Yes';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Breast' AND ""is_any_other_biomarker_used_for_inclusion"" = 'Yes';",ok,,8,gt_sql_runs_fixed/row014_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]"
15,List CTLA-4 trials that reported composite or co-primary endpoints.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Co-primary';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""priamry_multiple_composite_or_co_primary_endpoints"", ""name_of_ici"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'CTLA-4' AND ""priamry_multiple_composite_or_co_primary_endpoints"" = 'Co-primary';",ok,,2,gt_sql_runs_fixed/row015_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'primary_endpoint_is_multiple_or_composite', 'replaced_with': 'priamry_multiple_composite_or_co_primary_endpoints', 'reason': 'token_overlap(score=5)'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
16,Show Melanoma studies included in the meta‑analysis that used CTLA-4 agents.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""included_in_ma"", ""ici_class"", ""cancer_type"", ""ici_name""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""ici_class"" = 'CTLA-4' AND ""included_in_ma"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""included_in_ma"", ""class_of_ici"", ""cancer_type"", ""name_of_ici""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""class_of_ici"" = 'CTLA-4' AND ""included_in_ma"" = 'No';",ok,,4,gt_sql_runs_fixed/row016_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
17,Which Small Cell Lung phase 3 trials compared ICI to Chemo?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""control_type"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""trial_phase"" = 'Phase 3' AND ""control_type"" = 'Chemo';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""type_of_control"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""trial_phase"" = 'Phase 3' AND ""type_of_control"" = 'Chemo';",ok,,8,gt_sql_runs_fixed/row017_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'control_type', 'replaced_with': 'type_of_control', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
18,List Renal cell trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""other_biomarker_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""is_any_other_biomarker_used_for_inclusion"" = 'No';",ok,,14,gt_sql_runs_fixed/row018_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]"
19,Show Non-Small Cell Lung trials using PD1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_pd_l1_positivity_inclusion_criteria"", ""class_of_ici"", ""cancer_type"", ""name_of_ici"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""class_of_ici"" = 'PD1' AND ""is_pd_l1_positivity_inclusion_criteria"" = 'No';",ok,,10,gt_sql_runs_fixed/row019_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'pdl1_inclusion', 'replaced_with': 'is_pd_l1_positivity_inclusion_criteria', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
20,Find Phase 2 Pembrolizumab trials in Melanoma that were original publication publications.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Pembrolizumab' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 2' AND ""publication_type"" = 'Original publication';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""name_of_ici"", ""trial_phase"", ""cancer_type""
FROM public.""clinical_trials""
WHERE ""name_of_ici"" = 'Pembrolizumab' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 2' AND ""originial_publication_or_follow_up"" = 'Original publication';",ok,,4,gt_sql_runs_fixed/row020_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
21,Find Melanoma trials with minimum follow‑up and show months by arm.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""follow_up_type"", ""cancer_type"", ""follow_up_duration_rx_months"", ""follow_up_duration_control_months""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""follow_up_type"" = 'Minimum';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_follow_up_given"", ""cancer_type"", ""follow_up_duration_for_primary_endpoint_s_in_months_rx"", ""follow_up_duration_for_primary_endpoint_s_in_months_control""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""type_of_follow_up_given"" = 'Minimum';",ok,,4,gt_sql_runs_fixed/row021_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'follow_up_type', 'replaced_with': 'type_of_follow_up_given', 'reason': 'known_map'}, {'missing': 'follow_up_duration_rx_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_rx', 'reason': 'known_map'}, {'missing': 'follow_up_duration_control_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_control', 'reason': 'known_map'}]"
22,Show Pancreatic trials that used ICI+Vaccine combinations.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""combination_type"", ""cancer_type"", ""treatment_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Pancreatic' AND ""combination_type"" = 'ICI+Vaccine';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_combination"", ""cancer_type"", ""treatment_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Pancreatic' AND ""type_of_combination"" = 'ICI+Vaccine';",ok,,1,gt_sql_runs_fixed/row022_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]"
23,"Which Phase 2 CTLA-4 combination trials in Pancreatic should I review, and what were their regimens?","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""cancer_type"" = 'Pancreatic' AND ""trial_phase"" = 'Phase 2' AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""class_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'CTLA-4' AND ""cancer_type"" = 'Pancreatic' AND ""trial_phase"" = 'Phase 2' AND ""monotherapy_combination"" = 'Combination';",ok,,1,gt_sql_runs_fixed/row023_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
24,Find Phase 2 Atezolizumab trials in Non-Small Cell Lung that were original publication publications.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Atezolizumab' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""publication_type"" = 'Original publication';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""name_of_ici"", ""trial_phase"", ""cancer_type""
FROM public.""clinical_trials""
WHERE ""name_of_ici"" = 'Atezolizumab' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""originial_publication_or_follow_up"" = 'Original publication';",ok,,1,gt_sql_runs_fixed/row024_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
25,Find Renal cell trials with median follow‑up and show months by arm.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""follow_up_type"", ""cancer_type"", ""follow_up_duration_rx_months"", ""follow_up_duration_control_months""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""follow_up_type"" = 'Median';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_follow_up_given"", ""cancer_type"", ""follow_up_duration_for_primary_endpoint_s_in_months_rx"", ""follow_up_duration_for_primary_endpoint_s_in_months_control""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""type_of_follow_up_given"" = 'Median';",ok,,12,gt_sql_runs_fixed/row025_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'follow_up_type', 'replaced_with': 'type_of_follow_up_given', 'reason': 'known_map'}, {'missing': 'follow_up_duration_rx_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_rx', 'reason': 'known_map'}, {'missing': 'follow_up_duration_control_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_control', 'reason': 'known_map'}]"
