NCT,PMID,clinical_setting_normalized,Authors,Year
NCT02039674,27745820,relapsed/refractory,Langer JC et al,2016
NCT02039674,27745820,relapsed/refractory,Borghaei  H et al,2018
NCT02039674,30138764,relapsed/refractory,Langer JC et al,2016
NCT02039674,30138764,relapsed/refractory,Borghaei  H et al,2018
NCT02008227,27979383,relapsed/refractory,Rittmeyer A et al,2017
NCT02008227,27979383,relapsed/refractory,Fehrenbacher L et al,2018
NCT02008227,27979383,relapsed/refractory,Mazieres J et al,2020
NCT02008227,29777823,relapsed/refractory,Rittmeyer A et al,2017
NCT02008227,29777823,relapsed/refractory,Fehrenbacher L et al,2018
NCT02008227,29777823,relapsed/refractory,Mazieres J et al,2020
NCT02578680,29658856,metastatic,Gandhi L et al,2018
NCT02763579,30280641,relapsed/refractory,Horn L et al,2018
NCT02763579,30280641,relapsed/refractory,Mansfield AS et al,2020
NCT02775435,30280635,relapsed/refractory,Paz-Ares L et al,2018
NCT02366143,29863955,relapsed/refractory,Socinski MA et al,2018
NCT02366143,29863955,relapsed/refractory,Socinski MA et al (1),2018
NCT02366143,29863955,relapsed/refractory,Socinski MA et al,2018
NCT02366143,29863955,relapsed/refractory,Socinski MA et al (1),2018
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al,2018
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al (1),2018
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al,2019
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al (1),2019
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al (2),2019
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al,2018
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al (1),2018
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al,2019
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al (1),2019
NCT02477826,29658845,relapsed/refractory,Hellmann MD et al (2),2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al,2018
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (1),2018
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al,2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (1),2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (2),2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al,2018
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (1),2018
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al,2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (1),2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (2),2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al,2018
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (1),2018
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al,2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (1),2019
NCT02477826,31562796,relapsed/refractory,Hellmann MD et al (2),2019
NCT02220894,30955977,relapsed/refractory,Mok TSK et al,2019
NCT03059667,30664989,relapsed/refractory,Pujol JL et al,2019
NCT02142738,30620668,relapsed/refractory,Reck M et al,2019
NCT02142738,30620668,relapsed/refractory,Reck M et al,2016
NCT02367781,31122901,relapsed/refractory,West H et al,2019
NCT02613507,30659987,relapsed/refractory,Wu YL et al,2019
NCT02454933,30763730,relapsed/refractory,Yang JCH et al,2019
NCT03043872,31590988,relapsed/refractory,Paz-Ares L et al,2019
NCT03043872,31590988,relapsed/refractory,Paz-Ares L et al (1),2019
NCT03043872,31590988,relapsed/refractory,Goldman JW et al,2020
NCT03043872,31590988,relapsed/refractory,Goldman JW et al (1),2020
NCT03043872,31590988,relapsed/refractory,Paz-Ares L et al,2019
NCT03043872,31590988,relapsed/refractory,Paz-Ares L et al (1),2019
NCT03043872,31590988,relapsed/refractory,Goldman JW et al,2020
NCT03043872,31590988,relapsed/refractory,Goldman JW et al (1),2020
NCT02763579,31959349,relapsed/refractory,Horn L et al,2018
NCT02763579,31959349,relapsed/refractory,Mansfield AS et al,2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al,2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al (1),2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al (2),2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al,2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al (1),2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al (2),2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al,2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al (1),2020
NCT02352948,32201234,relapsed/refractory,Planchard D et al (2),2020
NCT03066778,32468956,relapsed/refractory,Rudin CM et al,2020
NCT02453282,32271377,relapsed/refractory,Rizvi NA et al,2020
NCT02453282,32271377,relapsed/refractory,Rizvi NA et al (1),2020
NCT02453282,32271377,relapsed/refractory,Rizvi NA et al,2020
NCT02453282,32271377,relapsed/refractory,Rizvi NA et al (1),2020
NCT02367794,32302702,relapsed/refractory,Jotte R et al,2020
NCT02367794,32302702,relapsed/refractory,Jotte R et al (1),2020
NCT02367794,32302702,relapsed/refractory,Jotte R et al,2020
NCT02367794,32302702,relapsed/refractory,Jotte R et al (1),2020
NCT02574598,32271354,relapsed/refractory,Arrieta O et al,2020
NCT02142738,27718847,relapsed/refractory,Reck M et al,2019
NCT02142738,27718847,relapsed/refractory,Reck M et al,2016
NCT02409342,32997907,relapsed/refractory,Herbst RS et al.,2020
NCT03043872,33285097,relapsed/refractory,Paz-Ares L et al,2019
NCT03043872,33285097,relapsed/refractory,Paz-Ares L et al (1),2019
NCT03043872,33285097,relapsed/refractory,Goldman JW et al,2020
NCT03043872,33285097,relapsed/refractory,Goldman JW et al (1),2020
NCT03043872,33285097,relapsed/refractory,Paz-Ares L et al,2019
NCT03043872,33285097,relapsed/refractory,Paz-Ares L et al (1),2019
NCT03043872,33285097,relapsed/refractory,Goldman JW et al,2020
NCT03043872,33285097,relapsed/refractory,Goldman JW et al (1),2020
NCT01903993,33166718,metastatic,Fehrenbacher L et al,2016
NCT01903993,33166718,metastatic,Mazieres J et al,2020
NCT02008227,33166718,relapsed/refractory,Rittmeyer A et al,2017
NCT02008227,33166718,relapsed/refractory,Fehrenbacher L et al,2018
NCT02008227,33166718,relapsed/refractory,Mazieres J et al,2020
NCT03215706,33476593,relapsed/refractory,Paz-Ares L et al,2021
NCT02481830,33539946,relapsed/refractory,Spigel DR et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT03088540,33581821,relapsed/refractory,Sezer A et al,2021
NCT02852083,33796020,relapsed/refractory,Heudobler D et al,2021
